step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.526,1.083673,0.310109,0.339350,0.280867,20,0.00000000,0,0.164906,0.115249,0.214562,0.690224,0.766565,0.613883,0.359795,0.378460,0.341131,0.015455,0.031807,0.617431,0.655674,0.000000,0,0,0,0,0
25,27.547,0.634119,0.563354,0.593805,0.532903,20,0.00010747,0,0.060242,0.039926,0.080558,0.908271,0.939270,0.877272,0.596673,0.617514,0.575833,0.005319,0.011612,0.381031,0.421031,0.000000,0,0,0,0,0
50,200.589,0.333655,0.761879,0.795664,0.728093,23,0.00027822,2,0.050599,0.036907,0.064291,0.940286,0.957182,0.923389,0.799966,0.825029,0.774903,0.004645,0.009299,0.172811,0.222136,0.000000,3,0,0,0,0
75,231.786,0.206571,0.846891,0.882334,0.811448,23,0.00035557,5,0.045229,0.032209,0.058249,0.951159,0.965842,0.936476,0.884734,0.910753,0.858714,0.003880,0.008072,0.087692,0.138944,0.000000,3,0,0,0,0
100,427.987,0.147676,0.889341,0.923609,0.855072,26,0.00011317,1,0.033258,0.018957,0.047560,0.964918,0.980255,0.949581,0.918428,0.941117,0.895740,0.002138,0.006761,0.057570,0.102698,0.000000,6,0,0,0,0
125,463.148,0.121733,0.906963,0.937696,0.876230,26,0.00016125,3,0.028333,0.017782,0.038885,0.970371,0.981708,0.959034,0.932336,0.954370,0.910302,0.002066,0.005267,0.044306,0.087754,0.000000,6,0,0,0,0
150,686.306,0.104640,0.918388,0.938235,0.898540,29,0.00017974,1,0.033244,0.026673,0.039814,0.966092,0.973055,0.959128,0.948788,0.963261,0.934314,0.003268,0.005626,0.035532,0.064130,0.000000,9,0,0,0,1
175,725.956,0.087384,0.931111,0.948398,0.913824,29,0.00023737,1,0.028139,0.020802,0.035476,0.971414,0.978965,0.963863,0.957185,0.968126,0.946243,0.002516,0.004903,0.031493,0.051690,0.000000,9,0,0,0,1
200,968.952,0.076597,0.939051,0.950782,0.927319,28,0.00027069,1,0.022188,0.019124,0.025252,0.977386,0.980645,0.974127,0.959850,0.968965,0.950736,0.002212,0.003494,0.030270,0.046833,0.000000,9,0,1,1,1
225,1007.369,0.078164,0.937020,0.944545,0.929495,28,0.00020000,2,0.026499,0.022479,0.030519,0.973188,0.977253,0.969122,0.961820,0.965778,0.957862,0.002617,0.004213,0.033298,0.040088,0.000000,9,0,1,1,1
