step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.535,1.155592,0.245223,0.189143,0.301304,20,0.00017629,0,0.411239,0.116595,0.705882,0.532824,0.644302,0.421347,0.362592,0.211196,0.513989,0.027387,0.041217,0.783606,0.476720,0.000000,0,0,0,0,0
25,27.771,0.806622,0.406777,0.305267,0.508286,20,0.00000869,1,0.252484,0.054825,0.450143,0.737678,0.854510,0.620846,0.529546,0.322004,0.737088,0.012523,0.025985,0.672558,0.257302,0.000000,0,0,0,0,0
50,380.056,0.651443,0.500023,0.397840,0.602207,22,0.00003073,1,0.203772,0.042408,0.365136,0.799838,0.907228,0.692447,0.618403,0.414711,0.822095,0.009657,0.020805,0.580001,0.174356,0.000000,2,0,0,0,0
75,410.236,0.562351,0.558380,0.479373,0.637386,22,0.00012987,1,0.190018,0.040724,0.339311,0.820053,0.924532,0.715574,0.676277,0.498895,0.853659,0.009340,0.019046,0.496270,0.143668,0.000000,2,0,0,0,0
100,777.711,0.477657,0.615484,0.574466,0.656503,25,0.00015588,3,0.184312,0.039356,0.329268,0.832107,0.938161,0.726052,0.734872,0.597075,0.872669,0.008727,0.018675,0.399214,0.126749,0.000000,4,1,0,0,0
125,811.218,0.388751,0.670755,0.655236,0.686275,25,0.00014440,3,0.174058,0.031043,0.317073,0.848187,0.956069,0.740306,0.789725,0.675576,0.903874,0.006857,0.017930,0.320385,0.094405,0.000000,4,1,0,0,0
150,1206.948,0.311643,0.715804,0.742609,0.689000,26,0.00010318,4,0.194189,0.028623,0.359756,0.843214,0.963883,0.722545,0.850368,0.763864,0.936872,0.006582,0.020383,0.233083,0.061608,0.000000,7,1,2,0,0
175,1242.089,0.264143,0.752302,0.788203,0.716402,26,0.00007998,4,0.165870,0.023992,0.307747,0.861935,0.971132,0.752738,0.871993,0.807114,0.936872,0.005587,0.017318,0.188140,0.061381,0.000000,7,1,2,0,0
200,1652.415,0.238272,0.774725,0.813745,0.735706,28,0.00017959,4,0.155144,0.030517,0.279770,0.867906,0.964887,0.770925,0.890056,0.838577,0.941535,0.006778,0.015850,0.156953,0.057530,0.000000,10,1,3,0,0
225,1690.168,0.210550,0.797039,0.837298,0.756780,28,0.00009622,3,0.134799,0.026413,0.243185,0.882395,0.970183,0.794608,0.900115,0.859413,0.940818,0.005843,0.013471,0.136953,0.056274,0.000000,10,1,3,0,0
250,2135.966,0.191049,0.812039,0.856791,0.767286,28,0.00008230,4,0.129442,0.024308,0.234577,0.887283,0.973049,0.801517,0.912446,0.877618,0.947274,0.005288,0.013121,0.118474,0.052147,0.000000,11,1,4,0,0
