step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.527,1.071904,0.160705,0.163781,0.157629,20,0.00000000,0,0.076760,0.090309,0.063212,0.695128,0.664130,0.726126,0.173082,0.178571,0.167593,0.024741,0.027630,0.196439,0.274050,0.050000,0,0,0,0,0
25,27.373,0.831551,0.277558,0.286096,0.269019,20,0.00000000,0,0.033451,0.042876,0.024027,0.897066,0.874353,0.919779,0.286923,0.298363,0.275483,0.011576,0.010284,0.159864,0.228586,0.050000,0,0,0,0,0
50,309.706,0.662991,0.402501,0.382345,0.422658,20,0.00000000,0,0.020476,0.027251,0.013701,0.952066,0.935120,0.969012,0.410606,0.392764,0.428449,0.007466,0.005841,0.136176,0.178686,0.050000,0,0,0,0,0
75,336.668,0.504726,0.535206,0.505912,0.564500,20,0.00000392,0,0.014861,0.022507,0.007215,0.972887,0.958305,0.987470,0.542936,0.517299,0.568573,0.005922,0.003021,0.107551,0.133631,0.050000,0,0,0,0,0
100,622.047,0.418560,0.615238,0.603374,0.627101,20,0.00062142,2,0.012056,0.019810,0.004302,0.981012,0.968809,0.993215,0.622563,0.615327,0.629799,0.005394,0.001869,0.085798,0.114185,0.050000,0,0,0,0,0
125,649.533,0.362588,0.668846,0.661928,0.675765,20,0.00128023,3,0.012309,0.020647,0.003971,0.982263,0.970345,0.994180,0.677022,0.675595,0.678449,0.005666,0.001572,0.072959,0.098840,0.050000,0,0,0,0,0
150,926.847,0.330533,0.700394,0.698789,0.702000,20,0.00108572,3,0.011979,0.021112,0.002846,0.983618,0.971262,0.995973,0.708770,0.713542,0.703998,0.005871,0.001252,0.064996,0.090988,0.050000,0,0,0,0,0
175,954.259,0.304024,0.720718,0.714325,0.727111,20,0.00064903,3,0.010014,0.018043,0.001986,0.986536,0.975789,0.997282,0.727884,0.727214,0.728554,0.004880,0.001015,0.061108,0.083309,0.050000,0,0,0,0,0
200,1230.145,0.280431,0.740686,0.729787,0.751586,20,0.00033322,3,0.008786,0.015718,0.001853,0.988390,0.979236,0.997545,0.747118,0.741257,0.752979,0.004405,0.000957,0.057664,0.075732,0.050000,0,0,0,0,0
225,1257.543,0.257697,0.760549,0.738908,0.782189,20,0.00018679,2,0.009284,0.016648,0.001920,0.987938,0.978319,0.997557,0.767450,0.751209,0.783691,0.004610,0.000821,0.055734,0.066260,0.050000,0,0,0,0,0
250,1520.757,0.237151,0.779964,0.754612,0.805317,19,0.00034369,2,0.009671,0.018415,0.000927,0.987725,0.976599,0.998852,0.787286,0.768508,0.806063,0.005156,0.000539,0.052284,0.059052,0.050000,0,0,1,0,0
