step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.564,0.844581,0.221277,0.191166,0.251389,20,0.00000000,0,0.178450,0.178911,0.177989,0.591024,0.557456,0.624592,0.260750,0.225367,0.296133,0.040356,0.035837,0.177769,0.149280,0.050000,0,0,0,0,0
25,25.848,0.592379,0.338693,0.329741,0.347645,20,0.00000053,0,0.079484,0.072710,0.086258,0.821773,0.829491,0.814055,0.365674,0.353717,0.377632,0.016151,0.017377,0.133990,0.120289,0.050000,0,0,0,0,0
50,304.344,0.469150,0.445780,0.445533,0.446026,20,0.00002241,1,0.051543,0.058232,0.044854,0.901135,0.890067,0.912203,0.468755,0.471478,0.466032,0.012820,0.009028,0.109110,0.098147,0.050000,0,0,0,0,0
75,329.630,0.383587,0.550146,0.550292,0.550000,20,0.00023434,3,0.046667,0.055856,0.037478,0.925333,0.912299,0.938368,0.575821,0.581029,0.570613,0.012305,0.007439,0.088004,0.079028,0.050000,0,0,0,0,0
100,582.322,0.337968,0.608300,0.601349,0.615252,19,0.00103599,1,0.044887,0.056936,0.032838,0.934324,0.917785,0.950863,0.635521,0.635588,0.635455,0.012356,0.006617,0.077677,0.067228,0.050000,0,0,1,0,0
125,606.906,0.306214,0.647986,0.613818,0.682154,19,0.00063502,2,0.042459,0.055532,0.029387,0.940444,0.921057,0.959831,0.675053,0.647904,0.702201,0.012131,0.005749,0.075371,0.055164,0.050000,0,0,1,0,0
150,855.133,0.288231,0.673364,0.620489,0.726240,19,0.00056801,3,0.041626,0.056720,0.026532,0.943008,0.920382,0.965634,0.700596,0.655683,0.745509,0.012635,0.005257,0.074353,0.047199,0.050000,0,0,1,0,0
175,879.527,0.266327,0.700197,0.632183,0.768212,19,0.00093691,3,0.039404,0.054775,0.024033,0.947223,0.924090,0.970355,0.726743,0.666811,0.786675,0.012147,0.004746,0.071919,0.039800,0.050000,0,0,1,0,0
200,1137.288,0.253248,0.721219,0.634044,0.808394,19,0.00079631,3,0.040992,0.058665,0.023319,0.946105,0.919627,0.972584,0.749243,0.671240,0.827246,0.012940,0.004589,0.071683,0.032751,0.050000,0,0,1,0,0
225,1161.934,0.240187,0.742309,0.644338,0.840279,19,0.00044149,2,0.042444,0.062878,0.022011,0.945459,0.915908,0.975010,0.771814,0.684853,0.858775,0.013914,0.004328,0.069983,0.027153,0.050000,0,0,1,0,0
250,1423.541,0.226127,0.759041,0.654207,0.863875,19,0.00045523,2,0.040353,0.060717,0.019988,0.948680,0.919542,0.977819,0.787535,0.693928,0.881142,0.013571,0.003985,0.067866,0.023093,0.050000,0,0,1,0,0
275,1448.181,0.212926,0.774021,0.659622,0.888420,19,0.00030145,2,0.038675,0.063310,0.014039,0.950932,0.917208,0.984655,0.801138,0.701383,0.900892,0.014068,0.002599,0.066934,0.018589,0.050000,0,0,1,0,0
300,1706.603,0.198017,0.784575,0.669398,0.899753,19,0.00034227,2,0.033034,0.054883,0.011184,0.957869,0.927882,0.987857,0.807976,0.706137,0.909816,0.012016,0.002159,0.064384,0.016786,0.050000,0,0,1,0,0
325,1730.850,0.193608,0.787759,0.672891,0.902626,19,0.00012764,2,0.031704,0.052939,0.010470,0.959564,0.930477,0.988651,0.810295,0.708513,0.912076,0.011689,0.001897,0.063552,0.016225,0.050000,0,0,1,0,0
