step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.568,0.951566,0.156063,0.188759,0.123366,20,0.00018427,0,0.162168,0.112445,0.211891,0.532473,0.651257,0.413690,0.179745,0.209984,0.149506,0.027954,0.048030,0.182521,0.198217,0.050000,0,0,0,0,0
25,28.485,0.720042,0.249355,0.272935,0.225775,20,0.00000028,1,0.079300,0.049020,0.109580,0.774755,0.853819,0.695691,0.268415,0.286315,0.250515,0.012005,0.024582,0.154111,0.160176,0.050000,0,0,0,0,0
50,193.167,0.577570,0.372420,0.356182,0.388658,20,0.00054887,0,0.055027,0.040616,0.069437,0.879048,0.901241,0.856855,0.393147,0.370648,0.415645,0.009786,0.015461,0.135222,0.121813,0.050000,0,0,0,0,0
75,219.791,0.446250,0.515052,0.482449,0.547656,20,0.00079871,1,0.046008,0.034514,0.057502,0.922500,0.935321,0.909680,0.539123,0.499100,0.579147,0.008328,0.012607,0.108033,0.088643,0.050000,0,0,0,0,0
100,379.567,0.349282,0.613009,0.544215,0.681804,20,0.00069041,2,0.033243,0.027211,0.039275,0.950533,0.953584,0.947483,0.633803,0.559024,0.708582,0.006484,0.008595,0.094404,0.061147,0.050000,0,0,0,0,0
125,406.710,0.293364,0.676997,0.589901,0.764092,20,0.00021251,3,0.028969,0.028211,0.029728,0.959574,0.955556,0.963593,0.696675,0.606543,0.786807,0.006828,0.006510,0.085112,0.044823,0.050000,0,0,0,0,0
150,558.682,0.265500,0.708344,0.612001,0.804687,19,0.00026344,3,0.026765,0.030312,0.023218,0.963354,0.954133,0.972575,0.726961,0.630552,0.823370,0.007323,0.005038,0.080392,0.036815,0.050000,0,0,1,0,0
175,584.281,0.232123,0.743529,0.651656,0.835401,19,0.00005150,3,0.023555,0.024110,0.023001,0.969462,0.965133,0.973792,0.760992,0.667367,0.854616,0.005745,0.004896,0.071845,0.030898,0.050000,0,0,1,0,0
200,723.550,0.212670,0.771198,0.682314,0.860083,18,0.00004176,2,0.024997,0.027211,0.022784,0.968690,0.962627,0.974754,0.790280,0.700880,0.879679,0.006636,0.004850,0.065783,0.026180,0.050000,0,0,2,0,0
225,748.192,0.197771,0.791374,0.710442,0.872307,18,0.00005778,2,0.026022,0.029912,0.022133,0.968251,0.960725,0.975778,0.811653,0.731693,0.891613,0.007217,0.004803,0.059982,0.023859,0.050000,0,0,2,0,0
250,886.978,0.185885,0.805544,0.740834,0.870254,18,0.00023201,2,0.025796,0.031413,0.020180,0.969144,0.960513,0.977775,0.825961,0.764106,0.887816,0.007461,0.004476,0.053612,0.024328,0.050000,0,0,2,0,0
275,911.936,0.171930,0.819442,0.768185,0.870700,18,0.00026133,2,0.024387,0.030112,0.018661,0.971368,0.963342,0.979394,0.839132,0.791317,0.886948,0.007157,0.004110,0.047724,0.024066,0.050000,0,0,2,0,0
300,1049.954,0.162742,0.829427,0.790994,0.867860,18,0.00017572,0,0.023365,0.028611,0.018119,0.972968,0.966029,0.979906,0.848605,0.813625,0.883585,0.006875,0.003900,0.043224,0.024617,0.050000,0,0,2,0,0
325,1074.969,0.153246,0.836405,0.806093,0.866716,18,0.00014805,1,0.020659,0.024610,0.016708,0.976229,0.971066,0.981392,0.853564,0.825930,0.881198,0.005885,0.003641,0.039769,0.024895,0.050000,0,0,2,0,0
350,1214.131,0.143226,0.848964,0.832618,0.865309,17,0.00040323,2,0.021785,0.026210,0.017359,0.975450,0.970237,0.980662,0.867386,0.854442,0.880330,0.006026,0.003778,0.034145,0.025073,0.050000,0,0,3,0,0
375,1238.010,0.136436,0.856362,0.847822,0.864902,17,0.00033160,1,0.020459,0.024210,0.016708,0.977115,0.972876,0.981354,0.873850,0.868347,0.879353,0.005747,0.003693,0.031042,0.025260,0.050000,0,0,3,0,0
400,1369.858,0.132225,0.863405,0.860583,0.866226,17,0.00046717,1,0.022386,0.026110,0.018661,0.975285,0.971281,0.979290,0.882722,0.883053,0.882391,0.006062,0.004013,0.028397,0.024959,0.050000,0,0,3,0,0
425,1393.543,0.125790,0.871111,0.875889,0.866332,17,0.00014057,1,0.021972,0.026911,0.017034,0.975992,0.970950,0.981034,0.890275,0.899460,0.881089,0.006352,0.003761,0.025177,0.025027,0.050000,0,0,3,0,0
