step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,0.683,0.628036,0.142397,0.117786,0.167008,5,0.00028114,0,0.172118,0.133702,0.210534,0.494775,0.499686,0.489865,0.167852,0.133535,0.202169,0.018196,0.031145,0.120900,0.131344,0.050000,0,0,0,0,0
25,9.870,0.462969,0.209939,0.160319,0.259560,5,0.00000000,0,0.061117,0.052676,0.069558,0.780882,0.762121,0.799643,0.223189,0.168764,0.277614,0.007026,0.010223,0.106698,0.103226,0.050000,0,0,0,0,0
50,63.999,0.415067,0.272087,0.230831,0.313343,5,0.00000000,0,0.047900,0.039255,0.056545,0.856746,0.859375,0.854117,0.285477,0.239893,0.331061,0.005185,0.008151,0.096433,0.094430,0.050000,0,0,0,0,0
75,72.789,0.378503,0.323069,0.271917,0.374220,5,0.00005019,1,0.039226,0.035229,0.043222,0.894546,0.888771,0.900322,0.335946,0.281496,0.390395,0.004618,0.006112,0.090976,0.084846,0.050000,0,0,0,0,0
100,135.747,0.345716,0.379437,0.320421,0.438452,4,0.00000000,0,0.036043,0.035061,0.037026,0.914546,0.904392,0.924701,0.393171,0.331656,0.454686,0.004662,0.005228,0.084811,0.075684,0.050000,0,0,1,0,0
125,142.976,0.320537,0.432127,0.369241,0.495014,4,0.00000000,0,0.037477,0.034055,0.040899,0.922287,0.918112,0.926462,0.448537,0.381815,0.515259,0.004564,0.005939,0.078772,0.068368,0.050000,0,0,1,0,0
150,206.063,0.285260,0.496511,0.436538,0.556484,4,0.00000000,0,0.036502,0.034893,0.038110,0.933207,0.928301,0.938113,0.514731,0.451770,0.577692,0.004652,0.005427,0.070306,0.059725,0.050000,0,0,1,0,0
175,213.542,0.266172,0.534065,0.478933,0.589198,4,0.00015716,0,0.036206,0.031203,0.041208,0.938816,0.940575,0.937056,0.553677,0.493877,0.613478,0.004162,0.006067,0.064682,0.055562,0.050000,0,0,1,0,0
200,276.591,0.257150,0.558622,0.503511,0.613733,4,0.00013628,0,0.040389,0.027177,0.053602,0.936764,0.950077,0.923451,0.581913,0.517195,0.646631,0.003659,0.007779,0.061552,0.052678,0.050000,0,0,1,0,0
225,283.994,0.252499,0.577846,0.522649,0.633042,4,0.00021312,0,0.045063,0.025835,0.064291,0.933459,0.954030,0.912888,0.604946,0.536152,0.673741,0.003454,0.009601,0.059043,0.050814,0.050000,0,0,1,0,0
250,346.144,0.245663,0.597202,0.541973,0.652431,4,0.00004378,0,0.049452,0.025164,0.073741,0.930717,0.956672,0.904762,0.628077,0.555611,0.700542,0.003362,0.010889,0.056570,0.048433,0.050000,0,0,1,0,0
275,353.555,0.240142,0.609222,0.549812,0.668633,4,0.00007360,0,0.051092,0.025499,0.076685,0.930233,0.956732,0.903734,0.641869,0.563832,0.719907,0.003321,0.011295,0.055546,0.046228,0.050000,0,0,1,0,0
300,416.374,0.238364,0.615198,0.556792,0.673604,4,0.00007740,0,0.052157,0.024996,0.079318,0.929837,0.958040,0.901633,0.648871,0.570710,0.727033,0.003270,0.011743,0.054752,0.045638,0.050000,0,0,1,0,0
325,423.820,0.238181,0.616405,0.556774,0.676036,4,0.00007788,0,0.052790,0.025331,0.080248,0.929253,0.957513,0.900994,0.650582,0.570877,0.730287,0.003351,0.011833,0.054826,0.045258,0.050000,0,0,1,0,0
