pair,arm,config,step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
sun_moon,hinge2_restart_importnet_unconstrained,nonorm1p25,1,0.549,0.884282,0.089501,0.127955,0.051048,5,0.00000000,0,0.135212,0.151685,0.118739,0.408769,0.492775,0.324763,0.102236,0.147364,0.057109,0.034635,0.024240,0.187893,0.180654,0.050000,0,0,0,0,0
sun_moon,hinge2_restart_importnet_unconstrained,nonorm1p25,25,7.386,0.723329,0.124241,0.181368,0.067113,5,0.00000000,0,0.058481,0.069252,0.047710,0.666315,0.736864,0.595766,0.132122,0.193928,0.070315,0.015682,0.009603,0.163773,0.166285,0.050000,0,0,0,0,0
sun_moon,hinge2_restart_importnet_unconstrained,nonorm1p25,50,50.079,0.656946,0.130035,0.189892,0.070178,5,0.00000000,0,0.021247,0.030359,0.012136,0.859878,0.865679,0.854077,0.133343,0.195657,0.071029,0.006879,0.002515,0.156425,0.160306,0.050000,0,0,0,0,0
sun_moon,hinge2_restart_importnet_unconstrained,nonorm1p25,75,56.862,0.612266,0.186489,0.263975,0.109003,5,0.00000043,0,0.019890,0.030143,0.009637,0.909849,0.900215,0.919483,0.190993,0.271932,0.110054,0.006839,0.001970,0.141944,0.153177,0.050000,0,0,0,0,0
sun_moon,hinge2_restart_importnet_unconstrained,nonorm1p25,100,104.627,0.532744,0.280028,0.372415,0.187641,4,0.00000000,0,0.014383,0.023768,0.004997,0.957752,0.941318,0.974186,0.284922,0.381266,0.188578,0.005207,0.000843,0.120072,0.138737,0.050000,0,0,1,0,0
sun_moon,hinge2_restart_importnet_unconstrained,nonorm1p25,125,109.974,0.464615,0.360207,0.465396,0.255018,4,0.00000000,0,0.008179,0.014693,0.001666,0.981673,0.969825,0.993522,0.363839,0.472234,0.255443,0.003133,0.000347,0.101104,0.126854,0.050000,0,0,1,0,0
sun_moon,hinge2_restart_importnet_unconstrained,nonorm1p25,150,155.963,0.416276,0.428414,0.525750,0.331078,4,0.00000000,0,0.008801,0.015341,0.002261,0.982649,0.972064,0.993234,0.432821,0.533816,0.331826,0.003259,0.000354,0.089684,0.113939,0.050000,0,0,1,0,0
sun_moon,hinge2_restart_importnet_unconstrained,nonorm1p25,175,161.342,0.398890,0.450156,0.536794,0.363518,4,0.00000000,0,0.007029,0.011560,0.002499,0.986173,0.979154,0.993191,0.453713,0.542999,0.364426,0.002473,0.000437,0.087394,0.108414,0.050000,0,0,1,0,0
sun_moon,hinge2_restart_importnet_unconstrained,nonorm1p25,200,208.412,0.391936,0.458315,0.543309,0.373321,4,0.00000000,0,0.006137,0.011560,0.000714,0.988746,0.979399,0.998093,0.461588,0.549589,0.373587,0.002438,0.000171,0.086132,0.106574,0.050000,0,0,1,0,0
sun_moon,hinge2_restart_importnet_unconstrained,nonorm1p25,225,214.130,0.390769,0.470397,0.554523,0.386270,4,0.00000000,0,0.011848,0.011560,0.012136,0.974851,0.979808,0.969894,0.475946,0.560933,0.390958,0.002425,0.002375,0.083953,0.105432,0.050000,0,0,1,0,0
