step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,0.531,0.840705,0.120367,0.102612,0.138122,5,0.00000000,0,0.079898,0.122149,0.037648,0.638605,0.485245,0.791966,0.129234,0.115146,0.143322,0.030919,0.008468,0.204164,0.166955,0.050000,0,0,0,0,0
25,7.422,0.710481,0.175038,0.144889,0.205186,5,0.00000000,0,0.035139,0.061925,0.008354,0.837108,0.713027,0.961190,0.180381,0.153862,0.206900,0.015412,0.001849,0.183920,0.149744,0.050000,0,0,0,0,0
50,50.149,0.625961,0.231351,0.177374,0.285328,5,0.00000000,0,0.013670,0.023109,0.004231,0.936245,0.887042,0.985448,0.234004,0.181473,0.286536,0.005655,0.000861,0.170532,0.134303,0.050000,0,0,0,0,0
75,57.204,0.555091,0.310044,0.222430,0.397658,5,0.00000000,0,0.008383,0.016006,0.000759,0.965976,0.933857,0.998095,0.311975,0.225990,0.397960,0.003806,0.000127,0.159957,0.112673,0.050000,0,0,0,0,0
100,107.261,0.466547,0.419797,0.303575,0.536018,4,0.00000000,0,0.007499,0.007403,0.007595,0.981249,0.976365,0.986133,0.422956,0.305822,0.540089,0.001715,0.001547,0.142010,0.087186,0.050000,0,0,1,0,0
125,113.084,0.408692,0.503863,0.375161,0.632566,4,0.00010211,0,0.011853,0.010904,0.012802,0.976230,0.972051,0.980408,0.509958,0.379252,0.640664,0.002702,0.002903,0.127937,0.069368,0.050000,0,0,1,0,0
150,161.749,0.368673,0.566574,0.442088,0.691059,4,0.00143146,0,0.018503,0.014006,0.023001,0.969097,0.969704,0.968490,0.577617,0.448279,0.706955,0.003463,0.005105,0.114404,0.058722,0.050000,0,0,1,0,0
175,167.599,0.333105,0.615886,0.504883,0.726889,4,0.00147961,0,0.021103,0.014106,0.028100,0.968475,0.973189,0.963761,0.629660,0.512005,0.747315,0.003467,0.006331,0.101511,0.052276,0.050000,0,0,1,0,0
200,216.172,0.312951,0.637727,0.528778,0.746677,4,0.00171259,0,0.019961,0.011605,0.028317,0.971599,0.978766,0.964432,0.651367,0.534914,0.767820,0.002662,0.006328,0.096278,0.048362,0.050000,0,0,1,0,0
225,222.035,0.300996,0.646775,0.531253,0.762297,4,0.00158131,0,0.017293,0.006703,0.027883,0.976630,0.987622,0.965637,0.659183,0.534814,0.783552,0.001470,0.006127,0.095306,0.045143,0.050000,0,0,1,0,0
