step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.105,0.572023,0.164429,0.170259,0.158600,5,0.00000000,0,0.135158,0.159705,0.110612,0.583552,0.552842,0.614263,0.186796,0.197450,0.176143,0.021799,0.016450,0.116189,0.122011,0.050000,0,0,0,0,0
25,10.467,0.447617,0.229569,0.256055,0.203083,5,0.00000000,0,0.055840,0.066600,0.045081,0.814377,0.803951,0.824804,0.242674,0.273109,0.212239,0.008999,0.006461,0.095821,0.108663,0.050000,0,0,0,0,0
50,65.701,0.404541,0.281208,0.319740,0.242676,5,0.00000000,0,0.041538,0.057205,0.025871,0.880563,0.855263,0.905862,0.293492,0.338031,0.248954,0.007546,0.003775,0.086689,0.101431,0.050000,0,0,0,0,0
75,74.846,0.373914,0.323760,0.385170,0.262350,5,0.00011011,0,0.033343,0.047475,0.019210,0.913845,0.894717,0.932973,0.335423,0.403456,0.267390,0.006189,0.002736,0.077556,0.098206,0.050000,0,0,0,0,0
100,131.065,0.348326,0.354611,0.426394,0.282828,5,0.00021688,0,0.023482,0.034726,0.012239,0.943020,0.927036,0.959004,0.363745,0.441201,0.286290,0.004498,0.001756,0.071437,0.094833,0.050000,0,0,0,0,0
125,140.268,0.318803,0.398461,0.465063,0.331858,5,0.00050049,0,0.016643,0.017950,0.015337,0.959967,0.963469,0.956464,0.405179,0.473411,0.336948,0.002250,0.002033,0.065479,0.088393,0.050000,0,0,0,0,0
150,197.292,0.288418,0.452877,0.501329,0.404424,5,0.00055931,0,0.012527,0.009562,0.015492,0.972553,0.981457,0.963650,0.458406,0.506123,0.410689,0.001193,0.002298,0.060765,0.078885,0.050000,0,0,0,0,0
175,206.749,0.266135,0.496559,0.530748,0.462371,5,0.00003967,0,0.014482,0.012079,0.016886,0.971670,0.978009,0.965331,0.503668,0.537158,0.470178,0.001358,0.002469,0.057084,0.071187,0.050000,0,0,0,0,0
200,267.295,0.242072,0.549539,0.567752,0.531326,5,0.00035132,0,0.016968,0.010233,0.023703,0.970357,0.982471,0.958242,0.558740,0.573561,0.543919,0.001231,0.003459,0.052576,0.062475,0.050000,0,0,0,0,0
225,277.128,0.223078,0.592652,0.605930,0.579375,5,0.00024385,1,0.021634,0.012750,0.030519,0.965508,0.979646,0.951370,0.605356,0.613655,0.597057,0.001526,0.004370,0.047999,0.056085,0.050000,0,0,0,0,0
250,335.140,0.204965,0.627525,0.638439,0.616611,5,0.00012692,1,0.021924,0.014259,0.029589,0.966961,0.978454,0.955467,0.641200,0.647542,0.634857,0.001668,0.004289,0.043947,0.051044,0.050000,0,0,0,0,0
275,344.940,0.193015,0.655246,0.665510,0.644982,5,0.00017584,1,0.023118,0.015098,0.031139,0.966707,0.978139,0.955274,0.670312,0.675558,0.665066,0.001949,0.004567,0.040859,0.047442,0.050000,0,0,0,0,0
