step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,0.505,0.903461,0.095947,0.086338,0.105557,5,0.00065412,0,0.105400,0.082233,0.128567,0.506418,0.531891,0.480946,0.106283,0.093437,0.119128,0.020662,0.029324,0.200290,0.188729,0.050000,0,0,0,0,0
25,7.318,0.796234,0.136676,0.109806,0.163547,5,0.00000000,0,0.066965,0.055922,0.078008,0.683941,0.674622,0.693259,0.146126,0.115946,0.176305,0.013871,0.017558,0.190349,0.168482,0.050000,0,0,0,0,0
50,14.697,0.721334,0.200256,0.163633,0.236880,5,0.00000000,0,0.054099,0.049720,0.058479,0.793198,0.775519,0.810877,0.211251,0.171769,0.250732,0.012305,0.013234,0.177773,0.150970,0.050000,0,0,0,0,0
75,21.278,0.612073,0.293995,0.261021,0.326969,5,0.00000000,0,0.036220,0.032513,0.039926,0.893633,0.892348,0.894917,0.304766,0.269508,0.340024,0.007920,0.008872,0.154437,0.130610,0.050000,0,0,0,0,0
100,31.117,0.519355,0.376413,0.335855,0.416972,5,0.00000000,0,0.019499,0.031513,0.007486,0.949557,0.916623,0.982492,0.383266,0.346439,0.420093,0.007606,0.001534,0.138568,0.109684,0.050000,0,0,0,0,0
125,37.851,0.468347,0.444543,0.400581,0.488505,5,0.00000000,0,0.021393,0.032913,0.009873,0.953348,0.926316,0.980379,0.453547,0.413766,0.493328,0.007933,0.002219,0.125006,0.096477,0.050000,0,0,0,0,0
150,45.331,0.426734,0.506665,0.468040,0.545289,5,0.00001533,1,0.026877,0.039216,0.014538,0.949892,0.925390,0.974393,0.519806,0.486395,0.553217,0.009480,0.003134,0.111584,0.086010,0.050000,0,0,0,0,0
175,52.058,0.389037,0.556928,0.514558,0.599298,5,0.00000000,0,0.028518,0.037615,0.019421,0.951688,0.934185,0.969191,0.572425,0.533914,0.610936,0.009237,0.004260,0.101632,0.076015,0.050000,0,0,0,0,0
200,59.529,0.352347,0.603754,0.558019,0.649490,5,0.00000000,0,0.029586,0.038015,0.021157,0.953749,0.938412,0.969087,0.621231,0.579232,0.663231,0.009064,0.004708,0.092351,0.066607,0.050000,0,0,0,0,0
225,66.246,0.325407,0.639602,0.587384,0.691819,5,0.00000000,0,0.031193,0.037215,0.025171,0.954079,0.942433,0.965726,0.659238,0.609244,0.709233,0.008720,0.005634,0.086007,0.058754,0.050000,0,0,0,0,0
250,73.788,0.316899,0.649902,0.593486,0.706317,5,0.00000000,0,0.030486,0.032113,0.028860,0.955995,0.950186,0.961804,0.669623,0.612545,0.726701,0.007698,0.006519,0.084505,0.056173,0.050000,0,0,0,0,0
275,80.568,0.305202,0.671200,0.607457,0.734942,5,0.00000000,0,0.034837,0.035714,0.033959,0.951753,0.946283,0.957223,0.694526,0.629152,0.759900,0.008523,0.007551,0.081789,0.050720,0.050000,0,0,0,0,0
300,88.103,0.295469,0.679828,0.618168,0.741488,5,0.00000000,0,0.033277,0.034114,0.032440,0.954343,0.949339,0.959347,0.702399,0.639256,0.765542,0.008018,0.007130,0.079437,0.049363,0.050000,0,0,0,0,0
325,94.858,0.283056,0.699177,0.636679,0.761674,5,0.00000000,0,0.035094,0.038615,0.031572,0.953098,0.944826,0.961370,0.723493,0.661265,0.785722,0.009230,0.006994,0.075819,0.045429,0.050000,0,0,0,0,0
350,102.351,0.270961,0.724725,0.662369,0.787082,5,0.00000000,0,0.039387,0.047419,0.031355,0.949417,0.936024,0.962810,0.752769,0.693778,0.811761,0.011700,0.007095,0.071272,0.040714,0.050000,0,0,0,0,0
375,109.079,0.261451,0.743052,0.690808,0.795297,5,0.00000000,0,0.045124,0.056723,0.033525,0.944355,0.927899,0.960812,0.775976,0.729992,0.821959,0.013655,0.007447,0.065325,0.039022,0.050000,0,0,0,0,0
400,116.555,0.240104,0.768731,0.727299,0.810164,5,0.00000000,0,0.044365,0.055422,0.033308,0.947198,0.932661,0.961735,0.802378,0.767607,0.837149,0.013503,0.007485,0.057549,0.036269,0.050000,0,0,0,0,0
425,123.354,0.231615,0.774536,0.740737,0.808334,5,0.00000000,0,0.041977,0.050320,0.033634,0.950277,0.939251,0.961303,0.806766,0.778011,0.835521,0.012282,0.007517,0.054536,0.036522,0.050000,0,0,0,0,0
450,130.978,0.226246,0.776680,0.744711,0.808649,5,0.00000000,0,0.039376,0.045118,0.033634,0.953262,0.945207,0.961318,0.807079,0.778311,0.835847,0.010970,0.007539,0.053497,0.036489,0.050000,0,0,0,0,0
475,137.728,0.224290,0.778454,0.747174,0.809734,5,0.00000000,0,0.039305,0.044218,0.034393,0.953462,0.946366,0.960557,0.808897,0.780212,0.837583,0.010786,0.007652,0.052979,0.036119,0.050000,0,0,0,0,0
500,145.283,0.225841,0.778224,0.746815,0.809634,5,0.00000000,0,0.040223,0.044318,0.036129,0.952471,0.946231,0.958710,0.809398,0.779912,0.838885,0.010821,0.008041,0.053027,0.036316,0.050000,0,0,0,0,0
525,152.202,0.224739,0.779441,0.746048,0.812834,5,0.00000000,0,0.040386,0.044318,0.036454,0.952351,0.946179,0.958524,0.810788,0.779112,0.842465,0.010704,0.008211,0.053024,0.035702,0.050000,0,0,0,0,0
550,161.458,0.204490,0.787862,0.742337,0.833387,5,0.00000000,0,0.029153,0.044418,0.013887,0.964822,0.945814,0.983830,0.810135,0.775310,0.844960,0.010775,0.003006,0.053904,0.031116,0.050000,0,0,0,0,0
575,168.484,0.202858,0.790862,0.745931,0.835792,5,0.00000000,0,0.029941,0.045018,0.014864,0.964090,0.945402,0.982778,0.813864,0.779512,0.848215,0.010918,0.003231,0.053164,0.030579,0.050000,0,0,0,0,0
600,176.214,0.202888,0.791236,0.746503,0.835969,5,0.00000000,0,0.029758,0.044218,0.015298,0.964308,0.946320,0.982295,0.814135,0.779512,0.848758,0.010841,0.003345,0.053085,0.030627,0.050000,0,0,0,0,0
625,182.931,0.201744,0.791302,0.746476,0.836129,5,0.00000000,0,0.029470,0.043317,0.015623,0.964623,0.947311,0.981935,0.814002,0.778812,0.849192,0.010459,0.003468,0.052903,0.030561,0.050000,0,0,0,0,0
650,190.289,0.200060,0.793948,0.747123,0.840773,5,0.00000000,0,0.029583,0.043217,0.015949,0.964568,0.947464,0.981671,0.816797,0.779412,0.854182,0.010555,0.003423,0.052905,0.029652,0.050000,0,0,0,0,0
675,197.173,0.199999,0.794702,0.749592,0.839813,5,0.00000000,0,0.030489,0.042317,0.018661,0.963637,0.948621,0.978652,0.818398,0.781313,0.855484,0.010301,0.004010,0.052224,0.029887,0.050000,0,0,0,0,0
700,204.897,0.199172,0.797029,0.754344,0.839715,5,0.00000000,0,0.031094,0.042117,0.020072,0.963126,0.949148,0.977104,0.821342,0.786114,0.856569,0.010232,0.004423,0.051227,0.030039,0.050000,0,0,0,0,0
725,211.923,0.198919,0.799835,0.760426,0.839244,5,0.00000000,0,0.032662,0.043517,0.021808,0.961605,0.948010,0.975200,0.825532,0.793517,0.857546,0.010591,0.004823,0.050061,0.030131,0.050000,0,0,0,0,0
750,219.734,0.197402,0.803347,0.763312,0.843382,5,0.00000000,0,0.033293,0.042717,0.023869,0.961083,0.949064,0.973102,0.829716,0.795918,0.863513,0.010472,0.005337,0.049504,0.029436,0.050000,0,0,0,0,0
775,226.713,0.196389,0.804982,0.764706,0.845258,5,0.00000000,0,0.033790,0.042517,0.025062,0.960628,0.949369,0.971888,0.831831,0.797219,0.866442,0.010382,0.005593,0.049186,0.029041,0.050000,0,0,0,0,0
800,234.336,0.193209,0.808558,0.768811,0.848305,5,0.00000000,0,0.033956,0.043717,0.024194,0.960620,0.948333,0.972907,0.835625,0.802421,0.868829,0.010581,0.005347,0.048263,0.028431,0.050000,0,0,0,0,0
825,241.235,0.191317,0.812313,0.774657,0.849968,5,0.00000000,0,0.034932,0.043717,0.026147,0.959798,0.948703,0.970894,0.840358,0.808523,0.872193,0.010584,0.005795,0.047011,0.028174,0.050000,0,0,0,0,0
850,250.199,0.188211,0.815479,0.781724,0.849234,5,0.00000000,0,0.034562,0.042217,0.026907,0.960403,0.950735,0.970070,0.843405,0.814726,0.872084,0.010244,0.005972,0.045472,0.028364,0.050000,0,0,0,0,0
875,257.110,0.187139,0.818309,0.786887,0.849731,5,0.00000000,0,0.035488,0.042117,0.028860,0.959596,0.951149,0.968044,0.847141,0.820028,0.874254,0.010327,0.006324,0.044490,0.028266,0.050000,0,0,0,0,0
900,266.112,0.187473,0.818892,0.789630,0.848153,5,0.00000000,0,0.036473,0.041917,0.031030,0.958627,0.951521,0.965732,0.848600,0.822729,0.874471,0.010262,0.006890,0.043771,0.028526,0.050000,0,0,0,0,0
925,273.059,0.187179,0.820379,0.791879,0.848880,5,0.00000000,0,0.036899,0.042117,0.031681,0.958265,0.951442,0.965088,0.850502,0.825230,0.875773,0.010194,0.007105,0.043316,0.028649,0.050000,0,0,0,0,0
950,281.788,0.187807,0.819890,0.792035,0.847746,5,0.00000000,0,0.037483,0.042417,0.032549,0.957642,0.951135,0.964149,0.850485,0.825630,0.875339,0.010253,0.007254,0.043287,0.028733,0.050000,0,0,0,0,0
975,288.598,0.190291,0.819061,0.791711,0.846412,5,0.00000000,0,0.038447,0.042717,0.034176,0.956612,0.950801,0.962424,0.850435,0.825530,0.875339,0.010428,0.007680,0.043402,0.029109,0.050000,0,0,0,0,0
1000,297.422,0.192424,0.816376,0.789595,0.843158,5,0.00000000,0,0.039227,0.042217,0.036237,0.955690,0.951203,0.960176,0.848320,0.822929,0.873712,0.010228,0.008048,0.043716,0.029651,0.050000,0,0,0,0,0
1025,304.286,0.195900,0.812189,0.778812,0.845565,5,0.00000000,0,0.038672,0.042517,0.034827,0.955981,0.950240,0.961722,0.843469,0.811925,0.875014,0.010288,0.007753,0.046014,0.029384,0.050000,0,0,0,0,0
1050,311.725,0.199021,0.809641,0.774633,0.844649,5,0.00000000,0,0.039911,0.042717,0.037105,0.954567,0.949771,0.959363,0.841857,0.807723,0.875990,0.010323,0.008217,0.046843,0.029492,0.050000,0,0,0,0,0
1075,318.392,0.200489,0.808403,0.770797,0.846009,5,0.00000000,0,0.038556,0.041417,0.035695,0.955896,0.950936,0.960857,0.839464,0.802721,0.876207,0.010303,0.008104,0.047878,0.029357,0.050000,0,0,0,0,0
1100,327.285,0.192343,0.804752,0.746880,0.862624,5,0.00000000,0,0.030114,0.042217,0.018010,0.964229,0.948555,0.979903,0.828286,0.778411,0.878160,0.010322,0.003925,0.052933,0.025429,0.050000,0,0,0,0,0
1125,334.351,0.193816,0.801262,0.747505,0.855020,5,0.00000000,0,0.028586,0.042417,0.014755,0.965826,0.948375,0.983278,0.823424,0.779212,0.867636,0.010441,0.003205,0.052827,0.027024,0.050000,0,0,0,0,0
1150,342.146,0.188601,0.805233,0.753796,0.856669,5,0.00000000,0,0.027669,0.041016,0.014321,0.967056,0.950327,0.983786,0.826826,0.784714,0.868938,0.009919,0.003122,0.051341,0.026658,0.050000,0,0,0,0,0
1175,349.207,0.180526,0.814923,0.766156,0.863690,5,0.00002226,0,0.027169,0.038715,0.015623,0.968055,0.953608,0.982501,0.836501,0.795818,0.877183,0.009511,0.003392,0.048733,0.025393,0.050000,0,0,0,0,0
1200,357.008,0.178245,0.816281,0.771189,0.861372,5,0.00000678,0,0.026298,0.037515,0.015081,0.969129,0.955213,0.983045,0.837241,0.800120,0.874363,0.009276,0.003315,0.047643,0.025738,0.050000,0,0,0,0,0
1225,364.061,0.177337,0.815972,0.771694,0.860249,5,0.00007325,0,0.025953,0.034114,0.017793,0.969544,0.959005,0.980083,0.836788,0.798019,0.875556,0.008247,0.003916,0.047330,0.026110,0.050000,0,0,0,0,0
