step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,0.532,0.572023,0.164429,0.170259,0.158600,5,0.00000000,0,0.135158,0.159705,0.110612,0.583552,0.552842,0.614263,0.186796,0.197450,0.176143,0.021799,0.016450,0.116189,0.122011,0.050000,0,0,0,0,0
25,7.480,0.447617,0.229569,0.256055,0.203083,5,0.00000000,0,0.055840,0.066600,0.045081,0.814377,0.803951,0.824804,0.242674,0.273109,0.212239,0.008999,0.006461,0.095821,0.108663,0.050000,0,0,0,0,0
50,14.993,0.404541,0.281208,0.319740,0.242676,5,0.00000000,0,0.041538,0.057205,0.025871,0.880563,0.855263,0.905862,0.293492,0.338031,0.248954,0.007546,0.003775,0.086689,0.101431,0.050000,0,0,0,0,0
75,21.784,0.373914,0.323760,0.385170,0.262350,5,0.00011011,0,0.033343,0.047475,0.019210,0.913845,0.894717,0.932973,0.335423,0.403456,0.267390,0.006189,0.002736,0.077556,0.098206,0.050000,0,0,0,0,0
100,30.122,0.348326,0.354611,0.426394,0.282828,5,0.00021688,0,0.023482,0.034726,0.012239,0.943020,0.927036,0.959004,0.363745,0.441201,0.286290,0.004498,0.001756,0.071437,0.094833,0.050000,0,0,0,0,0
125,37.075,0.318803,0.398461,0.465063,0.331858,5,0.00050049,0,0.016643,0.017950,0.015337,0.959967,0.963469,0.956464,0.405179,0.473411,0.336948,0.002250,0.002033,0.065479,0.088393,0.050000,0,0,0,0,0
150,44.864,0.288418,0.452877,0.501329,0.404424,5,0.00055930,0,0.012527,0.009562,0.015492,0.972553,0.981457,0.963650,0.458406,0.506123,0.410689,0.001193,0.002298,0.060765,0.078885,0.050000,0,0,0,0,0
175,51.905,0.266135,0.496559,0.530748,0.462371,5,0.00003967,0,0.014482,0.012079,0.016886,0.971670,0.978009,0.965331,0.503668,0.537158,0.470178,0.001358,0.002469,0.057084,0.071187,0.050000,0,0,0,0,0
200,61.191,0.239669,0.557141,0.582476,0.531806,5,0.00035207,0,0.019317,0.010904,0.027730,0.966766,0.981818,0.951713,0.567690,0.588827,0.546553,0.001326,0.003840,0.050825,0.062428,0.050000,0,0,0,0,0
225,68.514,0.220116,0.603185,0.622163,0.584207,5,0.00023856,1,0.023338,0.012750,0.033927,0.963493,0.980167,0.946819,0.617062,0.630096,0.604028,0.001491,0.004999,0.046011,0.055852,0.050000,0,0,0,0,0
250,77.940,0.204605,0.632980,0.645802,0.620159,5,0.00023463,1,0.024513,0.013085,0.035941,0.963706,0.980392,0.947020,0.648350,0.654253,0.642448,0.001437,0.005231,0.042947,0.050938,0.050000,0,0,0,0,0
275,85.265,0.195648,0.652689,0.666999,0.638380,5,0.00012741,2,0.025830,0.011072,0.040589,0.963132,0.983847,0.942418,0.669337,0.674383,0.664291,0.001160,0.005907,0.040258,0.048687,0.050000,0,0,0,0,0
300,94.754,0.185489,0.671904,0.688748,0.655060,5,0.00007865,1,0.024469,0.007885,0.041053,0.965994,0.988769,0.943218,0.688065,0.694179,0.681952,0.000862,0.006059,0.037542,0.046523,0.050000,0,0,0,0,0
325,102.105,0.179217,0.686000,0.704146,0.667854,5,0.00002519,2,0.027476,0.011575,0.043377,0.962704,0.984009,0.941398,0.704560,0.712297,0.696824,0.001264,0.006129,0.035768,0.044590,0.050000,0,0,0,0,0
350,111.573,0.173633,0.701100,0.713297,0.688902,5,0.00005283,2,0.030438,0.018118,0.042758,0.959741,0.975659,0.943823,0.722289,0.726220,0.718358,0.002174,0.006005,0.034854,0.041719,0.050000,0,0,0,0,0
375,118.925,0.166423,0.719170,0.726796,0.711544,5,0.00007112,2,0.032173,0.022983,0.041363,0.958572,0.970015,0.947129,0.742238,0.743499,0.740976,0.002826,0.006044,0.033245,0.038854,0.050000,0,0,0,0,0
400,127.098,0.148614,0.748143,0.757187,0.739098,5,0.00007842,2,0.029236,0.021137,0.037335,0.963477,0.973390,0.953565,0.769942,0.773192,0.766692,0.002605,0.005428,0.029249,0.034988,0.050000,0,0,0,0,0
425,134.445,0.134666,0.779812,0.797733,0.761891,5,0.00004564,2,0.031631,0.020970,0.042293,0.962167,0.974900,0.949435,0.804287,0.814461,0.794113,0.002556,0.006235,0.024319,0.032009,0.050000,0,0,0,0,0
450,143.954,0.127135,0.788227,0.815746,0.760707,5,0.00002366,2,0.027590,0.020634,0.034547,0.966882,0.975816,0.957948,0.809783,0.832578,0.786987,0.002536,0.004973,0.022196,0.031976,0.050000,0,0,0,0,0
475,151.310,0.122281,0.799326,0.831307,0.767344,5,0.00020435,2,0.028701,0.021305,0.036096,0.966045,0.975520,0.956570,0.822031,0.849019,0.795043,0.002571,0.005232,0.020242,0.031073,0.050000,0,0,0,0,0
500,159.419,0.116141,0.800424,0.832234,0.768615,5,0.00023324,2,0.021330,0.016943,0.025716,0.974392,0.980373,0.968411,0.817358,0.846335,0.788381,0.002118,0.003649,0.020143,0.030637,0.050000,0,0,0,0,0
525,166.767,0.117336,0.802268,0.826608,0.777929,5,0.00005090,1,0.024414,0.022647,0.026181,0.971077,0.973908,0.968245,0.821812,0.845328,0.798296,0.002896,0.003728,0.020982,0.029388,0.050000,0,0,0,0,0
550,174.844,0.115409,0.805143,0.831086,0.779201,5,0.00017991,1,0.023924,0.019963,0.027885,0.971673,0.976991,0.966355,0.824303,0.847677,0.800930,0.002534,0.003956,0.020348,0.029180,0.050000,0,0,0,0,0
575,182.149,0.113772,0.808125,0.835250,0.781000,5,0.00027680,0,0.023511,0.021305,0.025716,0.972265,0.975633,0.968896,0.827065,0.853045,0.801084,0.002640,0.003726,0.019836,0.028996,0.050000,0,0,0,0,0
600,190.203,0.113757,0.811974,0.839043,0.784906,5,0.00125347,1,0.024911,0.023486,0.026336,0.970861,0.973379,0.968343,0.832163,0.858749,0.805577,0.003049,0.003764,0.019540,0.028382,0.050000,0,0,0,0,0
625,197.501,0.114213,0.811410,0.839195,0.783625,5,0.00131109,1,0.026460,0.025499,0.027421,0.969143,0.971223,0.967064,0.832853,0.860594,0.805112,0.003186,0.003808,0.019380,0.028526,0.050000,0,0,0,0,0
650,205.600,0.115104,0.813014,0.840561,0.785467,5,0.00144729,2,0.028299,0.029022,0.027576,0.967250,0.967536,0.966964,0.836041,0.864956,0.807126,0.003747,0.003931,0.019209,0.028239,0.050000,0,0,0,0,0
675,212.946,0.118804,0.811462,0.837737,0.785187,5,0.00121418,1,0.032009,0.034893,0.029125,0.963260,0.961310,0.965211,0.837512,0.866969,0.808056,0.004524,0.004220,0.019664,0.028383,0.050000,0,0,0,0,0
700,221.042,0.118791,0.812399,0.834143,0.790656,5,0.00112035,1,0.031809,0.035732,0.027885,0.963555,0.960283,0.966826,0.838326,0.863949,0.812703,0.004710,0.004014,0.020336,0.027762,0.050000,0,0,0,0,0
725,228.374,0.119767,0.810741,0.831635,0.789846,5,0.00098608,1,0.032796,0.037242,0.028350,0.962443,0.958613,0.966273,0.837423,0.862607,0.812239,0.004862,0.004105,0.020602,0.027728,0.050000,0,0,0,0,0
750,236.560,0.122737,0.806921,0.822664,0.791177,5,0.00098389,1,0.033358,0.037745,0.028970,0.961648,0.957659,0.965638,0.833907,0.853716,0.814098,0.005010,0.004272,0.021748,0.027674,0.050000,0,0,0,0,0
775,243.887,0.122926,0.807539,0.822628,0.792450,5,0.00093420,1,0.034739,0.039423,0.030054,0.960207,0.955926,0.964488,0.835662,0.855058,0.816266,0.005088,0.004419,0.021697,0.027557,0.050000,0,0,0,0,0
800,251.950,0.122296,0.809305,0.827569,0.791040,5,0.00095441,1,0.034300,0.038081,0.030519,0.960734,0.957554,0.963913,0.837133,0.859084,0.815182,0.005052,0.004396,0.021293,0.027711,0.050000,0,0,0,0,0
825,259.258,0.121342,0.812133,0.825379,0.798888,5,0.00070956,1,0.035552,0.040429,0.030674,0.959561,0.955037,0.964085,0.841071,0.858749,0.823393,0.005417,0.004450,0.021537,0.026552,0.050000,0,0,0,0,0
850,267.328,0.120228,0.810284,0.812037,0.808530,5,0.00075191,1,0.033382,0.042443,0.024322,0.961863,0.952255,0.971470,0.837349,0.846502,0.828195,0.005646,0.003502,0.023227,0.025190,0.050000,0,0,0,0,0
875,274.591,0.119570,0.815345,0.818913,0.811777,5,0.00042658,1,0.037204,0.043114,0.031294,0.957960,0.951954,0.963967,0.845700,0.854219,0.837180,0.005637,0.004398,0.022332,0.024760,0.050000,0,0,0,0,0
900,282.424,0.117226,0.816584,0.819368,0.813799,5,0.00081899,1,0.034725,0.041100,0.028350,0.960634,0.954034,0.967234,0.844958,0.853045,0.836871,0.005309,0.004093,0.022115,0.024459,0.050000,0,0,0,0,0
