step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,0.574,0.903461,0.095947,0.086338,0.105557,5,0.00065412,0,0.105400,0.082233,0.128567,0.506418,0.531891,0.480946,0.106283,0.093437,0.119128,0.020662,0.029324,0.200290,0.188729,0.050000,0,0,0,0,0
25,7.018,0.796234,0.136676,0.109806,0.163547,5,0.00000000,0,0.066965,0.055922,0.078008,0.683941,0.674622,0.693259,0.146126,0.115946,0.176305,0.013871,0.017558,0.190349,0.168482,0.050000,0,0,0,0,0
50,51.678,0.721334,0.200256,0.163633,0.236880,5,0.00000000,0,0.054099,0.049720,0.058479,0.793198,0.775519,0.810877,0.211251,0.171769,0.250732,0.012305,0.013234,0.177773,0.150970,0.050000,0,0,0,0,0
75,58.398,0.612073,0.293995,0.261021,0.326969,5,0.00000000,0,0.036220,0.032513,0.039926,0.893633,0.892348,0.894917,0.304766,0.269508,0.340024,0.007920,0.008872,0.154437,0.130610,0.050000,0,0,0,0,0
100,103.470,0.521600,0.375678,0.335047,0.416309,5,0.00000000,0,0.020743,0.031613,0.009873,0.946629,0.916203,0.977055,0.383029,0.345638,0.420419,0.007605,0.002020,0.138721,0.110047,0.050000,0,0,0,0,0
125,109.696,0.473422,0.441307,0.394462,0.488153,5,0.00000000,0,0.022574,0.033213,0.011934,0.950529,0.924648,0.976410,0.450771,0.407563,0.493979,0.008133,0.002650,0.126539,0.096692,0.050000,0,0,0,0,0
150,151.445,0.440439,0.491460,0.429410,0.553510,4,0.00000000,0,0.026997,0.040216,0.013779,0.946718,0.917403,0.976033,0.503908,0.446679,0.561137,0.009707,0.003008,0.119880,0.084446,0.050000,0,0,1,0,0
175,156.792,0.410170,0.531384,0.458117,0.604651,4,0.00000000,0,0.028025,0.039016,0.017034,0.948645,0.924242,0.973047,0.545471,0.475990,0.614951,0.009448,0.003811,0.113689,0.074823,0.050000,0,0,1,0,0
200,197.534,0.380430,0.579116,0.494112,0.664121,4,0.00000000,0,0.033797,0.044918,0.022675,0.943828,0.919964,0.967692,0.597743,0.516307,0.679180,0.010829,0.005005,0.106535,0.063888,0.050000,0,0,1,0,0
225,202.749,0.356254,0.615883,0.536352,0.695413,4,0.00115356,0,0.036850,0.047119,0.026581,0.943350,0.922597,0.964103,0.637761,0.561625,0.713898,0.011515,0.005905,0.097818,0.058131,0.050000,0,0,1,0,0
250,243.299,0.340495,0.635127,0.564260,0.705994,4,0.00240689,0,0.037281,0.044618,0.029945,0.945039,0.929631,0.960447,0.658285,0.589436,0.727135,0.010867,0.006490,0.091597,0.056111,0.050000,0,0,1,0,0
275,248.898,0.319726,0.668490,0.583174,0.753806,4,0.00246779,1,0.041118,0.048820,0.033417,0.942475,0.926083,0.958868,0.695320,0.611645,0.778995,0.011927,0.007344,0.087998,0.046913,0.050000,0,0,1,0,0
300,293.604,0.308435,0.682535,0.595531,0.769538,4,0.00364131,1,0.040297,0.047719,0.032874,0.944619,0.928954,0.960283,0.709393,0.623950,0.794836,0.011691,0.007283,0.085279,0.043947,0.050000,0,0,1,0,0
325,299.179,0.306924,0.684651,0.597859,0.771444,4,0.00307291,1,0.040118,0.046819,0.033417,0.945084,0.930399,0.959770,0.711536,0.625850,0.797223,0.011525,0.007548,0.084790,0.043754,0.050000,0,0,1,0,0
350,343.670,0.304759,0.691391,0.601832,0.780949,4,0.00303757,1,0.042934,0.048219,0.037648,0.942298,0.928992,0.955604,0.720601,0.630852,0.810350,0.011873,0.008393,0.084026,0.041958,0.050000,0,0,1,0,0
375,349.287,0.299633,0.694996,0.605529,0.784462,4,0.00294633,1,0.041418,0.049420,0.033417,0.944126,0.927841,0.960411,0.723065,0.635454,0.810676,0.012070,0.007426,0.083235,0.041180,0.050000,0,0,1,0,0
400,393.510,0.297990,0.696838,0.614241,0.779435,4,0.00282837,1,0.041251,0.049520,0.032983,0.944656,0.928664,0.960647,0.724900,0.644658,0.805143,0.012173,0.007280,0.081562,0.042127,0.050000,0,0,1,0,0
425,398.905,0.293921,0.704722,0.619705,0.789739,4,0.00306490,1,0.042494,0.050920,0.034067,0.943718,0.927483,0.959954,0.733952,0.651261,0.816643,0.012497,0.007691,0.080438,0.040215,0.050000,0,0,1,0,0
450,443.556,0.292039,0.703032,0.630410,0.775654,4,0.00329772,1,0.041201,0.049420,0.032983,0.945477,0.930491,0.960463,0.731401,0.661565,0.801237,0.012052,0.007337,0.078014,0.042615,0.050000,0,0,1,0,0
475,449.177,0.280040,0.716056,0.648042,0.784071,4,0.00278894,1,0.039984,0.047419,0.032549,0.948026,0.934702,0.961350,0.744181,0.678772,0.809591,0.011610,0.007290,0.074268,0.041151,0.050000,0,0,1,0,0
500,494.843,0.272353,0.722678,0.658291,0.787064,4,0.00298330,1,0.038213,0.043117,0.033308,0.950787,0.940918,0.960656,0.749977,0.686675,0.813280,0.010556,0.007548,0.071796,0.040706,0.050000,0,0,1,0,0
525,500.293,0.270218,0.723674,0.666059,0.781289,4,0.00275986,1,0.037762,0.042217,0.033308,0.951524,0.942671,0.960377,0.750745,0.694178,0.807313,0.010361,0.007445,0.070057,0.041828,0.050000,0,0,1,0,0
550,546.390,0.272594,0.721467,0.667147,0.775788,4,0.00263898,1,0.039019,0.042017,0.036020,0.950055,0.943004,0.957106,0.749455,0.695178,0.803732,0.010199,0.008096,0.069596,0.042910,0.050000,0,0,1,0,0
575,551.877,0.268330,0.726289,0.674090,0.778488,4,0.00273395,1,0.038526,0.042117,0.034935,0.950939,0.943437,0.958441,0.754083,0.702481,0.805685,0.010244,0.007857,0.068243,0.042339,0.050000,0,0,1,0,0
600,598.754,0.266802,0.729876,0.677193,0.782559,4,0.00272693,1,0.039281,0.042217,0.036346,0.950333,0.943560,0.957106,0.758392,0.705782,0.811001,0.010306,0.008223,0.067643,0.041642,0.050000,0,0,1,0,0
625,604.385,0.262927,0.734815,0.678973,0.790656,4,0.00262400,1,0.039299,0.040516,0.038082,0.950710,0.945761,0.955659,0.763624,0.706483,0.820766,0.010000,0.008538,0.067195,0.040178,0.050000,0,0,1,0,0
650,650.975,0.258291,0.740869,0.685064,0.796674,4,0.00304715,1,0.039770,0.042217,0.037322,0.950481,0.944173,0.956789,0.770197,0.713986,0.826408,0.010275,0.008410,0.065814,0.038910,0.050000,0,0,1,0,0
675,656.640,0.254009,0.748458,0.690641,0.806276,4,0.00242508,1,0.040216,0.043217,0.037214,0.950404,0.943411,0.957397,0.778384,0.720488,0.836281,0.010797,0.008425,0.064942,0.037186,0.050000,0,0,1,0,0
700,702.280,0.250615,0.753968,0.696807,0.811130,4,0.00235072,0,0.041242,0.043317,0.039167,0.949681,0.943766,0.955597,0.784945,0.726991,0.842899,0.010720,0.008905,0.063685,0.036268,0.050000,0,0,1,0,0
725,707.903,0.243476,0.761368,0.702542,0.820194,4,0.00196314,0,0.040988,0.042917,0.039058,0.950422,0.944667,0.956178,0.792461,0.732693,0.852230,0.010641,0.008838,0.062399,0.034303,0.050000,0,0,1,0,0
750,752.311,0.237680,0.769984,0.707034,0.832934,4,0.00158492,0,0.042090,0.042517,0.041662,0.949823,0.945464,0.954182,0.802365,0.737095,0.867636,0.010624,0.009308,0.061522,0.031850,0.050000,0,0,1,0,0
775,757.810,0.236188,0.773029,0.712793,0.833264,4,0.00172811,0,0.042844,0.043918,0.041771,0.949179,0.944268,0.954090,0.806084,0.744098,0.868070,0.010889,0.009375,0.060272,0.031888,0.050000,0,0,1,0,0
800,803.394,0.236588,0.779096,0.717848,0.840344,4,0.00197408,0,0.047107,0.047019,0.047195,0.945112,0.941125,0.949099,0.815802,0.751601,0.880004,0.011686,0.010548,0.059343,0.030467,0.050000,0,0,1,0,0
825,809.027,0.235087,0.778167,0.717620,0.838713,4,0.00219791,0,0.045585,0.045818,0.045351,0.946640,0.942462,0.950818,0.813625,0.750500,0.876749,0.011286,0.010102,0.059352,0.030687,0.050000,0,0,1,0,0
850,855.936,0.235624,0.778004,0.716294,0.839714,4,0.00221934,0,0.046002,0.046218,0.045785,0.946177,0.941909,0.950446,0.813780,0.749400,0.878160,0.011315,0.010199,0.059584,0.030560,0.050000,0,0,1,0,0
875,861.522,0.235774,0.777075,0.713656,0.840494,4,0.00214336,0,0.045039,0.044618,0.045459,0.947170,0.943530,0.950810,0.812100,0.745498,0.878702,0.011032,0.010153,0.060103,0.030553,0.050000,0,0,1,0,0
900,907.636,0.234902,0.777333,0.714450,0.840216,4,0.00215917,0,0.044497,0.043317,0.045676,0.947830,0.945079,0.950581,0.811996,0.745398,0.878594,0.010724,0.010240,0.059939,0.030552,0.050000,0,0,1,0,0
925,913.152,0.233355,0.779012,0.718501,0.839523,4,0.00212166,0,0.045006,0.044118,0.045893,0.947394,0.944458,0.950329,0.814126,0.750200,0.878051,0.010937,0.010158,0.058978,0.030588,0.050000,0,0,1,0,0
950,958.916,0.232971,0.779608,0.719283,0.839934,4,0.00205060,0,0.045181,0.043818,0.046544,0.947285,0.944857,0.949713,0.814914,0.750800,0.879028,0.010850,0.010318,0.058813,0.030495,0.050000,0,0,1,0,0
975,964.246,0.233641,0.780123,0.719548,0.840697,4,0.00208005,0,0.045814,0.045518,0.046110,0.946564,0.942947,0.950182,0.815881,0.752301,0.879462,0.011230,0.010341,0.058735,0.030393,0.050000,0,0,1,0,0
1000,1009.062,0.236353,0.781412,0.725417,0.837407,4,0.00206937,1,0.048274,0.048920,0.047629,0.944048,0.939592,0.948504,0.819098,0.760904,0.877292,0.012144,0.010633,0.057940,0.031040,0.050000,0,0,1,0,0
1025,1014.728,0.233188,0.783486,0.726126,0.840846,4,0.00239041,0,0.046803,0.046519,0.047087,0.945774,0.942315,0.949234,0.820171,0.759904,0.880438,0.011501,0.010599,0.057556,0.030575,0.050000,0,0,1,0,0
1050,1060.080,0.233188,0.781637,0.727742,0.835531,4,0.00223993,1,0.045518,0.046118,0.044917,0.946976,0.942882,0.951070,0.817183,0.761305,0.873061,0.011536,0.010140,0.057150,0.031566,0.050000,0,0,1,0,0
1075,1065.496,0.234218,0.783644,0.732710,0.834577,4,0.00264051,1,0.047740,0.048719,0.046761,0.944785,0.940377,0.949193,0.821005,0.768407,0.873603,0.012085,0.010432,0.056339,0.031700,0.050000,0,0,1,0,0
1100,1110.624,0.237552,0.781296,0.727636,0.834955,4,0.00196051,1,0.048983,0.050120,0.047846,0.943296,0.938445,0.948148,0.819505,0.764106,0.874905,0.012460,0.010799,0.057321,0.031695,0.050000,0,0,1,0,0
1125,1116.187,0.237876,0.782307,0.729073,0.835540,4,0.00235777,1,0.049726,0.050520,0.048931,0.942621,0.938120,0.947122,0.821165,0.765906,0.876424,0.012530,0.010905,0.057223,0.031596,0.050000,0,0,1,0,0
1150,1162.624,0.237588,0.782473,0.729905,0.835042,4,0.00251766,1,0.049079,0.050420,0.047738,0.943278,0.938296,0.948260,0.820806,0.766707,0.874905,0.012501,0.010778,0.057084,0.031730,0.050000,0,0,1,0,0
1175,1168.106,0.237278,0.782560,0.733219,0.831901,4,0.00253321,1,0.049121,0.050720,0.047521,0.943260,0.938231,0.948288,0.820921,0.770408,0.871433,0.012506,0.010740,0.056360,0.032336,0.050000,0,0,1,0,0
1200,1212.000,0.239518,0.782917,0.730725,0.835109,4,0.00265771,1,0.051222,0.053621,0.048823,0.941045,0.934888,0.947202,0.822895,0.769908,0.875882,0.013273,0.010868,0.056988,0.031665,0.050000,0,0,1,0,0
1225,1217.628,0.239789,0.781504,0.730780,0.832229,4,0.00256318,1,0.050175,0.052721,0.047629,0.942033,0.935865,0.948201,0.820587,0.769308,0.871867,0.013091,0.010701,0.057028,0.032229,0.050000,0,0,1,0,0
1250,1263.377,0.238164,0.781277,0.730517,0.832038,4,0.00247915,1,0.049204,0.051321,0.047087,0.943043,0.937363,0.948724,0.819612,0.768007,0.871216,0.012651,0.010589,0.056883,0.032282,0.050000,0,0,1,0,0
1275,1268.952,0.237648,0.780697,0.730703,0.830691,4,0.00254992,1,0.048453,0.049820,0.047087,0.943830,0.939015,0.948645,0.818456,0.767107,0.869806,0.012354,0.010585,0.056818,0.032440,0.050000,0,0,1,0,0
1300,1314.104,0.238530,0.780741,0.729444,0.832037,4,0.00252452,1,0.048828,0.051220,0.046436,0.943376,0.937385,0.949367,0.818740,0.766807,0.870674,0.012759,0.010383,0.057275,0.032179,0.050000,0,0,1,0,0
1325,1319.461,0.239577,0.780074,0.727835,0.832313,4,0.00248975,1,0.048594,0.051621,0.045568,0.943531,0.936819,0.950243,0.817823,0.765406,0.870240,0.012922,0.010271,0.057698,0.032228,0.050000,0,0,1,0,0
1350,1364.154,0.238391,0.778661,0.724733,0.832590,4,0.00258145,1,0.047285,0.049220,0.045351,0.944840,0.939207,0.950474,0.815376,0.760404,0.870348,0.012290,0.010138,0.058167,0.032090,0.050000,0,0,1,0,0
1375,1369.565,0.239201,0.779268,0.724995,0.833541,4,0.00249815,1,0.048165,0.050220,0.046110,0.943950,0.938124,0.949775,0.816690,0.761405,0.871976,0.012442,0.010433,0.058147,0.031984,0.050000,0,0,1,0,0
1400,1414.990,0.238580,0.779176,0.724897,0.833454,4,0.00248943,1,0.047669,0.049120,0.046219,0.944497,0.939330,0.949663,0.816240,0.760504,0.871976,0.012227,0.010492,0.057988,0.032032,0.050000,0,0,1,0,0
1425,1420.525,0.237740,0.780507,0.728424,0.832590,4,0.00270742,1,0.048111,0.050220,0.046002,0.944113,0.938397,0.949828,0.817948,0.765006,0.870891,0.012449,0.010344,0.057381,0.032050,0.050000,0,0,1,0,0
1450,1465.200,0.237217,0.781918,0.731384,0.832452,4,0.00266771,1,0.048528,0.050620,0.046436,0.943793,0.938195,0.949391,0.819758,0.768407,0.871108,0.012663,0.010331,0.056859,0.032074,0.050000,0,0,1,0,0
1475,1470.536,0.236475,0.780889,0.728479,0.833299,4,0.00242292,1,0.047382,0.048219,0.046544,0.944968,0.940604,0.949333,0.817845,0.763605,0.872084,0.012048,0.010458,0.057202,0.032055,0.050000,0,0,1,0,0
1500,1516.048,0.236563,0.781566,0.727914,0.835217,4,0.00259465,1,0.047969,0.049720,0.046219,0.944335,0.938906,0.949764,0.818963,0.764106,0.873820,0.012322,0.010404,0.057284,0.031681,0.050000,0,0,1,0,0
