step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,0.832,0.884282,0.089501,0.127955,0.051048,5,0.00000000,0,0.135212,0.151685,0.118739,0.408769,0.492775,0.324763,0.102236,0.147364,0.057109,0.034635,0.024240,0.187893,0.180654,0.050000,0,0,0,0,0
25,11.664,0.723329,0.124241,0.181368,0.067113,5,0.00000000,0,0.058481,0.069252,0.047710,0.666315,0.736864,0.595766,0.132122,0.193928,0.070315,0.015682,0.009603,0.163773,0.166285,0.050000,0,0,0,0,0
50,89.739,0.654193,0.163557,0.225317,0.101796,5,0.00000000,0,0.034104,0.054883,0.013325,0.849003,0.812408,0.885598,0.170418,0.237684,0.103153,0.012454,0.002763,0.153032,0.155042,0.050000,0,0,0,0,0
75,100.321,0.611276,0.213605,0.288268,0.138941,5,0.00000000,0,0.031472,0.051642,0.011303,0.889997,0.854446,0.925549,0.221833,0.303155,0.140512,0.011659,0.002291,0.139998,0.148202,0.050000,0,0,0,0,0
100,178.449,0.531350,0.296547,0.391250,0.201844,5,0.00000000,0,0.020731,0.034680,0.006782,0.944398,0.921091,0.967705,0.304015,0.404818,0.203212,0.007775,0.001199,0.117769,0.136689,0.050000,0,0,0,0,0
125,189.115,0.449641,0.396686,0.507895,0.285478,5,0.00000000,0,0.016631,0.026361,0.006901,0.964210,0.951864,0.976556,0.404366,0.521283,0.287448,0.005740,0.001168,0.094118,0.122067,0.050000,0,0,0,0,0
150,270.466,0.428306,0.424599,0.519865,0.329333,5,0.00000000,0,0.014651,0.027874,0.001428,0.973056,0.950423,0.995690,0.432080,0.534356,0.329804,0.006127,0.000303,0.091910,0.114206,0.050000,0,0,0,0,0
175,281.156,0.404331,0.452285,0.533390,0.371181,5,0.00000000,0,0.011593,0.022472,0.000714,0.979254,0.960426,0.998082,0.458411,0.545376,0.371446,0.004905,0.000175,0.088917,0.106898,0.050000,0,0,0,0,0
200,360.212,0.393361,0.465914,0.544213,0.387614,5,0.00000000,0,0.010577,0.020203,0.000952,0.981221,0.964889,0.997553,0.471595,0.555207,0.387983,0.004431,0.000199,0.086652,0.104241,0.050000,0,0,0,0,0
225,371.094,0.382859,0.486144,0.569209,0.403078,5,0.00000000,0,0.014090,0.015449,0.012731,0.971862,0.973967,0.969757,0.493106,0.578003,0.408209,0.003236,0.002597,0.081422,0.102717,0.050000,0,0,0,0,0
250,451.290,0.367221,0.495238,0.575589,0.414886,5,0.00000000,0,0.007451,0.012640,0.002261,0.986683,0.978774,0.994593,0.499345,0.582865,0.415824,0.002704,0.000413,0.080106,0.099609,0.050000,0,0,0,0,0
275,462.293,0.359168,0.507721,0.582695,0.432747,5,0.00000000,0,0.008217,0.015125,0.001309,0.986028,0.975067,0.996989,0.512411,0.591508,0.433314,0.003193,0.000287,0.078822,0.096411,0.050000,0,0,0,0,0
