step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,0.226,0.529173,0.126397,0.108189,0.144606,1,0.00000000,0,0.076449,0.014092,0.138807,0.714401,0.886179,0.542624,0.137196,0.109713,0.164679,0.001822,0.020614,0.109357,0.127184,0.050000,0,0,0,0,0
25,2.252,0.472220,0.120200,0.099312,0.141088,1,0.00000000,0,0.025407,0.000000,0.050813,0.872374,1.000000,0.744747,0.123785,0.099312,0.148257,0.000000,0.007392,0.109033,0.117836,0.050000,0,0,0,0,0
50,48.403,0.461567,0.113553,0.093944,0.133162,1,0.00000000,0,0.013633,0.000000,0.027266,0.916903,1.000000,0.833805,0.115369,0.093944,0.136793,0.000000,0.003873,0.109652,0.116290,0.050000,0,0,0,0,0
75,50.466,0.457820,0.116246,0.100654,0.131838,1,0.00000000,0,0.011154,0.000000,0.022308,0.928994,1.000000,0.857988,0.117717,0.100654,0.134779,0.000000,0.003256,0.108798,0.116042,0.050000,0,0,0,0,0
100,96.293,0.454740,0.117588,0.105687,0.129489,1,0.00000000,0,0.009063,0.000000,0.018125,0.939566,1.000000,0.879132,0.118761,0.105687,0.131836,0.000000,0.002579,0.108285,0.115862,0.050000,0,0,0,0,0
125,98.346,0.450962,0.120355,0.112062,0.128648,1,0.00000000,0,0.006971,0.000000,0.013943,0.951717,1.000000,0.903433,0.121252,0.112062,0.130442,0.000000,0.002003,0.107474,0.115503,0.050000,0,0,0,0,0
150,145.112,0.444243,0.135686,0.133199,0.138173,1,0.00000000,0,0.007901,0.000000,0.015802,0.949405,1.000000,0.898810,0.136778,0.133199,0.140356,0.000000,0.002256,0.104896,0.114405,0.050000,0,0,0,0,0
175,147.204,0.437363,0.151877,0.159765,0.143989,1,0.00000000,0,0.008701,0.000671,0.016731,0.946628,0.995820,0.897436,0.153135,0.159873,0.146398,0.000053,0.002429,0.101774,0.113805,0.050000,0,0,0,0,0
200,193.985,0.423252,0.182852,0.204458,0.161246,1,0.00000000,0,0.010186,0.001007,0.019365,0.944855,0.995106,0.894604,0.184516,0.204664,0.164369,0.000084,0.002797,0.096274,0.111750,0.050000,0,0,0,0,0
225,196.077,0.404568,0.224584,0.271050,0.178117,1,0.00000000,0,0.011935,0.000168,0.023703,0.942172,0.999382,0.884962,0.226717,0.271095,0.182339,0.000027,0.003382,0.088217,0.109806,0.050000,0,0,0,0,0
250,242.766,0.382829,0.272950,0.352507,0.193393,1,0.00000000,0,0.013646,0.000336,0.026956,0.939772,0.999049,0.880495,0.275616,0.352625,0.198606,0.000045,0.003901,0.078327,0.108155,0.050000,0,0,0,0,0
