pair,arm,config,step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
sun_moon,hinge2_restart_importnet,nonorm1p25,1,1.534,0.728044,0.250937,0.206351,0.295524,20,0.00021183,0,0.118218,0.146608,0.089827,0.699671,0.617423,0.781918,0.279337,0.236603,0.322070,0.032918,0.018148,0.169675,0.130441,0.000000,0,0,0,0,0
sun_moon,hinge2_restart_importnet,nonorm1p25,25,27.967,0.525467,0.368221,0.354986,0.381456,20,0.00052488,3,0.048518,0.062770,0.034265,0.888721,0.857353,0.920089,0.385898,0.377269,0.394527,0.013946,0.006873,0.127910,0.108617,0.000000,0,0,0,0,0
sun_moon,hinge2_restart_importnet,nonorm1p25,50,351.714,0.431116,0.475519,0.472524,0.478513,23,0.00104548,2,0.039097,0.053803,0.024390,0.927544,0.902487,0.952601,0.494066,0.497947,0.490184,0.011906,0.004928,0.103501,0.090649,0.000000,2,1,0,0,0
sun_moon,hinge2_restart_importnet,nonorm1p25,75,382.297,0.347901,0.583941,0.576309,0.591572,23,0.00089746,4,0.037727,0.056180,0.019274,0.942263,0.915502,0.969025,0.605830,0.608686,0.602974,0.012437,0.003777,0.083065,0.070302,0.000000,2,1,0,0,0
sun_moon,hinge2_restart_importnet,nonorm1p25,100,732.156,0.302544,0.633309,0.603669,0.662949,24,0.00055450,4,0.030923,0.048401,0.013444,0.954669,0.928957,0.980382,0.652374,0.632887,0.671862,0.010542,0.002651,0.076878,0.057709,0.000000,4,1,1,0,0
sun_moon,hinge2_restart_importnet,nonorm1p25,125,764.015,0.266889,0.679451,0.641729,0.717172,24,0.00050280,5,0.029983,0.046997,0.012968,0.958544,0.934626,0.982462,0.699180,0.671889,0.726472,0.010099,0.002493,0.069250,0.048279,0.000000,4,1,1,0,0
sun_moon,hinge2_restart_importnet,nonorm1p25,150,1118.514,0.238820,0.715991,0.680004,0.751977,26,0.00010032,6,0.029099,0.050346,0.007852,0.961949,0.934153,0.989745,0.736061,0.714239,0.757882,0.010886,0.001418,0.062029,0.041966,0.000000,7,1,2,0,0
sun_moon,hinge2_restart_importnet,nonorm1p25,175,1153.256,0.212354,0.749997,0.713037,0.786957,26,0.00010074,2,0.028006,0.050778,0.005235,0.964978,0.936529,0.993426,0.770160,0.749244,0.791077,0.010746,0.001063,0.055307,0.036073,0.000000,7,1,2,0,0
sun_moon,hinge2_restart_importnet,nonorm1p25,200,1559.569,0.185068,0.782939,0.748632,0.817246,27,0.00004710,3,0.025981,0.046132,0.005830,0.968665,0.944372,0.992958,0.802589,0.783168,0.822011,0.009733,0.001203,0.047951,0.030896,0.000000,8,1,2,0,0
sun_moon,hinge2_restart_importnet,nonorm1p25,225,1595.810,0.166860,0.808870,0.769936,0.847803,27,0.00003506,2,0.026569,0.048617,0.004521,0.968961,0.943203,0.994719,0.829502,0.807368,0.851636,0.010270,0.000866,0.043899,0.025599,0.000000,8,1,2,0,0
