step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.550,0.876660,0.175328,0.191087,0.159569,20,0.00000000,0,0.193148,0.249092,0.137205,0.529387,0.489333,0.569441,0.210074,0.238685,0.181462,0.033897,0.040969,0.122826,0.221922,0.000000,0,0,0,0,0
25,27.413,0.646935,0.252099,0.267128,0.237069,20,0.00002193,1,0.085015,0.121077,0.048952,0.773811,0.712097,0.835524,0.274073,0.299471,0.248674,0.016193,0.014255,0.099685,0.185715,0.000000,0,0,0,0,0
50,347.530,0.571443,0.315011,0.319168,0.310854,22,0.00014709,2,0.066370,0.096135,0.036606,0.841217,0.784444,0.897989,0.336042,0.349851,0.322233,0.012851,0.010546,0.090683,0.165741,0.000000,0,2,0,0,0
75,376.267,0.526628,0.363098,0.345713,0.380483,22,0.00002372,0,0.063423,0.094153,0.032693,0.861943,0.800699,0.923187,0.385592,0.378262,0.392922,0.012635,0.009602,0.087061,0.148448,0.000000,0,2,0,0,0
100,693.877,0.464429,0.433530,0.420235,0.446825,23,0.00002063,0,0.055472,0.084077,0.026867,0.894441,0.844200,0.944683,0.457198,0.455567,0.458830,0.011263,0.007983,0.076176,0.131973,0.000000,3,2,2,0,0
125,724.360,0.418705,0.497578,0.498247,0.496910,23,0.00017505,1,0.055350,0.083746,0.026954,0.907781,0.865731,0.949830,0.525139,0.539974,0.510303,0.011111,0.007990,0.065624,0.119790,0.000000,3,2,2,0,0
150,1100.415,0.370994,0.565821,0.593486,0.538156,26,0.00007483,1,0.051447,0.075157,0.027737,0.923436,0.894627,0.952246,0.595586,0.638091,0.553082,0.010110,0.008087,0.052749,0.109976,0.000000,5,3,2,0,0
175,1135.582,0.329526,0.612931,0.663521,0.562340,26,0.00000207,2,0.044339,0.067724,0.020955,0.938767,0.912747,0.964787,0.641291,0.708457,0.574124,0.008496,0.006205,0.042675,0.103711,0.000000,5,3,2,0,0
200,1519.173,0.300456,0.649009,0.699367,0.598652,27,0.00008359,1,0.044257,0.069210,0.019303,0.942311,0.915285,0.969337,0.678989,0.747770,0.610208,0.008346,0.005695,0.037788,0.094861,0.000000,8,3,4,0,0
225,1555.887,0.279851,0.677219,0.722438,0.632001,27,0.00011372,2,0.041136,0.062273,0.019998,0.947428,0.924945,0.969911,0.706033,0.767426,0.644640,0.008237,0.005913,0.035236,0.086962,0.000000,8,3,4,0,0
250,1972.802,0.244882,0.720295,0.754917,0.685673,26,0.00014264,1,0.039158,0.058143,0.020172,0.952061,0.932151,0.971971,0.749158,0.798811,0.699504,0.007875,0.005979,0.031083,0.073991,0.000000,8,3,5,0,0
275,2007.909,0.222521,0.746836,0.761633,0.732039,26,0.00017343,1,0.046747,0.072019,0.021476,0.945512,0.918944,0.972081,0.782123,0.816485,0.747761,0.008575,0.006398,0.029431,0.063052,0.000000,8,3,5,0,0
300,2423.806,0.208522,0.767234,0.771267,0.763200,26,0.00015098,2,0.051112,0.079617,0.022607,0.942289,0.912729,0.971849,0.806563,0.832673,0.780454,0.009761,0.006423,0.028333,0.055644,0.000000,8,3,5,0,0
325,2458.541,0.201752,0.780945,0.779917,0.781974,26,0.00020228,3,0.048517,0.072514,0.024520,0.945264,0.920225,0.970303,0.818810,0.836472,0.801148,0.010155,0.007034,0.028251,0.051068,0.000000,8,3,5,0,0
350,2859.194,0.183422,0.794796,0.775342,0.814250,28,0.00006988,2,0.053311,0.085233,0.021389,0.941474,0.908021,0.974926,0.836547,0.841427,0.831667,0.010416,0.006054,0.027831,0.043268,0.000000,11,3,6,0,0
375,2896.921,0.173144,0.808951,0.783138,0.834764,28,0.00007501,1,0.047321,0.071688,0.022955,0.947564,0.921306,0.973823,0.846603,0.839280,0.853926,0.009803,0.006599,0.027573,0.038470,0.000000,11,3,6,0,0
400,3337.499,0.169952,0.812627,0.782483,0.842771,28,0.00007543,1,0.054289,0.084407,0.024172,0.941142,0.909525,0.972758,0.855836,0.848530,0.863142,0.010422,0.006779,0.026933,0.036515,0.000000,11,3,6,0,0
425,3374.974,0.162257,0.821082,0.791526,0.850637,28,0.00005438,2,0.051668,0.079947,0.023389,0.944154,0.914473,0.973835,0.862670,0.854807,0.870533,0.009857,0.006695,0.025646,0.034773,0.000000,11,3,6,0,0
450,3803.543,0.158158,0.825439,0.797312,0.853565,27,0.00007590,1,0.052846,0.081434,0.024259,0.943354,0.913706,0.973002,0.868256,0.862240,0.874272,0.009844,0.006623,0.024843,0.033625,0.000000,11,3,7,0,0
475,3839.495,0.157313,0.831391,0.808048,0.854733,27,0.00007188,2,0.048634,0.071358,0.025911,0.947575,0.923850,0.971299,0.871294,0.865709,0.876880,0.009629,0.007091,0.024222,0.033509,0.000000,11,3,7,0,0
500,4262.581,0.154738,0.834030,0.808494,0.859566,27,0.00005018,1,0.047421,0.069541,0.025302,0.948829,0.925566,0.972092,0.873016,0.864718,0.881315,0.009581,0.006912,0.024320,0.032415,0.000000,11,3,7,0,0
525,4299.054,0.151332,0.838347,0.814821,0.861873,27,0.00000487,1,0.045948,0.067724,0.024172,0.950562,0.927779,0.973346,0.876355,0.870003,0.882706,0.009345,0.006845,0.023400,0.032027,0.000000,11,3,7,0,0
550,4731.451,0.143546,0.847316,0.825864,0.868768,30,0.00001291,1,0.044448,0.065246,0.023650,0.952526,0.930956,0.974095,0.884531,0.879749,0.889314,0.009335,0.006278,0.022236,0.030016,0.000000,14,3,7,0,0
575,4771.903,0.140208,0.854820,0.837683,0.871956,30,0.00001570,1,0.047117,0.069541,0.024694,0.950539,0.927973,0.973106,0.894712,0.895937,0.893488,0.009580,0.006740,0.020433,0.029265,0.000000,14,3,7,0,0
600,5237.318,0.138360,0.860820,0.845334,0.876305,29,0.00000359,1,0.046609,0.069045,0.024172,0.951397,0.929020,0.973774,0.900594,0.903700,0.897487,0.009686,0.007135,0.019487,0.028665,0.000000,14,3,8,0,0
625,5276.391,0.135907,0.861638,0.844266,0.879009,29,0.00000379,1,0.047491,0.070202,0.024780,0.950566,0.927905,0.973227,0.902163,0.903535,0.900791,0.009474,0.007122,0.019298,0.027909,0.000000,14,3,8,0,0
650,5745.309,0.135767,0.862850,0.845608,0.880092,29,0.00001029,0,0.047239,0.069871,0.024607,0.950871,0.928305,0.973437,0.903219,0.904691,0.901748,0.009554,0.007148,0.019342,0.027661,0.000000,14,3,8,0,0
675,5784.688,0.134295,0.858912,0.836594,0.881229,29,0.00001601,2,0.052390,0.080608,0.024172,0.946025,0.918135,0.973916,0.903280,0.904030,0.902530,0.009824,0.006641,0.019447,0.027112,0.000000,14,3,8,0,0
700,6249.782,0.138553,0.859162,0.839158,0.879167,29,0.00000939,1,0.052472,0.082425,0.022520,0.946184,0.916806,0.975561,0.903645,0.908325,0.898965,0.011000,0.006255,0.020120,0.027585,0.000000,14,3,8,0,0
725,6288.409,0.136429,0.859890,0.838759,0.881021,29,0.00000986,1,0.051212,0.080773,0.021650,0.947349,0.918186,0.976512,0.903302,0.906508,0.900096,0.010778,0.005861,0.020179,0.027234,0.000000,14,3,8,0,0
750,6751.801,0.134218,0.859859,0.839901,0.879816,29,0.00000791,2,0.046547,0.073010,0.020085,0.951585,0.925059,0.978110,0.899355,0.901222,0.897487,0.009849,0.005727,0.020032,0.027604,0.000000,14,3,8,0,0
775,6790.768,0.125861,0.866230,0.850730,0.881731,29,0.00000355,1,0.041192,0.063429,0.018955,0.956910,0.934482,0.979338,0.901567,0.904691,0.898444,0.008514,0.005337,0.018440,0.027175,0.000000,14,3,8,0,0
800,7256.324,0.127051,0.861687,0.840419,0.882955,29,0.00000473,2,0.045782,0.072349,0.019216,0.952390,0.925687,0.979094,0.900572,0.901222,0.899922,0.008698,0.005500,0.018890,0.026886,0.000000,14,3,8,0,0
825,7294.924,0.125760,0.865904,0.849153,0.882654,29,0.00000596,2,0.040675,0.063264,0.018085,0.957395,0.934519,0.980271,0.900746,0.902874,0.898618,0.008486,0.005280,0.018568,0.027102,0.000000,14,3,8,0,0
850,7752.600,0.126350,0.862760,0.844126,0.881395,29,0.00000644,3,0.045548,0.071358,0.019737,0.952689,0.926866,0.978512,0.901576,0.904361,0.898791,0.008566,0.005415,0.018574,0.027122,0.000000,14,3,8,0,0
875,7791.359,0.127864,0.862849,0.844926,0.880772,29,0.00001230,3,0.047299,0.075818,0.018781,0.951256,0.923012,0.979499,0.903150,0.908986,0.897313,0.009440,0.005018,0.018708,0.027147,0.000000,14,3,8,0,0
900,8247.693,0.121932,0.870518,0.858100,0.882936,29,0.00000404,2,0.039010,0.060456,0.017564,0.959264,0.937702,0.980826,0.904210,0.909977,0.898444,0.008216,0.005026,0.017495,0.026917,0.000000,14,3,8,0,0
925,8286.035,0.123769,0.866418,0.851287,0.881550,29,0.00000177,2,0.045361,0.071853,0.018868,0.953213,0.927001,0.979425,0.905319,0.912455,0.898183,0.008737,0.005077,0.017611,0.027005,0.000000,14,3,8,0,0
950,8737.229,0.130070,0.866352,0.847572,0.885131,30,0.00000667,2,0.046539,0.074992,0.018085,0.952139,0.923953,0.980325,0.906136,0.911133,0.901139,0.010106,0.005381,0.019138,0.026536,0.000000,16,3,9,0,0
975,8777.338,0.120641,0.870521,0.855212,0.885829,30,0.00000148,1,0.039979,0.063264,0.016694,0.958377,0.934952,0.981801,0.904967,0.909316,0.900617,0.008303,0.004843,0.017700,0.026188,0.000000,16,3,9,0,0
1000,9239.073,0.118810,0.874449,0.859972,0.888927,29,0.00000245,2,0.037693,0.059300,0.016086,0.960693,0.938883,0.982503,0.907097,0.910968,0.903226,0.008232,0.004802,0.017473,0.025640,0.000000,16,3,10,0,0
1025,9277.864,0.120116,0.871177,0.853456,0.888898,29,0.00000338,3,0.045965,0.075322,0.016607,0.953053,0.924152,0.981954,0.910700,0.917740,0.903661,0.008915,0.004919,0.017159,0.025606,0.000000,16,3,10,0,0
1050,9741.318,0.117113,0.876800,0.864161,0.889440,29,0.00000395,2,0.038001,0.059134,0.016868,0.960501,0.939312,0.981691,0.909853,0.915263,0.904443,0.008111,0.004939,0.016751,0.025491,0.000000,16,3,10,0,0
1075,9780.514,0.117084,0.876373,0.863353,0.889392,29,0.00000455,2,0.038671,0.060126,0.017216,0.959842,0.938357,0.981326,0.909983,0.915263,0.904704,0.008239,0.004831,0.016917,0.025286,0.000000,16,3,10,0,0
1100,10240.694,0.117283,0.872573,0.854896,0.890250,29,0.00000781,2,0.043030,0.071193,0.014868,0.955838,0.927866,0.983810,0.909622,0.915758,0.903487,0.008536,0.004454,0.017081,0.025320,0.000000,16,3,10,0,0
1125,10279.588,0.116830,0.873290,0.854215,0.892366,29,0.00000590,2,0.044448,0.071853,0.017042,0.954401,0.927233,0.981569,0.911583,0.915593,0.907573,0.008404,0.004957,0.017076,0.024636,0.000000,16,3,10,0,0
1150,10740.873,0.115711,0.878726,0.864494,0.892958,29,0.00000281,2,0.037736,0.059300,0.016173,0.960836,0.939183,0.982489,0.911579,0.915758,0.907399,0.008109,0.004980,0.016662,0.024832,0.000000,16,3,10,0,0
1175,10779.686,0.116390,0.875479,0.857517,0.893441,29,0.00000647,2,0.045100,0.073505,0.016694,0.954004,0.926055,0.981953,0.914452,0.920548,0.908356,0.008783,0.004838,0.016743,0.024424,0.000000,16,3,10,0,0
1200,11243.832,0.114539,0.879588,0.865400,0.893777,29,0.00001357,2,0.038058,0.060291,0.015825,0.960607,0.938345,0.982869,0.912748,0.917575,0.907921,0.008303,0.004694,0.016584,0.024435,0.000000,16,3,10,0,0
1225,11282.929,0.113182,0.879974,0.866293,0.893655,29,0.00002109,3,0.037719,0.059960,0.015477,0.960967,0.938703,0.983231,0.912861,0.918236,0.907486,0.008191,0.004486,0.016429,0.024309,0.000000,16,3,10,0,0
1250,11747.396,0.114063,0.877221,0.862354,0.892089,29,0.00001159,3,0.037032,0.059630,0.014434,0.961521,0.938741,0.984301,0.909370,0.913776,0.904965,0.008082,0.004244,0.016867,0.024753,0.000000,16,3,10,0,0
1275,11786.806,0.116504,0.874798,0.855670,0.893926,29,0.00000686,1,0.044969,0.073505,0.016433,0.954071,0.925907,0.982235,0.913591,0.918566,0.908617,0.008559,0.005026,0.016816,0.024452,0.000000,16,3,10,0,0
1300,12244.161,0.119059,0.878576,0.864088,0.893065,29,0.00000221,2,0.040714,0.063429,0.017998,0.958008,0.935430,0.980587,0.914017,0.918897,0.909138,0.008868,0.005402,0.016975,0.024717,0.000000,16,3,10,0,0
