step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.658,0.728044,0.250937,0.206351,0.295524,20,0.00021183,0,0.118218,0.146608,0.089827,0.699671,0.617423,0.781918,0.279337,0.236603,0.322070,0.032918,0.018148,0.169675,0.130441,0.000000,0,0,0,0,0
25,28.961,0.525467,0.368221,0.354986,0.381456,20,0.00052488,3,0.048518,0.062770,0.034265,0.888721,0.857353,0.920089,0.385898,0.377269,0.394527,0.013946,0.006873,0.127910,0.108617,0.000000,0,0,0,0,0
50,361.476,0.430978,0.475758,0.472422,0.479094,23,0.00104548,2,0.039097,0.053803,0.024390,0.927562,0.902468,0.952656,0.494309,0.497839,0.490779,0.011906,0.004928,0.103535,0.090546,0.000000,2,1,0,0,0
75,393.085,0.346448,0.586011,0.578210,0.593812,23,0.00098267,4,0.037554,0.056072,0.019036,0.942699,0.915897,0.969501,0.607873,0.610631,0.605116,0.012399,0.003728,0.082709,0.070012,0.000000,2,1,0,0,0
100,753.562,0.304890,0.632494,0.605325,0.659662,24,0.00054101,4,0.032165,0.050886,0.013444,0.953109,0.925932,0.980286,0.652329,0.636128,0.668531,0.011036,0.002653,0.076803,0.058342,0.000000,4,1,1,0,0
125,786.729,0.269916,0.674696,0.634116,0.715276,24,0.00057543,5,0.028448,0.044404,0.012493,0.960104,0.937166,0.983043,0.693242,0.662273,0.724212,0.009777,0.002465,0.070871,0.048583,0.000000,4,1,1,0,0
150,1152.331,0.241402,0.711316,0.674517,0.748115,25,0.00013327,5,0.030218,0.050562,0.009875,0.960249,0.933400,0.987098,0.732062,0.708621,0.755503,0.010568,0.001732,0.062756,0.042523,0.000000,6,1,2,0,0
175,1187.093,0.214768,0.744536,0.707012,0.782059,25,0.00006064,3,0.026397,0.046132,0.006663,0.966449,0.941290,0.991608,0.763449,0.739628,0.787269,0.009939,0.001289,0.056436,0.036891,0.000000,6,1,2,0,0
200,1595.355,0.185534,0.780805,0.749793,0.811818,28,0.00019594,2,0.023192,0.043647,0.002736,0.971909,0.947169,0.996650,0.798279,0.782519,0.814039,0.009594,0.000588,0.048130,0.031842,0.000000,8,2,2,0,0
225,1634.646,0.161734,0.815141,0.781869,0.848413,28,0.00004500,2,0.026088,0.047537,0.004640,0.969865,0.945144,0.994586,0.835693,0.819036,0.852350,0.010206,0.000822,0.041602,0.025464,0.000000,8,2,2,0,0
250,2061.386,0.130552,0.846221,0.823351,0.869091,27,0.00003504,2,0.018941,0.033600,0.004283,0.978567,0.962018,0.995117,0.861915,0.851016,0.872814,0.007276,0.000814,0.033185,0.021966,0.000000,10,2,5,0,0
275,2099.394,0.116943,0.865956,0.843352,0.888560,27,0.00001209,3,0.019930,0.035220,0.004640,0.978026,0.961223,0.994829,0.882869,0.873055,0.892683,0.007679,0.000773,0.029413,0.018489,0.000000,10,2,5,0,0
300,2540.565,0.108514,0.878128,0.854837,0.901418,27,0.00005346,3,0.022016,0.037489,0.006544,0.976142,0.959444,0.992839,0.897101,0.886884,0.907317,0.007743,0.001168,0.026819,0.016281,0.000000,10,2,5,0,0
325,2578.642,0.094267,0.894249,0.877166,0.911332,27,0.00004555,3,0.019454,0.035220,0.003688,0.979323,0.962662,0.995984,0.911377,0.908060,0.914694,0.007257,0.000664,0.022513,0.014704,0.000000,10,2,5,0,0
350,3015.743,0.086802,0.906507,0.886286,0.926728,29,0.00013181,3,0.021303,0.037489,0.005116,0.977682,0.960826,0.994538,0.925491,0.919512,0.931469,0.007644,0.000949,0.020593,0.012019,0.000000,13,2,6,0,0
375,3056.871,0.073646,0.919821,0.904797,0.934845,29,0.00014132,3,0.017023,0.031547,0.002499,0.982323,0.967305,0.997341,0.935260,0.933341,0.937180,0.006600,0.000448,0.017260,0.010703,0.000000,13,2,6,0,1
400,3523.967,0.071909,0.927018,0.912231,0.941805,28,0.00011801,3,0.018503,0.035220,0.001785,0.981079,0.964045,0.998112,0.943923,0.944360,0.943486,0.007800,0.000352,0.016223,0.009500,0.000000,13,2,7,0,1
425,3563.200,0.067218,0.930542,0.915116,0.945968,28,0.00014269,3,0.017698,0.033492,0.001904,0.981897,0.965799,0.997995,0.946767,0.945765,0.947769,0.007040,0.000464,0.015295,0.008884,0.000000,13,2,7,0,1
450,4022.053,0.065789,0.933382,0.916675,0.950089,28,0.00008013,3,0.017287,0.033384,0.001190,0.982354,0.965958,0.998751,0.949248,0.947277,0.951220,0.007341,0.000256,0.015154,0.008217,0.000000,13,2,7,1,1
475,4060.936,0.067204,0.932603,0.916014,0.949193,28,0.00007572,2,0.018254,0.034248,0.002261,0.981370,0.965111,0.997629,0.949362,0.947385,0.951338,0.007516,0.000460,0.015260,0.008345,0.000000,13,2,7,1,1
500,4708.142,0.107996,0.873434,0.857861,0.889008,25,0.00001092,2,0.017228,0.032195,0.002261,0.981193,0.964916,0.997469,0.888248,0.885480,0.891017,0.006783,0.000469,0.026319,0.018610,0.000000,13,2,10,1,1
525,4743.397,0.107374,0.888088,0.876793,0.899383,25,0.00018166,3,0.024867,0.046997,0.002736,0.974137,0.951299,0.996975,0.909922,0.917999,0.901844,0.010528,0.000494,0.023131,0.016715,0.000000,13,2,10,1,1
