step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.580,0.945267,0.163923,0.145450,0.182397,20,0.00000004,0,0.161269,0.146559,0.175979,0.540784,0.532248,0.549319,0.190631,0.166767,0.214495,0.036657,0.039659,0.198194,0.179043,0.000000,0,0,0,0,0
25,27.902,0.702145,0.260611,0.223086,0.298136,20,0.00001132,1,0.072271,0.067727,0.076815,0.792770,0.778613,0.806927,0.279616,0.238195,0.321037,0.016810,0.017170,0.167780,0.140813,0.000000,0,0,0,0,0
50,347.257,0.558695,0.383758,0.330971,0.436546,22,0.00013202,2,0.048077,0.044618,0.051535,0.892382,0.885700,0.899065,0.402391,0.345738,0.459043,0.010936,0.011373,0.141202,0.110214,0.000000,0,2,0,0,0
75,376.826,0.449851,0.502727,0.443400,0.562054,22,0.00000880,1,0.041060,0.032213,0.049908,0.928133,0.934245,0.922021,0.523894,0.457683,0.590105,0.007908,0.010986,0.116007,0.085299,0.000000,0,2,0,0,0
100,727.870,0.400534,0.577254,0.542178,0.612329,25,0.00007063,2,0.050285,0.027011,0.073560,0.926549,0.953735,0.899362,0.607097,0.556823,0.657372,0.006514,0.016302,0.094747,0.076976,0.000000,2,3,0,0,0
125,762.113,0.287125,0.697181,0.661138,0.733223,25,0.00003967,1,0.038911,0.025310,0.052512,0.950148,0.964006,0.936291,0.724799,0.677871,0.771726,0.005930,0.011694,0.069788,0.051730,0.000000,2,3,0,0,0
150,1126.342,0.233579,0.756163,0.714802,0.797525,25,0.00021044,1,0.033950,0.024610,0.043290,0.959018,0.967490,0.950545,0.782221,0.732393,0.832049,0.005869,0.009617,0.058643,0.038714,0.000000,5,3,3,0,0
175,1160.448,0.208225,0.783718,0.734782,0.832655,25,0.00006117,1,0.030742,0.022209,0.039275,0.963933,0.971281,0.956584,0.808229,0.751100,0.865357,0.005484,0.008716,0.054425,0.031916,0.000000,5,3,3,0,0
200,1550.002,0.187526,0.806817,0.751362,0.862272,24,0.00007730,1,0.029195,0.028011,0.030379,0.965971,0.965004,0.966938,0.830438,0.772409,0.888467,0.006678,0.006787,0.050905,0.026000,0.000000,5,3,4,0,0
225,1582.938,0.175682,0.826608,0.772860,0.880357,24,0.00021411,3,0.031743,0.030612,0.032874,0.964049,0.962990,0.965108,0.852908,0.796519,0.909298,0.007542,0.007052,0.047129,0.022393,0.000000,5,3,4,0,0
250,1961.971,0.163641,0.837828,0.793278,0.882378,26,0.00028597,2,0.030001,0.026911,0.033091,0.966496,0.968022,0.964971,0.863101,0.814626,0.911576,0.006604,0.007263,0.042549,0.021837,0.000000,8,3,5,0,0
275,1997.795,0.145587,0.854030,0.810091,0.897970,26,0.00094735,1,0.025629,0.025110,0.026147,0.971528,0.970650,0.972407,0.875941,0.830432,0.921449,0.006073,0.005737,0.038807,0.018891,0.000000,8,3,5,0,0
300,2437.665,0.137262,0.867679,0.830409,0.904948,29,0.00083770,2,0.027418,0.026411,0.028426,0.970154,0.969945,0.970362,0.891506,0.852341,0.930672,0.006459,0.006306,0.034716,0.017666,0.000000,11,3,5,0,0
325,2478.286,0.131926,0.868100,0.825760,0.910440,29,0.00097727,2,0.023681,0.023709,0.023652,0.973984,0.972718,0.975250,0.888656,0.845338,0.931974,0.005729,0.005165,0.035615,0.016387,0.000000,11,3,5,0,0
350,2964.666,0.128910,0.873649,0.837148,0.910150,30,0.00059224,2,0.025544,0.027111,0.023977,0.972176,0.969434,0.974918,0.895909,0.859844,0.931974,0.006434,0.005064,0.033384,0.016491,0.000000,12,3,5,0,0
375,3006.213,0.125183,0.878232,0.847402,0.909062,30,0.00035341,3,0.024992,0.029912,0.020072,0.972838,0.966862,0.978814,0.900029,0.872749,0.927308,0.007270,0.004389,0.031216,0.016679,0.000000,12,3,5,0,0
400,3492.799,0.114667,0.889604,0.868598,0.910610,29,0.00032759,3,0.024420,0.029312,0.019529,0.973827,0.968256,0.979398,0.911225,0.894058,0.928393,0.007015,0.004187,0.026819,0.016397,0.000000,12,3,6,0,0
425,3532.860,0.110012,0.893637,0.875340,0.911934,29,0.00022847,3,0.024442,0.028812,0.020072,0.973939,0.968999,0.978879,0.915399,0.900560,0.930238,0.006962,0.003984,0.025377,0.015865,0.000000,12,3,6,0,0
450,4021.670,0.102789,0.899682,0.885525,0.913839,29,0.00018552,5,0.022086,0.024210,0.019963,0.976516,0.974001,0.979031,0.919522,0.906963,0.932082,0.005950,0.004086,0.023193,0.015592,0.000000,12,3,6,0,0
475,4061.630,0.099985,0.903768,0.890594,0.916941,29,0.00010627,4,0.021695,0.023209,0.020180,0.977023,0.975163,0.978883,0.923355,0.911265,0.935445,0.005743,0.004293,0.022136,0.015274,0.000000,12,3,6,0,0
500,4553.891,0.097980,0.905298,0.893840,0.916755,29,0.00015888,4,0.020356,0.021509,0.019204,0.978423,0.976986,0.979861,0.923713,0.913065,0.934360,0.005375,0.004222,0.021540,0.015398,0.000000,12,3,6,0,0
525,4594.095,0.097572,0.906437,0.896082,0.916791,29,0.00014456,1,0.019221,0.021409,0.017034,0.979602,0.977144,0.982059,0.923837,0.915266,0.932408,0.005460,0.004072,0.021196,0.015625,0.000000,12,3,6,0,0
