step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,2.116,0.517716,0.319286,0.211046,0.427526,20,0.00122661,0,0.175854,0.114069,0.237639,0.681703,0.673331,0.690074,0.382121,0.235120,0.529122,0.022976,0.019703,0.150104,0.054975,0.000000,0,0,0,0,0
25,37.229,0.343024,0.473714,0.328573,0.618855,20,0.00026461,2,0.067052,0.044018,0.090085,0.884233,0.886273,0.882194,0.508821,0.343036,0.674605,0.008658,0.007109,0.119854,0.031857,0.000000,0,0,0,0,0
50,484.004,0.258504,0.575481,0.447004,0.703959,21,0.00006109,0,0.034924,0.017039,0.052809,0.948680,0.963874,0.933485,0.597877,0.454621,0.741134,0.003297,0.004054,0.096156,0.023886,0.000000,0,1,0,0,0
75,522.625,0.208920,0.658995,0.564573,0.753418,21,0.00016808,2,0.036844,0.013371,0.060316,0.953480,0.977162,0.929798,0.685491,0.572122,0.798861,0.002494,0.004750,0.075315,0.020030,0.000000,0,1,0,0,0
100,968.246,0.170429,0.722089,0.674672,0.769507,22,0.00033681,3,0.045800,0.010058,0.081543,0.948110,0.985455,0.910765,0.756856,0.681458,0.832255,0.001946,0.006295,0.055973,0.018822,0.000000,3,1,2,0,0
125,1009.296,0.151448,0.765411,0.757756,0.773066,22,0.00041520,3,0.062804,0.014554,0.111054,0.933464,0.981420,0.885508,0.813851,0.768785,0.858918,0.002813,0.008929,0.041761,0.019140,0.000000,3,1,2,0,0
150,1483.735,0.132753,0.794269,0.802144,0.786394,24,0.00016217,2,0.065219,0.015501,0.114937,0.932715,0.981326,0.884103,0.845679,0.814578,0.876780,0.002893,0.008903,0.033854,0.017721,0.000000,6,1,3,0,0
175,1528.418,0.118308,0.814644,0.821495,0.807794,24,0.00032023,5,0.047815,0.019524,0.076107,0.948358,0.977219,0.919496,0.853403,0.837534,0.869273,0.003861,0.006145,0.030825,0.015710,0.000000,6,1,3,0,0
200,2075.356,0.108753,0.823065,0.844974,0.801157,26,0.00044228,4,0.046129,0.018223,0.074036,0.950017,0.979259,0.920776,0.860421,0.860372,0.860471,0.003503,0.005750,0.026706,0.015949,0.000000,8,1,3,0,0
225,2124.049,0.104736,0.833043,0.862945,0.803140,26,0.00060830,2,0.045674,0.019643,0.071706,0.950631,0.978164,0.923098,0.870313,0.879896,0.860730,0.003941,0.005903,0.023589,0.016262,0.000000,8,1,3,0,0
250,2712.775,0.103412,0.838499,0.862684,0.814313,26,0.00032634,1,0.046340,0.022009,0.070670,0.950333,0.975645,0.925021,0.876766,0.881671,0.871861,0.004330,0.005879,0.023630,0.015201,0.000000,8,1,3,0,0
275,2760.897,0.097415,0.854011,0.872589,0.835434,26,0.00029044,2,0.046229,0.024376,0.068082,0.951282,0.973454,0.929111,0.893085,0.893859,0.892312,0.004871,0.005609,0.022116,0.013390,0.000000,8,1,3,0,0
300,3364.575,0.091979,0.859506,0.880749,0.838264,26,0.00024384,2,0.045792,0.024021,0.067564,0.951929,0.974058,0.929801,0.898403,0.901905,0.894900,0.004751,0.005183,0.020527,0.012959,0.000000,8,1,3,0,0
325,3412.012,0.091309,0.862313,0.878472,0.846154,26,0.00020780,2,0.044576,0.022364,0.066787,0.953406,0.975704,0.931108,0.900392,0.898119,0.902666,0.004466,0.005340,0.020952,0.012373,0.000000,8,1,3,0,0
350,3979.020,0.087827,0.872727,0.881661,0.863793,25,0.00013368,3,0.038455,0.025914,0.050997,0.959481,0.972148,0.946814,0.906176,0.904508,0.907844,0.005280,0.004437,0.020575,0.011146,0.000000,8,1,4,0,0
375,4024.803,0.079599,0.881928,0.888979,0.874876,25,0.00020771,3,0.033959,0.021063,0.046855,0.964326,0.977322,0.951331,0.911786,0.907703,0.915868,0.004199,0.004101,0.019050,0.010302,0.000000,8,1,4,0,0
400,4580.944,0.077394,0.885002,0.893131,0.876874,25,0.00022830,2,0.036544,0.019761,0.053326,0.962090,0.978764,0.945416,0.917207,0.910780,0.923634,0.003808,0.004483,0.018325,0.009929,0.000000,8,1,4,0,0
425,4625.663,0.078288,0.888303,0.895133,0.881472,25,0.00023191,0,0.038030,0.021181,0.054880,0.960811,0.977353,0.944269,0.921970,0.914093,0.929847,0.004211,0.004772,0.018077,0.009757,0.000000,8,1,4,0,0
450,5150.901,0.074939,0.890235,0.897886,0.882585,24,0.00006650,2,0.034011,0.018578,0.049443,0.964707,0.980091,0.949323,0.920395,0.914566,0.926223,0.003757,0.004342,0.017688,0.009634,0.000000,8,1,5,0,0
475,5194.356,0.071673,0.892296,0.900337,0.884255,24,0.00007913,1,0.033219,0.017513,0.048926,0.965568,0.981242,0.949894,0.921811,0.916105,0.927517,0.003402,0.004091,0.017108,0.009334,0.000000,8,1,5,0,0
500,5713.740,0.066781,0.900977,0.903864,0.898091,24,0.00006806,1,0.030346,0.016684,0.044007,0.968668,0.982168,0.955169,0.928279,0.918945,0.937613,0.003212,0.003756,0.016371,0.008285,0.000000,8,1,5,0,0
525,5757.379,0.064868,0.903092,0.901846,0.904337,24,0.00005790,1,0.028593,0.012661,0.044525,0.970656,0.986326,0.954986,0.928934,0.913265,0.944603,0.002556,0.003763,0.016835,0.007680,0.000000,8,1,5,0,0
550,6277.024,0.063613,0.910102,0.904862,0.915343,24,0.00007794,2,0.028811,0.014909,0.042713,0.970595,0.984024,0.957165,0.936396,0.918353,0.954440,0.003004,0.003752,0.016422,0.006912,0.000000,8,1,5,0,1
575,6320.388,0.062033,0.913151,0.899125,0.927177,24,0.00024790,1,0.024551,0.014673,0.034429,0.974759,0.984172,0.965347,0.935709,0.912318,0.959099,0.002940,0.003124,0.017346,0.006004,0.000000,8,1,5,0,1
600,6844.986,0.062864,0.912410,0.899151,0.925669,24,0.00030886,3,0.031030,0.017276,0.044784,0.968603,0.981463,0.955743,0.940904,0.914685,0.967124,0.003410,0.003406,0.017200,0.005602,0.000000,8,1,5,0,1
625,6887.978,0.061607,0.911666,0.902741,0.920592,24,0.00021772,0,0.032188,0.014673,0.049702,0.967658,0.984234,0.951083,0.941167,0.915986,0.966347,0.002928,0.003664,0.016613,0.005875,0.000000,8,1,5,0,1
650,7415.562,0.059793,0.918062,0.902459,0.933666,24,0.00022987,1,0.026718,0.015383,0.038053,0.972855,0.983490,0.962221,0.942768,0.916341,0.969195,0.003068,0.003194,0.016721,0.005269,0.000000,8,1,5,0,1
675,7458.618,0.059104,0.917281,0.899872,0.934690,24,0.00022930,2,0.022846,0.015146,0.030546,0.976476,0.983690,0.969263,0.938371,0.913501,0.963241,0.003039,0.002683,0.017161,0.005159,0.000000,8,1,5,0,1
700,7988.879,0.061089,0.912709,0.895957,0.929462,24,0.00012400,3,0.027095,0.015619,0.038571,0.972351,0.983125,0.961578,0.937632,0.909951,0.965312,0.003121,0.002804,0.017841,0.005253,0.000000,8,1,5,0,1
725,8032.477,0.059771,0.918135,0.897340,0.938929,24,0.00013239,3,0.022173,0.014318,0.030028,0.977199,0.984513,0.969886,0.938656,0.910188,0.967124,0.002931,0.002785,0.017662,0.005032,0.000000,8,1,5,0,1
750,8562.414,0.060229,0.914603,0.897433,0.931773,24,0.00010689,2,0.026844,0.014081,0.039607,0.972741,0.984763,0.960719,0.939374,0.910070,0.968677,0.002897,0.002947,0.017717,0.005055,0.000000,8,1,5,0,1
775,8606.068,0.060546,0.915095,0.897271,0.932918,24,0.00010614,2,0.026422,0.014791,0.038053,0.973103,0.984015,0.962191,0.939481,0.910543,0.968418,0.002887,0.003084,0.017535,0.005238,0.000000,8,1,5,0,1
800,9127.412,0.059942,0.914389,0.898309,0.930469,24,0.00016649,1,0.028563,0.014673,0.042454,0.971112,0.984157,0.958067,0.940731,0.911490,0.969972,0.002861,0.003103,0.017342,0.005115,0.000000,8,1,5,0,1
825,9171.219,0.060104,0.917229,0.894804,0.939653,24,0.00016888,2,0.022624,0.015738,0.029511,0.976688,0.982979,0.970397,0.938135,0.908887,0.967383,0.003165,0.002561,0.018021,0.004814,0.000000,8,1,5,0,1
850,9706.955,0.059444,0.917997,0.894743,0.941250,24,0.00013646,2,0.023105,0.015146,0.031064,0.976291,0.983598,0.968984,0.939392,0.908295,0.970489,0.002980,0.002674,0.017926,0.004681,0.000000,8,1,5,0,1
875,9750.657,0.058099,0.916523,0.894546,0.938500,24,0.00011274,1,0.024359,0.013253,0.035465,0.975190,0.985589,0.964791,0.939093,0.906402,0.971784,0.002612,0.002539,0.018081,0.004489,0.000000,8,1,5,0,1
