step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,2.443,1.551517,0.225888,0.194455,0.257321,20,0.00000000,0,0.183401,0.184529,0.182272,0.590272,0.555208,0.625336,0.267280,0.230337,0.304224,0.000000,0.000000,0.807053,0.744464,0.050000,0,0,0,0,0
25,43.829,1.094508,0.454044,0.417886,0.490202,20,0.00002054,0,0.154830,0.174265,0.135396,0.771135,0.737937,0.804333,0.523641,0.490709,0.556573,0.000000,0.000000,0.582568,0.511926,0.050000,0,0,0,0,0
50,336.376,0.839891,0.580779,0.549416,0.612142,20,0.00012719,0,0.155842,0.202463,0.109221,0.813431,0.765427,0.861434,0.669827,0.660653,0.679001,0.000000,0.000000,0.450543,0.389259,0.050000,0,0,0,0,0
75,379.318,0.655160,0.672725,0.613151,0.732300,20,0.00002689,3,0.153142,0.224071,0.082213,0.838052,0.770092,0.906012,0.771522,0.750540,0.792504,0.000000,0.000000,0.386586,0.268555,0.050000,0,0,0,0,0
100,676.326,0.523777,0.737946,0.668615,0.807276,20,0.00020878,2,0.147412,0.238548,0.056276,0.857224,0.776360,0.938089,0.840409,0.828111,0.852707,0.000000,0.000000,0.330147,0.193484,0.050000,0,0,0,0,0
125,719.862,0.445790,0.777392,0.678590,0.876195,20,0.00079280,1,0.143266,0.253457,0.033076,0.867588,0.770428,0.964748,0.877879,0.850583,0.905175,0.000000,0.000000,0.320589,0.124646,0.050000,0,0,0,0,0
150,1018.245,0.398530,0.801228,0.693946,0.908510,20,0.00016170,1,0.128238,0.233038,0.023438,0.880680,0.785948,0.975412,0.892732,0.855661,0.929804,0.000000,0.000000,0.305738,0.092679,0.050000,0,0,0,0,0
175,1061.885,0.364014,0.818974,0.709757,0.928190,20,0.00014157,2,0.122048,0.220182,0.023914,0.886375,0.797295,0.975455,0.908210,0.866033,0.950387,0.000000,0.000000,0.290350,0.073565,0.050000,0,0,0,0,0
200,1360.844,0.346817,0.828158,0.717871,0.938445,20,0.00002603,2,0.116094,0.209702,0.022487,0.891297,0.805492,0.977102,0.913979,0.868410,0.959548,0.000000,0.000000,0.283120,0.063678,0.050000,0,0,0,0,0
225,1404.233,0.335292,0.832763,0.719647,0.945880,20,0.00002640,0,0.117110,0.211971,0.022249,0.890996,0.804484,0.977508,0.919558,0.872191,0.966924,0.000000,0.000000,0.279873,0.055400,0.050000,0,0,0,0,0
250,1722.152,0.326545,0.837834,0.725850,0.949818,20,0.00007880,1,0.110119,0.207865,0.012374,0.897821,0.808347,0.987295,0.919150,0.876729,0.961570,0.000000,0.000000,0.273386,0.053104,0.050000,0,0,0,0,0
275,1766.100,0.319641,0.841447,0.730401,0.952493,20,0.00012158,1,0.111449,0.208621,0.014277,0.897143,0.808850,0.985437,0.924435,0.882779,0.966092,0.000000,0.000000,0.269988,0.049568,0.050000,0,0,0,0,0
300,2063.594,0.302088,0.851066,0.746114,0.956018,20,0.00020851,1,0.113255,0.209378,0.017133,0.897174,0.811662,0.982686,0.937366,0.902334,0.972397,0.000000,0.000000,0.254756,0.047186,0.050000,0,0,0,0,0
325,2106.837,0.295851,0.853488,0.751293,0.955683,20,0.00022795,1,0.114514,0.211538,0.017490,0.896877,0.811423,0.982332,0.941309,0.910220,0.972397,0.000000,0.000000,0.249843,0.045848,0.050000,0,0,0,0,0
350,2406.884,0.285459,0.858432,0.753367,0.963498,20,0.00040729,2,0.112448,0.211214,0.013682,0.899111,0.812037,0.986185,0.944585,0.912489,0.976681,0.000000,0.000000,0.246676,0.038498,0.050000,0,0,0,0,0
375,2450.621,0.279458,0.861382,0.757549,0.965214,20,0.00035543,1,0.112601,0.209378,0.015824,0.899047,0.813976,0.984118,0.948325,0.916162,0.980488,0.000000,0.000000,0.242897,0.036312,0.050000,0,0,0,0,0
400,2757.097,0.267686,0.867751,0.764553,0.970948,20,0.00037016,1,0.108947,0.206353,0.011541,0.902779,0.817172,0.988386,0.952237,0.922321,0.982153,0.000000,0.000000,0.235316,0.032111,0.050000,0,0,0,0,0
