step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.599,0.769778,0.179690,0.184036,0.175344,20,0.00000000,0,0.070107,0.082496,0.057718,0.734910,0.707164,0.762657,0.192342,0.199219,0.185465,0.000000,0.000000,0.398804,0.370974,0.050000,0,0,0,0,0
25,26.599,0.161739,0.556192,0.538990,0.573394,20,0.00021391,1,0.022161,0.029297,0.015025,0.962337,0.949841,0.974834,0.568395,0.554781,0.582010,0.000000,0.000000,0.093338,0.068251,0.050000,0,0,0,0,0
50,350.452,0.094381,0.652254,0.636722,0.667786,20,0.00013381,1,0.009882,0.014602,0.005163,0.985132,0.977897,0.992367,0.658627,0.646019,0.671234,0.000000,0.000000,0.055218,0.039069,0.050000,0,0,0,0,0
75,377.097,0.073374,0.723356,0.720728,0.725983,20,0.00002699,0,0.009959,0.016741,0.003177,0.986661,0.977665,0.995657,0.730542,0.732794,0.728290,0.000000,0.000000,0.044672,0.028683,0.050000,0,0,0,0,0
100,684.606,0.069214,0.766529,0.745046,0.788011,19,0.00000257,1,0.012916,0.023251,0.002581,0.983573,0.970404,0.996743,0.776207,0.762370,0.790045,0.000000,0.000000,0.048546,0.020666,0.050000,0,0,1,0,0
125,709.954,0.078345,0.770148,0.731397,0.808899,19,0.00001493,0,0.017630,0.031157,0.004104,0.977650,0.960327,0.994973,0.783202,0.754185,0.812219,0.000000,0.000000,0.058014,0.020320,0.050000,0,0,1,0,0
150,980.987,0.054818,0.746676,0.742195,0.751158,17,0.00000928,1,0.003772,0.006882,0.000662,0.994997,0.990874,0.999120,0.749479,0.747303,0.751655,0.000000,0.000000,0.031844,0.022967,0.050000,0,0,3,0,0
175,1003.922,0.055275,0.766030,0.732365,0.799696,17,0.00005323,1,0.006090,0.011254,0.000927,0.991938,0.985032,0.998844,0.770522,0.740606,0.800437,0.000000,0.000000,0.037474,0.017764,0.050000,0,0,3,0,0
200,1277.609,0.049117,0.788578,0.741000,0.836156,17,0.00000356,1,0.005400,0.010138,0.000662,0.992923,0.986637,0.999210,0.792610,0.748512,0.836709,0.000000,0.000000,0.035133,0.013982,0.050000,0,0,3,0,0
225,1300.367,0.047611,0.796827,0.764311,0.829343,17,0.00006265,0,0.005632,0.010603,0.000662,0.992831,0.986459,0.999203,0.801153,0.772414,0.829891,0.000000,0.000000,0.032822,0.014745,0.050000,0,0,3,0,0
