step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.536,1.195436,0.156030,0.188503,0.123557,20,0.00017573,0,0.168492,0.115546,0.221439,0.525341,0.645379,0.405303,0.180600,0.210284,0.150917,0.000000,0.000000,0.514304,0.681009,0.050000,0,0,0,0,0
25,27.672,0.897051,0.246487,0.279032,0.213942,20,0.00000000,0,0.133451,0.094938,0.171965,0.678050,0.762928,0.593172,0.278127,0.305522,0.250732,0.000000,0.000000,0.383837,0.513214,0.050000,0,0,0,0,0
50,219.007,0.720120,0.306119,0.318076,0.294163,20,0.00000000,0,0.101429,0.070928,0.131930,0.771941,0.827662,0.716219,0.336804,0.340636,0.332972,0.000000,0.000000,0.325365,0.394755,0.050000,0,0,0,0,0
75,244.813,0.575565,0.380959,0.394383,0.367534,20,0.00000000,0,0.089306,0.065126,0.113486,0.824335,0.865773,0.782897,0.414656,0.420068,0.409244,0.000000,0.000000,0.259089,0.316475,0.050000,0,0,0,0,0
100,426.223,0.447390,0.437453,0.433624,0.441282,19,0.00000000,0,0.057347,0.055022,0.059672,0.889736,0.892641,0.886831,0.462549,0.457483,0.467614,0.000000,0.000000,0.223986,0.223404,0.050000,0,0,1,0,0
125,450.669,0.355167,0.510527,0.496542,0.524512,19,0.00003641,0,0.050257,0.055922,0.044592,0.914180,0.903621,0.924739,0.536105,0.524310,0.547901,0.000000,0.000000,0.188566,0.166576,0.050000,0,0,1,0,0
150,623.302,0.292049,0.568984,0.541663,0.596305,19,0.00003207,1,0.044478,0.055322,0.033634,0.930008,0.911760,0.948256,0.593995,0.571629,0.616361,0.000000,0.000000,0.165719,0.126308,0.050000,0,0,1,0,0
175,648.430,0.246567,0.625809,0.589970,0.661649,19,0.00012503,2,0.042909,0.055222,0.030596,0.937791,0.918524,0.957058,0.652221,0.622549,0.681892,0.000000,0.000000,0.145890,0.100590,0.050000,0,0,1,0,0
200,815.790,0.213777,0.669729,0.623204,0.716255,19,0.00004868,4,0.041184,0.051120,0.031247,0.943512,0.927610,0.959414,0.696849,0.655062,0.738635,0.000000,0.000000,0.130046,0.083696,0.050000,0,0,1,0,0
225,841.108,0.191259,0.699353,0.646307,0.752400,19,0.00018930,3,0.038323,0.048219,0.028426,0.949060,0.933554,0.964566,0.725629,0.677471,0.773788,0.000000,0.000000,0.119454,0.071673,0.050000,0,0,1,0,0
250,999.214,0.179346,0.714322,0.655054,0.773591,18,0.00029285,2,0.036551,0.045218,0.027883,0.952085,0.938048,0.966122,0.739917,0.684674,0.795161,0.000000,0.000000,0.113437,0.065704,0.050000,0,0,2,0,0
275,1022.917,0.170430,0.723607,0.658024,0.789190,18,0.00023999,3,0.033715,0.041717,0.025713,0.955923,0.942633,0.969213,0.747478,0.685474,0.809482,0.000000,0.000000,0.109934,0.060328,0.050000,0,0,2,0,0
300,1177.831,0.163103,0.734890,0.669652,0.800127,18,0.00017750,2,0.032865,0.038715,0.027015,0.957723,0.947275,0.968171,0.758660,0.695578,0.821742,0.000000,0.000000,0.104381,0.058598,0.050000,0,0,2,0,0
325,1201.864,0.155528,0.746402,0.685062,0.807741,18,0.00009511,2,0.032323,0.038715,0.025930,0.959029,0.948400,0.969658,0.770135,0.711585,0.828686,0.000000,0.000000,0.099338,0.056123,0.050000,0,0,2,0,0
350,1355.209,0.149069,0.758670,0.697180,0.820161,18,0.00007388,1,0.033057,0.039316,0.026798,0.958846,0.948533,0.969160,0.783365,0.724590,0.842140,0.000000,0.000000,0.095484,0.053533,0.050000,0,0,2,0,0
375,1379.096,0.143940,0.771930,0.710509,0.833351,18,0.00001590,2,0.033928,0.040516,0.027341,0.958548,0.948044,0.969053,0.797716,0.739296,0.856135,0.000000,0.000000,0.092846,0.051083,0.050000,0,0,2,0,0
400,1535.379,0.134022,0.776569,0.708935,0.844203,18,0.00003583,0,0.028567,0.039016,0.018119,0.964526,0.949697,0.979355,0.798047,0.736595,0.859499,0.000000,0.000000,0.091810,0.042186,0.050000,0,0,2,0,0
425,1558.620,0.128823,0.783805,0.721316,0.846293,18,0.00005947,0,0.027634,0.036715,0.018553,0.966066,0.953201,0.978931,0.804897,0.747799,0.861994,0.000000,0.000000,0.086785,0.041996,0.050000,0,0,2,0,0
450,1713.864,0.126155,0.789433,0.730594,0.848272,18,0.00005123,0,0.027656,0.034914,0.020397,0.966420,0.955862,0.976978,0.810838,0.756102,0.865574,0.000000,0.000000,0.083108,0.043011,0.050000,0,0,2,0,0
475,1737.229,0.120823,0.797024,0.739445,0.854602,18,0.00008863,0,0.027033,0.035514,0.018553,0.967403,0.955675,0.979131,0.818082,0.765706,0.870457,0.000000,0.000000,0.080540,0.040222,0.050000,0,0,2,0,0
500,1891.910,0.112716,0.809072,0.754708,0.863437,18,0.00039018,0,0.025226,0.035914,0.014538,0.969877,0.956080,0.983674,0.828901,0.781813,0.875990,0.000000,0.000000,0.077094,0.035348,0.050000,0,0,2,0,0
525,1915.636,0.111029,0.810742,0.761054,0.860430,18,0.00052903,0,0.024942,0.036214,0.013670,0.970331,0.956095,0.984568,0.830404,0.788615,0.872193,0.000000,0.000000,0.075197,0.035462,0.050000,0,0,2,0,0
550,2071.021,0.108474,0.814926,0.766683,0.863169,18,0.00048525,1,0.024630,0.035914,0.013345,0.970855,0.956737,0.984973,0.834453,0.794218,0.874688,0.000000,0.000000,0.073718,0.034417,0.050000,0,0,2,0,0
575,2095.060,0.105760,0.818769,0.772074,0.865465,18,0.00028192,1,0.023999,0.036715,0.011283,0.971707,0.956142,0.987272,0.837825,0.800420,0.875231,0.000000,0.000000,0.072842,0.032721,0.050000,0,0,2,0,0
600,2253.660,0.102132,0.822986,0.776160,0.869813,18,0.00020161,2,0.023269,0.037315,0.009222,0.972655,0.955706,0.989604,0.841478,0.805122,0.877834,0.000000,0.000000,0.071808,0.030183,0.050000,0,0,2,0,0
625,2277.792,0.099295,0.829518,0.782437,0.876599,18,0.00004923,2,0.023573,0.037815,0.009331,0.972534,0.955503,0.989564,0.848401,0.812025,0.884778,0.000000,0.000000,0.070537,0.028723,0.050000,0,0,2,0,0
650,2435.697,0.097352,0.834395,0.787765,0.881024,18,0.00006731,2,0.023493,0.038415,0.008571,0.972796,0.955145,0.990446,0.853301,0.818027,0.888575,0.000000,0.000000,0.069632,0.027673,0.050000,0,0,2,0,0
675,2459.908,0.095570,0.837342,0.790989,0.883696,18,0.00008726,3,0.023301,0.039116,0.007486,0.973117,0.954572,0.991662,0.856120,0.821929,0.890311,0.000000,0.000000,0.069210,0.026299,0.050000,0,0,2,0,0
700,2614.199,0.094542,0.839975,0.793047,0.886902,18,0.00008920,3,0.023042,0.038816,0.007269,0.973466,0.955004,0.991929,0.858589,0.823830,0.893349,0.000000,0.000000,0.068725,0.025755,0.050000,0,0,2,0,0
725,2638.108,0.095815,0.841687,0.795952,0.887422,18,0.00008646,3,0.024437,0.037915,0.010958,0.972026,0.956119,0.987933,0.861639,0.826130,0.897147,0.000000,0.000000,0.067569,0.028186,0.050000,0,0,2,0,0
750,2793.743,0.093552,0.844095,0.800482,0.887708,18,0.00008679,2,0.024024,0.037415,0.010633,0.972587,0.956888,0.988287,0.863789,0.830432,0.897147,0.000000,0.000000,0.065787,0.027704,0.050000,0,0,2,0,0
775,2818.015,0.091773,0.846401,0.801970,0.890833,18,0.00013613,2,0.023428,0.036114,0.010741,0.973280,0.958348,0.988211,0.865667,0.830932,0.900401,0.000000,0.000000,0.064421,0.027256,0.050000,0,0,2,0,0
800,2977.473,0.091763,0.848092,0.800984,0.895200,18,0.00017482,2,0.023965,0.037515,0.010416,0.972712,0.956807,0.988616,0.867778,0.831032,0.904524,0.000000,0.000000,0.065609,0.026032,0.050000,0,0,2,0,0
825,3002.190,0.090628,0.850279,0.803351,0.897207,18,0.00019772,2,0.024453,0.038816,0.010090,0.972272,0.955556,0.988989,0.870397,0.834534,0.906260,0.000000,0.000000,0.065144,0.025346,0.050000,0,0,2,0,0
850,3160.557,0.088303,0.850439,0.803203,0.897676,18,0.00025107,2,0.022684,0.037015,0.008354,0.974153,0.957452,0.990855,0.869054,0.832933,0.905175,0.000000,0.000000,0.064070,0.024058,0.050000,0,0,2,0,0
