step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.553,0.892890,0.282845,0.260753,0.304937,20,0.00021919,0,0.198431,0.185707,0.211154,0.630494,0.624746,0.636242,0.339251,0.309176,0.369326,0.000000,0.000000,0.463005,0.429732,0.050000,0,0,0,0,0
25,27.526,0.602688,0.401784,0.380960,0.422608,20,0.00011211,0,0.129203,0.115417,0.142990,0.778996,0.786402,0.771591,0.453983,0.424929,0.483036,0.000000,0.000000,0.307397,0.295212,0.050000,0,0,0,0,0
50,227.670,0.440838,0.473793,0.425519,0.522067,20,0.00020802,0,0.077877,0.067606,0.088149,0.868067,0.870460,0.865675,0.511186,0.454286,0.568087,0.000000,0.000000,0.239605,0.201087,0.050000,0,0,0,0,0
75,254.180,0.317754,0.584069,0.548777,0.619361,20,0.00051343,1,0.068830,0.055863,0.081797,0.901634,0.912068,0.891201,0.624728,0.579433,0.670023,0.000000,0.000000,0.163902,0.153492,0.050000,0,0,0,0,0
100,433.867,0.262112,0.607553,0.607027,0.608078,19,0.00035428,1,0.044965,0.031371,0.058559,0.934448,0.952284,0.916612,0.634878,0.626069,0.643687,0.000000,0.000000,0.120581,0.141283,0.050000,0,0,1,0,0
125,459.123,0.205179,0.688291,0.688223,0.688359,19,0.00037475,3,0.044597,0.029861,0.059334,0.942164,0.959573,0.924754,0.718988,0.708774,0.729202,0.000000,0.000000,0.091453,0.113464,0.050000,0,0,1,0,0
150,613.716,0.174483,0.735123,0.730638,0.739608,18,0.00041243,2,0.043629,0.028854,0.058404,0.946803,0.963035,0.930571,0.767262,0.751720,0.782804,0.000000,0.000000,0.077815,0.096379,0.050000,0,0,2,0,0
175,637.207,0.153661,0.766650,0.761842,0.771458,18,0.00018893,1,0.041487,0.023486,0.059489,0.951458,0.970760,0.932155,0.798543,0.779735,0.817351,0.000000,0.000000,0.065680,0.087849,0.050000,0,0,2,0,0
200,791.156,0.141135,0.783873,0.773055,0.794691,18,0.00010826,2,0.039351,0.022312,0.056390,0.954800,0.972543,0.937057,0.814904,0.790304,0.839504,0.000000,0.000000,0.061521,0.079538,0.050000,0,0,2,0,0
225,814.226,0.127370,0.801298,0.790767,0.811829,18,0.00011262,1,0.035214,0.017447,0.052982,0.960207,0.978776,0.941638,0.829702,0.804563,0.854841,0.000000,0.000000,0.053746,0.073544,0.050000,0,0,2,0,0
