step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,2.009,0.879408,0.287914,0.266884,0.308944,20,0.00024157,0,0.195669,0.182352,0.208985,0.637492,0.633760,0.641223,0.344530,0.315551,0.373509,0.000000,0.000000,0.454359,0.424880,0.050000,0,0,0,0,0
25,27.335,0.440598,0.507248,0.504660,0.509836,20,0.00021524,2,0.107012,0.080020,0.134005,0.841907,0.871981,0.811834,0.561600,0.545043,0.578156,0.000000,0.000000,0.203989,0.236459,0.050000,0,0,0,0,0
50,211.694,0.302792,0.596928,0.549825,0.644031,20,0.00009157,0,0.065861,0.057205,0.074516,0.906597,0.910405,0.902789,0.636650,0.581278,0.692022,0.000000,0.000000,0.164349,0.138379,0.050000,0,0,0,0,0
75,236.571,0.216995,0.710980,0.671086,0.750874,20,0.00021544,2,0.063445,0.062909,0.063981,0.922403,0.918954,0.925853,0.756109,0.713303,0.798916,0.000000,0.000000,0.120434,0.096410,0.050000,0,0,0,0,0
100,400.232,0.176526,0.728373,0.726501,0.730245,18,0.00033039,1,0.042358,0.028015,0.056700,0.947698,0.963845,0.931550,0.759252,0.746855,0.771650,0.000000,0.000000,0.078028,0.098267,0.050000,0,0,2,0,0
125,422.816,0.158134,0.750313,0.729450,0.771176,18,0.00026201,1,0.037963,0.022479,0.053447,0.954507,0.970742,0.938272,0.779121,0.745848,0.812393,0.000000,0.000000,0.073492,0.084459,0.050000,0,0,2,0,0
150,562.747,0.148602,0.764611,0.738881,0.790342,18,0.00019020,2,0.037176,0.022144,0.052208,0.956222,0.971515,0.940929,0.793423,0.755242,0.831603,0.000000,0.000000,0.070285,0.078184,0.050000,0,0,2,0,0
175,584.536,0.136088,0.781748,0.755599,0.807897,18,0.00022927,1,0.033091,0.018621,0.047560,0.961586,0.976378,0.946794,0.807995,0.769670,0.846321,0.000000,0.000000,0.064439,0.071489,0.050000,0,0,2,0,0
200,727.973,0.130002,0.790763,0.759849,0.821678,18,0.00030675,2,0.032677,0.021976,0.043377,0.962160,0.972479,0.951840,0.816934,0.776548,0.857320,0.000000,0.000000,0.065210,0.064578,0.050000,0,0,2,0,0
225,750.179,0.120906,0.800191,0.766251,0.834130,18,0.00034092,1,0.029346,0.021976,0.036716,0.965987,0.972703,0.959271,0.823923,0.783090,0.864756,0.000000,0.000000,0.063008,0.057659,0.050000,0,0,2,0,0
250,892.210,0.115384,0.807120,0.770621,0.843619,18,0.00028339,1,0.027603,0.020970,0.034237,0.968141,0.974039,0.962242,0.829641,0.786781,0.872502,0.000000,0.000000,0.061597,0.053589,0.050000,0,0,2,0,0
275,914.075,0.106234,0.814428,0.774926,0.853931,18,0.00095908,1,0.023137,0.019628,0.026646,0.973132,0.975761,0.970502,0.833410,0.790136,0.876685,0.000000,0.000000,0.059685,0.045878,0.050000,0,0,2,0,0
300,1049.799,0.101900,0.823294,0.788927,0.857660,16,0.00102743,1,0.022769,0.018118,0.027421,0.973881,0.977941,0.969821,0.842199,0.803221,0.881177,0.000000,0.000000,0.055364,0.045816,0.050000,0,0,4,0,0
325,1070.472,0.097690,0.827921,0.788348,0.867494,16,0.00036545,1,0.021730,0.019292,0.024167,0.975037,0.976555,0.973519,0.846008,0.803556,0.888459,0.000000,0.000000,0.056066,0.041368,0.050000,0,0,4,0,0
350,1198.449,0.092502,0.832619,0.790694,0.874544,15,0.00034584,1,0.019522,0.020299,0.018745,0.977425,0.975456,0.979394,0.848841,0.806744,0.890937,0.000000,0.000000,0.056114,0.036146,0.050000,0,0,5,0,0
375,1217.887,0.088079,0.839237,0.802506,0.875969,15,0.00028194,1,0.018412,0.017614,0.019210,0.978911,0.978886,0.978937,0.854719,0.816642,0.892796,0.000000,0.000000,0.051012,0.036870,0.050000,0,0,5,0,0
400,1343.618,0.084110,0.848774,0.822376,0.875171,15,0.00018225,1,0.018509,0.018118,0.018900,0.979032,0.978819,0.979245,0.864494,0.837276,0.891712,0.000000,0.000000,0.047228,0.036754,0.050000,0,0,5,0,0
425,1363.246,0.079926,0.854124,0.830033,0.878216,15,0.00016545,1,0.017134,0.016608,0.017661,0.980660,0.980698,0.980622,0.868772,0.843818,0.893726,0.000000,0.000000,0.044774,0.035035,0.050000,0,0,5,0,0
450,1488.726,0.074655,0.857882,0.831461,0.884304,15,0.00018347,1,0.014449,0.015266,0.013633,0.983628,0.982237,0.985019,0.870257,0.844154,0.896359,0.000000,0.000000,0.043185,0.031341,0.050000,0,0,5,0,0
475,1508.145,0.073794,0.862370,0.839518,0.885221,15,0.00006336,0,0.015372,0.017111,0.013633,0.982694,0.980354,0.985034,0.875586,0.853884,0.897289,0.000000,0.000000,0.042722,0.031028,0.050000,0,0,5,0,0
500,1632.753,0.071865,0.869432,0.848110,0.890754,15,0.00007152,0,0.015721,0.016105,0.015337,0.982490,0.981655,0.983325,0.883092,0.861768,0.904415,0.000000,0.000000,0.040452,0.031362,0.050000,0,0,5,0,0
525,1652.088,0.068896,0.872023,0.853203,0.890842,15,0.00003832,1,0.014630,0.015937,0.013323,0.983701,0.981946,0.985456,0.884756,0.866801,0.902711,0.000000,0.000000,0.039175,0.029694,0.050000,0,0,5,0,0
550,1776.159,0.071114,0.874293,0.856273,0.892312,15,0.00004244,1,0.017302,0.018957,0.015647,0.980882,0.978735,0.983028,0.889389,0.872505,0.906274,0.000000,0.000000,0.040202,0.030882,0.050000,0,0,5,0,0
575,1795.268,0.068878,0.876845,0.860511,0.893179,15,0.00003594,1,0.016314,0.017447,0.015182,0.981997,0.980462,0.983532,0.891132,0.875524,0.906739,0.000000,0.000000,0.038293,0.030560,0.050000,0,0,5,0,0
600,1918.322,0.068429,0.876382,0.862029,0.890735,15,0.00002992,0,0.015921,0.015266,0.016576,0.982439,0.982856,0.982023,0.890344,0.875189,0.905500,0.000000,0.000000,0.036875,0.031534,0.050000,0,0,5,0,0
625,1937.412,0.071996,0.879100,0.866173,0.892027,15,0.00004489,1,0.019632,0.019124,0.020139,0.978571,0.978795,0.978348,0.896365,0.882738,0.909992,0.000000,0.000000,0.037967,0.033997,0.050000,0,0,5,0,0
650,2060.401,0.069021,0.880184,0.865159,0.895209,15,0.00003012,0,0.017515,0.016440,0.018590,0.980834,0.981648,0.980020,0.895617,0.879383,0.911851,0.000000,0.000000,0.036770,0.032230,0.050000,0,0,5,0,0
675,2079.173,0.069051,0.882264,0.868391,0.896137,15,0.00004148,0,0.018599,0.018453,0.018745,0.979721,0.979562,0.979880,0.898676,0.884415,0.912936,0.000000,0.000000,0.037341,0.031680,0.050000,0,0,5,0,0
700,2202.384,0.067914,0.882158,0.867744,0.896573,15,0.00006838,1,0.017160,0.017279,0.017041,0.981228,0.980801,0.981654,0.897295,0.882738,0.911851,0.000000,0.000000,0.036567,0.031299,0.050000,0,0,5,0,0
725,2221.429,0.067318,0.885911,0.876197,0.895624,15,0.00007592,0,0.017974,0.016272,0.019675,0.980482,0.982054,0.978911,0.901850,0.890455,0.913246,0.000000,0.000000,0.034474,0.032791,0.050000,0,0,5,0,0
750,2340.295,0.067478,0.885277,0.876488,0.894066,15,0.00007996,0,0.017677,0.014595,0.020759,0.980806,0.983853,0.977759,0.900953,0.889280,0.912626,0.000000,0.000000,0.033323,0.034099,0.050000,0,0,5,0,0
775,2358.933,0.066599,0.888068,0.879993,0.896143,15,0.00009180,0,0.018283,0.016272,0.020294,0.980208,0.982130,0.978286,0.904322,0.894313,0.914330,0.000000,0.000000,0.033206,0.033328,0.050000,0,0,5,0,0
800,2477.727,0.065827,0.887450,0.880956,0.893944,15,0.00009448,0,0.017786,0.017447,0.018125,0.980690,0.980907,0.980474,0.903237,0.896326,0.910147,0.000000,0.000000,0.033643,0.032118,0.050000,0,0,5,0,0
