step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.745,0.879408,0.287914,0.266884,0.308944,20,0.00024157,0,0.195669,0.182352,0.208985,0.637492,0.633760,0.641223,0.344530,0.315551,0.373509,0.000000,0.000000,0.454359,0.424880,0.050000,0,0,0,0,0
25,28.185,0.440598,0.507248,0.504660,0.509836,20,0.00021524,2,0.107012,0.080020,0.134005,0.841907,0.871981,0.811834,0.561600,0.545043,0.578156,0.000000,0.000000,0.203989,0.236459,0.050000,0,0,0,0,0
50,364.249,0.292045,0.626102,0.605560,0.646643,20,0.00009157,0,0.076040,0.056031,0.096050,0.900047,0.919440,0.880654,0.674121,0.639490,0.708753,0.000000,0.000000,0.140292,0.151690,0.050000,0,0,0,0,0
75,390.572,0.197013,0.744980,0.746559,0.743400,20,0.00040185,2,0.064201,0.060393,0.068009,0.925110,0.929120,0.921100,0.792802,0.791646,0.793958,0.000000,0.000000,0.095541,0.101191,0.050000,0,0,0,0,0
100,677.595,0.168120,0.757235,0.779737,0.734733,18,0.00035029,1,0.047092,0.046469,0.047715,0.943876,0.946119,0.941634,0.792881,0.815970,0.769791,0.000000,0.000000,0.076961,0.090914,0.050000,0,0,2,0,0
125,701.184,0.142743,0.795673,0.815187,0.776159,18,0.00049776,2,0.043280,0.033887,0.052672,0.950392,0.961347,0.939437,0.829926,0.842812,0.817041,0.000000,0.000000,0.059967,0.082428,0.050000,0,0,2,0,0
150,961.116,0.122865,0.818591,0.839928,0.797253,17,0.00019098,3,0.037556,0.026002,0.049109,0.957626,0.970711,0.944542,0.849087,0.861768,0.836406,0.000000,0.000000,0.048151,0.074579,0.050000,0,0,3,0,0
175,983.527,0.108159,0.832980,0.848604,0.817356,17,0.00023830,2,0.031192,0.021641,0.040744,0.964970,0.975647,0.954293,0.858814,0.866969,0.850658,0.000000,0.000000,0.044067,0.063925,0.050000,0,0,3,0,0
200,1241.438,0.103918,0.839264,0.851682,0.826846,17,0.00013814,2,0.030605,0.022479,0.038730,0.965844,0.974836,0.956852,0.864848,0.870827,0.858869,0.000000,0.000000,0.043394,0.060427,0.050000,0,0,3,0,0
225,1263.682,0.098869,0.842096,0.858105,0.826087,17,0.00017048,1,0.027390,0.021473,0.033308,0.969267,0.976088,0.962445,0.865066,0.876531,0.853602,0.000000,0.000000,0.041513,0.057237,0.050000,0,0,3,0,0
250,1517.998,0.095064,0.849329,0.859372,0.839286,17,0.00105734,1,0.026758,0.021137,0.032378,0.970229,0.976479,0.963978,0.871999,0.877537,0.866460,0.000000,0.000000,0.040901,0.053422,0.050000,0,0,3,0,0
275,1540.231,0.089478,0.856401,0.865375,0.847427,17,0.00074869,0,0.025699,0.021808,0.029589,0.971565,0.975930,0.967199,0.878375,0.884248,0.872502,0.000000,0.000000,0.039306,0.049647,0.050000,0,0,3,0,0
300,1790.491,0.079662,0.864630,0.877167,0.852092,16,0.00022632,0,0.020756,0.016105,0.025407,0.976998,0.982252,0.971744,0.882517,0.891293,0.873741,0.000000,0.000000,0.033399,0.046105,0.050000,0,0,4,0,0
325,1811.398,0.078317,0.867922,0.882761,0.853083,16,0.00006521,0,0.020439,0.015937,0.024942,0.977403,0.982540,0.972265,0.885595,0.896829,0.874361,0.000000,0.000000,0.032718,0.045554,0.050000,0,0,4,0,0
350,2062.212,0.074241,0.873588,0.884558,0.862617,16,0.00009113,0,0.019271,0.015769,0.022773,0.978795,0.982752,0.974837,0.890384,0.898507,0.882262,0.000000,0.000000,0.032094,0.042083,0.050000,0,0,4,0,0
375,2083.610,0.072995,0.875200,0.886322,0.864078,16,0.00004629,1,0.019000,0.016776,0.021224,0.979119,0.981725,0.976513,0.891804,0.901191,0.882417,0.000000,0.000000,0.032129,0.040834,0.050000,0,0,4,0,0
400,2317.995,0.071305,0.877760,0.883974,0.871546,15,0.00008974,0,0.018367,0.016440,0.020294,0.979859,0.982032,0.977687,0.893870,0.898507,0.889233,0.000000,0.000000,0.032465,0.038777,0.050000,0,0,5,0,0
425,2337.891,0.072227,0.875831,0.884247,0.867415,15,0.00013802,0,0.018580,0.015937,0.021224,0.979585,0.982569,0.976601,0.892082,0.898339,0.885825,0.000000,0.000000,0.032136,0.039995,0.050000,0,0,5,0,0
450,2574.233,0.071683,0.877239,0.883955,0.870522,15,0.00026260,2,0.018438,0.016272,0.020604,0.979772,0.982208,0.977335,0.893399,0.898339,0.888459,0.000000,0.000000,0.032591,0.038908,0.050000,0,0,5,0,0
475,2594.759,0.070343,0.879347,0.884831,0.873862,15,0.00033174,1,0.017935,0.015266,0.020604,0.980355,0.983290,0.977419,0.895103,0.898339,0.891867,0.000000,0.000000,0.032119,0.037991,0.050000,0,0,5,0,0
500,2828.364,0.067251,0.881738,0.889788,0.873687,15,0.00026978,1,0.016618,0.015266,0.017971,0.981788,0.983382,0.980195,0.896380,0.903372,0.889388,0.000000,0.000000,0.030789,0.036273,0.050000,0,0,5,0,0
