step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,2.015,1.154370,0.167823,0.203055,0.132591,20,0.00019109,0,0.165923,0.113445,0.218401,0.545533,0.665881,0.425186,0.193820,0.226090,0.161549,0.000000,0.000000,0.491578,0.662657,0.050000,0,0,0,0,0
25,35.969,0.489249,0.456785,0.475393,0.438177,20,0.00027225,1,0.099643,0.087535,0.111750,0.834305,0.855204,0.813406,0.502075,0.517007,0.487143,0.000000,0.000000,0.225005,0.264053,0.050000,0,0,0,0,0
50,457.111,0.275617,0.629536,0.630018,0.629054,20,0.00057027,2,0.064834,0.069128,0.060540,0.911863,0.906923,0.916803,0.670353,0.673569,0.667137,0.000000,0.000000,0.140516,0.134702,0.050000,0,0,0,0,0
75,492.150,0.200378,0.721023,0.669801,0.772245,20,0.00124085,0,0.053875,0.064026,0.043724,0.933056,0.917568,0.948544,0.759348,0.712685,0.806011,0.000000,0.000000,0.122415,0.077095,0.050000,0,0,0,0,0
100,881.384,0.169448,0.762824,0.715896,0.809752,19,0.00108745,1,0.049819,0.056022,0.043615,0.940965,0.931009,0.950922,0.800536,0.756002,0.845069,0.000000,0.000000,0.101153,0.067534,0.050000,0,0,1,0,0
125,914.408,0.137193,0.800667,0.760405,0.840928,19,0.00020540,0,0.040692,0.057623,0.023760,0.953141,0.933140,0.973142,0.832565,0.804222,0.860909,0.000000,0.000000,0.090234,0.046815,0.050000,0,0,1,0,0
150,1296.854,0.117492,0.831933,0.813956,0.849909,18,0.00009964,1,0.039359,0.060924,0.017793,0.956972,0.934098,0.979845,0.864289,0.863545,0.865032,0.000000,0.000000,0.076813,0.040609,0.050000,0,0,2,0,0
175,1328.977,0.114284,0.848134,0.823944,0.872325,18,0.00006465,0,0.042152,0.065426,0.018878,0.954921,0.930640,0.979202,0.883322,0.877851,0.888792,0.000000,0.000000,0.077633,0.036606,0.050000,0,0,2,0,0
200,1686.996,0.097609,0.866194,0.840887,0.891501,17,0.00051955,0,0.035292,0.050620,0.019963,0.962162,0.945807,0.978517,0.896376,0.883453,0.909298,0.000000,0.000000,0.064018,0.033228,0.050000,0,0,3,0,0
225,1716.756,0.090281,0.875635,0.855293,0.895977,17,0.00021439,0,0.032675,0.043217,0.022133,0.965102,0.953802,0.976403,0.904032,0.892257,0.915808,0.000000,0.000000,0.056103,0.034028,0.050000,0,0,3,0,0
250,2067.892,0.084887,0.889692,0.877890,0.901493,17,0.00023125,0,0.033610,0.042917,0.024303,0.964790,0.955224,0.974356,0.919484,0.915566,0.923402,0.000000,0.000000,0.050651,0.034074,0.050000,0,0,3,0,0
275,2097.723,0.077860,0.895379,0.890748,0.900011,17,0.00016529,0,0.029547,0.040216,0.018878,0.969115,0.958402,0.979828,0.921786,0.926571,0.917001,0.000000,0.000000,0.046765,0.030979,0.050000,0,0,3,0,0
300,2445.995,0.076579,0.897344,0.892503,0.902184,17,0.00010102,0,0.028871,0.039516,0.018227,0.969846,0.959148,0.980544,0.923200,0.927771,0.918629,0.000000,0.000000,0.046432,0.030076,0.050000,0,0,3,0,0
325,2475.205,0.076622,0.900494,0.896306,0.904681,17,0.00005586,0,0.029935,0.040016,0.019855,0.968887,0.958839,0.978934,0.927408,0.932173,0.922643,0.000000,0.000000,0.045968,0.030616,0.050000,0,0,3,0,0
350,2813.070,0.072682,0.900989,0.900462,0.901517,17,0.00006899,1,0.027474,0.039216,0.015732,0.971444,0.959778,0.983110,0.925737,0.935774,0.915699,0.000000,0.000000,0.044168,0.028465,0.050000,0,0,3,0,0
375,2843.013,0.072839,0.905028,0.903632,0.906423,17,0.00005907,1,0.029017,0.041216,0.016817,0.970056,0.958032,0.982081,0.931271,0.940876,0.921666,0.000000,0.000000,0.044517,0.028281,0.050000,0,0,3,0,0
400,3184.504,0.072351,0.906800,0.903822,0.909778,17,0.00002958,1,0.028834,0.039116,0.018553,0.970194,0.960016,0.980372,0.932916,0.939176,0.926657,0.000000,0.000000,0.043597,0.028733,0.050000,0,0,3,0,0
425,3213.600,0.072689,0.905878,0.902160,0.909595,17,0.00002883,1,0.029204,0.041917,0.016491,0.969893,0.957310,0.982476,0.932286,0.939976,0.924596,0.000000,0.000000,0.045191,0.027478,0.050000,0,0,3,0,0
450,3552.184,0.073831,0.907115,0.902678,0.911552,17,0.00007791,1,0.030218,0.042317,0.018119,0.968905,0.956960,0.980851,0.934472,0.940876,0.928068,0.000000,0.000000,0.045710,0.028066,0.050000,0,0,3,0,0
475,3581.208,0.071800,0.904759,0.899923,0.909595,17,0.00002661,1,0.027553,0.038615,0.016491,0.971401,0.960325,0.982476,0.929635,0.934674,0.924596,0.000000,0.000000,0.044180,0.027602,0.050000,0,0,3,0,0
