step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.849,0.984571,0.233536,0.202663,0.264408,20,0.00000000,0,0.176607,0.176534,0.176681,0.606197,0.574590,0.637805,0.274782,0.238440,0.311124,0.000000,0.000000,0.530701,0.453870,0.050000,0,0,0,0,0
25,27.176,0.433511,0.492658,0.501849,0.483466,20,0.00000460,1,0.091101,0.109983,0.072219,0.856417,0.835115,0.877720,0.537713,0.557044,0.518382,0.000000,0.000000,0.224412,0.209095,0.050000,0,0,0,0,0
50,349.347,0.297267,0.569463,0.574674,0.564251,20,0.00032291,3,0.048811,0.069901,0.027722,0.926147,0.897917,0.954376,0.597369,0.614844,0.579893,0.000000,0.000000,0.162553,0.134488,0.050000,0,0,0,0,0
75,375.658,0.217692,0.663320,0.642872,0.683769,20,0.00043202,4,0.042152,0.063959,0.020345,0.943077,0.914488,0.971665,0.690834,0.683989,0.697680,0.000000,0.000000,0.131532,0.085857,0.050000,0,0,0,0,0
100,673.066,0.182238,0.716990,0.663028,0.770952,19,0.00063340,3,0.039845,0.058989,0.020702,0.948432,0.922498,0.974367,0.744526,0.702139,0.786913,0.000000,0.000000,0.120568,0.061227,0.050000,0,0,1,0,0
125,697.746,0.174108,0.732177,0.671799,0.792556,19,0.00038594,2,0.039694,0.059637,0.019750,0.949423,0.922700,0.976146,0.760036,0.711863,0.808209,0.000000,0.000000,0.118047,0.055791,0.050000,0,0,1,0,0
150,999.741,0.153549,0.750632,0.679569,0.821695,19,0.00043013,2,0.031390,0.043863,0.018917,0.959836,0.941767,0.977904,0.773309,0.709378,0.837240,0.000000,0.000000,0.105740,0.047507,0.050000,0,0,1,0,0
175,1024.890,0.139935,0.763184,0.686987,0.839380,19,0.00024299,2,0.026812,0.040298,0.013325,0.965599,0.946623,0.984575,0.782618,0.714672,0.850565,0.000000,0.000000,0.100070,0.039694,0.050000,0,0,1,0,0
200,1306.713,0.125221,0.786528,0.697364,0.875692,18,0.00001459,4,0.023882,0.037057,0.010708,0.969652,0.951258,0.988046,0.804137,0.723207,0.885068,0.000000,0.000000,0.094472,0.030739,0.050000,0,0,2,0,0
225,1330.141,0.115083,0.801270,0.717171,0.885369,18,0.00006766,3,0.023279,0.032519,0.014039,0.971267,0.957932,0.984603,0.819146,0.740493,0.897799,0.000000,0.000000,0.084658,0.030378,0.050000,0,0,2,0,0
250,1611.708,0.103259,0.809927,0.727539,0.892315,17,0.00001888,3,0.017488,0.031763,0.003212,0.977914,0.959403,0.996424,0.822915,0.750648,0.895181,0.000000,0.000000,0.081616,0.021629,0.050000,0,0,3,0,0
275,1634.506,0.104849,0.819685,0.740272,0.899098,17,0.00002286,2,0.021712,0.041162,0.002261,0.973400,0.949301,0.997498,0.835937,0.770743,0.901130,0.000000,0.000000,0.084669,0.020164,0.050000,0,0,3,0,0
300,1907.405,0.104141,0.823298,0.750491,0.896105,17,0.00002232,1,0.023861,0.045700,0.002023,0.971362,0.944972,0.997753,0.841353,0.784788,0.897918,0.000000,0.000000,0.084255,0.019871,0.050000,0,0,3,0,0
325,1930.404,0.097638,0.827014,0.760454,0.893574,17,0.00002940,2,0.020172,0.038678,0.001666,0.975731,0.953319,0.998142,0.842464,0.789866,0.895062,0.000000,0.000000,0.077229,0.020389,0.050000,0,0,3,0,0
350,2206.887,0.093214,0.831869,0.763405,0.900333,17,0.00005884,1,0.018600,0.035653,0.001547,0.977570,0.956851,0.998288,0.846174,0.790622,0.901725,0.000000,0.000000,0.074162,0.019011,0.050000,0,0,3,0,0
375,2230.017,0.090355,0.834304,0.763518,0.905090,17,0.00003923,1,0.016654,0.032952,0.000357,0.979750,0.959895,0.999606,0.847046,0.788678,0.905413,0.000000,0.000000,0.072545,0.017782,0.050000,0,0,3,0,0
