pair,arm,config,step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
sun_moon,hinge2_restart_importnet,tversky_r5p33,1,1.547,0.932892,0.250678,0.220587,0.280770,20,0.00000000,0,0.167922,0.167135,0.168709,0.633401,0.606361,0.660441,0.292796,0.257455,0.328138,0.000000,0.000000,0.501310,0.431582,0.050000,0,0,0,0,0
sun_moon,hinge2_restart_importnet,tversky_r5p33,25,27.014,0.351515,0.565656,0.574923,0.556388,20,0.00087811,4,0.084729,0.121867,0.047591,0.882798,0.841082,0.924514,0.613927,0.644987,0.582867,0.000000,0.000000,0.197060,0.153840,0.050000,0,0,0,0,0
sun_moon,hinge2_restart_importnet,tversky_r5p33,50,345.222,0.237109,0.682852,0.623654,0.742051,20,0.00208355,4,0.063086,0.093453,0.032719,0.919265,0.879476,0.959053,0.724133,0.681936,0.766330,0.000000,0.000000,0.157553,0.078097,0.050000,0,0,0,0,0
sun_moon,hinge2_restart_importnet,tversky_r5p33,75,370.508,0.213146,0.717576,0.645120,0.790032,20,0.00101045,3,0.061346,0.091400,0.031291,0.924058,0.885101,0.963015,0.759418,0.704084,0.814753,0.000000,0.000000,0.148352,0.064087,0.050000,0,0,0,0,0
sun_moon,hinge2_restart_importnet,tversky_r5p33,100,670.963,0.194313,0.740439,0.644576,0.836301,19,0.00060880,3,0.054201,0.072710,0.035693,0.932636,0.904849,0.960422,0.778797,0.691443,0.866151,0.000000,0.000000,0.137712,0.056175,0.050000,0,0,1,0,0
sun_moon,hinge2_restart_importnet,tversky_r5p33,125,694.769,0.162168,0.772987,0.692718,0.853257,19,0.00020208,3,0.046635,0.074114,0.019155,0.943931,0.909415,0.978447,0.806830,0.744058,0.869601,0.000000,0.000000,0.120897,0.041129,0.050000,0,0,1,0,0
sun_moon,hinge2_restart_importnet,tversky_r5p33,150,970.059,0.159881,0.786404,0.725051,0.847756,18,0.00026455,3,0.052318,0.065255,0.039381,0.939657,0.922095,0.957219,0.826753,0.772364,0.881142,0.000000,0.000000,0.104648,0.055048,0.050000,0,0,2,0,0
sun_moon,hinge2_restart_importnet,tversky_r5p33,175,992.981,0.123688,0.808886,0.735625,0.882147,18,0.00044916,2,0.032086,0.046564,0.017609,0.961864,0.942967,0.980762,0.833779,0.769879,0.897680,0.000000,0.000000,0.089825,0.033548,0.050000,0,0,2,0,0
sun_moon,hinge2_restart_importnet,tversky_r5p33,200,1274.554,0.109710,0.814633,0.744309,0.884957,18,0.00020877,4,0.024657,0.044080,0.005235,0.970236,0.946323,0.994150,0.833354,0.777118,0.889590,0.000000,0.000000,0.084955,0.024609,0.050000,0,0,2,0,0
sun_moon,hinge2_restart_importnet,tversky_r5p33,225,1298.274,0.103097,0.824716,0.747766,0.901666,18,0.00043755,5,0.023102,0.039542,0.006663,0.972153,0.951594,0.992713,0.842504,0.777334,0.907674,0.000000,0.000000,0.080438,0.022353,0.050000,0,0,2,0,0
sun_moon,hinge2_restart_importnet,tversky_r5p33,250,1581.795,0.103028,0.819579,0.752651,0.886506,17,0.00045282,3,0.021696,0.039110,0.004283,0.973793,0.952375,0.995212,0.836195,0.782087,0.890303,0.000000,0.000000,0.079157,0.023554,0.050000,0,0,3,0,0
sun_moon,hinge2_restart_importnet,tversky_r5p33,275,1604.924,0.104657,0.818759,0.737994,0.899525,17,0.00045696,3,0.021690,0.041595,0.001785,0.973345,0.948667,0.998023,0.834910,0.768691,0.901130,0.000000,0.000000,0.085132,0.019205,0.050000,0,0,3,0,0
sun_moon,hinge2_restart_importnet,tversky_r5p33,300,1884.451,0.091754,0.832580,0.749581,0.915578,17,0.00026141,0,0.016785,0.031547,0.002023,0.979300,0.960800,0.997800,0.845329,0.773228,0.917430,0.000000,0.000000,0.074897,0.016675,0.050000,0,0,3,0,0
sun_moon,hinge2_restart_importnet,tversky_r5p33,325,1907.355,0.087101,0.836182,0.762906,0.909458,17,0.00021583,1,0.015084,0.027550,0.002617,0.981594,0.966050,0.997138,0.847881,0.783924,0.911838,0.000000,0.000000,0.068819,0.018131,0.050000,0,0,3,0,0
sun_moon,hinge2_restart_importnet,tversky_r5p33,350,2177.863,0.093225,0.831255,0.751181,0.911329,17,0.00024007,1,0.017030,0.029062,0.004997,0.979170,0.963766,0.994574,0.844448,0.773012,0.915883,0.000000,0.000000,0.073762,0.019295,0.050000,0,0,3,0,0
sun_moon,hinge2_restart_importnet,tversky_r5p33,375,2200.632,0.088711,0.839919,0.764021,0.915817,17,0.00009105,2,0.017013,0.030575,0.003450,0.979440,0.962621,0.996260,0.853179,0.787381,0.918977,0.000000,0.000000,0.070938,0.017709,0.050000,0,0,3,0,0
sun_moon,hinge2_restart_importnet,tversky_r5p33,400,2465.556,0.095402,0.846077,0.765882,0.926272,17,0.00010302,3,0.023906,0.042459,0.005354,0.971894,0.949505,0.994284,0.864816,0.798401,0.931231,0.000000,0.000000,0.078516,0.016814,0.050000,0,0,3,0,0
sun_moon,hinge2_restart_importnet,tversky_r5p33,425,2488.232,0.096319,0.845422,0.762290,0.928555,17,0.00014423,1,0.023766,0.041703,0.005830,0.971950,0.950103,0.993797,0.864024,0.794080,0.933968,0.000000,0.000000,0.079417,0.016801,0.050000,0,0,3,0,0
sun_moon,hinge2_restart_importnet,tversky_r5p33,450,2752.121,0.096108,0.842752,0.757026,0.928478,17,0.00010571,3,0.022452,0.041811,0.003093,0.973172,0.949655,0.996690,0.860014,0.788678,0.931350,0.000000,0.000000,0.080981,0.015053,0.050000,0,0,3,0,0
sun_moon,hinge2_restart_importnet,tversky_r5p33,475,2775.152,0.107039,0.843067,0.762052,0.924082,17,0.00009663,3,0.030964,0.051102,0.010827,0.964285,0.940028,0.988542,0.867540,0.800994,0.934087,0.000000,0.000000,0.086150,0.020821,0.050000,0,0,3,0,0
sun_moon,hinge2_restart_importnet,tversky_r5p33,500,3054.005,0.108792,0.847624,0.771973,0.923276,17,0.00011657,3,0.033639,0.054667,0.012612,0.961885,0.937080,0.986690,0.874547,0.814175,0.934920,0.000000,0.000000,0.085669,0.023042,0.050000,0,0,3,0,0
sun_moon,hinge2_restart_importnet,tversky_r5p33,525,3076.888,0.113974,0.847234,0.778582,0.915887,17,0.00021528,2,0.038649,0.060285,0.017014,0.957003,0.931943,0.982062,0.878494,0.825519,0.931469,0.000000,0.000000,0.087356,0.026467,0.050000,0,0,3,0,0
sun_moon,hinge2_restart_importnet,tversky_r5p33,550,3359.655,0.113338,0.845505,0.772346,0.918663,17,0.00014165,1,0.037240,0.056396,0.018084,0.958189,0.935348,0.981031,0.875590,0.815903,0.935277,0.000000,0.000000,0.086239,0.026999,0.050000,0,0,3,0,0
sun_moon,hinge2_restart_importnet,tversky_r5p33,575,3382.340,0.127045,0.832122,0.772834,0.891410,17,0.00008232,3,0.043193,0.058665,0.027722,0.951862,0.933095,0.970629,0.867147,0.818172,0.916121,0.000000,0.000000,0.087735,0.039252,0.050000,0,0,3,0,0
sun_moon,hinge2_restart_importnet,tversky_r5p33,600,3657.632,0.129509,0.836260,0.768775,0.903745,17,0.00004406,2,0.046590,0.057368,0.035812,0.948616,0.934078,0.963153,0.874494,0.812878,0.936109,0.000000,0.000000,0.088131,0.041347,0.050000,0,0,3,0,0
sun_moon,hinge2_restart_importnet,tversky_r5p33,625,3680.508,0.128751,0.841738,0.776031,0.907446,17,0.00011589,3,0.048504,0.058341,0.038667,0.947134,0.933677,0.960592,0.881920,0.821305,0.942534,0.000000,0.000000,0.086270,0.042400,0.050000,0,0,3,0,0
sun_moon,hinge2_restart_importnet,tversky_r5p33,650,3937.264,0.131403,0.836787,0.777459,0.896114,16,0.00011701,1,0.048235,0.055424,0.041047,0.947292,0.936729,0.957855,0.876723,0.820549,0.932897,0.000000,0.000000,0.084512,0.046809,0.050000,0,0,4,0,0
sun_moon,hinge2_restart_importnet,tversky_r5p33,675,3958.662,0.137474,0.824789,0.771041,0.878537,16,0.00016723,1,0.049216,0.051318,0.047115,0.945870,0.940461,0.951280,0.865269,0.810609,0.919929,0.000000,0.000000,0.082713,0.054644,0.050000,0,0,4,0,0
sun_moon,hinge2_restart_importnet,tversky_r5p33,700,4204.248,0.132009,0.822095,0.745096,0.899093,16,0.00000551,1,0.043212,0.062986,0.023438,0.950747,0.926333,0.975161,0.856097,0.792027,0.920167,0.000000,0.000000,0.097942,0.034063,0.050000,0,0,4,0,0
