step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.500,1.660304,0.161737,0.165288,0.158186,20,0.00000000,0,0.077283,0.090495,0.064072,0.695023,0.665751,0.724295,0.174283,0.180246,0.168321,0.024734,0.027956,0.805480,0.828545,0.050000,0,0,0,0,0
25,26.770,1.327623,0.294239,0.305173,0.283305,20,0.00000000,0,0.041017,0.053571,0.028462,0.884094,0.857178,0.911010,0.306445,0.321522,0.291369,0.014339,0.012149,0.664168,0.705017,0.050000,0,0,0,0,0
50,197.809,1.038427,0.442498,0.441586,0.443409,23,0.00000000,0,0.032065,0.041295,0.022836,0.934829,0.917595,0.952063,0.456678,0.459821,0.453535,0.011134,0.009742,0.527029,0.543272,0.050000,3,0,0,0,0
75,228.504,0.814666,0.560981,0.549791,0.572172,23,0.00004871,1,0.031324,0.045108,0.017540,0.948982,0.927210,0.970754,0.578399,0.574591,0.582208,0.012073,0.007567,0.412099,0.414491,0.050000,3,0,0,0,0
100,419.443,0.685802,0.632198,0.627042,0.637353,22,0.00086596,4,0.034231,0.053106,0.015356,0.951192,0.925564,0.976821,0.653741,0.660342,0.647141,0.014186,0.006559,0.328649,0.349697,0.050000,3,0,1,0,0
125,449.034,0.591792,0.681890,0.669856,0.693924,22,0.00161727,6,0.032088,0.049944,0.014231,0.956938,0.933696,0.980181,0.703555,0.703311,0.703799,0.013468,0.006059,0.285491,0.292691,0.050000,3,0,1,0,0
150,635.467,0.534595,0.713692,0.691398,0.735986,22,0.00204160,3,0.033664,0.054222,0.013106,0.956744,0.930760,0.982727,0.737260,0.728888,0.745631,0.014678,0.005472,0.260549,0.251258,0.050000,3,0,1,0,0
175,664.407,0.478991,0.743122,0.700255,0.785990,22,0.00176581,2,0.034869,0.057757,0.011980,0.956413,0.927665,0.985162,0.768053,0.740699,0.795406,0.015269,0.005078,0.248151,0.201300,0.050000,3,0,1,0,0
200,845.779,0.437836,0.765512,0.713984,0.817040,22,0.00034859,3,0.034497,0.057478,0.011517,0.957757,0.929258,0.986256,0.790736,0.755022,0.826450,0.015627,0.004734,0.234552,0.170218,0.050000,3,0,1,0,0
225,874.463,0.408222,0.781577,0.720867,0.842288,22,0.00019301,2,0.033674,0.055897,0.011451,0.959163,0.931588,0.986737,0.806547,0.761161,0.851933,0.014952,0.004900,0.228897,0.145127,0.050000,3,0,1,0,0
250,1057.223,0.390354,0.792694,0.724271,0.861117,22,0.00014417,0,0.036584,0.061849,0.011319,0.956368,0.925565,0.987170,0.819965,0.769066,0.870863,0.016820,0.004821,0.220484,0.126566,0.050000,3,0,1,0,0
275,1085.853,0.386584,0.796528,0.716388,0.876668,22,0.00030466,1,0.040130,0.068080,0.012179,0.952378,0.918294,0.986461,0.826252,0.765160,0.887344,0.018310,0.005223,0.224858,0.110309,0.050000,3,0,1,0,0
300,1267.242,0.378117,0.800303,0.721018,0.879589,22,0.00113006,1,0.037626,0.063802,0.011451,0.955249,0.923206,0.987292,0.828341,0.767020,0.889661,0.017318,0.004921,0.222395,0.107900,0.050000,3,0,1,0,0
325,1295.634,0.365734,0.808276,0.717194,0.899358,22,0.00138868,2,0.042304,0.073754,0.010855,0.950399,0.912598,0.988201,0.839605,0.770089,0.909121,0.019803,0.004658,0.219077,0.088370,0.050000,3,0,1,0,0
