step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.503,0.719918,0.160376,0.164305,0.156446,20,0.00000000,0,0.076435,0.089658,0.063212,0.695473,0.666321,0.724625,0.172686,0.179036,0.166336,0.024580,0.027618,0.806659,0.830597,0.050000,0,0,0,0,0
25,26.875,0.518294,0.268403,0.283865,0.252941,20,0.00000000,0,0.029326,0.034691,0.023961,0.904843,0.894364,0.915322,0.276357,0.293713,0.259002,0.009282,0.010143,0.690469,0.737062,0.050000,0,0,0,0,0
50,195.548,0.414293,0.420268,0.411169,0.429367,20,0.00003623,0,0.025556,0.029204,0.021909,0.943943,0.935444,0.952443,0.430976,0.423177,0.438774,0.007738,0.009396,0.561832,0.557153,0.050000,0,0,0,0,0
75,221.558,0.329007,0.544747,0.518790,0.570704,20,0.00000000,0,0.023591,0.029576,0.017607,0.959054,0.947533,0.970575,0.557443,0.534133,0.580752,0.008022,0.007193,0.450758,0.415885,0.050000,0,0,0,0,0
100,388.630,0.266094,0.636592,0.627582,0.645601,20,0.00065014,2,0.020653,0.026414,0.014893,0.969193,0.960610,0.977776,0.649688,0.644159,0.655216,0.007331,0.006158,0.341979,0.341235,0.050000,0,0,0,0,0
125,415.114,0.241449,0.673704,0.670471,0.676937,20,0.00126504,3,0.020376,0.026786,0.013966,0.971304,0.962549,0.980059,0.687411,0.688430,0.686391,0.007295,0.005710,0.297998,0.309920,0.050000,0,0,0,0,0
150,581.532,0.221055,0.688605,0.682860,0.694350,20,0.00104413,2,0.016059,0.022321,0.009796,0.977619,0.969016,0.986221,0.699627,0.698103,0.701152,0.006082,0.003927,0.287754,0.295082,0.050000,0,0,0,0,0
175,607.787,0.204196,0.703565,0.690951,0.716180,20,0.00035945,1,0.012946,0.017485,0.008406,0.982113,0.975733,0.988494,0.712616,0.703032,0.722200,0.004664,0.003310,0.282798,0.274407,0.050000,0,0,0,0,0
200,770.294,0.193414,0.718898,0.691613,0.746183,19,0.00021710,1,0.012445,0.019066,0.005825,0.982980,0.973661,0.992299,0.727664,0.704799,0.750530,0.005176,0.002507,0.281090,0.245176,0.050000,0,0,1,0,0
225,795.232,0.183690,0.736881,0.698079,0.775684,19,0.00011753,1,0.012960,0.021484,0.004435,0.982546,0.970752,0.994340,0.746100,0.713077,0.779124,0.005794,0.002179,0.273433,0.217312,0.050000,0,0,1,0,0
250,957.483,0.181714,0.745899,0.698129,0.793669,19,0.00009639,1,0.014751,0.023810,0.005692,0.980341,0.967762,0.992919,0.756469,0.714751,0.798186,0.006413,0.002552,0.272500,0.198247,0.050000,0,0,1,0,0
275,983.110,0.173634,0.750462,0.692188,0.808736,19,0.00000977,1,0.012847,0.017950,0.007744,0.982872,0.975158,0.990587,0.759806,0.704613,0.814999,0.004895,0.002825,0.280376,0.181217,0.050000,0,0,1,0,0
300,1146.362,0.163633,0.770569,0.703650,0.837488,19,0.00001328,0,0.014138,0.021856,0.006420,0.981470,0.970500,0.992440,0.780947,0.719029,0.842865,0.005814,0.002558,0.266589,0.153387,0.050000,0,0,1,0,0
325,1171.708,0.162306,0.777273,0.725656,0.828890,19,0.00025120,1,0.014082,0.020089,0.008075,0.982003,0.973578,0.990428,0.787909,0.740234,0.835584,0.005511,0.003481,0.245883,0.160711,0.050000,0,0,1,0,0
