step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,2.061,1.140634,0.285867,0.264585,0.307150,20,0.00019481,0,0.195417,0.181849,0.208985,0.636088,0.632293,0.639883,0.342020,0.312699,0.371340,0.024456,0.030910,0.684231,0.625627,0.050000,0,0,0,0,0
25,28.929,0.726317,0.512476,0.494993,0.529959,20,0.00011958,3,0.110683,0.088911,0.132455,0.838802,0.858402,0.819201,0.569579,0.539004,0.600155,0.011758,0.019586,0.457891,0.397048,0.050000,0,0,0,0,0
50,197.670,0.436659,0.696823,0.706146,0.687500,22,0.00021703,0,0.117016,0.086395,0.147637,0.870578,0.898781,0.842375,0.778077,0.767153,0.789001,0.011240,0.021630,0.230162,0.208878,0.050000,2,0,0,0,0
75,226.934,0.293756,0.786888,0.808589,0.765187,22,0.00023303,1,0.115595,0.093776,0.137413,0.883888,0.904133,0.863643,0.877374,0.884415,0.870333,0.012184,0.019996,0.113971,0.127608,0.050000,2,0,0,0,0
100,404.751,0.243888,0.818386,0.828216,0.808555,21,0.00045339,1,0.098670,0.092770,0.104570,0.901107,0.907028,0.895186,0.899078,0.905049,0.893106,0.012152,0.015139,0.092814,0.104435,0.050000,2,0,1,0,0
125,432.037,0.220493,0.833822,0.846166,0.821479,21,0.00033158,1,0.097946,0.098138,0.097754,0.903338,0.904474,0.902201,0.915494,0.929207,0.901782,0.012728,0.014235,0.069952,0.096240,0.050000,2,0,1,0,0
150,606.321,0.204604,0.844641,0.856375,0.832907,21,0.00044204,1,0.091208,0.092099,0.090318,0.909947,0.910353,0.909542,0.921689,0.935246,0.908133,0.011956,0.013264,0.063725,0.089294,0.050000,2,0,1,0,0
175,633.414,0.196521,0.850120,0.865568,0.834672,21,0.00045438,3,0.094281,0.089415,0.099148,0.907929,0.913390,0.902469,0.930195,0.942963,0.917428,0.011804,0.014366,0.056278,0.080285,0.050000,2,0,1,0,0
200,812.132,0.187788,0.856683,0.873496,0.839870,21,0.00055196,3,0.092732,0.087401,0.098064,0.909812,0.915737,0.903887,0.936036,0.949841,0.922231,0.011561,0.014468,0.049069,0.075862,0.050000,2,0,1,0,0
225,839.785,0.184955,0.858289,0.878060,0.838519,21,0.00060606,3,0.094985,0.089582,0.100387,0.908130,0.914382,0.901878,0.939707,0.956719,0.922696,0.011718,0.014853,0.042845,0.075154,0.050000,2,0,1,0,0
