step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.660,0.611566,0.233927,0.208195,0.259660,20,0.00000000,0,0.079113,0.054722,0.103504,0.767571,0.800511,0.734631,0.253062,0.219588,0.286536,0.013668,0.023488,0.777819,0.711506,0.050000,0,0,0,0,0
25,27.162,0.453428,0.369615,0.305407,0.433822,20,0.00003871,1,0.040698,0.030512,0.050884,0.905607,0.911620,0.899593,0.385311,0.314726,0.455897,0.007472,0.011293,0.682603,0.541910,0.050000,0,0,0,0,0
50,193.093,0.387081,0.456659,0.388797,0.524522,20,0.00000619,1,0.034634,0.025110,0.044158,0.933061,0.940732,0.925390,0.473122,0.398559,0.547684,0.006023,0.009771,0.598657,0.449825,0.050000,0,0,0,0,0
75,219.493,0.343854,0.516904,0.439258,0.594549,20,0.00000066,0,0.031734,0.024410,0.039058,0.944540,0.948545,0.940535,0.533876,0.449980,0.617772,0.005830,0.008530,0.547560,0.379321,0.050000,0,0,0,0,0
100,387.800,0.307306,0.567263,0.464212,0.670313,20,0.00000623,1,0.027932,0.024510,0.031355,0.953802,0.950990,0.956613,0.583461,0.475590,0.691331,0.005901,0.006927,0.522127,0.306298,0.050000,0,0,0,0,0
125,414.085,0.280510,0.613540,0.489804,0.737276,20,0.00013864,3,0.028831,0.030212,0.027449,0.954270,0.943509,0.965031,0.631058,0.504602,0.757513,0.007272,0.006086,0.493384,0.239920,0.050000,0,0,0,0,0
150,580.080,0.264240,0.646505,0.530486,0.762524,20,0.00062860,3,0.030948,0.035314,0.026581,0.953372,0.939586,0.967158,0.666006,0.549220,0.782793,0.008659,0.005885,0.448553,0.214198,0.050000,0,0,0,0,0
175,606.132,0.246807,0.665639,0.570862,0.760416,20,0.00048731,2,0.028424,0.033413,0.023435,0.958582,0.946397,0.970767,0.684086,0.589936,0.778236,0.007891,0.005203,0.407529,0.218458,0.050000,0,0,0,0,0
200,773.184,0.231358,0.680293,0.592654,0.767931,20,0.00054356,2,0.023929,0.026811,0.021048,0.965830,0.957802,0.973858,0.696319,0.608543,0.784095,0.006488,0.004659,0.388621,0.213427,0.050000,0,0,0,0,0
225,799.671,0.218541,0.698504,0.610267,0.786740,20,0.00046062,3,0.023270,0.027011,0.019529,0.967458,0.958684,0.976231,0.714428,0.626751,0.802105,0.006533,0.004190,0.371290,0.194863,0.050000,0,0,0,0,0
250,970.626,0.207943,0.711069,0.618955,0.803184,20,0.00038347,3,0.020708,0.026010,0.015406,0.971057,0.960654,0.981460,0.725306,0.635054,0.815558,0.006471,0.003288,0.362980,0.181948,0.050000,0,0,0,0,0
275,997.562,0.203864,0.721521,0.631625,0.811418,20,0.00038577,2,0.021788,0.028711,0.014864,0.969976,0.957682,0.982270,0.736619,0.649760,0.823478,0.007080,0.003284,0.348998,0.174307,0.050000,0,0,0,0,0
300,1168.530,0.200280,0.731790,0.650199,0.813382,20,0.00023323,3,0.023897,0.032713,0.015081,0.967803,0.953545,0.982062,0.748558,0.671469,0.825648,0.008233,0.003135,0.326981,0.171193,0.050000,0,0,0,0,0
325,1195.453,0.192751,0.749054,0.670973,0.827135,20,0.00025851,2,0.025042,0.037715,0.012368,0.967030,0.948617,0.985444,0.766822,0.696279,0.837366,0.009445,0.002742,0.302367,0.159912,0.050000,0,0,0,0,0
350,1365.880,0.188643,0.762150,0.692108,0.832192,20,0.00015823,2,0.027248,0.040716,0.013779,0.965213,0.946497,0.983930,0.781973,0.720288,0.843658,0.010369,0.003049,0.278258,0.153958,0.050000,0,0,0,0,0
375,1392.684,0.186261,0.766314,0.705820,0.826808,20,0.00007786,2,0.027915,0.041617,0.014213,0.964880,0.946426,0.983333,0.786877,0.735194,0.838559,0.010487,0.003128,0.263266,0.158645,0.050000,0,0,0,0,0
400,1562.498,0.182624,0.776755,0.721834,0.831676,20,0.00005366,1,0.029828,0.045118,0.014538,0.963315,0.943569,0.983062,0.799084,0.754402,0.843767,0.011331,0.003172,0.244260,0.153649,0.050000,0,0,0,0,0
425,1589.281,0.174466,0.793333,0.744606,0.842060,20,0.00001035,1,0.031558,0.047819,0.015298,0.962335,0.942250,0.982421,0.817577,0.780212,0.854942,0.011971,0.003301,0.218412,0.142399,0.050000,0,0,0,0,0
450,1759.080,0.174126,0.798584,0.745574,0.851594,20,0.00001604,1,0.032508,0.051020,0.013996,0.961461,0.938871,0.984050,0.823563,0.783613,0.863513,0.012861,0.003119,0.215821,0.134156,0.050000,0,0,0,0,0
475,1785.518,0.179769,0.796237,0.743595,0.848879,20,0.00000096,0,0.035411,0.054222,0.016600,0.958217,0.935307,0.981127,0.823442,0.783914,0.862971,0.013724,0.003572,0.215163,0.135252,0.050000,0,0,0,0,0
500,1951.146,0.172902,0.797839,0.749976,0.845701,20,0.00000161,0,0.031578,0.049920,0.013236,0.962585,0.940382,0.984788,0.822155,0.787415,0.856895,0.012644,0.002900,0.211162,0.140825,0.050000,0,0,0,0,0
525,1977.756,0.164814,0.810126,0.773729,0.846524,20,0.00001662,1,0.031575,0.048719,0.014430,0.963417,0.943359,0.983474,0.835082,0.811425,0.858739,0.012261,0.003262,0.187663,0.138142,0.050000,0,0,0,0,0
550,2146.905,0.150619,0.835417,0.809764,0.861070,20,0.00085734,1,0.032825,0.051220,0.014430,0.963496,0.943244,0.983749,0.862368,0.851240,0.873495,0.012873,0.003162,0.147074,0.123406,0.050000,0,0,0,0,0
575,2172.733,0.136452,0.857301,0.842622,0.871981,20,0.00193338,2,0.032709,0.050120,0.015298,0.964704,0.946394,0.983014,0.885087,0.884854,0.885321,0.012518,0.003258,0.113460,0.111808,0.050000,0,0,0,0,0
600,2337.306,0.130901,0.866461,0.849990,0.882932,20,0.00426312,3,0.031453,0.049020,0.013887,0.966306,0.947889,0.984724,0.893425,0.891657,0.895194,0.012347,0.002936,0.106512,0.102050,0.050000,0,0,0,0,0
625,2363.248,0.130655,0.868250,0.849547,0.886952,20,0.00567102,3,0.032175,0.049920,0.014430,0.965607,0.946999,0.984216,0.895854,0.891957,0.899750,0.012516,0.002880,0.106020,0.096968,0.050000,0,0,0,0,0
650,2530.613,0.129591,0.871277,0.848346,0.894207,20,0.00593294,2,0.031378,0.049520,0.013236,0.966457,0.947312,0.985601,0.898200,0.890356,0.906043,0.012489,0.002874,0.108084,0.091280,0.050000,0,0,0,0,0
675,2557.107,0.128786,0.873673,0.845825,0.901522,20,0.00548971,2,0.032149,0.051821,0.012477,0.965737,0.944958,0.986515,0.901213,0.889656,0.912770,0.013124,0.002613,0.108557,0.084060,0.050000,0,0,0,0,0
700,2730.008,0.122803,0.878436,0.853594,0.903278,20,0.00550208,3,0.030234,0.050920,0.009548,0.967962,0.946285,0.989639,0.904480,0.897059,0.911902,0.012741,0.002079,0.101416,0.084192,0.050000,0,0,0,0,0
725,2757.398,0.116857,0.881756,0.859344,0.904168,20,0.00493317,3,0.027696,0.045518,0.009873,0.970542,0.951780,0.989303,0.905777,0.898459,0.913095,0.011493,0.002101,0.100057,0.084222,0.050000,0,0,0,0,0
750,2929.842,0.112778,0.884729,0.863697,0.905760,20,0.00439345,3,0.027037,0.044418,0.009656,0.971311,0.953070,0.989552,0.908283,0.902061,0.914506,0.011235,0.001835,0.097025,0.082345,0.050000,0,0,0,0,0
775,2956.834,0.112132,0.887937,0.860516,0.915358,20,0.00458072,3,0.027603,0.046419,0.008788,0.970775,0.950977,0.990573,0.911931,0.900460,0.923402,0.011601,0.001870,0.098150,0.073180,0.050000,0,0,0,0,0
800,3126.704,0.112907,0.888174,0.857252,0.919096,20,0.00393431,2,0.028441,0.048419,0.008463,0.969916,0.948880,0.990952,0.912817,0.898760,0.926874,0.012002,0.001838,0.100374,0.069917,0.050000,0,0,0,0,0
825,3153.534,0.111484,0.887742,0.858468,0.917016,20,0.00297470,1,0.027074,0.046118,0.008029,0.971272,0.951155,0.991389,0.911219,0.898059,0.924379,0.011574,0.001819,0.100992,0.072954,0.050000,0,0,0,0,0
850,3324.610,0.110068,0.895270,0.865009,0.925532,20,0.00259201,2,0.029888,0.050120,0.009656,0.968741,0.947709,0.989772,0.921416,0.908363,0.934469,0.012568,0.002053,0.090425,0.062958,0.050000,0,0,0,0,0
875,3351.566,0.107825,0.890405,0.865066,0.915744,20,0.00212083,1,0.027833,0.046118,0.009548,0.970644,0.951509,0.989778,0.914725,0.904962,0.924487,0.011472,0.001838,0.093010,0.072075,0.050000,0,0,0,0,0
900,3524.335,0.105699,0.895754,0.870314,0.921194,20,0.00205677,2,0.028271,0.046018,0.010524,0.970352,0.951883,0.988821,0.920626,0.910364,0.930889,0.011558,0.002011,0.088347,0.066388,0.050000,0,0,0,0,0
