step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.594,0.697136,0.165687,0.174267,0.157106,20,0.00000019,0,0.070403,0.085007,0.055798,0.719069,0.689854,0.748283,0.177477,0.189081,0.165872,0.023294,0.024211,0.796707,0.830416,0.050000,0,0,0,0,0
25,27.233,0.548171,0.245729,0.260084,0.231375,20,0.00000000,0,0.035347,0.044550,0.026145,0.879961,0.859118,0.900804,0.254547,0.271670,0.237424,0.012105,0.011236,0.712610,0.758893,0.050000,0,0,0,0,0
50,195.327,0.452832,0.373624,0.407108,0.340140,20,0.00020677,0,0.029060,0.033761,0.024358,0.930198,0.925736,0.934659,0.384638,0.420852,0.348425,0.009185,0.010361,0.563690,0.647773,0.050000,0,0,0,0,0
75,221.620,0.366200,0.509253,0.542457,0.476049,20,0.00006844,1,0.028784,0.035063,0.022505,0.948516,0.941222,0.955810,0.524119,0.561477,0.486762,0.009602,0.009606,0.424266,0.509045,0.050000,0,0,0,0,0
100,391.232,0.292802,0.618523,0.660607,0.576439,20,0.00013176,1,0.027153,0.033389,0.020916,0.959524,0.953371,0.965678,0.635580,0.682664,0.588496,0.009041,0.008868,0.303686,0.407423,0.050000,0,0,0,0,0
125,417.583,0.258588,0.668889,0.696577,0.641202,20,0.00002242,1,0.026078,0.032366,0.019791,0.963777,0.956931,0.970623,0.686507,0.719122,0.653892,0.008800,0.008314,0.268575,0.341875,0.050000,0,0,0,0,0
150,587.598,0.223188,0.716672,0.723922,0.709422,20,0.00009337,2,0.022912,0.027158,0.018666,0.969793,0.964764,0.974821,0.733123,0.743583,0.722663,0.007532,0.007937,0.243962,0.273189,0.050000,0,0,0,0,0
175,614.114,0.197911,0.758097,0.742209,0.773984,20,0.00001820,0,0.023671,0.029669,0.017673,0.970342,0.962629,0.978055,0.775946,0.764230,0.787662,0.008167,0.007553,0.222909,0.208355,0.050000,0,0,0,0,0
200,776.995,0.193993,0.777759,0.748815,0.806704,19,0.00008235,2,0.028362,0.039714,0.017011,0.965577,0.951466,0.979687,0.799490,0.778553,0.820426,0.010897,0.007302,0.208585,0.175750,0.050000,0,0,1,0,0
225,801.661,0.188634,0.783563,0.759186,0.807940,19,0.00027487,2,0.027386,0.037760,0.017011,0.966991,0.954264,0.979717,0.804769,0.787853,0.821684,0.010323,0.007313,0.199792,0.174302,0.050000,0,0,1,0,0
250,958.863,0.191624,0.787281,0.758904,0.815658,19,0.00018796,1,0.029942,0.041946,0.017938,0.964239,0.949626,0.978853,0.810513,0.790737,0.830289,0.011543,0.007627,0.196505,0.166553,0.050000,0,0,1,0,0
275,983.362,0.205148,0.784844,0.755901,0.813786,19,0.00023927,1,0.035891,0.051990,0.019791,0.957670,0.938632,0.976708,0.812546,0.795201,0.829891,0.014278,0.008384,0.192732,0.166531,0.050000,0,0,1,0,0
300,1142.304,0.200509,0.787072,0.760238,0.813907,19,0.00016810,1,0.033710,0.046968,0.020453,0.960123,0.944279,0.975966,0.813249,0.795945,0.830553,0.013005,0.008736,0.191380,0.165513,0.050000,0,0,1,0,0
325,1166.978,0.198213,0.793022,0.760960,0.825084,19,0.00007408,1,0.034596,0.050130,0.019063,0.959401,0.940970,0.977831,0.819960,0.799107,0.840813,0.013792,0.008334,0.188739,0.155603,0.050000,0,0,1,0,0
350,1327.158,0.190273,0.796463,0.758062,0.834864,19,0.00005173,1,0.033166,0.049851,0.016481,0.961001,0.941054,0.980949,0.822238,0.795852,0.848623,0.013611,0.006992,0.191691,0.147609,0.050000,0,0,1,0,0
375,1352.340,0.183891,0.802291,0.757257,0.847325,19,0.00002069,1,0.032070,0.050967,0.013172,0.962351,0.939813,0.984889,0.827169,0.795852,0.858486,0.014067,0.005726,0.191985,0.137639,0.050000,0,0,1,0,0
400,1509.812,0.171210,0.807787,0.755384,0.860190,18,0.00010580,1,0.028896,0.049386,0.008406,0.965877,0.941352,0.990402,0.830055,0.792690,0.867421,0.013729,0.003401,0.195614,0.128880,0.050000,0,0,2,0,0
425,1534.018,0.160144,0.814139,0.758424,0.869854,18,0.00011948,2,0.025501,0.046038,0.004964,0.969753,0.945152,0.994353,0.833757,0.793341,0.874173,0.012900,0.002159,0.194878,0.121798,0.050000,0,0,2,0,0
450,1689.651,0.146963,0.821859,0.768652,0.875066,18,0.00009080,1,0.021191,0.038411,0.003971,0.974793,0.954086,0.995500,0.838359,0.798177,0.878541,0.010820,0.001740,0.190629,0.117289,0.050000,0,0,2,0,0
475,1713.571,0.128949,0.830546,0.779256,0.881837,18,0.00002311,0,0.015433,0.027623,0.003243,0.981501,0.966655,0.996347,0.842739,0.800781,0.884697,0.007753,0.001156,0.187669,0.111574,0.050000,0,0,2,0,0
500,1863.535,0.127856,0.832820,0.782813,0.882827,17,0.00004536,0,0.015149,0.028181,0.002118,0.981892,0.966172,0.997612,0.844785,0.804874,0.884697,0.007901,0.001025,0.183542,0.111837,0.050000,0,0,3,0,0
525,1886.698,0.131098,0.832264,0.780613,0.883914,17,0.00005660,0,0.016909,0.031436,0.002383,0.979871,0.962424,0.997318,0.845587,0.805153,0.886021,0.008883,0.000930,0.183665,0.110136,0.050000,0,0,3,0,0
550,2036.642,0.129239,0.834376,0.784864,0.883888,17,0.00003673,1,0.016326,0.031064,0.001589,0.980621,0.963033,0.998209,0.847269,0.809245,0.885293,0.008748,0.000918,0.178665,0.111133,0.050000,0,0,3,0,0
575,2060.281,0.130675,0.835381,0.785566,0.885195,17,0.00003233,0,0.017516,0.033575,0.001456,0.979325,0.960290,0.998360,0.849213,0.811942,0.886484,0.009490,0.000758,0.176577,0.109930,0.050000,0,0,3,0,0
600,2209.402,0.129484,0.838066,0.790597,0.885535,17,0.00002363,0,0.017382,0.032645,0.002118,0.979585,0.961551,0.997619,0.851908,0.816406,0.887411,0.009298,0.001052,0.172307,0.108937,0.050000,0,0,3,0,0
625,2232.486,0.132291,0.836789,0.791948,0.881630,17,0.00003418,0,0.018465,0.034877,0.002052,0.978432,0.959181,0.997683,0.851504,0.819568,0.883439,0.009905,0.001024,0.169328,0.113124,0.050000,0,0,3,0,0
