step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.522,1.532952,0.235893,0.210541,0.261244,20,0.00000000,0,0.083158,0.059124,0.107193,0.760018,0.790426,0.729611,0.256119,0.222989,0.289248,0.000000,0.000000,0.791179,0.741773,0.050000,0,0,0,0,0
25,28.091,1.157141,0.423131,0.344877,0.501386,20,0.00002727,1,0.104190,0.112145,0.096235,0.812382,0.773764,0.850999,0.466595,0.383553,0.549637,0.000000,0.000000,0.656506,0.500616,0.050000,0,0,0,0,0
50,207.621,0.929651,0.535316,0.433526,0.637106,20,0.00001631,0,0.124211,0.159564,0.088858,0.822759,0.759063,0.886455,0.598210,0.502701,0.693718,0.000000,0.000000,0.566871,0.362769,0.050000,0,0,0,0,0
75,235.973,0.802216,0.599154,0.505716,0.692591,20,0.00000144,1,0.127342,0.163766,0.090919,0.837453,0.782314,0.892592,0.672048,0.588535,0.755560,0.000000,0.000000,0.494168,0.308047,0.050000,0,0,0,0,0
100,410.507,0.724219,0.638342,0.547008,0.729676,20,0.00000704,0,0.120563,0.153461,0.087664,0.852446,0.804362,0.900529,0.712297,0.630952,0.793642,0.000000,0.000000,0.453212,0.271002,0.050000,0,0,0,0,0
125,437.883,0.675061,0.662791,0.591139,0.734443,20,0.00000972,0,0.111942,0.128952,0.094933,0.866239,0.838065,0.894413,0.735767,0.667367,0.804166,0.000000,0.000000,0.408673,0.266381,0.050000,0,0,0,0,0
150,608.741,0.618106,0.691823,0.615296,0.768350,20,0.00038497,1,0.107825,0.126251,0.089400,0.874696,0.845891,0.903502,0.765009,0.692977,0.837040,0.000000,0.000000,0.384991,0.232845,0.050000,0,0,0,0,0
175,636.349,0.570928,0.715166,0.643936,0.786395,20,0.00154227,3,0.105947,0.119348,0.092546,0.880351,0.857942,0.902759,0.789981,0.720788,0.859173,0.000000,0.000000,0.356088,0.213760,0.050000,0,0,0,0,0
200,810.649,0.542171,0.728919,0.656057,0.801780,20,0.00052275,2,0.101895,0.118948,0.084843,0.885843,0.860561,0.911126,0.801950,0.734094,0.869806,0.000000,0.000000,0.343561,0.198244,0.050000,0,0,0,0,0
225,838.118,0.502688,0.748779,0.674798,0.822760,20,0.00041350,3,0.093038,0.115446,0.070630,0.896395,0.867020,0.925770,0.816787,0.752701,0.880872,0.000000,0.000000,0.324918,0.177481,0.050000,0,0,0,0,0
