step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.606,1.244280,0.235715,0.210313,0.261117,20,0.00000000,0,0.083530,0.059324,0.107736,0.759165,0.789716,0.728614,0.256019,0.222789,0.289248,0.000000,0.000000,0.654768,0.589512,0.050000,0,0,0,0,0
25,28.592,0.823530,0.422145,0.347453,0.496836,20,0.00003595,0,0.102482,0.107643,0.097320,0.814982,0.781434,0.848531,0.465021,0.384854,0.545188,0.000000,0.000000,0.485984,0.337522,0.050000,0,0,0,0,0
50,211.541,0.622097,0.531904,0.434960,0.628848,20,0.00004521,2,0.118723,0.152061,0.085386,0.828001,0.767193,0.888810,0.591822,0.501100,0.682543,0.000000,0.000000,0.394077,0.227987,0.050000,0,0,0,0,0
75,240.182,0.536743,0.581304,0.496668,0.665939,20,0.00000239,1,0.117352,0.140856,0.093848,0.843387,0.800905,0.885869,0.647532,0.566627,0.728437,0.000000,0.000000,0.336252,0.200489,0.050000,0,0,0,0,0
100,416.902,0.479551,0.618011,0.528307,0.707715,20,0.00000000,0,0.118321,0.139756,0.096886,0.850332,0.811624,0.889041,0.689212,0.602141,0.776283,0.000000,0.000000,0.308311,0.171240,0.050000,0,0,0,0,0
125,444.809,0.425671,0.653407,0.566479,0.740335,20,0.00001468,0,0.104603,0.120348,0.088858,0.870657,0.840599,0.900715,0.720386,0.634654,0.806119,0.000000,0.000000,0.276517,0.149144,0.050000,0,0,0,0,0
150,616.134,0.388190,0.679045,0.594942,0.763147,19,0.00015522,1,0.098407,0.111645,0.085169,0.881159,0.855571,0.906747,0.744754,0.661365,0.828144,0.000000,0.000000,0.253972,0.134109,0.050000,0,0,1,0,0
175,642.762,0.357952,0.699859,0.625236,0.774481,19,0.00065617,3,0.097401,0.112345,0.082456,0.885690,0.860929,0.910451,0.766910,0.695478,0.838342,0.000000,0.000000,0.230423,0.127070,0.050000,0,0,1,0,0
200,809.159,0.330237,0.719793,0.654655,0.784930,19,0.00071303,3,0.092387,0.107743,0.077032,0.893568,0.870646,0.916490,0.785292,0.725190,0.845394,0.000000,0.000000,0.208951,0.120787,0.050000,0,0,1,0,0
225,834.997,0.307175,0.735676,0.677009,0.794342,19,0.00045402,3,0.095312,0.109144,0.081480,0.893232,0.873095,0.913369,0.804983,0.750900,0.859065,0.000000,0.000000,0.192647,0.114210,0.050000,0,0,1,0,0
250,1000.801,0.275906,0.759083,0.703828,0.814339,19,0.00014087,1,0.091672,0.102841,0.080503,0.899593,0.883009,0.916177,0.828053,0.776210,0.879896,0.000000,0.000000,0.173395,0.102412,0.050000,0,0,1,0,0
