step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.546,0.879846,0.275824,0.240013,0.311634,20,0.00201628,0,0.191783,0.075257,0.308310,0.671821,0.774228,0.569414,0.332895,0.258076,0.407714,0.000000,0.000000,0.413714,0.464721,0.050000,0,0,0,0,0
25,28.320,0.437147,0.501633,0.417120,0.586145,20,0.00016831,3,0.101045,0.043663,0.158426,0.859832,0.908844,0.810819,0.557170,0.435333,0.679006,0.000000,0.000000,0.226038,0.210992,0.050000,0,0,0,0,0
50,205.346,0.302194,0.610201,0.513465,0.706937,20,0.00092815,6,0.071434,0.045793,0.097075,0.905089,0.921421,0.888757,0.656270,0.536978,0.775563,0.000000,0.000000,0.172758,0.128786,0.050000,0,0,0,0,0
75,233.233,0.233855,0.662457,0.580399,0.744515,20,0.00145812,4,0.050104,0.038339,0.061869,0.933805,0.940188,0.927422,0.696614,0.602651,0.790577,0.000000,0.000000,0.136568,0.096266,0.050000,0,0,0,0,0
100,411.483,0.196365,0.704266,0.652110,0.756423,20,0.00109827,7,0.044179,0.040469,0.047890,0.943369,0.943713,0.943024,0.735574,0.678500,0.792648,0.000000,0.000000,0.111606,0.083991,0.050000,0,0,0,0,0
125,439.264,0.177223,0.729009,0.691343,0.766675,20,0.00081988,7,0.040700,0.037392,0.044007,0.949166,0.950447,0.947885,0.758804,0.717193,0.800414,0.000000,0.000000,0.096901,0.079749,0.050000,0,0,0,0,0
150,599.613,0.169782,0.739525,0.700637,0.778413,18,0.00062725,9,0.040626,0.040350,0.040901,0.949747,0.947547,0.951946,0.769579,0.728908,0.810251,0.000000,0.000000,0.095582,0.073761,0.050000,0,0,2,0,0
175,623.996,0.160749,0.752782,0.723574,0.781991,18,0.00053486,8,0.039427,0.041060,0.037794,0.951905,0.948309,0.955501,0.782415,0.753284,0.811545,0.000000,0.000000,0.089143,0.071231,0.050000,0,0,2,0,0
200,780.786,0.144945,0.761915,0.731732,0.792097,18,0.00062191,7,0.031632,0.034789,0.028475,0.961150,0.956074,0.966227,0.785920,0.757188,0.814652,0.000000,0.000000,0.081870,0.062640,0.050000,0,0,2,0,0
225,804.880,0.138926,0.770010,0.744503,0.795518,18,0.00035569,7,0.030604,0.033251,0.027958,0.962754,0.958567,0.966942,0.793508,0.769258,0.817758,0.000000,0.000000,0.077407,0.061270,0.050000,0,0,2,0,0
250,960.440,0.133127,0.776910,0.759991,0.793830,18,0.00053796,6,0.029776,0.027452,0.032099,0.964168,0.966037,0.962299,0.800083,0.780854,0.819311,0.000000,0.000000,0.068999,0.063751,0.050000,0,0,2,0,0
