step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.483,1.038208,0.321348,0.381018,0.261679,20,0.00001417,0,0.158907,0.094112,0.223703,0.702273,0.815824,0.588721,0.368547,0.416876,0.320217,0.000000,0.000000,0.452096,0.586102,0.050000,0,0,0,0,0
25,27.344,0.629783,0.526142,0.606098,0.446185,20,0.00011343,1,0.150073,0.083879,0.216266,0.800910,0.886775,0.715044,0.599808,0.656937,0.542680,0.000000,0.000000,0.246263,0.383440,0.050000,0,0,0,0,0
50,197.914,0.443734,0.639176,0.689585,0.588766,20,0.00006564,4,0.121343,0.075994,0.166692,0.855907,0.907096,0.804719,0.714449,0.741990,0.686909,0.000000,0.000000,0.184028,0.259660,0.050000,0,0,0,0,0
75,224.661,0.281570,0.754270,0.776332,0.732208,20,0.00110600,3,0.102357,0.057541,0.147173,0.892707,0.934504,0.850910,0.830486,0.821003,0.839969,0.000000,0.000000,0.125753,0.155043,0.050000,0,0,0,0,0
100,391.670,0.207394,0.814492,0.850431,0.778554,20,0.00227586,3,0.092389,0.031874,0.152905,0.909699,0.964951,0.854446,0.887568,0.877537,0.897599,0.000000,0.000000,0.081536,0.124264,0.050000,0,0,0,0,0
125,418.295,0.172487,0.844751,0.883501,0.806001,20,0.00315082,4,0.086083,0.031035,0.141131,0.917010,0.967053,0.866968,0.915337,0.910921,0.919752,0.000000,0.000000,0.062222,0.108060,0.050000,0,0,0,0,0
150,587.386,0.156569,0.857775,0.895857,0.819692,20,0.00298798,4,0.085056,0.032545,0.137568,0.918724,0.966013,0.871435,0.928734,0.925013,0.932455,0.000000,0.000000,0.054945,0.099532,0.050000,0,0,0,0,0
175,613.951,0.146601,0.866791,0.912908,0.820674,20,0.00244824,4,0.081346,0.026673,0.136019,0.922504,0.972329,0.872680,0.934780,0.937259,0.932301,0.000000,0.000000,0.045935,0.098952,0.050000,0,0,0,0,0
200,784.773,0.133553,0.878226,0.926689,0.829764,20,0.00169194,4,0.080638,0.018286,0.142990,0.924988,0.980991,0.868985,0.946023,0.943634,0.948412,0.000000,0.000000,0.038413,0.093956,0.050000,0,0,0,0,0
225,811.447,0.122357,0.887513,0.937634,0.837393,20,0.00092276,4,0.077636,0.016776,0.138497,0.927932,0.982708,0.873156,0.953367,0.953364,0.953369,0.000000,0.000000,0.032568,0.089143,0.050000,0,0,0,0,0
250,983.572,0.114783,0.893410,0.944500,0.842321,20,0.00083370,3,0.073719,0.015601,0.131836,0.931256,0.983996,0.878515,0.956302,0.959235,0.953369,0.000000,0.000000,0.028485,0.085714,0.050000,0,0,0,0,0
275,1010.529,0.109978,0.898578,0.951381,0.845776,20,0.00077208,3,0.074758,0.014427,0.135089,0.930958,0.985271,0.876645,0.962569,0.965107,0.960031,0.000000,0.000000,0.025353,0.084084,0.050000,0,0,0,0,0
300,1180.234,0.105607,0.901786,0.953600,0.849972,20,0.00078727,3,0.071253,0.015937,0.126569,0.933534,0.983816,0.883252,0.963175,0.968797,0.957552,0.000000,0.000000,0.024170,0.080886,0.050000,0,0,0,0,0
325,1206.812,0.100394,0.907695,0.960337,0.855052,20,0.00064837,2,0.068664,0.015098,0.122231,0.935880,0.984748,0.887011,0.967201,0.974836,0.959566,0.000000,0.000000,0.020878,0.079063,0.050000,0,0,0,0,0
350,1374.624,0.098560,0.908135,0.963300,0.852969,20,0.00047536,1,0.072137,0.014763,0.129512,0.933313,0.985123,0.881502,0.970480,0.977521,0.963439,0.000000,0.000000,0.018931,0.079296,0.050000,0,0,0,0,0
375,1401.509,0.096964,0.909659,0.964215,0.855102,20,0.00050770,1,0.072621,0.017279,0.127963,0.932780,0.982689,0.882870,0.972700,0.980876,0.964524,0.000000,0.000000,0.018161,0.078447,0.050000,0,0,0,0,0
400,1545.335,0.095640,0.910927,0.964221,0.857633,20,0.00048132,1,0.072937,0.017447,0.128428,0.932685,0.982527,0.882843,0.974410,0.981043,0.967777,0.000000,0.000000,0.018068,0.077235,0.050000,0,0,0,0,1
425,1571.712,0.094070,0.912958,0.967753,0.858163,20,0.00052164,1,0.071350,0.014427,0.128273,0.934267,0.985517,0.883018,0.974978,0.981714,0.968242,0.000000,0.000000,0.016752,0.076954,0.050000,0,0,0,0,1
450,1714.962,0.092322,0.914294,0.969957,0.858630,20,0.00038343,1,0.073589,0.016272,0.130906,0.932482,0.983760,0.881203,0.978385,0.985741,0.971030,0.000000,0.000000,0.015651,0.076403,0.050000,0,0,0,0,1
475,1741.009,0.091032,0.915721,0.970792,0.860650,20,0.00031907,1,0.073060,0.016608,0.129512,0.932943,0.983450,0.882436,0.979515,0.986915,0.972115,0.000000,0.000000,0.015427,0.075382,0.050000,0,0,0,0,1
500,1892.848,0.090198,0.916132,0.971952,0.860312,20,0.00024629,1,0.073996,0.016776,0.131216,0.932249,0.983308,0.881190,0.980728,0.988257,0.973199,0.000000,0.000000,0.014450,0.075575,0.050000,0,0,0,0,1
525,1919.050,0.089316,0.917186,0.972075,0.862296,20,0.00016725,1,0.072389,0.015266,0.129512,0.933701,0.984767,0.882634,0.980444,0.986915,0.973974,0.000000,0.000000,0.014540,0.074658,0.050000,0,0,0,0,1
550,2078.222,0.088323,0.917807,0.970995,0.864619,20,0.00021922,2,0.071407,0.017950,0.124864,0.934193,0.982164,0.886222,0.980502,0.988425,0.972579,0.000000,0.000000,0.014970,0.073199,0.050000,0,0,0,0,1
575,2104.212,0.087328,0.918954,0.969637,0.868272,20,0.00023856,2,0.068103,0.016608,0.119597,0.936940,0.983431,0.890450,0.978928,0.985741,0.972115,0.000000,0.000000,0.016007,0.071155,0.050000,0,0,0,0,1
