step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.551,0.615838,0.154033,0.186302,0.121763,20,0.00018427,0,0.161230,0.111545,0.210915,0.530683,0.649922,0.411444,0.177264,0.207083,0.147445,0.027868,0.047817,0.182990,0.198391,0.050000,0,0,0,0,0
25,27.624,0.410962,0.227965,0.240034,0.215896,20,0.00000024,1,0.073278,0.049020,0.097537,0.772724,0.837047,0.708401,0.244377,0.251801,0.236953,0.011925,0.021839,0.161114,0.160454,0.050000,0,0,0,0,0
50,190.222,0.334345,0.339404,0.329354,0.349454,20,0.00022874,0,0.055741,0.039116,0.072366,0.867788,0.897429,0.838146,0.358490,0.342237,0.374742,0.009368,0.015899,0.140548,0.129700,0.050000,0,0,0,0,0
75,214.961,0.271196,0.463285,0.436687,0.489884,20,0.00033087,1,0.045973,0.030212,0.061734,0.915486,0.937070,0.893903,0.485003,0.449880,0.520126,0.007331,0.013541,0.117052,0.100530,0.050000,0,0,0,0,0
100,377.685,0.232045,0.530535,0.487142,0.573928,20,0.00059064,1,0.037429,0.027011,0.047846,0.937540,0.948776,0.926303,0.550844,0.500300,0.601389,0.006627,0.010439,0.106363,0.082741,0.050000,0,0,0,0,0
125,402.961,0.202714,0.587379,0.513031,0.661726,20,0.00046854,0,0.032201,0.024910,0.039492,0.950236,0.954768,0.945704,0.606835,0.525810,0.687859,0.006144,0.008596,0.100906,0.065006,0.050000,0,0,0,0,0
150,564.445,0.187407,0.613692,0.537080,0.690304,20,0.00024210,1,0.028988,0.025210,0.032766,0.956140,0.956220,0.956060,0.631771,0.550620,0.712922,0.006138,0.007119,0.095725,0.059285,0.050000,0,0,0,0,0
175,590.203,0.171226,0.649988,0.578608,0.721367,20,0.00014263,2,0.026931,0.025110,0.028751,0.961044,0.959385,0.962702,0.667622,0.593137,0.742107,0.006106,0.006298,0.087226,0.053297,0.050000,0,0,0,0,0
200,755.279,0.160538,0.682327,0.618320,0.746333,20,0.00018439,1,0.027960,0.027711,0.028209,0.961379,0.958214,0.964544,0.701420,0.635454,0.767386,0.006648,0.006107,0.078918,0.048296,0.050000,0,0,0,0,0
225,780.917,0.151163,0.699014,0.630915,0.767113,20,0.00011080,1,0.025926,0.023209,0.028643,0.965134,0.965295,0.964973,0.717322,0.645558,0.789085,0.005618,0.006282,0.076006,0.044267,0.050000,0,0,0,0,0
250,938.558,0.147704,0.716600,0.653647,0.779552,19,0.00003048,3,0.028529,0.024510,0.032549,0.962914,0.964692,0.961135,0.737297,0.669668,0.804926,0.005833,0.006866,0.071395,0.041897,0.050000,0,0,1,0,0
275,963.164,0.143833,0.723440,0.665494,0.781385,19,0.00008116,1,0.026652,0.024010,0.029294,0.965412,0.965967,0.964857,0.742874,0.681473,0.804275,0.005774,0.006503,0.068971,0.041672,0.050000,0,0,1,0,0
300,1120.531,0.140599,0.731404,0.677079,0.785729,19,0.00005529,3,0.027106,0.024810,0.029402,0.965201,0.965479,0.964924,0.751355,0.693878,0.808832,0.005955,0.006267,0.066633,0.040655,0.050000,0,0,1,0,0
325,1145.032,0.133638,0.742922,0.691149,0.794696,19,0.00004877,1,0.024854,0.022909,0.026798,0.968408,0.968613,0.968203,0.761487,0.706983,0.815992,0.005477,0.005998,0.063503,0.039045,0.050000,0,0,1,0,0
350,1305.878,0.129220,0.750583,0.704252,0.796915,19,0.00002567,0,0.024003,0.021208,0.026798,0.969822,0.971355,0.968289,0.768729,0.719188,0.818271,0.005103,0.005991,0.060737,0.038446,0.050000,0,0,1,0,0
375,1330.069,0.124890,0.758202,0.716235,0.800169,19,0.00002720,0,0.023220,0.019208,0.027232,0.971147,0.974362,0.967932,0.775976,0.729992,0.821959,0.004686,0.005984,0.058237,0.037828,0.050000,0,0,1,0,0
400,1486.894,0.121394,0.763592,0.725113,0.802071,19,0.00003524,0,0.022849,0.019008,0.026690,0.971764,0.974921,0.968606,0.781187,0.738896,0.823478,0.004580,0.005728,0.056325,0.037297,0.050000,0,0,1,0,0
425,1511.439,0.118045,0.769724,0.731384,0.808064,19,0.00003290,0,0.021137,0.019708,0.022567,0.973835,0.974255,0.973415,0.786049,0.745798,0.826299,0.004786,0.005136,0.055130,0.036320,0.050000,0,0,1,0,0
450,1670.829,0.114725,0.780120,0.737373,0.822867,19,0.00003036,1,0.021528,0.022009,0.021048,0.973592,0.971624,0.975561,0.796894,0.753601,0.840187,0.005241,0.004790,0.053872,0.033453,0.050000,0,0,1,0,0
475,1695.571,0.112950,0.789171,0.748654,0.829688,19,0.00002193,1,0.021758,0.021709,0.021808,0.973662,0.972402,0.974922,0.806344,0.764906,0.847781,0.005427,0.004955,0.051767,0.032189,0.050000,0,0,1,0,0
500,1853.446,0.112324,0.801835,0.765056,0.838614,19,0.00002661,1,0.025240,0.026611,0.023869,0.970091,0.967229,0.972953,0.822022,0.785414,0.858631,0.006422,0.005114,0.048365,0.030272,0.050000,0,0,1,0,0
525,1878.339,0.110209,0.806614,0.773521,0.839708,19,0.00002053,1,0.025098,0.026110,0.024086,0.970453,0.968151,0.972754,0.826825,0.793717,0.859933,0.006443,0.005031,0.046661,0.029881,0.050000,0,0,1,0,0
550,2035.624,0.111744,0.807209,0.777302,0.837116,19,0.00002722,1,0.025460,0.027811,0.023109,0.970043,0.966360,0.973726,0.827690,0.798920,0.856461,0.006773,0.005144,0.045926,0.030542,0.050000,0,0,1,0,0
575,2060.400,0.106634,0.813080,0.783176,0.842985,19,0.00002248,1,0.023357,0.027511,0.019204,0.972540,0.966943,0.978137,0.831948,0.804722,0.859173,0.006814,0.004235,0.044869,0.029403,0.050000,0,0,1,0,0
600,2219.218,0.103920,0.818183,0.790351,0.846014,19,0.00003495,2,0.022265,0.026411,0.018119,0.973934,0.968470,0.979398,0.836284,0.811224,0.861343,0.006665,0.004122,0.043400,0.028888,0.050000,0,0,1,0,0
625,2244.228,0.102752,0.819909,0.791935,0.847884,19,0.00003606,1,0.022402,0.027011,0.017793,0.973828,0.967857,0.979798,0.838148,0.813325,0.862971,0.006744,0.003927,0.042934,0.028520,0.050000,0,0,1,0,0
650,2403.847,0.105436,0.821695,0.794824,0.848565,19,0.00002432,2,0.024625,0.028311,0.020940,0.971460,0.966521,0.976400,0.841830,0.817327,0.866334,0.006949,0.004645,0.042291,0.028463,0.050000,0,0,1,0,0
675,2428.688,0.101948,0.823414,0.798268,0.848559,19,0.00004118,1,0.022305,0.028011,0.016600,0.974057,0.966993,0.981120,0.841637,0.820628,0.862645,0.007007,0.003746,0.041793,0.028436,0.050000,0,0,1,0,0
700,2587.248,0.099495,0.826352,0.802512,0.850192,19,0.00005894,2,0.022064,0.027311,0.016817,0.974427,0.967935,0.980918,0.844460,0.824430,0.864490,0.006660,0.003778,0.040681,0.028073,0.050000,0,0,1,0,0
725,2612.077,0.102528,0.824534,0.805307,0.843760,19,0.00007636,2,0.023611,0.029212,0.018010,0.972709,0.965955,0.979463,0.843894,0.828832,0.858956,0.007093,0.004024,0.040175,0.029220,0.050000,0,0,1,0,0
750,2771.050,0.097802,0.829545,0.811229,0.847861,19,0.00004097,2,0.022518,0.028111,0.016925,0.974071,0.967394,0.980748,0.848122,0.834034,0.862211,0.006769,0.003605,0.038821,0.028319,0.050000,0,0,1,0,0
775,2795.980,0.100642,0.829776,0.813825,0.845728,19,0.00007214,2,0.023674,0.029012,0.018336,0.972835,0.966517,0.979154,0.849335,0.837435,0.861235,0.007088,0.004066,0.038378,0.028776,0.050000,0,0,1,0,0
800,2955.363,0.100596,0.828156,0.812579,0.843733,19,0.00005335,2,0.023127,0.029112,0.017142,0.973387,0.966358,0.980416,0.847216,0.836234,0.858197,0.007071,0.003900,0.038594,0.029253,0.050000,0,0,1,0,0
825,2980.403,0.094699,0.835815,0.825871,0.845759,19,0.00003714,2,0.021066,0.027811,0.014321,0.975928,0.968276,0.983580,0.853355,0.848840,0.857871,0.006839,0.003276,0.035957,0.028776,0.050000,0,0,1,0,0
850,3142.998,0.095871,0.837785,0.829005,0.846564,19,0.00010224,1,0.022664,0.028511,0.016817,0.974241,0.967643,0.980838,0.856721,0.852641,0.860801,0.006901,0.003741,0.035154,0.028722,0.050000,0,0,1,0,0
875,3168.265,0.095164,0.840685,0.837614,0.843757,19,0.00008013,2,0.022406,0.028211,0.016600,0.974649,0.968283,0.981015,0.859504,0.861244,0.857763,0.006955,0.003766,0.033559,0.029236,0.050000,0,0,1,0,0
900,3327.787,0.092366,0.847026,0.845526,0.848527,19,0.00005697,2,0.023047,0.029712,0.016383,0.974179,0.967000,0.981358,0.866538,0.870648,0.862428,0.007211,0.003479,0.031757,0.028068,0.050000,0,0,1,0,0
925,3353.129,0.090543,0.849213,0.847441,0.850984,19,0.00003477,2,0.021212,0.028211,0.014213,0.976219,0.968639,0.983799,0.867214,0.871349,0.863079,0.007031,0.003268,0.031436,0.027943,0.050000,0,0,1,0,0
950,3516.505,0.093261,0.852120,0.856185,0.848055,19,0.00009950,2,0.023869,0.029512,0.018227,0.973466,0.967604,0.979328,0.872483,0.881453,0.863513,0.007239,0.004139,0.029607,0.028427,0.050000,0,0,1,0,0
975,3541.998,0.089948,0.856138,0.864983,0.847293,19,0.00004358,1,0.024015,0.029912,0.018119,0.973471,0.967514,0.979428,0.876751,0.890856,0.862645,0.007198,0.003784,0.027655,0.028323,0.050000,0,0,1,0,0
1000,3705.803,0.087727,0.860398,0.872680,0.848116,19,0.00004015,2,0.022901,0.029312,0.016491,0.974815,0.968399,0.981230,0.880181,0.898259,0.862103,0.007091,0.003669,0.026083,0.028323,0.050000,0,0,1,0,0
1025,3731.256,0.088554,0.863965,0.883239,0.844690,19,0.00003025,1,0.024813,0.029012,0.020614,0.972857,0.969067,0.976647,0.885483,0.908864,0.862103,0.007082,0.004329,0.023814,0.028912,0.050000,0,0,1,0,0
