step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.517,1.359367,0.171862,0.166651,0.177074,20,0.00068116,0,0.121742,0.079332,0.164153,0.625318,0.693941,0.556695,0.193006,0.179872,0.206141,0.019651,0.037304,0.817338,0.791415,0.000000,0,0,0,0,0
25,27.407,1.090296,0.301655,0.270503,0.332806,20,0.00008481,1,0.076384,0.055122,0.097646,0.813605,0.838132,0.789079,0.325359,0.285414,0.365303,0.013505,0.021934,0.712472,0.632927,0.000000,0,0,0,0,0
50,357.923,0.861729,0.437068,0.335082,0.539055,22,0.00023961,5,0.058627,0.049120,0.068135,0.885795,0.877403,0.894187,0.463662,0.351541,0.575784,0.011970,0.015105,0.646150,0.422017,0.000000,1,1,0,0,0
75,387.156,0.701874,0.536492,0.390209,0.682776,22,0.00079785,4,0.047442,0.044218,0.050667,0.918067,0.902104,0.934030,0.562417,0.407463,0.717370,0.010651,0.011172,0.589990,0.280655,0.000000,1,1,0,0,0
100,701.341,0.627108,0.587424,0.431530,0.743318,22,0.00154697,5,0.045750,0.048319,0.043181,0.925373,0.903497,0.947250,0.613898,0.452381,0.775415,0.011780,0.009410,0.545129,0.222926,0.000000,4,1,3,0,0
125,730.500,0.559701,0.629435,0.483308,0.775561,22,0.00042206,3,0.040829,0.042817,0.038841,0.937853,0.921698,0.954008,0.654843,0.504002,0.805685,0.010400,0.008469,0.494238,0.192440,0.000000,4,1,3,0,0
150,1080.401,0.501410,0.668753,0.524849,0.812657,24,0.00010064,4,0.040098,0.044718,0.035478,0.942070,0.924595,0.959545,0.694904,0.548319,0.841489,0.010933,0.007730,0.449652,0.156399,0.000000,7,1,4,0,0
175,1112.250,0.426524,0.714092,0.592180,0.836004,24,0.00010904,3,0.034867,0.033713,0.036020,0.953936,0.947800,0.960072,0.739131,0.612145,0.866117,0.007644,0.007703,0.386431,0.131900,0.000000,7,1,4,0,0
200,1500.566,0.355930,0.763237,0.657747,0.868727,27,0.00009744,3,0.035600,0.035614,0.035586,0.956131,0.950314,0.961949,0.790407,0.681172,0.899642,0.008347,0.007639,0.316897,0.098687,0.000000,10,1,4,0,0
225,1536.149,0.292350,0.806921,0.717072,0.896769,27,0.00061608,4,0.033522,0.036014,0.031030,0.960646,0.953763,0.967530,0.833747,0.742897,0.924596,0.008756,0.006658,0.255039,0.073603,0.000000,10,1,4,0,0
250,1966.457,0.220716,0.855778,0.798064,0.913493,29,0.00174486,5,0.030920,0.033413,0.028426,0.965847,0.961063,0.970631,0.882095,0.824730,0.939460,0.008305,0.006045,0.173217,0.059172,0.000000,12,1,4,0,0
275,2004.132,0.179720,0.881643,0.836625,0.926661,29,0.00116465,3,0.030378,0.038515,0.022242,0.967306,0.957552,0.977059,0.908059,0.868848,0.947271,0.008957,0.004490,0.129147,0.050927,0.000000,12,1,4,0,0
300,2417.517,0.161196,0.895167,0.851070,0.939265,30,0.00057088,3,0.028021,0.037815,0.018227,0.970121,0.958944,0.981298,0.919819,0.883253,0.956385,0.009251,0.003586,0.115567,0.042273,0.000000,15,1,6,0,0
325,2456.822,0.146478,0.904676,0.867366,0.941987,30,0.00048890,4,0.027815,0.040116,0.015515,0.970733,0.957426,0.984040,0.929381,0.902161,0.956602,0.009364,0.003140,0.096472,0.042515,0.000000,15,1,6,0,1
350,2899.846,0.139381,0.909732,0.875950,0.943515,29,0.00083570,3,0.029163,0.040316,0.018010,0.969613,0.957632,0.981594,0.935886,0.911265,0.960508,0.009716,0.003330,0.087912,0.037853,0.000000,15,1,7,0,1
375,2937.815,0.137340,0.912975,0.874018,0.951932,29,0.00099434,4,0.028836,0.044218,0.013453,0.970018,0.953790,0.986247,0.938702,0.912665,0.964739,0.010422,0.002830,0.087005,0.034631,0.000000,15,1,7,0,1
400,3376.796,0.131334,0.916855,0.877827,0.955884,29,0.00111649,4,0.028627,0.044018,0.013236,0.970345,0.954171,0.986518,0.942501,0.916467,0.968536,0.010645,0.002629,0.083012,0.029935,0.000000,15,1,7,0,1
425,3414.335,0.129177,0.919207,0.880219,0.958195,29,0.00157563,5,0.028536,0.042317,0.014755,0.970481,0.955910,0.985052,0.944900,0.917467,0.972334,0.010306,0.003115,0.081918,0.026755,0.000000,15,1,7,0,1
450,3848.559,0.123096,0.923400,0.884000,0.962800,28,0.00107026,3,0.027780,0.043517,0.012043,0.971371,0.954950,0.987791,0.948432,0.922469,0.974395,0.010785,0.002422,0.076907,0.024849,0.000000,15,1,8,0,1
475,3885.602,0.122107,0.925591,0.886366,0.964817,28,0.00138925,4,0.031529,0.048519,0.014538,0.967874,0.950384,0.985365,0.954108,0.929372,0.978843,0.011927,0.002949,0.070883,0.020267,0.000000,15,1,8,0,1
500,4316.733,0.120395,0.926800,0.887372,0.966228,28,0.00130539,4,0.031654,0.048119,0.015189,0.967780,0.950808,0.984751,0.955488,0.930072,0.980905,0.011931,0.003192,0.068879,0.018627,0.000000,15,1,8,0,1
525,4353.642,0.123108,0.923742,0.886098,0.961387,28,0.00150736,5,0.034231,0.051321,0.017142,0.965279,0.947786,0.982772,0.954720,0.931573,0.977867,0.012361,0.003372,0.066765,0.021101,0.000000,15,1,8,0,1
550,4778.567,0.117776,0.927038,0.891338,0.962738,28,0.00148721,4,0.032393,0.048619,0.016166,0.967149,0.950554,0.983744,0.956487,0.934674,0.978301,0.011746,0.002982,0.064765,0.020981,0.000000,15,1,8,0,1
575,4816.139,0.117850,0.927743,0.892871,0.962615,28,0.00173404,3,0.031275,0.046819,0.015732,0.968232,0.952298,0.984165,0.956216,0.934674,0.977758,0.011355,0.003378,0.064433,0.021145,0.000000,15,1,8,0,1
600,5260.405,0.118594,0.927131,0.891564,0.962698,31,0.00094486,2,0.036716,0.055422,0.018010,0.963166,0.944378,0.981955,0.960507,0.940976,0.980037,0.013080,0.003544,0.058133,0.019185,0.000000,18,1,8,0,1
625,5301.813,0.115120,0.931025,0.896876,0.965175,31,0.00076804,4,0.034572,0.053521,0.015623,0.965352,0.946393,0.984312,0.962566,0.944878,0.980254,0.012980,0.003470,0.054066,0.019468,0.000000,18,1,8,0,1
650,5777.717,0.117345,0.928875,0.894747,0.963002,31,0.00028763,2,0.035349,0.053121,0.017576,0.964506,0.946633,0.982380,0.961103,0.942277,0.979928,0.012725,0.003717,0.057462,0.019713,0.000000,18,1,8,0,1
675,5818.146,0.099214,0.939046,0.915038,0.963054,31,0.00076593,2,0.030238,0.044418,0.016057,0.969721,0.955587,0.983855,0.967100,0.955682,0.978518,0.010608,0.003363,0.043645,0.020722,0.000000,18,1,8,0,1
700,6270.343,0.103935,0.937510,0.912899,0.962121,30,0.00086592,2,0.033869,0.050920,0.016817,0.966350,0.949599,0.983101,0.968842,0.959384,0.978301,0.012412,0.003416,0.040217,0.020789,0.000000,18,1,9,0,1
725,6309.621,0.102360,0.937187,0.915484,0.958891,30,0.00057120,3,0.035647,0.049920,0.021374,0.964635,0.950628,0.978643,0.970285,0.961184,0.979386,0.011904,0.004199,0.037889,0.019731,0.000000,18,1,9,0,1
750,6730.608,0.101518,0.938178,0.916857,0.959498,29,0.00059642,1,0.035517,0.050420,0.020614,0.964818,0.950252,0.979384,0.971181,0.963085,0.979277,0.012038,0.004144,0.036156,0.019834,0.000000,18,1,10,0,1
775,6767.783,0.102954,0.936025,0.915824,0.956226,29,0.00062584,1,0.034688,0.048219,0.021157,0.965483,0.952173,0.978793,0.968220,0.959984,0.976457,0.011184,0.004443,0.038198,0.022742,0.000000,18,1,10,0,1
800,7203.025,0.101869,0.938225,0.920620,0.955831,29,0.00064336,3,0.035161,0.046018,0.024303,0.965085,0.954392,0.975779,0.971023,0.962985,0.979060,0.011074,0.005140,0.035877,0.020388,0.000000,18,1,10,0,1
825,7240.999,0.107331,0.934031,0.915635,0.952426,29,0.00056493,4,0.038438,0.050620,0.026256,0.961925,0.950010,0.973841,0.969709,0.961985,0.977433,0.012028,0.005213,0.036831,0.021718,0.000000,18,1,10,0,1
850,7683.654,0.103311,0.937832,0.908651,0.967013,29,0.00053159,3,0.033821,0.054622,0.013019,0.966479,0.946074,0.986884,0.968943,0.958283,0.979603,0.013050,0.002745,0.041214,0.019425,0.000000,18,1,10,0,1
875,7721.523,0.102867,0.939519,0.910479,0.968560,29,0.00061585,2,0.034730,0.054922,0.014538,0.965666,0.945911,0.985421,0.971562,0.960484,0.982641,0.013440,0.003035,0.039223,0.017082,0.000000,18,1,10,0,1
900,8133.145,0.103049,0.937794,0.910029,0.965558,30,0.00041696,4,0.035322,0.056323,0.014321,0.965120,0.944652,0.985588,0.970335,0.961285,0.979386,0.013573,0.002839,0.037664,0.019425,0.000000,21,1,12,0,1
925,8172.481,0.098849,0.941415,0.914616,0.968215,30,0.00046940,2,0.035301,0.056823,0.013779,0.965317,0.944477,0.986157,0.974071,0.966587,0.981556,0.013440,0.003007,0.033152,0.017785,0.000000,21,1,12,0,1
950,8587.395,0.113964,0.932456,0.906670,0.958241,30,0.00020408,3,0.043489,0.063325,0.023652,0.957410,0.938364,0.976455,0.972495,0.964086,0.980905,0.014982,0.004865,0.035731,0.018611,0.000000,21,1,12,0,1
975,8626.616,0.097720,0.941445,0.922814,0.960077,30,0.00032256,2,0.035758,0.052421,0.019095,0.964823,0.948788,0.980857,0.974799,0.971188,0.978409,0.012555,0.003958,0.028651,0.020497,0.000000,21,1,12,0,1
1000,9061.350,0.096534,0.942474,0.922520,0.962427,30,0.00017491,1,0.035166,0.051020,0.019312,0.965352,0.950010,0.980694,0.975301,0.969588,0.981013,0.012271,0.003993,0.030237,0.018716,0.000000,21,1,12,0,1
1025,9100.521,0.090979,0.944533,0.929550,0.959515,30,0.00021873,1,0.032383,0.043717,0.021048,0.967925,0.956882,0.978968,0.974950,0.970188,0.979711,0.010736,0.004056,0.029438,0.019500,0.000000,21,1,12,0,1
1050,9530.529,0.089745,0.945297,0.929207,0.961387,30,0.00028724,3,0.032841,0.045718,0.019963,0.967556,0.955064,0.980048,0.976134,0.971689,0.980579,0.011003,0.003930,0.028051,0.018332,0.000000,21,1,12,0,1
1075,9569.619,0.090512,0.944807,0.928435,0.961178,30,0.00018052,3,0.032845,0.045618,0.020072,0.967529,0.955118,0.979939,0.975630,0.970788,0.980471,0.011012,0.004009,0.028788,0.018315,0.000000,21,1,12,0,1
1100,10003.090,0.089472,0.945020,0.928989,0.961051,30,0.00014987,2,0.031723,0.043918,0.019529,0.968567,0.956676,0.980458,0.974804,0.969788,0.979820,0.010536,0.003853,0.029693,0.019338,0.000000,21,1,12,0,1
1125,10041.586,0.087585,0.946216,0.931236,0.961195,30,0.00016450,1,0.031811,0.043117,0.020506,0.968511,0.957499,0.979523,0.976147,0.971389,0.980905,0.010354,0.003960,0.028130,0.018636,0.000000,21,1,12,0,1
1150,10494.163,0.087278,0.945969,0.930282,0.961657,30,0.00015135,2,0.030899,0.040316,0.021482,0.969304,0.960008,0.978599,0.975051,0.967787,0.982315,0.009621,0.004230,0.031364,0.017451,0.000000,21,1,12,0,1
1175,10533.380,0.088835,0.944672,0.929697,0.959647,30,0.00010809,3,0.031658,0.041617,0.021699,0.968572,0.958796,0.978348,0.974429,0.968387,0.980471,0.009873,0.004228,0.031168,0.018545,0.000000,21,1,12,0,1
1200,10963.662,0.087474,0.944588,0.928743,0.960434,30,0.00011444,3,0.030894,0.041717,0.020072,0.969294,0.958664,0.979924,0.973599,0.967487,0.979711,0.009518,0.003963,0.031722,0.019379,0.000000,21,1,12,0,1
1225,11002.443,0.085684,0.945009,0.930955,0.959062,30,0.00018043,3,0.031659,0.040316,0.023001,0.968565,0.960036,0.977093,0.974805,0.968487,0.981122,0.009198,0.004216,0.030871,0.018003,0.000000,21,1,12,0,1
1250,11432.264,0.087910,0.945046,0.926567,0.963526,30,0.00023256,1,0.030552,0.040816,0.020289,0.969587,0.959395,0.979779,0.973730,0.964386,0.983075,0.009569,0.003932,0.035003,0.016482,0.000000,21,1,12,0,1
1275,11471.288,0.080892,0.949166,0.936488,0.961844,30,0.00054890,1,0.030834,0.038015,0.023652,0.969453,0.962365,0.976541,0.978341,0.972089,0.984594,0.009016,0.004235,0.027319,0.015315,0.000000,21,1,12,0,1
1300,11903.825,0.086349,0.946120,0.929573,0.962668,30,0.00042336,2,0.030644,0.041216,0.020072,0.969563,0.959155,0.979970,0.974938,0.967887,0.981990,0.009607,0.003954,0.031625,0.017157,0.000000,21,1,12,0,1
1325,11942.781,0.081068,0.949069,0.935733,0.962404,30,0.00027428,2,0.029153,0.036715,0.021591,0.971023,0.963533,0.978512,0.976636,0.970088,0.983183,0.008507,0.004394,0.028750,0.016272,0.000000,21,1,12,0,1
1350,12360.793,0.088693,0.946194,0.927734,0.964655,30,0.00021473,1,0.030056,0.041016,0.019095,0.970103,0.959261,0.980946,0.974431,0.965786,0.983075,0.009813,0.004175,0.033631,0.016380,0.000000,21,1,12,0,1
1375,12399.653,0.079677,0.951168,0.939625,0.962711,30,0.00023428,1,0.028440,0.035614,0.021265,0.971761,0.964693,0.978829,0.978136,0.973089,0.983183,0.008417,0.004574,0.026269,0.016351,0.000000,21,1,12,0,1
1400,12818.925,0.087453,0.946824,0.930650,0.962998,30,0.00014467,2,0.030957,0.041517,0.020397,0.969296,0.958927,0.979665,0.975964,0.969288,0.982641,0.009693,0.004527,0.030203,0.016896,0.000000,21,1,12,0,1
1425,12857.976,0.079727,0.951004,0.939341,0.962668,30,0.00019745,2,0.027893,0.035714,0.020072,0.972280,0.964590,0.979970,0.977439,0.972889,0.981990,0.008388,0.004301,0.027019,0.017321,0.000000,21,1,12,0,1
1450,13275.007,0.079195,0.951018,0.938256,0.963780,30,0.00015812,2,0.026079,0.033713,0.018444,0.973982,0.966407,0.981556,0.975722,0.969888,0.981556,0.007995,0.004042,0.029157,0.017948,0.000000,21,1,12,0,1
1475,13313.820,0.079088,0.950625,0.940261,0.960988,30,0.00016588,3,0.029174,0.034914,0.023435,0.971045,0.965363,0.976727,0.978299,0.973089,0.983509,0.008447,0.004499,0.026240,0.015859,0.000000,21,1,12,0,1
1500,13732.196,0.078207,0.951225,0.940602,0.961849,30,0.00013453,2,0.027527,0.034114,0.020940,0.972619,0.966117,0.979122,0.977339,0.972689,0.981990,0.008122,0.004368,0.026211,0.017115,0.000000,21,1,12,0,1
1525,13770.824,0.078377,0.950596,0.942401,0.958791,30,0.00011898,3,0.030106,0.033413,0.026798,0.970165,0.966829,0.973501,0.979187,0.973890,0.984485,0.008092,0.004857,0.025578,0.015550,0.000000,21,1,12,0,1
1550,14215.477,0.077897,0.951877,0.941290,0.962463,30,0.00010162,2,0.026451,0.032613,0.020289,0.973647,0.967536,0.979758,0.976989,0.971989,0.981990,0.007957,0.004152,0.027484,0.017467,0.000000,21,1,12,0,1
1575,14254.298,0.077699,0.951945,0.942544,0.961347,30,0.00015091,0,0.027106,0.032513,0.021699,0.973028,0.967671,0.978385,0.977698,0.973189,0.982207,0.007905,0.004417,0.026434,0.017052,0.000000,21,1,12,0,1
1600,14656.912,0.079649,0.950708,0.937826,0.963590,30,0.00007463,1,0.026854,0.034614,0.019095,0.973240,0.965555,0.980926,0.976139,0.970288,0.981990,0.008182,0.004120,0.028867,0.017546,0.000000,21,1,12,0,1
1625,14695.281,0.079046,0.951392,0.938635,0.964149,30,0.00006673,2,0.027534,0.035214,0.019855,0.972617,0.965027,0.980208,0.977490,0.971689,0.983292,0.008424,0.004261,0.027450,0.016082,0.000000,21,1,12,0,1
1650,15113.222,0.082679,0.949220,0.935158,0.963282,30,0.00006266,1,0.028868,0.038315,0.019421,0.971322,0.962038,0.980607,0.976489,0.970988,0.981990,0.009147,0.004122,0.028377,0.017156,0.000000,21,1,12,0,1
1675,15151.940,0.081527,0.949175,0.936873,0.961477,30,0.00006479,2,0.029382,0.036415,0.022350,0.970811,0.963853,0.977768,0.976977,0.970988,0.982966,0.008811,0.004273,0.028362,0.016539,0.000000,21,1,12,0,1
