step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.541,1.155592,0.245223,0.189143,0.301304,20,0.00017629,0,0.411239,0.116595,0.705882,0.532824,0.644302,0.421347,0.362592,0.211196,0.513989,0.027387,0.041217,0.783606,0.476720,0.000000,0,0,0,0,0
25,27.497,0.806622,0.406777,0.305267,0.508286,20,0.00000869,1,0.252484,0.054825,0.450143,0.737678,0.854510,0.620846,0.529546,0.322004,0.737088,0.012523,0.025985,0.672558,0.257302,0.000000,0,0,0,0,0
50,375.366,0.651322,0.499966,0.397779,0.602153,22,0.00003073,1,0.204078,0.042302,0.365854,0.799769,0.907416,0.692122,0.618530,0.414606,0.822453,0.009648,0.020846,0.579975,0.174038,0.000000,2,0,0,0,0
75,405.093,0.563039,0.558077,0.478182,0.637973,22,0.00013850,1,0.188437,0.039356,0.337518,0.821595,0.926624,0.716566,0.675150,0.497001,0.853300,0.009095,0.019002,0.498396,0.144042,0.000000,2,0,0,0,0
100,774.055,0.476591,0.614153,0.579860,0.648446,25,0.00013965,3,0.188133,0.037672,0.338594,0.830231,0.941080,0.719382,0.734855,0.601705,0.868006,0.008269,0.019190,0.394092,0.130079,0.000000,4,1,0,0,0
125,807.291,0.384117,0.672534,0.664894,0.680174,25,0.00004581,5,0.173955,0.029043,0.318867,0.848519,0.959280,0.737758,0.790632,0.684205,0.897059,0.006155,0.018143,0.311082,0.099890,0.000000,4,1,0,0,0
150,1183.309,0.304697,0.723268,0.740270,0.706265,26,0.00001582,2,0.174959,0.027465,0.322453,0.854256,0.965149,0.743363,0.847302,0.760602,0.934003,0.006109,0.018265,0.234841,0.063978,0.000000,7,1,2,0,0
175,1217.787,0.274370,0.751741,0.769623,0.733860,26,0.00007730,3,0.151588,0.030938,0.272238,0.868356,0.962471,0.774242,0.863539,0.793434,0.933644,0.006895,0.015302,0.202464,0.065226,0.000000,7,1,2,0,0
200,1625.423,0.258676,0.764937,0.788509,0.741365,29,0.00005918,4,0.144697,0.032937,0.256456,0.872625,0.961132,0.784118,0.872986,0.814480,0.931492,0.007232,0.014450,0.181877,0.066489,0.000000,10,1,2,0,0
225,1663.837,0.234066,0.783906,0.813111,0.754701,29,0.00024617,3,0.136868,0.033779,0.239957,0.878640,0.961367,0.795912,0.888186,0.840577,0.935796,0.007483,0.013335,0.156059,0.062096,0.000000,10,1,2,0,0
