step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.528,1.197751,0.254515,0.293518,0.215512,20,0.00103418,0,0.194029,0.151652,0.236406,0.610094,0.690305,0.529883,0.302245,0.338031,0.266460,0.020365,0.034886,0.659725,0.730308,0.000000,0,0,0,0,0
25,27.417,0.804751,0.462881,0.504811,0.420952,20,0.00041726,4,0.106896,0.081027,0.132765,0.826464,0.870717,0.782211,0.511277,0.545714,0.476840,0.010752,0.019430,0.451185,0.520045,0.000000,0,0,0,0,0
50,345.925,0.558587,0.618806,0.686324,0.551287,23,0.00056917,2,0.097397,0.069619,0.125174,0.872733,0.913379,0.832086,0.677200,0.734105,0.620294,0.009108,0.017992,0.263616,0.377446,0.000000,0,3,0,0,0
75,376.273,0.444939,0.691234,0.761740,0.620728,23,0.00107324,2,0.087599,0.064586,0.110612,0.893983,0.926231,0.861735,0.750163,0.810938,0.689388,0.008219,0.015974,0.187853,0.308268,0.000000,0,3,0,0,0
100,653.138,0.355176,0.748572,0.804234,0.692911,20,0.00152468,3,0.070076,0.054018,0.086135,0.918698,0.940093,0.897303,0.800136,0.847677,0.752595,0.006998,0.012389,0.150966,0.244009,0.000000,2,4,6,0,0
125,679.651,0.281090,0.796489,0.834416,0.758561,20,0.00236750,1,0.065454,0.058715,0.072192,0.928076,0.937678,0.918474,0.848366,0.883409,0.813323,0.007461,0.010222,0.115244,0.183721,0.000000,2,4,6,0,0
150,989.410,0.224704,0.832699,0.862668,0.802730,23,0.00095564,5,0.070488,0.062741,0.078234,0.926526,0.935948,0.917104,0.891162,0.916792,0.865531,0.007816,0.011323,0.081665,0.131566,0.000000,5,4,6,0,0
175,1019.589,0.178697,0.863388,0.881088,0.845688,23,0.00048619,4,0.067551,0.060896,0.074206,0.931661,0.938837,0.924484,0.921593,0.934742,0.908443,0.007782,0.010423,0.064832,0.089096,0.000000,5,4,6,0,0
200,1355.368,0.154929,0.879433,0.895362,0.863504,24,0.00042685,5,0.063865,0.059722,0.068009,0.936053,0.940785,0.931320,0.935532,0.948834,0.922231,0.007391,0.009597,0.050689,0.076337,0.000000,8,4,8,0,0
225,1387.518,0.136760,0.892380,0.907918,0.876842,24,0.00022522,3,0.057334,0.053011,0.061658,0.942673,0.947465,0.937880,0.943477,0.956048,0.930906,0.006821,0.008666,0.042986,0.066676,0.000000,8,4,8,0,0
250,1748.452,0.120794,0.904242,0.919936,0.888548,26,0.00020939,1,0.052011,0.043449,0.060573,0.948150,0.956696,0.939605,0.951138,0.959906,0.942370,0.005525,0.008584,0.039268,0.055287,0.000000,10,5,9,0,1
275,1782.929,0.100924,0.918083,0.938126,0.898040,26,0.00013440,4,0.048720,0.038416,0.059024,0.951813,0.962061,0.941564,0.962606,0.974165,0.951046,0.004702,0.008329,0.025877,0.046538,0.000000,10,5,9,0,1
