step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.535,0.453076,0.249592,0.205433,0.293751,20,0.00021183,0,0.117266,0.145419,0.089114,0.700094,0.618048,0.782141,0.277618,0.235307,0.319929,0.032702,0.018014,0.169706,0.130683,0.000000,0,0,0,0,0
25,27.919,0.287818,0.339825,0.329748,0.349902,20,0.00018197,1,0.043158,0.054667,0.031648,0.891778,0.864161,0.919394,0.354375,0.347774,0.360976,0.012070,0.006373,0.131919,0.113967,0.000000,0,0,0,0,0
50,346.411,0.247116,0.446020,0.452918,0.439123,23,0.00055171,3,0.040370,0.049806,0.030934,0.920611,0.905183,0.936039,0.464091,0.475475,0.452707,0.011073,0.006179,0.107065,0.098073,0.000000,2,1,0,0,0
75,377.099,0.208014,0.533691,0.548794,0.518587,23,0.00025593,4,0.035668,0.043971,0.027365,0.939934,0.928722,0.951147,0.552852,0.572926,0.532778,0.009490,0.005461,0.087250,0.083871,0.000000,2,1,0,0,0
100,742.113,0.164367,0.590473,0.595025,0.585921,25,0.00082049,4,0.022056,0.024957,0.019155,0.964803,0.960688,0.968919,0.603510,0.609875,0.597145,0.004828,0.003677,0.076610,0.071362,0.000000,2,3,0,0,0
125,775.425,0.146759,0.629230,0.611568,0.646893,25,0.00067024,4,0.018162,0.025497,0.010827,0.972323,0.960934,0.983712,0.640529,0.627161,0.653896,0.005018,0.002161,0.073481,0.060349,0.000000,2,3,0,0,0
150,1160.095,0.135732,0.659274,0.628066,0.690482,27,0.00030248,4,0.016874,0.026253,0.007496,0.975102,0.960863,0.989340,0.670106,0.644555,0.695657,0.005384,0.001466,0.070531,0.052644,0.000000,5,3,1,0,0
175,1196.768,0.125041,0.688880,0.646582,0.731179,27,0.00029932,4,0.015361,0.025605,0.005116,0.977955,0.962824,0.993087,0.699029,0.663137,0.734920,0.005480,0.001004,0.067153,0.045612,0.000000,5,3,1,0,0
200,1597.130,0.110816,0.723371,0.690659,0.756083,28,0.00013824,4,0.015289,0.028198,0.002380,0.979339,0.961809,0.996870,0.734008,0.710134,0.757882,0.005441,0.000424,0.058424,0.041140,0.000000,8,3,3,0,0
225,1634.626,0.101250,0.754293,0.724298,0.784288,28,0.00016366,3,0.013878,0.026685,0.001071,0.981998,0.965358,0.998638,0.764377,0.743626,0.785128,0.005759,0.000203,0.052351,0.036175,0.000000,8,3,3,0,0
250,2060.089,0.091949,0.777299,0.753029,0.801568,27,0.00011094,3,0.013349,0.025389,0.001309,0.983269,0.968166,0.998372,0.787383,0.772148,0.802617,0.005328,0.000258,0.046489,0.033246,0.000000,8,3,4,0,0
275,2096.431,0.091385,0.784847,0.753974,0.815721,27,0.00018437,5,0.014138,0.026253,0.002023,0.982358,0.967184,0.997532,0.795569,0.773768,0.817371,0.005574,0.000405,0.046529,0.030950,0.000000,8,3,4,0,0
300,2517.254,0.088226,0.788201,0.761543,0.814859,27,0.00027804,6,0.013674,0.024849,0.002499,0.983047,0.969144,0.996951,0.798681,0.780467,0.816895,0.005013,0.000467,0.044796,0.031100,0.000000,8,3,4,0,0
325,2553.366,0.086874,0.795467,0.767272,0.823662,27,0.00020988,6,0.013664,0.022688,0.004640,0.983161,0.971899,0.994424,0.806082,0.784680,0.827484,0.004741,0.000962,0.043783,0.029769,0.000000,8,3,4,0,0
350,2973.140,0.084653,0.809674,0.767658,0.851690,27,0.00014368,4,0.015815,0.024849,0.006782,0.980768,0.969382,0.992153,0.822099,0.786733,0.857466,0.005055,0.001316,0.043549,0.024915,0.000000,8,3,4,0,0
375,3009.450,0.079469,0.826317,0.774115,0.878519,27,0.00015103,5,0.015879,0.025929,0.005830,0.980915,0.968384,0.993446,0.838914,0.794188,0.883641,0.005293,0.001093,0.042461,0.020178,0.000000,8,3,4,0,0
400,3420.007,0.077594,0.834986,0.782196,0.887776,29,0.00011205,6,0.016794,0.024309,0.009280,0.980151,0.970554,0.989749,0.848612,0.801210,0.896014,0.004973,0.001689,0.040904,0.018577,0.000000,11,3,5,0,0
425,3459.392,0.069726,0.847987,0.795903,0.900071,29,0.00009169,5,0.015243,0.023228,0.007258,0.982164,0.972269,0.992058,0.860497,0.814391,0.906603,0.004389,0.001332,0.037978,0.016540,0.000000,11,3,5,0,0
450,3907.060,0.064438,0.862024,0.818539,0.905509,28,0.00010545,6,0.013628,0.018691,0.008566,0.984392,0.978076,0.990707,0.873552,0.833838,0.913266,0.003863,0.001642,0.033885,0.015612,0.000000,11,3,6,0,0
475,3945.068,0.059535,0.863238,0.816665,0.909812,28,0.00009454,5,0.010882,0.016530,0.005235,0.987393,0.980477,0.994309,0.872369,0.830164,0.914575,0.003353,0.001008,0.033966,0.014669,0.000000,11,3,6,0,0
500,4391.775,0.055547,0.868592,0.820597,0.916588,28,0.00006768,4,0.009633,0.016530,0.002736,0.988800,0.980569,0.997031,0.876629,0.834162,0.919096,0.003268,0.000455,0.033252,0.013524,0.000000,11,3,6,0,0
525,4430.075,0.055004,0.872129,0.817883,0.926375,28,0.00004845,6,0.010243,0.018583,0.001904,0.988067,0.978181,0.997953,0.880610,0.833081,0.928138,0.003564,0.000324,0.033641,0.011885,0.000000,11,3,6,0,0
550,4872.270,0.053447,0.872679,0.821459,0.923899,28,0.00007745,5,0.009066,0.015990,0.002142,0.989447,0.981202,0.997692,0.880236,0.834594,0.925877,0.003047,0.000395,0.033078,0.012478,0.000000,11,3,6,0,0
575,4910.331,0.052778,0.874346,0.817892,0.930801,28,0.00005415,3,0.009023,0.015666,0.002380,0.989474,0.981491,0.997456,0.881860,0.830704,0.933016,0.002969,0.000458,0.033724,0.011168,0.000000,11,3,6,0,0
600,5339.364,0.052232,0.878012,0.820047,0.935978,27,0.00003637,4,0.009044,0.016422,0.001666,0.989453,0.980679,0.998227,0.885525,0.833513,0.937537,0.003242,0.000321,0.033419,0.010335,0.000000,11,3,7,0,0
625,5376.196,0.053427,0.880789,0.822623,0.938955,27,0.00003978,3,0.009481,0.017178,0.001785,0.988995,0.979884,0.998106,0.888693,0.836755,0.940631,0.003692,0.000381,0.033165,0.009872,0.000000,11,3,7,0,0
650,5811.373,0.052469,0.881603,0.823748,0.939459,27,0.00003991,4,0.009287,0.016314,0.002261,0.989246,0.980886,0.997605,0.889385,0.837187,0.941582,0.003455,0.000448,0.032901,0.009756,0.000000,11,3,7,0,0
675,5847.886,0.052448,0.882485,0.820875,0.944095,27,0.00005838,4,0.009941,0.017502,0.002380,0.988484,0.979475,0.997492,0.890792,0.835242,0.946341,0.003616,0.000390,0.033312,0.008896,0.000000,11,3,7,0,0
700,6260.104,0.052102,0.884041,0.822081,0.946000,26,0.00004364,2,0.010108,0.017718,0.002499,0.988317,0.979262,0.997372,0.892505,0.836646,0.948364,0.003578,0.000450,0.033125,0.008622,0.000000,11,3,8,0,0
725,6295.510,0.052375,0.878872,0.818587,0.939156,26,0.00009848,3,0.009184,0.017178,0.001190,0.989261,0.979786,0.998736,0.886461,0.832649,0.940274,0.003488,0.000214,0.033693,0.009617,0.000000,11,3,8,0,0
750,6708.478,0.052422,0.884383,0.822955,0.945811,26,0.00007004,3,0.009832,0.018475,0.001190,0.988589,0.978434,0.998745,0.892548,0.838159,0.946936,0.003865,0.000271,0.033094,0.008554,0.000000,11,3,8,0,0
775,6744.016,0.052930,0.884145,0.824135,0.944155,26,0.00005805,3,0.010692,0.017934,0.003450,0.987720,0.979069,0.996371,0.893164,0.838915,0.947412,0.003648,0.000656,0.032655,0.008896,0.000000,11,3,8,0,0
800,7166.747,0.053478,0.882135,0.820690,0.943580,26,0.00006726,4,0.009962,0.018258,0.001666,0.988430,0.978618,0.998241,0.890413,0.835674,0.945152,0.003850,0.000383,0.033395,0.009037,0.000000,11,3,8,0,0
825,7202.683,0.053237,0.882899,0.822239,0.943560,26,0.00006130,3,0.010270,0.019231,0.001309,0.988092,0.977568,0.998617,0.891423,0.838051,0.944795,0.003997,0.000246,0.033155,0.008978,0.000000,11,3,8,0,0
850,7627.757,0.052345,0.887044,0.824284,0.949804,26,0.00005462,4,0.010708,0.018799,0.002617,0.987682,0.978105,0.997259,0.896035,0.839780,0.952290,0.003761,0.000609,0.032709,0.007927,0.000000,11,3,8,0,0
875,7663.715,0.052200,0.885084,0.822718,0.947450,26,0.00004126,5,0.009216,0.017718,0.000714,0.989262,0.979277,0.999248,0.892710,0.837295,0.948126,0.003901,0.000202,0.033234,0.008325,0.000000,11,3,8,0,0
900,8084.979,0.049984,0.886612,0.823479,0.949745,26,0.00001975,3,0.008709,0.015990,0.001428,0.989874,0.981247,0.998501,0.893874,0.836646,0.951101,0.003399,0.000254,0.032955,0.007957,0.000000,11,3,8,0,0
925,8120.929,0.052698,0.886094,0.819898,0.952291,26,0.00005809,4,0.010541,0.018583,0.002499,0.987812,0.978233,0.997390,0.894902,0.835134,0.954670,0.003888,0.000480,0.033612,0.007425,0.000000,11,3,8,0,0
950,8534.258,0.053206,0.883795,0.817025,0.950564,26,0.00001973,1,0.010156,0.019123,0.001190,0.988150,0.977549,0.998751,0.892172,0.832649,0.951695,0.003986,0.000284,0.034157,0.007868,0.000000,11,3,8,0,0
975,8570.338,0.055170,0.879908,0.818674,0.941142,26,0.00001635,3,0.010438,0.018258,0.002617,0.987900,0.978567,0.997234,0.888613,0.833621,0.943605,0.003933,0.000541,0.033929,0.009461,0.000000,11,3,8,0,0
1000,8997.824,0.054975,0.879499,0.816690,0.942308,26,0.00001065,2,0.011232,0.020203,0.002261,0.986969,0.976326,0.997612,0.888814,0.833189,0.944438,0.004033,0.000440,0.034002,0.009181,0.000000,11,3,8,0,0
