step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,0.827,1.292082,0.177314,0.153791,0.200838,10,0.00192236,0,0.137341,0.152461,0.122221,0.592983,0.537575,0.648392,0.201311,0.177238,0.225384,0.020803,0.022812,0.813312,0.770672,0.000000,0,0,0,0,0
25,13.761,1.007788,0.316789,0.282416,0.351162,10,0.00001375,0,0.065104,0.080278,0.049930,0.836206,0.791685,0.880728,0.336891,0.305088,0.368695,0.010881,0.009062,0.685406,0.626586,0.000000,0,0,0,0,0
50,26.464,0.850485,0.424301,0.324231,0.524371,10,0.00000000,0,0.070021,0.094813,0.045229,0.856486,0.789203,0.923769,0.451530,0.354972,0.548088,0.012632,0.008367,0.637219,0.447769,0.000000,0,0,0,0,0
75,38.671,0.743317,0.495241,0.343380,0.647102,10,0.00015736,0,0.067055,0.101586,0.032524,0.870939,0.788296,0.953581,0.523206,0.378262,0.668149,0.013549,0.005844,0.614037,0.328531,0.000000,0,0,0,0,0
100,51.546,0.679220,0.537514,0.353752,0.721277,10,0.00031271,1,0.062888,0.102907,0.022869,0.880612,0.791290,0.969935,0.563963,0.390155,0.737772,0.013755,0.004070,0.601957,0.258605,0.000000,0,0,0,0,0
125,65.002,0.642220,0.564589,0.370519,0.758659,10,0.00021855,1,0.067329,0.114965,0.019693,0.878736,0.782296,0.975176,0.593357,0.413115,0.773599,0.015310,0.003500,0.580446,0.222887,0.000000,0,0,0,0,0
150,78.141,0.611587,0.583643,0.374926,0.792361,10,0.00052174,0,0.061916,0.109349,0.014484,0.887062,0.791824,0.982301,0.609880,0.415923,0.803837,0.014436,0.002444,0.577434,0.192780,0.000000,0,0,0,0,0
175,91.178,0.596687,0.593773,0.377695,0.809851,10,0.00037287,3,0.063549,0.110836,0.016262,0.885827,0.791031,0.980624,0.621289,0.419557,0.823021,0.014323,0.002673,0.574739,0.174028,0.000000,0,0,0,0,0
200,104.373,0.584492,0.601769,0.378071,0.825466,10,0.00073138,2,0.058740,0.102742,0.014738,0.892499,0.802289,0.982710,0.627273,0.416914,0.837632,0.013502,0.002536,0.576350,0.160008,0.000000,0,0,0,0,0
225,117.809,0.578278,0.604632,0.370939,0.838326,10,0.00031931,2,0.055919,0.098117,0.013721,0.894996,0.805882,0.984111,0.628581,0.407334,0.849828,0.012621,0.002357,0.586648,0.147026,0.000000,0,0,0,0,0
250,131.243,0.567853,0.611070,0.370769,0.851370,10,0.00028068,2,0.051936,0.088371,0.015500,0.901368,0.820349,0.982388,0.634050,0.403535,0.864566,0.011592,0.002754,0.589795,0.132615,0.000000,0,0,0,0,0
275,144.735,0.558919,0.618019,0.376950,0.859088,10,0.00027014,3,0.053854,0.090684,0.017025,0.900088,0.819289,0.980887,0.642423,0.411133,0.873714,0.012040,0.003054,0.582425,0.123433,0.000000,0,0,0,0,0
300,158.301,0.550323,0.623214,0.380728,0.865700,10,0.00030505,3,0.050538,0.085068,0.016008,0.905685,0.829244,0.982125,0.646337,0.413115,0.879558,0.011399,0.002747,0.580638,0.118144,0.000000,0,0,0,0,0
325,171.907,0.546556,0.625042,0.382335,0.867750,10,0.00024332,3,0.048664,0.080938,0.016389,0.908993,0.836230,0.981756,0.647626,0.413280,0.881972,0.010833,0.002858,0.580390,0.115576,0.000000,0,0,0,0,0
350,185.480,0.548440,0.624633,0.381236,0.868030,10,0.00026559,4,0.050652,0.082755,0.018549,0.906226,0.833000,0.979451,0.648458,0.412785,0.884132,0.011178,0.003252,0.581197,0.113458,0.000000,0,0,0,0,0
375,199.114,0.545960,0.626061,0.381840,0.870282,10,0.00022997,3,0.048626,0.080608,0.016643,0.909053,0.836571,0.981536,0.648693,0.412620,0.884767,0.010936,0.002975,0.581318,0.112654,0.000000,0,0,0,0,0
400,212.640,0.544209,0.626205,0.380631,0.871779,10,0.00022002,3,0.046796,0.077965,0.015627,0.911491,0.840325,0.982657,0.647855,0.410307,0.885402,0.010544,0.002684,0.583017,0.112139,0.000000,0,0,0,0,0
425,226.227,0.541568,0.626876,0.381983,0.871769,10,0.00035356,3,0.046923,0.076313,0.017533,0.912030,0.843443,0.980618,0.649093,0.411133,0.887054,0.010041,0.002986,0.582410,0.109969,0.000000,0,0,0,0,0
450,239.838,0.536869,0.629688,0.383549,0.875827,10,0.00054813,2,0.045195,0.072349,0.018041,0.915289,0.850410,0.980168,0.651463,0.411298,0.891627,0.009520,0.003071,0.582337,0.105565,0.000000,0,0,0,0,0
475,253.436,0.534598,0.630776,0.381776,0.879775,10,0.00062380,2,0.043600,0.069541,0.017660,0.917567,0.854476,0.980657,0.651818,0.408325,0.895312,0.009156,0.003034,0.584970,0.101799,0.000000,0,0,0,0,0
