step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,3.527,1.018890,0.435577,0.395103,0.476052,50,0.00115967,0,0.211630,0.191132,0.232128,0.713817,0.711172,0.716462,0.528588,0.470620,0.586557,0.043718,0.048774,0.527708,0.411850,0.000000,0,0,0,0,0
25,69.146,0.436410,0.730093,0.704749,0.755436,50,0.00070097,7,0.092982,0.086645,0.099319,0.895770,0.898358,0.893181,0.798139,0.765812,0.830465,0.019562,0.020583,0.231919,0.167490,0.000000,0,0,0,0,0
50,135.750,0.228576,0.860262,0.851169,0.869354,50,0.00061685,14,0.073460,0.078205,0.068715,0.926305,0.921476,0.931134,0.923413,0.917735,0.929091,0.017621,0.014229,0.081481,0.069743,0.000000,0,0,0,0,0
75,202.119,0.155265,0.905512,0.900140,0.910885,50,0.00043848,9,0.061729,0.069872,0.053586,0.939735,0.932354,0.947116,0.961365,0.963034,0.959695,0.015831,0.010934,0.035972,0.039370,0.000000,0,0,0,0,0
100,268.523,0.123785,0.923547,0.917985,0.929109,50,0.00060018,10,0.054747,0.066880,0.042615,0.946970,0.936077,0.957862,0.974042,0.979380,0.968703,0.014688,0.008502,0.019789,0.030157,0.000000,0,0,0,0,0
125,335.104,0.111623,0.932470,0.923896,0.941045,50,0.00082936,6,0.050183,0.064103,0.036263,0.951468,0.938788,0.964147,0.979145,0.983120,0.975170,0.014484,0.007232,0.016529,0.023935,0.000000,0,0,0,0,0
150,401.026,0.098668,0.938962,0.931653,0.946270,50,0.00077709,11,0.044697,0.059829,0.029565,0.956708,0.942869,0.970548,0.980820,0.987393,0.974246,0.013130,0.005908,0.011757,0.024810,0.000000,0,0,0,0,0
175,467.142,0.087929,0.945917,0.939821,0.952012,50,0.00047978,6,0.040190,0.052778,0.027601,0.960960,0.949359,0.972560,0.983856,0.989423,0.978288,0.011750,0.005571,0.010298,0.020597,0.000000,0,0,0,0,0
200,532.914,0.084654,0.948114,0.946503,0.949726,50,0.00039043,5,0.038943,0.046474,0.031412,0.962055,0.955182,0.968928,0.985025,0.990491,0.979559,0.010633,0.006283,0.009043,0.019500,0.000000,0,0,0,0,0
225,598.389,0.084435,0.948217,0.946026,0.950408,50,0.00029572,4,0.040534,0.047115,0.033953,0.960600,0.954597,0.966602,0.986638,0.990598,0.982677,0.010648,0.006844,0.008537,0.016719,0.000000,0,0,0,0,0
250,664.052,0.084819,0.948012,0.947347,0.948678,50,0.00026447,6,0.041058,0.047009,0.035108,0.960117,0.954751,0.965482,0.986932,0.991880,0.981984,0.010767,0.006928,0.007524,0.017216,0.000000,0,0,0,0,0
275,729.202,0.080641,0.950654,0.949310,0.951997,50,0.00024092,8,0.038756,0.045406,0.032105,0.962304,0.956249,0.968359,0.987488,0.992415,0.982561,0.010342,0.006549,0.006721,0.016446,0.000000,0,0,0,0,0
300,794.723,0.080509,0.949973,0.950645,0.949301,50,0.00023509,6,0.037625,0.043376,0.031874,0.963294,0.958101,0.968486,0.985720,0.991880,0.979559,0.009781,0.006440,0.007243,0.019321,0.000000,0,0,0,0,0
325,860.105,0.073673,0.954657,0.951757,0.957557,50,0.00018559,7,0.035790,0.043056,0.028525,0.965142,0.958432,0.971852,0.988803,0.992735,0.984871,0.009730,0.005734,0.006728,0.014305,0.000000,0,0,0,0,0
350,925.411,0.067281,0.958204,0.952801,0.963608,50,0.00015856,2,0.031533,0.041239,0.021827,0.969202,0.960091,0.978313,0.988367,0.992094,0.984640,0.009217,0.004329,0.007234,0.015055,0.000000,0,0,0,0,0
375,990.741,0.053705,0.966861,0.961781,0.971940,50,0.00026987,2,0.023384,0.034295,0.012473,0.977079,0.966674,0.987484,0.989414,0.994765,0.984063,0.007932,0.002377,0.005020,0.015315,0.000000,0,0,0,0,0
400,1057.186,0.050100,0.967815,0.962087,0.973543,50,0.00023501,2,0.021252,0.034188,0.008315,0.979191,0.966781,0.991601,0.988308,0.994979,0.981638,0.007533,0.001599,0.004564,0.017013,0.000000,0,0,0,0,0
425,1123.663,0.049256,0.968720,0.963975,0.973464,50,0.00020083,3,0.020876,0.032051,0.009701,0.979508,0.968789,0.990227,0.988890,0.994872,0.982908,0.007212,0.001798,0.004877,0.016196,0.000000,0,0,0,0,0
450,1190.426,0.047447,0.969428,0.964330,0.974526,50,0.00016350,4,0.020657,0.030342,0.010971,0.979677,0.970367,0.988987,0.989404,0.993590,0.985218,0.006789,0.001946,0.005824,0.014205,0.000000,0,0,0,0,0
475,1257.129,0.044386,0.972123,0.968165,0.976081,50,0.00014132,3,0.018023,0.026923,0.009123,0.982229,0.973635,0.990822,0.989609,0.994231,0.984987,0.006135,0.001843,0.005409,0.014371,0.000000,0,0,0,0,0
500,1323.056,0.043970,0.972701,0.969628,0.975774,50,0.00007537,1,0.018881,0.027137,0.010625,0.981408,0.973475,0.989341,0.991041,0.995940,0.986142,0.006148,0.002274,0.003765,0.013129,0.000000,0,0,0,0,0
525,1388.474,0.043010,0.972599,0.971747,0.973450,50,0.00007414,1,0.019149,0.024786,0.013512,0.981102,0.975714,0.986490,0.991218,0.995833,0.986604,0.005470,0.002786,0.003726,0.012703,0.000000,0,0,0,0,0
