job_id	job_name	pair	arm	config	silhouette_weight	negative_space_weight	area_normalized	output_dir
4302263	neg_tshirt_pants_hinge2_aw0p1875	tshirt_pants	hinge2	aw0p1875	0.710526	3.78947	True	/oscar/home/cjmok/aps-hinge2/results/negspace/neg_newpairs_h2vsrd_20260726/neg_tshirt_pants_hinge2_aw0p1875
4302264	neg_tshirt_pants_srd_aw0p1875	tshirt_pants	srd	aw0p1875	0.710526	3.78947	True	/oscar/home/cjmok/aps-hinge2/results/negspace/neg_newpairs_h2vsrd_20260726/neg_tshirt_pants_srd_aw0p1875
4302265	neg_axe_shield_hinge2_aw0p1875	axe_shield	hinge2	aw0p1875	0.710526	3.78947	True	/oscar/home/cjmok/aps-hinge2/results/negspace/neg_newpairs_h2vsrd_20260726/neg_axe_shield_hinge2_aw0p1875
4302266	neg_axe_shield_srd_aw0p1875	axe_shield	srd	aw0p1875	0.710526	3.78947	True	/oscar/home/cjmok/aps-hinge2/results/negspace/neg_newpairs_h2vsrd_20260726/neg_axe_shield_srd_aw0p1875
4302267	neg_dance_sitting_hinge2_aw0p1875	dance_sitting	hinge2	aw0p1875	0.710526	3.78947	True	/oscar/home/cjmok/aps-hinge2/results/negspace/neg_newpairs_h2vsrd_20260726/neg_dance_sitting_hinge2_aw0p1875
4302268	neg_dance_sitting_srd_aw0p1875	dance_sitting	srd	aw0p1875	0.710526	3.78947	True	/oscar/home/cjmok/aps-hinge2/results/negspace/neg_newpairs_h2vsrd_20260726/neg_dance_sitting_srd_aw0p1875
4302269	neg_happy_sad_hinge2_aw0p1875	happy_sad	hinge2	aw0p1875	0.710526	3.78947	True	/oscar/home/cjmok/aps-hinge2/results/negspace/neg_newpairs_h2vsrd_20260726/neg_happy_sad_hinge2_aw0p1875
4302270	neg_happy_sad_srd_aw0p1875	happy_sad	srd	aw0p1875	0.710526	3.78947	True	/oscar/home/cjmok/aps-hinge2/results/negspace/neg_newpairs_h2vsrd_20260726/neg_happy_sad_srd_aw0p1875
4302271	neg_axe_tree_hinge2_aw0p1875	axe_tree	hinge2	aw0p1875	0.710526	3.78947	True	/oscar/home/cjmok/aps-hinge2/results/negspace/neg_newpairs_h2vsrd_20260726/neg_axe_tree_hinge2_aw0p1875
4302272	neg_axe_tree_srd_aw0p1875	axe_tree	srd	aw0p1875	0.710526	3.78947	True	/oscar/home/cjmok/aps-hinge2/results/negspace/neg_newpairs_h2vsrd_20260726/neg_axe_tree_srd_aw0p1875
4302273	neg_guitar_dance_hinge2_aw0p1875	guitar_dance	hinge2	aw0p1875	0.710526	3.78947	True	/oscar/home/cjmok/aps-hinge2/results/negspace/neg_newpairs_h2vsrd_20260726/neg_guitar_dance_hinge2_aw0p1875
4302274	neg_guitar_dance_srd_aw0p1875	guitar_dance	srd	aw0p1875	0.710526	3.78947	True	/oscar/home/cjmok/aps-hinge2/results/negspace/neg_newpairs_h2vsrd_20260726/neg_guitar_dance_srd_aw0p1875
