step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.541,1.292082,0.216771,0.276873,0.156669,20,0.00000000,0,0.175312,0.206502,0.144122,0.586145,0.617978,0.554313,0.256648,0.334048,0.179248,0.025664,0.038309,0.659510,0.817785,0.050000,0,0,0,0,0
25,27.308,0.952382,0.374293,0.454782,0.293804,20,0.00001416,0,0.084536,0.098249,0.070823,0.825938,0.835625,0.816251,0.407038,0.499464,0.314612,0.011970,0.018582,0.495021,0.682410,0.050000,0,0,0,0,0
50,195.062,0.683076,0.544248,0.633541,0.454954,23,0.00000383,0,0.087513,0.116292,0.058734,0.875051,0.858785,0.891316,0.594446,0.707217,0.481675,0.014181,0.015282,0.288617,0.515607,0.050000,3,0,0,0,0
75,225.426,0.481292,0.672599,0.729062,0.616137,23,0.00000400,0,0.092952,0.134691,0.051214,0.893352,0.859981,0.926723,0.737476,0.827260,0.647692,0.016434,0.013381,0.169330,0.349028,0.050000,3,0,0,0,0
100,417.434,0.353292,0.755547,0.785499,0.725594,23,0.00011096,0,0.087351,0.128439,0.046264,0.907999,0.873438,0.942560,0.822775,0.886388,0.759162,0.015728,0.012005,0.111716,0.237495,0.050000,3,0,0,0,0
125,447.522,0.254694,0.819883,0.825171,0.814595,23,0.00013133,2,0.081065,0.119864,0.042266,0.918880,0.885181,0.952579,0.886552,0.924080,0.849024,0.014545,0.011039,0.073465,0.148417,0.050000,3,0,0,0,0
150,634.498,0.210305,0.851194,0.829852,0.872536,22,0.00033692,3,0.077569,0.111826,0.043313,0.923241,0.891901,0.954582,0.916490,0.922651,0.910328,0.013636,0.011214,0.075545,0.087579,0.050000,3,0,1,0,0
175,662.800,0.191393,0.863541,0.839277,0.887804,22,0.00015253,2,0.075300,0.107003,0.043598,0.925891,0.896724,0.955058,0.927797,0.929082,0.926511,0.012914,0.011210,0.068653,0.071906,0.050000,3,0,1,0,0
200,838.287,0.179796,0.867662,0.833710,0.901614,21,0.00014810,3,0.069416,0.106467,0.032366,0.931462,0.896528,0.966397,0.926634,0.922472,0.930795,0.012568,0.008152,0.075226,0.067166,0.050000,3,0,2,0,0
225,865.368,0.169973,0.874998,0.837078,0.912918,21,0.00012384,3,0.065840,0.105216,0.026464,0.935210,0.897885,0.972535,0.931115,0.925152,0.937078,0.012888,0.006834,0.073064,0.060854,0.050000,3,0,2,0,0
250,1032.479,0.147490,0.888219,0.841126,0.935312,21,0.00009936,4,0.061972,0.104144,0.019800,0.939417,0.899170,0.979664,0.941278,0.928725,0.953832,0.012880,0.004866,0.068672,0.044168,0.050000,3,0,2,0,0
275,1060.380,0.136269,0.894068,0.829167,0.958968,21,0.00029735,3,0.070238,0.122008,0.018467,0.932751,0.884060,0.981443,0.953505,0.930332,0.976678,0.014755,0.004424,0.067639,0.021564,0.050000,3,0,2,0,0
300,1226.870,0.132279,0.897539,0.835126,0.959951,21,0.00035549,3,0.065022,0.112719,0.017325,0.937196,0.891822,0.982569,0.952922,0.929260,0.976583,0.013859,0.004292,0.067900,0.021114,0.050000,3,0,2,0,0
325,1253.761,0.131902,0.899242,0.834268,0.964215,21,0.00014541,3,0.065344,0.114505,0.016183,0.937052,0.890352,0.983752,0.954808,0.929796,0.979819,0.014256,0.004240,0.068207,0.018642,0.050000,3,0,2,0,0
