step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.525,1.224519,0.245726,0.215566,0.275885,20,0.00066318,0,0.194607,0.262801,0.126413,0.609819,0.508799,0.710840,0.291489,0.272217,0.310761,0.035936,0.023549,0.719575,0.685918,0.050000,0,0,0,0,0
25,27.423,0.835071,0.445695,0.398775,0.492616,20,0.00000528,2,0.108794,0.159399,0.058188,0.821604,0.743624,0.899583,0.491810,0.462339,0.521281,0.021690,0.010688,0.528010,0.474583,0.050000,0,0,0,0,0
50,196.885,0.601930,0.595995,0.544930,0.647059,20,0.00006732,1,0.116455,0.174595,0.058315,0.853605,0.785685,0.921525,0.662432,0.640073,0.684792,0.023395,0.010587,0.354222,0.311635,0.050000,0,0,0,0,0
75,223.100,0.513696,0.649772,0.589104,0.710440,20,0.00021638,3,0.097537,0.152131,0.042942,0.881059,0.816899,0.945219,0.709836,0.678725,0.740948,0.020420,0.007786,0.316747,0.255587,0.050000,0,0,0,0,0
100,390.672,0.471732,0.675502,0.605554,0.745450,20,0.00020802,2,0.088128,0.136108,0.040147,0.892804,0.834837,0.950771,0.731676,0.687975,0.775378,0.018032,0.007262,0.307138,0.221671,0.050000,0,0,0,0,0
125,416.812,0.448753,0.688449,0.611692,0.765206,20,0.00017283,2,0.076813,0.121738,0.031889,0.905248,0.849315,0.961182,0.737883,0.686158,0.789607,0.016055,0.005737,0.308041,0.207143,0.050000,0,0,0,0,0
150,586.831,0.438634,0.693870,0.621244,0.766497,20,0.00016632,3,0.066350,0.110340,0.022361,0.917177,0.862097,0.972257,0.736714,0.689792,0.783636,0.014591,0.003986,0.304608,0.213483,0.050000,0,0,0,0,0
175,614.005,0.430877,0.697662,0.631446,0.763879,20,0.00013948,3,0.064534,0.108358,0.020709,0.920029,0.865931,0.974127,0.739783,0.699868,0.779698,0.014134,0.003713,0.293905,0.217193,0.050000,0,0,0,0,0
200,787.362,0.422045,0.704965,0.642900,0.767031,20,0.00016493,4,0.066986,0.111992,0.021979,0.918644,0.864563,0.972726,0.749395,0.714899,0.783890,0.015179,0.003903,0.279251,0.212806,0.050000,0,0,0,0,0
225,814.262,0.405406,0.714568,0.656255,0.772881,20,0.00010266,5,0.071948,0.126363,0.017533,0.916100,0.854008,0.978192,0.762806,0.739181,0.786431,0.016578,0.003051,0.255489,0.210293,0.050000,0,0,0,0,0
250,979.443,0.377682,0.735345,0.677612,0.793078,19,0.00010985,2,0.076852,0.136934,0.016770,0.914354,0.849081,0.979626,0.788389,0.770400,0.806378,0.018573,0.003016,0.225728,0.190575,0.050000,0,0,1,0,0
275,1004.799,0.358124,0.748593,0.689896,0.807289,19,0.00036844,1,0.088491,0.159068,0.017914,0.906373,0.834080,0.978665,0.810694,0.799637,0.821751,0.021351,0.003275,0.196399,0.175924,0.050000,0,0,1,0,0
300,1167.664,0.346994,0.754019,0.700657,0.807381,19,0.00044149,1,0.087824,0.156591,0.019057,0.907711,0.838059,0.977362,0.816570,0.810373,0.822767,0.020497,0.003344,0.186230,0.174543,0.050000,0,0,1,0,0
325,1192.647,0.338691,0.759014,0.710693,0.807336,19,0.00007398,0,0.082094,0.149323,0.014865,0.913812,0.845444,0.982181,0.818076,0.816815,0.819337,0.019720,0.002729,0.179170,0.177705,0.050000,0,0,1,0,0
350,1351.159,0.332250,0.763378,0.721658,0.805097,19,0.00007658,0,0.078155,0.139412,0.016897,0.917405,0.855033,0.979778,0.820484,0.822266,0.818702,0.018777,0.002905,0.173730,0.178171,0.050000,0,0,1,0,0
375,1375.551,0.325850,0.767455,0.726399,0.808511,19,0.00008943,0,0.074457,0.133796,0.015119,0.921080,0.860248,0.981912,0.822161,0.823588,0.820734,0.017584,0.002664,0.174144,0.176385,0.050000,0,0,1,0,0
400,1534.238,0.319893,0.771898,0.730724,0.813071,19,0.00012312,0,0.070798,0.126858,0.014738,0.924478,0.866504,0.982451,0.824238,0.823423,0.825054,0.017077,0.002688,0.173220,0.171465,0.050000,0,0,1,0,0
425,1558.585,0.316663,0.773210,0.728580,0.817841,19,0.00007269,0,0.076465,0.137430,0.015500,0.919716,0.857753,0.981679,0.829613,0.828708,0.830517,0.018257,0.002702,0.167504,0.166317,0.050000,0,0,1,0,0
450,1718.505,0.309372,0.778860,0.731764,0.825956,19,0.00006257,0,0.073066,0.129997,0.016135,0.922642,0.864146,0.981138,0.833087,0.826891,0.839283,0.017551,0.002749,0.169603,0.157479,0.050000,0,0,1,0,0
475,1742.871,0.301374,0.784332,0.736749,0.831915,19,0.00013507,0,0.070080,0.125041,0.015119,0.925665,0.868918,0.982412,0.836683,0.828873,0.844492,0.016820,0.002760,0.167265,0.152336,0.050000,0,0,1,0,0
500,1902.930,0.296645,0.788072,0.741621,0.834522,19,0.00003028,1,0.066878,0.118764,0.014992,0.928696,0.874782,0.982609,0.838366,0.829699,0.847033,0.016051,0.002712,0.167776,0.149626,0.050000,0,0,1,0,0
525,1928.443,0.289137,0.791479,0.742231,0.840727,19,0.00002404,1,0.065068,0.116287,0.013848,0.930468,0.876923,0.984013,0.840456,0.828543,0.852369,0.015228,0.002503,0.168298,0.144046,0.050000,0,0,1,0,0
550,2091.618,0.282969,0.795633,0.743563,0.847704,19,0.00001134,1,0.065766,0.116287,0.015246,0.929855,0.877116,0.982594,0.845329,0.830030,0.860628,0.015383,0.002650,0.166226,0.135843,0.050000,0,0,1,0,0
575,2117.025,0.277323,0.799767,0.742016,0.857518,19,0.00000912,1,0.069457,0.122398,0.016516,0.926635,0.871866,0.981405,0.852259,0.832838,0.871681,0.016355,0.002802,0.163517,0.124609,0.050000,0,0,1,0,0
600,2276.335,0.264867,0.809391,0.743813,0.874969,19,0.00000559,1,0.070721,0.121242,0.020201,0.925473,0.873076,0.977871,0.863319,0.833994,0.892644,0.016198,0.003610,0.162879,0.104251,0.050000,0,0,1,0,0
625,2300.759,0.255383,0.815748,0.740492,0.891004,19,0.00000057,1,0.075130,0.129171,0.021090,0.921766,0.866188,0.977344,0.872968,0.836141,0.909795,0.017257,0.003711,0.160020,0.087578,0.050000,0,0,1,0,0
650,2451.577,0.248040,0.821539,0.746539,0.896539,18,0.00000676,1,0.071014,0.121573,0.020455,0.925672,0.873213,0.978131,0.876088,0.837298,0.914877,0.016447,0.003589,0.159781,0.082444,0.050000,0,0,2,0,0
675,2474.629,0.246411,0.822723,0.742313,0.903133,18,0.00001380,1,0.072983,0.128180,0.017787,0.924138,0.867260,0.981017,0.878330,0.837463,0.919197,0.017178,0.003171,0.159722,0.078541,0.050000,0,0,2,0,0
700,2624.094,0.241606,0.825905,0.749815,0.901995,18,0.00003004,1,0.069013,0.119095,0.018930,0.927765,0.875711,0.979819,0.879092,0.839115,0.919070,0.016103,0.003325,0.157961,0.078431,0.050000,0,0,2,0,0
725,2647.319,0.238039,0.827169,0.749374,0.904964,18,0.00003591,1,0.070207,0.121738,0.018676,0.926821,0.873498,0.980143,0.881233,0.840601,0.921865,0.016064,0.003371,0.156169,0.075156,0.050000,0,0,2,0,0
750,2796.103,0.240599,0.826011,0.751846,0.900175,18,0.00002144,1,0.067583,0.118269,0.016897,0.929277,0.876679,0.981875,0.878076,0.840766,0.915386,0.015898,0.003063,0.155891,0.081580,0.050000,0,0,2,0,0
775,2819.041,0.241806,0.824596,0.753451,0.895740,18,0.00011492,0,0.066382,0.112818,0.019947,0.930018,0.881403,0.978634,0.876030,0.838454,0.913607,0.015102,0.003344,0.157962,0.083865,0.050000,0,0,2,0,0
800,2967.212,0.243462,0.823709,0.755691,0.891727,18,0.00012275,0,0.064934,0.110175,0.019693,0.931361,0.883919,0.978802,0.874118,0.838949,0.909287,0.014599,0.003565,0.157604,0.088051,0.050000,0,0,2,0,0
825,2990.431,0.242883,0.824434,0.763307,0.885561,18,0.00004431,1,0.061383,0.104724,0.018041,0.934955,0.889528,0.980381,0.872391,0.843244,0.901537,0.014141,0.003213,0.153479,0.095756,0.050000,0,0,2,0,0
850,3140.891,0.240590,0.825427,0.759243,0.891611,18,0.00004803,0,0.062145,0.108028,0.016262,0.934285,0.886201,0.982369,0.873687,0.841262,0.906111,0.014607,0.002817,0.154843,0.090787,0.050000,0,0,2,0,0
875,3164.334,0.241732,0.824205,0.759397,0.889014,18,0.00014253,0,0.063085,0.107367,0.018803,0.933221,0.886779,0.979662,0.873331,0.840932,0.905730,0.014332,0.003214,0.155256,0.091242,0.050000,0,0,2,0,0
900,3312.334,0.240378,0.825583,0.760639,0.890527,18,0.00013332,0,0.061427,0.106211,0.016643,0.934934,0.887921,0.981948,0.873388,0.841427,0.905349,0.014297,0.002780,0.155056,0.092049,0.050000,0,0,2,0,0
925,3335.420,0.241190,0.823286,0.757198,0.889374,18,0.00012048,0,0.065258,0.112983,0.017533,0.931389,0.881784,0.980994,0.873858,0.842749,0.904968,0.014519,0.002997,0.153780,0.092134,0.050000,0,0,2,0,0
950,3485.314,0.243542,0.822988,0.761472,0.884505,18,0.00009650,0,0.063111,0.108688,0.017533,0.933417,0.885942,0.980892,0.872124,0.844235,0.900013,0.014432,0.002925,0.152918,0.097180,0.050000,0,0,2,0,0
975,3508.107,0.241847,0.824177,0.760006,0.888348,18,0.00010301,0,0.063727,0.110175,0.017279,0.932870,0.884502,0.981239,0.873718,0.843740,0.903697,0.014582,0.003028,0.152744,0.093611,0.050000,0,0,2,0,0
1000,3654.766,0.240439,0.823965,0.759708,0.888222,18,0.00004287,0,0.063155,0.110175,0.016135,0.933449,0.884462,0.982437,0.872981,0.843409,0.902554,0.014235,0.002792,0.153732,0.093810,0.050000,0,0,2,0,0
1025,3677.377,0.240646,0.825015,0.759364,0.890666,18,0.00002016,0,0.064051,0.111331,0.016770,0.932635,0.883451,0.981818,0.874754,0.843905,0.905603,0.014781,0.002883,0.153075,0.091388,0.050000,0,0,2,0,0
1050,3827.552,0.238169,0.826713,0.760721,0.892705,18,0.00002045,1,0.063250,0.109349,0.017152,0.933375,0.885289,0.981461,0.875961,0.843905,0.908017,0.014549,0.002880,0.153077,0.089149,0.050000,0,0,2,0,0
1075,3850.324,0.239114,0.826470,0.762274,0.890666,18,0.00001739,1,0.061821,0.106871,0.016770,0.934697,0.887576,0.981818,0.874671,0.843740,0.905603,0.014198,0.002882,0.153826,0.091597,0.050000,0,0,2,0,0
1100,3997.833,0.240248,0.824867,0.760763,0.888972,18,0.00002257,0,0.063066,0.108854,0.017279,0.933481,0.885709,0.981252,0.873953,0.843574,0.904332,0.014476,0.002942,0.153021,0.092189,0.050000,0,0,2,0,0
1125,4020.267,0.240347,0.824173,0.759845,0.888501,18,0.00002054,0,0.065086,0.111497,0.018676,0.931581,0.883379,0.979783,0.874830,0.844566,0.905095,0.014450,0.003246,0.152157,0.091709,0.050000,0,0,2,0,0
1150,4168.250,0.240432,0.823778,0.758820,0.888736,18,0.00005249,0,0.066427,0.114305,0.018549,0.930418,0.880916,0.979920,0.875389,0.845557,0.905222,0.014712,0.003199,0.151132,0.091680,0.050000,0,0,2,0,0
1175,4190.980,0.240456,0.825251,0.760451,0.890052,18,0.00006086,1,0.066744,0.114305,0.019184,0.930215,0.881141,0.979290,0.877251,0.847374,0.907127,0.015120,0.003430,0.149343,0.090088,0.050000,0,0,2,0,0
1200,4339.425,0.240978,0.824776,0.757957,0.891595,18,0.00010613,1,0.066535,0.115791,0.017279,0.930440,0.879574,0.981306,0.876361,0.845722,0.907000,0.015300,0.003025,0.150887,0.090426,0.050000,0,0,2,0,0
1225,4362.411,0.241295,0.825462,0.759929,0.890995,18,0.00009524,0,0.066656,0.114635,0.018676,0.930318,0.880797,0.979838,0.877339,0.847043,0.907636,0.015541,0.003243,0.149759,0.089564,0.050000,0,0,2,0,0
1250,4511.331,0.238923,0.825234,0.755864,0.894605,18,0.00007367,1,0.067374,0.119756,0.014992,0.929902,0.876047,0.983758,0.877200,0.846383,0.908017,0.015456,0.002687,0.150419,0.089005,0.050000,0,0,2,0,0
1275,4534.495,0.240218,0.824712,0.756669,0.892755,18,0.00007391,1,0.069775,0.120747,0.018803,0.927554,0.875362,0.979745,0.878788,0.848034,0.909541,0.015856,0.003198,0.148878,0.087514,0.050000,0,0,2,0,0
1300,4685.331,0.239050,0.824937,0.756677,0.893197,18,0.00007371,2,0.067653,0.119425,0.015881,0.929615,0.876431,0.982799,0.877212,0.847043,0.907382,0.015580,0.002612,0.150107,0.089239,0.050000,0,0,2,0,0
1325,4708.651,0.239842,0.824185,0.758024,0.890346,18,0.00012407,2,0.067030,0.116782,0.017279,0.930026,0.878772,0.981280,0.876139,0.846548,0.905730,0.015068,0.002913,0.150135,0.091402,0.050000,0,0,2,0,0
1350,4856.839,0.234740,0.827637,0.761622,0.893652,18,0.00011347,0,0.064400,0.112157,0.016643,0.932541,0.883072,0.982010,0.877784,0.847043,0.908525,0.014526,0.002791,0.149530,0.088380,0.050000,0,0,2,0,0
1375,4879.839,0.232517,0.829869,0.766627,0.893112,18,0.00007027,0,0.059502,0.102742,0.016262,0.937018,0.891638,0.982398,0.876514,0.845391,0.907636,0.013424,0.002826,0.150761,0.089754,0.050000,0,0,2,0,0
1400,5025.927,0.231219,0.830540,0.766298,0.894783,18,0.00006343,0,0.060112,0.104724,0.015500,0.936570,0.889911,0.983228,0.877600,0.846548,0.908652,0.013650,0.002722,0.149577,0.088461,0.050000,0,0,2,0,0
1425,5048.594,0.234522,0.828032,0.761452,0.894612,18,0.00007151,0,0.063466,0.110671,0.016262,0.933355,0.884283,0.982427,0.877441,0.845722,0.909160,0.014419,0.002777,0.150545,0.087741,0.050000,0,0,2,0,0
1450,5193.936,0.234955,0.829243,0.764268,0.894218,18,0.00008632,0,0.062901,0.108523,0.017279,0.933905,0.886450,0.981360,0.878438,0.847208,0.909668,0.014347,0.003060,0.150026,0.087727,0.050000,0,0,2,0,0
1475,5216.464,0.233586,0.829188,0.764969,0.893407,18,0.00002811,0,0.060855,0.106211,0.015500,0.935843,0.888484,0.983203,0.876736,0.846217,0.907254,0.013951,0.002702,0.150399,0.089511,0.050000,0,0,2,0,0
1500,5363.647,0.231918,0.830933,0.765655,0.896211,18,0.00002435,0,0.060614,0.105220,0.016008,0.936066,0.889410,0.982723,0.878388,0.846217,0.910558,0.013787,0.002832,0.150569,0.087172,0.050000,0,0,2,0,0
1525,5385.843,0.234018,0.828709,0.762465,0.894954,18,0.00001238,0,0.063498,0.109845,0.017152,0.933307,0.885107,0.981507,0.878261,0.846217,0.910304,0.014153,0.003079,0.150546,0.086894,0.050000,0,0,2,0,0
1550,5527.518,0.234464,0.828699,0.760553,0.896845,18,0.00001098,0,0.063098,0.111331,0.014865,0.933772,0.883613,0.983931,0.877701,0.845226,0.910177,0.014400,0.002660,0.151253,0.087734,0.050000,0,0,2,0,0
1575,5549.874,0.235521,0.828393,0.762181,0.894605,18,0.00000464,0,0.062964,0.108523,0.017406,0.933705,0.886175,0.981235,0.877536,0.844896,0.910177,0.014227,0.003087,0.151406,0.087723,0.050000,0,0,2,0,0
1600,5693.029,0.233925,0.829987,0.765408,0.894566,18,0.00000516,0,0.061948,0.106871,0.017025,0.934808,0.887985,0.981631,0.878502,0.847208,0.909795,0.014090,0.003002,0.149940,0.088130,0.050000,0,0,2,0,0
1625,5715.004,0.233491,0.829313,0.764417,0.894210,18,0.00000624,0,0.062266,0.108523,0.016008,0.934577,0.886470,0.982685,0.877949,0.847374,0.908525,0.014182,0.002733,0.149742,0.088654,0.050000,0,0,2,0,0
1650,5859.289,0.235755,0.828042,0.762848,0.893237,18,0.00000982,0,0.062558,0.108854,0.016262,0.934193,0.885986,0.982401,0.876825,0.845887,0.907763,0.014049,0.002929,0.151441,0.089805,0.050000,0,0,2,0,0
1675,5881.426,0.235465,0.829163,0.766354,0.891973,18,0.00001023,0,0.064680,0.108523,0.020836,0.932177,0.886724,0.977629,0.880039,0.849521,0.910558,0.014170,0.003758,0.148459,0.087310,0.050000,0,0,2,0,0
1700,6024.983,0.239153,0.826933,0.763178,0.890689,18,0.00006030,0,0.062761,0.106211,0.019311,0.933712,0.888252,0.979172,0.876062,0.844235,0.907890,0.013954,0.003441,0.153194,0.090556,0.050000,0,0,2,0,0
