step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,2.395,1.426633,0.150513,0.131524,0.169503,20,0.00000000,0,0.070566,0.082393,0.058738,0.693406,0.633407,0.753405,0.160910,0.142360,0.179459,0.032253,0.031053,0.853512,0.816708,0.050000,0,0,0,0,0
25,43.041,1.201533,0.232129,0.212292,0.251967,20,0.00000375,0,0.038989,0.047335,0.030644,0.859463,0.824474,0.894453,0.241014,0.222341,0.259688,0.018161,0.015936,0.773022,0.736169,0.050000,0,0,0,0,0
50,305.178,1.001892,0.367261,0.352873,0.381648,20,0.00000668,0,0.038141,0.045987,0.030296,0.908838,0.889212,0.928464,0.381156,0.369101,0.393211,0.017843,0.015965,0.626534,0.603219,0.050000,0,0,0,0,0
75,346.218,0.797119,0.505774,0.497967,0.513580,20,0.00000000,0,0.038587,0.047051,0.030122,0.931680,0.917228,0.946131,0.525224,0.521397,0.529051,0.018322,0.015647,0.474376,0.466327,0.050000,0,0,0,0,0
100,608.431,0.627628,0.620566,0.638344,0.602787,20,0.00001630,1,0.038231,0.045703,0.030759,0.944375,0.935920,0.952829,0.644424,0.667518,0.621329,0.017462,0.016183,0.329226,0.374643,0.050000,0,0,0,0,0
125,649.315,0.494679,0.696610,0.708911,0.684309,20,0.00002819,0,0.029628,0.033709,0.025546,0.960450,0.956023,0.964877,0.717299,0.732808,0.701790,0.012634,0.013202,0.264177,0.294218,0.050000,0,0,0,0,0
150,921.204,0.418240,0.748573,0.751778,0.745368,20,0.00001088,1,0.030093,0.037826,0.022360,0.962627,0.953761,0.971494,0.771124,0.780214,0.762034,0.014493,0.011429,0.216648,0.233724,0.050000,0,0,0,0,0
175,963.146,0.343196,0.792062,0.800917,0.783207,20,0.00000305,0,0.025724,0.036619,0.014829,0.969721,0.957757,0.981684,0.812534,0.830246,0.794821,0.014143,0.007536,0.166276,0.201116,0.050000,0,0,0,0,0
200,1219.971,0.270641,0.832122,0.846350,0.817895,19,0.00000256,0,0.020028,0.031368,0.008689,0.977445,0.965312,0.989578,0.848950,0.872898,0.825001,0.011913,0.004094,0.124019,0.171512,0.050000,0,0,1,0,0
225,1259.670,0.224972,0.862098,0.871617,0.852580,19,0.00007210,2,0.018946,0.033142,0.004750,0.979494,0.964503,0.994486,0.878567,0.900504,0.856630,0.012834,0.002189,0.096720,0.139712,0.050000,0,0,1,0,0
250,1516.600,0.192661,0.888048,0.893773,0.882322,19,0.00003635,2,0.021929,0.038180,0.005677,0.977061,0.960479,0.993643,0.907614,0.927897,0.887331,0.014704,0.002592,0.069273,0.109598,0.050000,0,0,1,0,0
275,1556.670,0.175358,0.898030,0.903992,0.892068,19,0.00002097,2,0.020253,0.036335,0.004171,0.979014,0.962663,0.995366,0.916314,0.936839,0.895789,0.014148,0.001900,0.060670,0.100518,0.050000,0,0,1,0,0
300,1811.118,0.161170,0.908315,0.915880,0.900751,19,0.00001358,1,0.020067,0.036832,0.003302,0.979511,0.962662,0.996360,0.926669,0.949613,0.903725,0.014367,0.001886,0.047312,0.092824,0.050000,0,0,1,0,0
