step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.567,1.395513,0.189606,0.208023,0.171190,20,0.00000464,0,0.208794,0.264123,0.153465,0.530794,0.498903,0.562686,0.230214,0.262967,0.197461,0.036086,0.045468,0.730558,0.798535,0.050000,0,0,0,0,0
25,28.084,1.059686,0.321767,0.388566,0.254967,20,0.00016492,0,0.107511,0.138421,0.076602,0.771742,0.761661,0.781823,0.358425,0.442352,0.274498,0.018585,0.022554,0.550512,0.721327,0.050000,0,0,0,0,0
50,200.997,0.849541,0.450417,0.530967,0.369866,20,0.00001791,0,0.108263,0.149488,0.067038,0.829032,0.803261,0.854802,0.502501,0.610340,0.394661,0.019766,0.019664,0.384268,0.601071,0.050000,0,0,0,0,0
75,228.143,0.660667,0.569235,0.656810,0.481660,20,0.00004023,0,0.113109,0.161876,0.064342,0.856744,0.825000,0.888487,0.637891,0.763132,0.512651,0.021450,0.018669,0.232370,0.483452,0.050000,0,0,0,0,0
100,402.514,0.542295,0.642470,0.700029,0.584912,20,0.00000403,1,0.101372,0.147010,0.055734,0.881230,0.845244,0.917216,0.710226,0.802940,0.617512,0.019600,0.016319,0.192266,0.379393,0.050000,0,0,0,0,0
125,430.565,0.453887,0.700897,0.712594,0.689199,20,0.00011457,4,0.108340,0.158077,0.058604,0.882444,0.839241,0.925648,0.777414,0.825240,0.729589,0.020942,0.016702,0.170003,0.267919,0.050000,0,0,0,0,0
150,611.974,0.386520,0.740990,0.740563,0.741416,20,0.00042248,4,0.090865,0.133300,0.048431,0.902146,0.862942,0.941350,0.808302,0.839280,0.777324,0.017461,0.013849,0.156884,0.219704,0.050000,0,0,0,0,0
175,640.192,0.343237,0.769192,0.757790,0.780595,20,0.00061719,3,0.086636,0.123885,0.049387,0.908074,0.873010,0.943137,0.835407,0.851668,0.819146,0.015756,0.014247,0.144615,0.177834,0.050000,0,0,0,0,0
200,824.150,0.306906,0.794110,0.774331,0.813888,20,0.00102359,2,0.086427,0.123555,0.049300,0.910534,0.875644,0.945423,0.862008,0.870003,0.854013,0.016232,0.014142,0.125770,0.143165,0.050000,0,0,0,0,0
225,852.330,0.284476,0.809329,0.791710,0.826947,20,0.00056426,1,0.074991,0.103898,0.046083,0.921586,0.893750,0.949423,0.869511,0.873968,0.865055,0.013918,0.013259,0.123022,0.131851,0.050000,0,0,0,0,0
250,1028.003,0.283270,0.807995,0.786318,0.829672,20,0.00054599,1,0.079050,0.113148,0.044953,0.918117,0.885528,0.950706,0.871129,0.875289,0.866968,0.014885,0.012748,0.121310,0.129454,0.050000,0,0,0,0,0
275,1056.113,0.279118,0.811195,0.790155,0.832236,20,0.00046051,1,0.076986,0.110671,0.043301,0.920258,0.888016,0.952499,0.872937,0.877602,0.868272,0.014778,0.012316,0.119108,0.128771,0.050000,0,0,0,0,0
300,1231.926,0.278179,0.810865,0.789411,0.832318,20,0.00035391,2,0.079602,0.116947,0.042257,0.918224,0.882898,0.953551,0.874610,0.881731,0.867490,0.015496,0.012080,0.114988,0.129104,0.050000,0,0,0,0,0
325,1259.844,0.276778,0.812087,0.789560,0.834613,20,0.00037572,0,0.077642,0.113809,0.041475,0.919937,0.885415,0.954459,0.874324,0.879419,0.869229,0.015084,0.012006,0.117492,0.127199,0.050000,0,0,0,0,0
350,1434.416,0.277007,0.811301,0.785030,0.837572,20,0.00027744,2,0.081928,0.121077,0.042779,0.916185,0.879063,0.953307,0.876741,0.880079,0.873402,0.015630,0.012339,0.117181,0.123235,0.050000,0,0,0,0,0
375,1461.688,0.276199,0.812038,0.783464,0.840611,20,0.00026726,1,0.079085,0.116782,0.041388,0.918551,0.882245,0.954856,0.875180,0.874959,0.875402,0.015448,0.011897,0.121579,0.121043,0.050000,0,0,0,0,0
400,1638.874,0.266639,0.819658,0.788487,0.850830,20,0.00024603,0,0.080937,0.119095,0.042779,0.917542,0.881082,0.954001,0.884810,0.882392,0.887227,0.016007,0.012377,0.113956,0.109687,0.050000,0,0,0,0,0
425,1665.531,0.256328,0.827554,0.796884,0.858223,20,0.00023165,1,0.079785,0.113314,0.046257,0.918875,0.886743,0.951008,0.892552,0.887182,0.897922,0.015154,0.013393,0.109162,0.099115,0.050000,0,0,0,0,0
450,1837.634,0.252331,0.829733,0.799142,0.860324,20,0.00013788,0,0.081607,0.116782,0.046431,0.917622,0.884288,0.950955,0.896369,0.892468,0.900270,0.015458,0.013458,0.104294,0.096480,0.050000,0,0,0,0,0
475,1864.330,0.248179,0.831158,0.800594,0.861722,20,0.00010824,1,0.078459,0.112488,0.044431,0.920410,0.887864,0.952955,0.895330,0.890651,0.900009,0.014719,0.012813,0.105624,0.096724,0.050000,0,0,0,0,0
500,2035.392,0.245701,0.831385,0.797660,0.865110,20,0.00014955,1,0.079042,0.115130,0.042953,0.919979,0.885400,0.954558,0.895882,0.889495,0.902269,0.014612,0.012410,0.106990,0.094545,0.050000,0,0,0,0,0
525,2062.264,0.242679,0.834017,0.801045,0.866989,20,0.00018700,0,0.075003,0.106706,0.043301,0.923441,0.892566,0.954316,0.895526,0.886521,0.904530,0.013571,0.012521,0.109989,0.092220,0.050000,0,0,0,0,0
550,2234.699,0.242572,0.833724,0.799259,0.868189,20,0.00022411,1,0.079263,0.114965,0.043561,0.919929,0.885733,0.954125,0.898577,0.891146,0.906008,0.014613,0.012634,0.105163,0.090699,0.050000,0,0,0,0,0
