step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.496,1.140634,0.285867,0.264585,0.307150,20,0.00019481,0,0.195417,0.181849,0.208985,0.636088,0.632293,0.639883,0.342020,0.312699,0.371340,0.024456,0.030910,0.684231,0.625627,0.050000,0,0,0,0,0
25,27.276,0.726317,0.512476,0.494993,0.529959,20,0.00011958,3,0.110683,0.088911,0.132455,0.838802,0.858402,0.819201,0.569579,0.539004,0.600155,0.011758,0.019586,0.457891,0.397048,0.050000,0,0,0,0,0
50,189.986,0.440985,0.694110,0.705174,0.683045,20,0.00023873,0,0.116932,0.086227,0.147637,0.870164,0.898819,0.841510,0.774934,0.765979,0.783888,0.011227,0.021630,0.231097,0.214075,0.050000,0,0,0,0,0
75,215.220,0.321249,0.770298,0.791983,0.748612,20,0.00034461,1,0.114131,0.083879,0.144384,0.883378,0.910985,0.855772,0.857557,0.858413,0.856700,0.010798,0.021221,0.139174,0.141847,0.050000,0,0,0,0,0
100,369.376,0.264129,0.805617,0.823791,0.787443,19,0.00026533,0,0.106577,0.092937,0.120217,0.893248,0.906435,0.880062,0.891230,0.900352,0.882107,0.012028,0.017496,0.098033,0.115977,0.050000,0,0,1,0,0
125,392.845,0.237396,0.823495,0.849518,0.797472,19,0.00019242,0,0.106112,0.096964,0.115259,0.895515,0.905756,0.885274,0.910639,0.931891,0.889388,0.012762,0.016868,0.067317,0.108582,0.050000,0,0,1,0,0
150,544.645,0.211427,0.838946,0.860971,0.816921,19,0.00011249,2,0.100793,0.095622,0.105964,0.901494,0.907961,0.895028,0.923392,0.943298,0.903486,0.012434,0.015273,0.055492,0.094192,0.050000,0,0,1,0,0
175,568.350,0.200837,0.847001,0.873072,0.820931,19,0.00015627,1,0.099811,0.098306,0.101317,0.903122,0.907014,0.899230,0.931502,0.958900,0.904105,0.012841,0.014824,0.040824,0.094133,0.050000,0,0,1,0,0
200,721.650,0.197256,0.847966,0.879665,0.816267,19,0.00039310,2,0.105891,0.101325,0.110457,0.898346,0.905314,0.891377,0.937613,0.968797,0.906429,0.013297,0.015871,0.029864,0.091809,0.050000,0,0,1,0,0
225,745.432,0.190544,0.853221,0.878977,0.827464,19,0.00030615,1,0.098713,0.101996,0.095430,0.904740,0.904732,0.904747,0.937529,0.968629,0.906429,0.013245,0.013946,0.031007,0.091850,0.050000,0,0,1,0,0
250,895.819,0.186983,0.856674,0.883127,0.830221,19,0.00041184,2,0.095797,0.096628,0.094965,0.907346,0.909277,0.905416,0.938762,0.968462,0.909063,0.012765,0.013975,0.030737,0.089403,0.050000,0,0,1,0,0
275,919.522,0.179985,0.860844,0.886210,0.835479,19,0.00043650,0,0.093777,0.092434,0.095120,0.909336,0.912844,0.905828,0.941538,0.968126,0.914950,0.011998,0.014011,0.031095,0.083073,0.050000,0,0,1,0,0
300,1070.894,0.177267,0.863331,0.891167,0.835495,19,0.00049970,1,0.093617,0.088240,0.098993,0.909641,0.916601,0.902680,0.944003,0.969804,0.918203,0.011618,0.014576,0.029672,0.079623,0.050000,0,0,1,0,0
325,1094.724,0.176182,0.864471,0.889900,0.839042,19,0.00057351,1,0.093526,0.087905,0.099148,0.909843,0.916759,0.902927,0.945178,0.968126,0.922231,0.011512,0.014781,0.031381,0.075790,0.050000,0,0,1,0,0
350,1242.604,0.175616,0.864561,0.890892,0.838229,18,0.00052304,2,0.095411,0.088576,0.102246,0.908336,0.916310,0.900362,0.946869,0.969804,0.923935,0.011734,0.015114,0.029585,0.073872,0.050000,0,0,2,0,0
375,1265.331,0.171136,0.867164,0.896408,0.837921,18,0.00036290,2,0.096064,0.083375,0.108753,0.908072,0.920935,0.895208,0.950097,0.971146,0.929047,0.010990,0.015920,0.028175,0.068802,0.050000,0,0,2,0,0
400,1411.678,0.168137,0.869863,0.899395,0.840330,18,0.00021321,2,0.094625,0.082201,0.107049,0.909464,0.922123,0.896804,0.951807,0.973327,0.930287,0.010774,0.015812,0.026559,0.068080,0.050000,0,0,2,0,0
425,1434.451,0.165492,0.871406,0.903130,0.839682,18,0.00029456,4,0.093735,0.077168,0.110302,0.910355,0.926506,0.894205,0.952562,0.972823,0.932301,0.009862,0.016366,0.026843,0.065903,0.050000,0,0,2,0,0
450,1580.457,0.168776,0.869656,0.903352,0.835961,18,0.00015985,3,0.098112,0.076162,0.120062,0.906848,0.927348,0.886347,0.954240,0.972152,0.936328,0.009982,0.017830,0.027318,0.061729,0.050000,0,0,2,0,0
475,1602.959,0.163756,0.872075,0.900296,0.843855,18,0.00019134,2,0.093025,0.076833,0.109218,0.911038,0.926567,0.895509,0.952743,0.969468,0.936019,0.010021,0.015973,0.029393,0.062255,0.050000,0,0,2,0,0
500,1751.120,0.161510,0.874145,0.901621,0.846669,18,0.00023063,3,0.092683,0.075994,0.109373,0.911529,0.927357,0.895701,0.954706,0.970139,0.939272,0.009985,0.016218,0.028476,0.058860,0.050000,0,0,2,0,0
525,1774.059,0.163336,0.872590,0.907010,0.838170,18,0.00019366,2,0.095389,0.069787,0.120991,0.909411,0.932903,0.885919,0.954944,0.970307,0.939582,0.009157,0.017543,0.028572,0.058719,0.050000,0,0,2,0,0
550,1920.231,0.159749,0.875315,0.907825,0.842806,18,0.00017411,1,0.094776,0.071968,0.117583,0.910079,0.931140,0.889019,0.957532,0.973159,0.941905,0.009257,0.017290,0.026613,0.056467,0.050000,0,0,2,0,0
575,1942.824,0.163569,0.873241,0.906083,0.840398,18,0.00010371,2,0.096015,0.069955,0.122076,0.909040,0.932699,0.885382,0.956229,0.969468,0.942990,0.009218,0.018017,0.029719,0.055132,0.050000,0,0,2,0,0
600,2086.362,0.160950,0.874878,0.907002,0.842754,18,0.00012769,1,0.095756,0.073310,0.118203,0.909258,0.929968,0.888548,0.957932,0.973494,0.942370,0.009496,0.017482,0.026509,0.056004,0.050000,0,0,2,0,0
625,2108.688,0.166944,0.870230,0.901994,0.838466,18,0.00016279,1,0.101772,0.076665,0.126878,0.904223,0.926833,0.881613,0.957997,0.971146,0.944849,0.009947,0.018739,0.028591,0.053215,0.050000,0,0,2,0,0
650,2246.977,0.164047,0.871728,0.904110,0.839347,18,0.00009949,0,0.103437,0.077672,0.129202,0.903101,0.926168,0.880035,0.961063,0.974333,0.947792,0.009979,0.019047,0.025583,0.050394,0.050000,0,0,2,0,0
675,2268.481,0.163418,0.871815,0.902905,0.840725,18,0.00006117,1,0.104063,0.079852,0.128273,0.902590,0.924300,0.880880,0.961786,0.975004,0.948567,0.010372,0.018869,0.024325,0.049658,0.050000,0,0,2,0,0
700,2409.281,0.161972,0.873103,0.905987,0.840220,18,0.00002415,0,0.102288,0.075994,0.128582,0.904137,0.927682,0.880593,0.961547,0.974836,0.948257,0.009862,0.018801,0.024728,0.050341,0.050000,0,0,2,0,0
725,2431.062,0.159974,0.874371,0.906796,0.841946,18,0.00002976,2,0.100287,0.076329,0.124245,0.905718,0.927467,0.883970,0.961282,0.976011,0.946553,0.009851,0.018194,0.023564,0.051980,0.050000,0,0,2,0,0
750,2570.043,0.160379,0.872758,0.903446,0.842069,18,0.00004224,2,0.101926,0.080691,0.123160,0.904223,0.923663,0.884783,0.961062,0.976346,0.945778,0.010470,0.017738,0.023016,0.052219,0.050000,0,0,2,0,0
