step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.530,0.586623,0.252892,0.290647,0.215137,20,0.00095750,0,0.192861,0.151485,0.234237,0.609857,0.688406,0.531308,0.300103,0.334675,0.265531,0.020337,0.034608,0.098217,0.126078,0.000000,0,0,0,0,0
25,27.149,0.369915,0.421061,0.446912,0.395210,20,0.00039367,1,0.079092,0.064922,0.093261,0.851217,0.879963,0.822471,0.453998,0.475927,0.432068,0.008597,0.013662,0.070953,0.086042,0.000000,0,0,0,0,0
50,194.438,0.289734,0.557114,0.597690,0.516538,23,0.00040840,1,0.073496,0.060393,0.086600,0.889667,0.913001,0.866332,0.597528,0.633786,0.561270,0.007903,0.012466,0.051208,0.068054,0.000000,3,0,0,0,0
75,224.640,0.252834,0.614542,0.648537,0.580548,23,0.00060953,1,0.067397,0.054857,0.079938,0.906341,0.925766,0.886917,0.655535,0.684113,0.626956,0.007111,0.011496,0.044264,0.058681,0.000000,3,0,0,0,0
100,403.991,0.214916,0.675765,0.707953,0.643577,24,0.00023959,1,0.062035,0.048314,0.075755,0.920125,0.938879,0.901372,0.717244,0.742157,0.692332,0.006204,0.010952,0.036448,0.049482,0.000000,4,2,2,0,0
125,434.807,0.190907,0.699087,0.708447,0.689726,24,0.00014737,1,0.049810,0.042610,0.057010,0.936466,0.945458,0.927473,0.733841,0.738634,0.729047,0.005558,0.008019,0.036317,0.042113,0.000000,4,2,2,0,0
150,596.979,0.171495,0.721482,0.725069,0.717895,19,0.00015081,0,0.040103,0.037913,0.042293,0.949270,0.952037,0.946502,0.750408,0.752558,0.748257,0.004906,0.006086,0.033990,0.037965,0.000000,4,2,7,0,0
175,621.302,0.160841,0.752624,0.759149,0.746099,19,0.00015441,0,0.046557,0.040597,0.052517,0.944218,0.951121,0.937315,0.787625,0.789968,0.785283,0.005147,0.007653,0.029815,0.034553,0.000000,4,2,7,0,0
200,774.509,0.142687,0.785491,0.806932,0.764050,19,0.00017419,1,0.045751,0.035732,0.055771,0.947166,0.958999,0.935333,0.821214,0.835766,0.806662,0.004628,0.007981,0.023668,0.031852,0.000000,4,2,7,0,0
225,799.149,0.129441,0.809720,0.829680,0.789759,19,0.00017320,0,0.044571,0.033216,0.055926,0.949925,0.962698,0.937152,0.845583,0.857239,0.833927,0.004309,0.007984,0.020903,0.028392,0.000000,4,2,7,0,0
250,955.077,0.122180,0.823421,0.845248,0.801594,19,0.00011285,0,0.044505,0.039591,0.049419,0.950700,0.956887,0.944512,0.859960,0.878712,0.841208,0.005093,0.007160,0.019043,0.026692,0.000000,4,2,7,0,0
275,979.598,0.124373,0.826045,0.843620,0.808470,19,0.00012357,0,0.049518,0.049153,0.049884,0.945940,0.947387,0.944492,0.866943,0.885086,0.848799,0.006600,0.007011,0.019549,0.025582,0.000000,4,2,7,0,0
300,1135.834,0.128444,0.829530,0.838280,0.820780,19,0.00009594,0,0.057101,0.057037,0.057165,0.938857,0.939523,0.938191,0.876896,0.886093,0.867699,0.007605,0.008160,0.020320,0.024162,0.000000,4,2,7,0,0
325,1159.772,0.124215,0.835748,0.833729,0.837766,19,0.00014213,0,0.056804,0.059386,0.054222,0.939579,0.936999,0.942158,0.883216,0.883241,0.883191,0.007748,0.007860,0.020768,0.021780,0.000000,4,2,7,0,0
350,1312.121,0.124536,0.833892,0.828259,0.839524,19,0.00005477,0,0.056514,0.057876,0.055151,0.939714,0.938039,0.941390,0.881010,0.876195,0.885825,0.007588,0.007849,0.021463,0.021490,0.000000,4,2,7,0,0
375,1336.389,0.116980,0.837686,0.829377,0.845994,19,0.00006348,0,0.048582,0.053011,0.044152,0.947586,0.942774,0.952397,0.878345,0.873343,0.883346,0.006832,0.006512,0.021186,0.020601,0.000000,4,2,7,0,0
