step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.527,0.578331,0.279412,0.195999,0.362825,20,0.00095824,0,0.223292,0.141640,0.304944,0.610309,0.612370,0.608247,0.348613,0.223761,0.473466,0.028615,0.025359,0.156810,0.064552,0.000000,0,0,0,0,0
25,27.444,0.342064,0.498807,0.342704,0.654911,20,0.00022201,0,0.075135,0.056561,0.093710,0.874602,0.864895,0.884308,0.539185,0.362087,0.716283,0.011125,0.007479,0.118674,0.029025,0.000000,0,0,0,0,0
50,196.381,0.258769,0.611736,0.453163,0.770310,22,0.00081030,3,0.043033,0.034552,0.051514,0.935782,0.931359,0.940204,0.639406,0.468820,0.809992,0.006786,0.004157,0.096762,0.018659,0.000000,0,2,0,0,0
75,225.457,0.211892,0.677160,0.523655,0.830665,22,0.00061213,3,0.028951,0.022956,0.034947,0.959922,0.958907,0.960938,0.697685,0.535676,0.859695,0.004473,0.002779,0.083328,0.013338,0.000000,0,2,0,0,0
100,389.697,0.183352,0.717350,0.565882,0.868819,23,0.00043173,3,0.020468,0.014791,0.026145,0.973199,0.974890,0.971509,0.732893,0.574252,0.891535,0.002807,0.001952,0.075395,0.010181,0.000000,3,2,2,0,0
125,419.781,0.165167,0.752527,0.618826,0.886228,23,0.00025099,1,0.026637,0.015738,0.037536,0.968176,0.975574,0.960779,0.774029,0.628565,0.919493,0.002917,0.002960,0.066149,0.009000,0.000000,3,2,2,0,0
150,597.169,0.155897,0.775901,0.657285,0.894517,21,0.00022901,5,0.037231,0.021654,0.052809,0.957832,0.968761,0.946903,0.806637,0.671518,0.941755,0.003892,0.004202,0.059478,0.008273,0.000000,3,2,4,0,0
175,624.676,0.144663,0.796419,0.695873,0.896965,21,0.00061963,4,0.040696,0.023666,0.057727,0.955245,0.967846,0.942644,0.830543,0.712342,0.948744,0.004540,0.004377,0.053032,0.007935,0.000000,3,2,4,0,0
200,802.756,0.129998,0.827421,0.754964,0.899878,22,0.00147100,4,0.048118,0.031002,0.065234,0.948990,0.961696,0.936283,0.868475,0.778369,0.958581,0.005912,0.005134,0.042735,0.007940,0.000000,4,2,4,0,0
225,832.005,0.124318,0.835178,0.776343,0.894014,22,0.00121187,3,0.045259,0.035380,0.055138,0.951308,0.957840,0.944776,0.873559,0.803810,0.943308,0.006867,0.004506,0.039129,0.008390,0.000000,4,2,4,0,0
250,1012.343,0.119281,0.843625,0.794770,0.892481,21,0.00103466,2,0.048828,0.040705,0.056951,0.948080,0.953095,0.943064,0.885215,0.827121,0.943308,0.007622,0.004473,0.035710,0.008449,0.000000,4,2,5,0,0
275,1040.471,0.109286,0.859311,0.822139,0.896484,21,0.00060474,1,0.046994,0.041179,0.052809,0.950557,0.954102,0.947013,0.899910,0.855993,0.943826,0.007819,0.004318,0.030992,0.008268,0.000000,4,2,5,0,0
300,1218.555,0.102452,0.870144,0.836465,0.903822,21,0.00071483,1,0.044375,0.039049,0.049702,0.953612,0.957003,0.950220,0.908936,0.869128,0.948744,0.007706,0.004053,0.028545,0.007732,0.000000,4,2,5,0,0
325,1246.101,0.102075,0.870342,0.844877,0.895808,21,0.00084385,2,0.048192,0.040469,0.055915,0.950088,0.955990,0.944186,0.912482,0.879068,0.945897,0.007899,0.004502,0.027038,0.008203,0.000000,4,2,5,0,0
350,1413.541,0.102694,0.869715,0.851081,0.888350,21,0.00049063,2,0.053321,0.040114,0.066529,0.945519,0.956650,0.934389,0.916335,0.885221,0.947450,0.007926,0.005199,0.026013,0.008756,0.000000,4,3,6,0,0
375,1440.921,0.105425,0.868855,0.849546,0.888164,21,0.00044546,3,0.057685,0.043663,0.071706,0.941505,0.953065,0.929944,0.919246,0.886641,0.951851,0.008482,0.005594,0.026221,0.008741,0.000000,4,3,6,0,0
400,1607.883,0.103522,0.870260,0.855117,0.885404,20,0.00042923,3,0.057977,0.042953,0.073000,0.941347,0.954051,0.928644,0.920943,0.891847,0.950039,0.008197,0.005741,0.025100,0.009089,0.000000,4,3,7,0,0
425,1633.177,0.102310,0.872238,0.853650,0.890825,20,0.00052043,2,0.054982,0.040587,0.069376,0.944212,0.956306,0.932118,0.920462,0.888297,0.952627,0.007942,0.005523,0.025454,0.008689,0.000000,4,3,7,0,0
450,1789.652,0.104791,0.868892,0.859357,0.878427,20,0.00044288,2,0.062082,0.038220,0.085944,0.938136,0.958922,0.917351,0.923062,0.892202,0.953922,0.007485,0.006906,0.024376,0.009875,0.000000,5,3,8,0,0
475,1815.682,0.101753,0.870476,0.860991,0.879962,20,0.00061502,2,0.056454,0.036800,0.076107,0.943007,0.960407,0.925607,0.919804,0.892675,0.946932,0.007178,0.006227,0.024122,0.009783,0.000000,5,3,8,0,0
500,1977.922,0.100415,0.870831,0.866005,0.875658,22,0.00042615,2,0.060103,0.037629,0.082578,0.939839,0.959808,0.919869,0.923280,0.898592,0.947968,0.007291,0.006386,0.023174,0.009789,0.000000,8,3,9,0,0
525,2007.244,0.096471,0.877675,0.870901,0.884449,22,0.00049542,3,0.055533,0.035735,0.075330,0.944250,0.961893,0.926608,0.926549,0.902023,0.951074,0.007051,0.006062,0.022459,0.009212,0.000000,8,3,9,0,0
550,2178.098,0.092634,0.880498,0.869247,0.891748,20,0.00028954,4,0.051369,0.036209,0.066529,0.947988,0.961354,0.934622,0.925898,0.900722,0.951074,0.006982,0.005200,0.022501,0.008488,0.000000,8,3,11,0,0
575,2204.467,0.090753,0.882033,0.869342,0.894724,20,0.00029476,2,0.047471,0.035144,0.059798,0.951546,0.962415,0.940678,0.924060,0.899894,0.948227,0.006906,0.004596,0.022716,0.008180,0.000000,8,3,11,0,0
600,2372.056,0.089152,0.883857,0.871145,0.896569,20,0.00024153,3,0.046014,0.035854,0.056174,0.952893,0.961786,0.944000,0.924655,0.902378,0.946932,0.007088,0.004273,0.022352,0.007938,0.000000,8,3,11,0,0
625,2398.109,0.087304,0.885335,0.871236,0.899433,20,0.00020061,3,0.043865,0.037510,0.050220,0.954837,0.960156,0.949519,0.924260,0.903917,0.944603,0.007146,0.003806,0.022186,0.007705,0.000000,8,3,11,0,0
650,2561.507,0.083040,0.890145,0.877376,0.902915,20,0.00022521,2,0.040689,0.033487,0.047890,0.958104,0.964385,0.951823,0.926456,0.906757,0.946156,0.006634,0.003549,0.021343,0.007369,0.000000,8,3,11,0,0
675,2587.576,0.084550,0.889435,0.875757,0.903114,20,0.00021905,1,0.041791,0.036209,0.047373,0.956968,0.961630,0.952306,0.926682,0.907467,0.945897,0.007108,0.003504,0.021598,0.007336,0.000000,8,3,11,0,0
700,2748.034,0.082762,0.891601,0.879570,0.903632,19,0.00022653,4,0.041624,0.035617,0.047631,0.957233,0.962370,0.952096,0.928786,0.910898,0.946674,0.007043,0.003440,0.020935,0.007263,0.000000,8,3,12,0,0
725,2772.948,0.081480,0.893237,0.879365,0.907109,19,0.00015701,4,0.040922,0.036800,0.045043,0.957921,0.961203,0.954640,0.929847,0.911726,0.947968,0.007118,0.003270,0.020733,0.006967,0.000000,8,3,12,0,0
750,2930.705,0.079492,0.893541,0.879776,0.907306,19,0.00015051,1,0.038056,0.034434,0.041677,0.960654,0.963543,0.957765,0.927595,0.910070,0.945120,0.006499,0.003185,0.020563,0.007025,0.000000,8,3,12,0,0
