step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,2.008,1.360789,0.161077,0.164378,0.157777,20,0.00000000,0,0.076893,0.090309,0.063476,0.695235,0.664941,0.725529,0.173507,0.179222,0.167792,0.024694,0.027770,0.806488,0.828889,0.050000,0,0,0,0,0
25,28.145,1.071617,0.285774,0.300214,0.271334,20,0.00000000,0,0.033771,0.043713,0.023828,0.899286,0.877572,0.921001,0.295568,0.313337,0.277800,0.011811,0.010160,0.672297,0.718728,0.050000,0,0,0,0,0
50,59.488,0.854989,0.426930,0.427995,0.425866,20,0.00000000,0,0.028861,0.037202,0.020519,0.938796,0.922675,0.954916,0.439261,0.443917,0.434604,0.009861,0.008784,0.542545,0.561333,0.050000,0,0,0,0,0
75,85.599,0.670144,0.547911,0.534898,0.560923,20,0.00027706,0,0.024665,0.034040,0.015290,0.957939,0.942024,0.973854,0.561303,0.553106,0.569500,0.009194,0.006361,0.432986,0.426947,0.050000,0,0,0,0,0
100,117.519,0.534395,0.644122,0.644887,0.643356,20,0.00199673,2,0.027589,0.040551,0.014628,0.960548,0.943014,0.978082,0.661902,0.671038,0.652767,0.010883,0.006099,0.315837,0.343737,0.050000,0,0,0,0,0
125,144.195,0.462617,0.702126,0.687495,0.716757,20,0.00175223,1,0.037629,0.061291,0.013966,0.951826,0.922507,0.981146,0.728199,0.729632,0.726767,0.016620,0.005949,0.259151,0.269842,0.050000,0,0,0,0,0
150,176.549,0.411781,0.737928,0.711909,0.763948,20,0.00121505,2,0.039798,0.067615,0.011980,0.951523,0.918305,0.984740,0.766572,0.760045,0.773100,0.018322,0.005040,0.230105,0.223644,0.050000,0,0,0,0,0
175,203.689,0.394245,0.751366,0.715597,0.787135,20,0.00111750,3,0.042728,0.073940,0.011517,0.948987,0.912232,0.985741,0.782354,0.768508,0.796201,0.020060,0.004687,0.221539,0.200242,0.050000,0,0,0,0,0
200,236.790,0.370025,0.767004,0.729817,0.804191,19,0.00118866,2,0.040471,0.070219,0.010723,0.952246,0.917513,0.986980,0.796939,0.781064,0.812814,0.019212,0.004476,0.209661,0.183611,0.050000,0,0,1,0,0
225,261.977,0.354679,0.780993,0.733305,0.828682,19,0.00093921,2,0.044132,0.077939,0.010326,0.949033,0.910250,0.987817,0.813848,0.790458,0.837239,0.021304,0.004570,0.200698,0.159560,0.050000,0,0,1,0,0
