step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,2.168,1.218973,0.235006,0.171702,0.298310,20,0.00058296,0,0.249618,0.151580,0.347657,0.551157,0.566057,0.536257,0.299874,0.197728,0.402019,0.030456,0.029119,0.799617,0.597663,0.050000,0,0,0,0,0
25,28.711,0.911159,0.394270,0.284191,0.504348,20,0.00006343,1,0.150415,0.110046,0.190784,0.750147,0.741379,0.758914,0.458018,0.315466,0.600570,0.022056,0.015841,0.681823,0.398368,0.050000,0,0,0,0,0
50,60.193,0.648682,0.557756,0.422459,0.693054,20,0.00001655,0,0.129758,0.111703,0.147813,0.825580,0.807857,0.843304,0.632572,0.469649,0.795496,0.022388,0.011956,0.527596,0.202182,0.050000,0,0,0,0,0
75,86.657,0.440769,0.687647,0.607626,0.767668,20,0.00278119,3,0.119408,0.092297,0.146518,0.867601,0.877915,0.857287,0.771927,0.663708,0.880145,0.018571,0.012079,0.334086,0.120051,0.050000,0,0,0,0,0
100,118.616,0.343657,0.749693,0.710911,0.788475,20,0.00527856,6,0.118771,0.092060,0.145483,0.877630,0.893991,0.861269,0.839771,0.776358,0.903184,0.018571,0.011804,0.220726,0.095736,0.050000,0,0,0,0,0
125,144.389,0.310118,0.767872,0.735246,0.800498,20,0.00282309,5,0.112574,0.080701,0.144447,0.885802,0.907800,0.863803,0.855354,0.794581,0.916127,0.015828,0.011694,0.203061,0.083834,0.050000,0,0,0,0,0
150,176.127,0.286744,0.782204,0.756603,0.807805,20,0.00208512,7,0.113654,0.079754,0.147554,0.886871,0.911058,0.862684,0.871972,0.816945,0.927000,0.015747,0.011903,0.180988,0.073055,0.050000,0,0,0,0,0
175,202.538,0.255173,0.802988,0.780306,0.825671,20,0.00178722,6,0.107068,0.076677,0.137458,0.894345,0.916366,0.872325,0.889652,0.840137,0.939166,0.015062,0.011086,0.158115,0.059797,0.050000,0,0,0,0,0
200,235.096,0.234771,0.821472,0.795462,0.847481,19,0.00175161,7,0.092164,0.074311,0.110018,0.907647,0.920000,0.895294,0.897647,0.854573,0.940720,0.014716,0.008906,0.144272,0.058438,0.050000,0,0,1,0,0
225,260.380,0.218889,0.832602,0.807828,0.857377,19,0.00179232,3,0.090840,0.076322,0.105359,0.909628,0.919304,0.899951,0.908596,0.869483,0.947709,0.015002,0.008401,0.128834,0.052650,0.050000,0,0,1,0,0
250,290.393,0.199266,0.847452,0.825688,0.869216,19,0.00183850,5,0.083541,0.070524,0.096557,0.917062,0.926110,0.908015,0.918532,0.883919,0.953145,0.014130,0.007616,0.115202,0.047458,0.050000,0,0,1,0,0
275,314.616,0.190759,0.853396,0.834659,0.872134,19,0.00165741,4,0.083308,0.071353,0.095263,0.917709,0.926103,0.909315,0.924715,0.894214,0.955216,0.014267,0.007608,0.105414,0.044767,0.050000,0,0,1,0,0
300,343.891,0.193413,0.846930,0.841212,0.852649,19,0.00106457,3,0.096458,0.073837,0.119078,0.906743,0.924437,0.889050,0.928753,0.903325,0.954181,0.014821,0.009513,0.096037,0.045343,0.050000,0,0,1,0,0
325,368.130,0.199782,0.841972,0.835570,0.848374,19,0.00089419,4,0.111667,0.093125,0.130210,0.893957,0.907477,0.880437,0.936112,0.913383,0.958840,0.018468,0.010356,0.085112,0.041450,0.050000,0,0,1,0,0
350,398.037,0.205275,0.838453,0.828414,0.848492,18,0.00079388,4,0.115683,0.098568,0.132798,0.890442,0.902276,0.878609,0.935620,0.910070,0.961170,0.019695,0.010358,0.088644,0.039192,0.050000,0,0,2,0,0
375,420.828,0.191585,0.848746,0.846566,0.850926,18,0.00079768,4,0.100152,0.082002,0.118302,0.903630,0.917833,0.889427,0.933789,0.915986,0.951592,0.016312,0.009359,0.083636,0.048305,0.050000,0,0,2,0,0
400,447.870,0.177567,0.857095,0.857380,0.856810,18,0.00054522,4,0.090645,0.069459,0.111830,0.912262,0.929583,0.894942,0.934780,0.916933,0.952627,0.013529,0.008797,0.082668,0.047630,0.050000,0,0,2,0,0
425,470.151,0.171608,0.860555,0.862601,0.858508,18,0.00057566,5,0.087927,0.065318,0.110536,0.914872,0.933638,0.896107,0.936174,0.918945,0.953404,0.012638,0.008701,0.080267,0.046880,0.050000,0,0,2,0,0
450,496.889,0.159761,0.869859,0.866304,0.873415,18,0.00064506,5,0.083489,0.064726,0.102252,0.919207,0.934428,0.903986,0.942550,0.922376,0.962723,0.012707,0.007927,0.077588,0.036580,0.050000,0,0,2,0,0
475,519.615,0.142520,0.882780,0.874329,0.891232,18,0.00043498,5,0.074902,0.057390,0.092415,0.927430,0.941552,0.913307,0.949051,0.924506,0.973596,0.011332,0.007216,0.075200,0.026033,0.050000,0,0,2,0,0
500,546.212,0.139556,0.885663,0.876878,0.894448,18,0.00040591,4,0.070861,0.055260,0.086461,0.930972,0.943647,0.918297,0.948559,0.925334,0.971784,0.010887,0.006803,0.074369,0.027296,0.050000,0,0,2,0,0
525,568.237,0.141171,0.884087,0.875935,0.892238,18,0.00024068,3,0.075121,0.059638,0.090603,0.927224,0.939626,0.914821,0.950626,0.928174,0.973078,0.012023,0.006852,0.072107,0.025675,0.050000,0,0,2,0,0
550,595.124,0.137561,0.887917,0.876288,0.899547,17,0.00024387,3,0.070912,0.056916,0.084908,0.931032,0.942104,0.919961,0.951044,0.926163,0.975925,0.011392,0.006697,0.073063,0.023824,0.050000,0,0,3,0,0
575,616.908,0.139023,0.885399,0.876851,0.893947,17,0.00024967,3,0.070613,0.055023,0.086202,0.931162,0.943861,0.918462,0.948052,0.925098,0.971007,0.010930,0.006481,0.074554,0.028004,0.050000,0,0,3,0,0
600,643.390,0.139800,0.883505,0.881931,0.885079,16,0.00010484,3,0.075535,0.056325,0.094745,0.926957,0.942987,0.910927,0.950271,0.931606,0.968936,0.010940,0.007341,0.068278,0.030873,0.050000,0,0,4,0,0
625,663.478,0.145635,0.876900,0.877950,0.875849,16,0.00005924,4,0.078996,0.052893,0.105100,0.923964,0.945877,0.902051,0.946144,0.924388,0.967901,0.010382,0.008293,0.074463,0.030845,0.050000,0,0,4,0,0
650,687.874,0.139721,0.878351,0.884312,0.872390,15,0.00012948,3,0.082055,0.048397,0.115713,0.922068,0.950388,0.893749,0.950223,0.927109,0.973337,0.009327,0.008853,0.072781,0.026777,0.050000,0,0,5,0,0
675,706.761,0.137070,0.882173,0.885863,0.878483,15,0.00014864,4,0.074285,0.042953,0.105617,0.928749,0.955575,0.901923,0.947590,0.923914,0.971266,0.008444,0.008287,0.075056,0.028476,0.050000,0,0,5,0,0
700,728.829,0.138334,0.882461,0.882127,0.882796,15,0.00020695,3,0.072976,0.046030,0.099922,0.929591,0.952486,0.906696,0.946869,0.922731,0.971007,0.008989,0.007769,0.076922,0.028193,0.050000,0,0,5,0,0
725,747.792,0.140281,0.881503,0.878435,0.884570,15,0.00021323,4,0.072636,0.046385,0.098887,0.929812,0.951961,0.907663,0.945612,0.919181,0.972042,0.008889,0.007826,0.080290,0.027786,0.050000,0,0,5,0,0
750,770.137,0.143366,0.878990,0.875282,0.882699,15,0.00022302,4,0.075280,0.049343,0.101217,0.927354,0.949016,0.905692,0.945257,0.918471,0.972042,0.009376,0.007897,0.081409,0.028022,0.050000,0,0,5,0,0
775,788.972,0.146701,0.876419,0.873426,0.879411,15,0.00027715,4,0.080172,0.052656,0.107688,0.923143,0.945831,0.900455,0.946766,0.919418,0.974113,0.010346,0.008447,0.079716,0.026248,0.050000,0,0,5,0,0
800,811.136,0.151494,0.871940,0.872162,0.871717,15,0.00044280,4,0.085941,0.057981,0.113901,0.917946,0.940878,0.895013,0.946869,0.922731,0.971007,0.011205,0.008859,0.076804,0.028963,0.050000,0,0,5,0,0
825,829.682,0.151862,0.871419,0.875785,0.867052,15,0.00057328,4,0.087073,0.054550,0.119596,0.917271,0.944229,0.890313,0.947154,0.923559,0.970748,0.010679,0.009657,0.075932,0.028776,0.050000,0,0,5,0,0
850,851.678,0.146147,0.877192,0.875098,0.879286,15,0.00045550,4,0.078815,0.055378,0.102252,0.923998,0.943430,0.904566,0.946377,0.923559,0.969195,0.010660,0.007973,0.075782,0.030084,0.050000,0,0,5,0,0
875,870.223,0.144984,0.879513,0.874592,0.884434,15,0.00059764,4,0.074355,0.051118,0.097593,0.927987,0.947323,0.908650,0.945024,0.919299,0.970748,0.009887,0.007755,0.080203,0.029171,0.050000,0,0,5,0,0
900,892.244,0.146047,0.879234,0.869526,0.888941,15,0.00057944,4,0.074681,0.053840,0.095522,0.927590,0.944505,0.910675,0.945098,0.916341,0.973855,0.010507,0.007330,0.083448,0.026401,0.050000,0,0,5,0,0
925,911.087,0.148014,0.878054,0.869824,0.886283,15,0.00076365,5,0.072192,0.051710,0.092674,0.929580,0.946499,0.912662,0.941611,0.914803,0.968418,0.010029,0.007188,0.084856,0.030880,0.050000,0,0,5,0,0
950,932.762,0.141687,0.882648,0.877778,0.887518,13,0.00092116,4,0.067263,0.043663,0.090862,0.934354,0.954506,0.914202,0.942132,0.916105,0.968159,0.008411,0.007218,0.083354,0.031792,0.050000,0,0,7,0,0
975,949.481,0.139596,0.883591,0.878452,0.888731,13,0.00081096,3,0.069504,0.045557,0.093451,0.932508,0.952743,0.912272,0.945127,0.918471,0.971784,0.008789,0.007401,0.081281,0.028040,0.050000,0,0,7,0,0
1000,968.319,0.146301,0.879510,0.875958,0.883062,13,0.00081373,2,0.073035,0.050290,0.095780,0.929051,0.948171,0.909932,0.943826,0.920009,0.967642,0.009877,0.007553,0.079856,0.032289,0.050000,0,0,7,0,0
1025,984.423,0.148025,0.876245,0.874648,0.877843,13,0.00083927,2,0.076881,0.049698,0.104064,0.925844,0.948649,0.903039,0.943656,0.918116,0.969195,0.009821,0.008036,0.081893,0.030372,0.050000,0,0,7,0,0
1050,1003.030,0.146147,0.877959,0.872943,0.882976,13,0.00072699,2,0.074492,0.049580,0.099405,0.927888,0.948665,0.907112,0.943486,0.916223,0.970748,0.009630,0.007658,0.083829,0.028939,0.050000,0,0,7,0,0
1075,1019.394,0.145142,0.879149,0.870953,0.887344,13,0.00068893,2,0.075513,0.052656,0.098369,0.927004,0.945685,0.908323,0.945723,0.916815,0.974631,0.010211,0.007643,0.082868,0.025506,0.050000,0,0,7,0,0
1100,1038.211,0.142964,0.879717,0.877991,0.881443,13,0.00089297,2,0.079044,0.053248,0.104841,0.924181,0.945554,0.902808,0.949299,0.924743,0.973855,0.010206,0.008360,0.075559,0.025749,0.050000,0,0,7,0,0
1125,1054.381,0.139797,0.880085,0.882956,0.877213,13,0.00097865,3,0.080731,0.050408,0.111054,0.923081,0.948451,0.897711,0.951048,0.927464,0.974631,0.009763,0.008782,0.072344,0.024539,0.050000,0,0,7,0,0
1150,1072.920,0.136640,0.882924,0.884828,0.881019,13,0.00102068,4,0.078209,0.048988,0.107429,0.925340,0.949867,0.900813,0.951920,0.928174,0.975667,0.009542,0.008484,0.071590,0.023575,0.050000,0,0,7,0,0
1175,1088.698,0.137611,0.881746,0.884194,0.879298,13,0.00103556,3,0.076992,0.047332,0.106653,0.926298,0.951374,0.901223,0.949561,0.926044,0.973078,0.008955,0.008422,0.073340,0.026632,0.050000,0,0,7,0,0
1200,1107.101,0.137108,0.883229,0.885857,0.880601,13,0.00113843,3,0.074256,0.044965,0.103546,0.928691,0.953675,0.903707,0.948736,0.925689,0.971784,0.008718,0.008270,0.073787,0.027457,0.050000,0,0,7,0,0
1225,1123.440,0.139257,0.881356,0.882759,0.879953,13,0.00106174,4,0.074337,0.044610,0.104064,0.928552,0.953856,0.903249,0.946832,0.922139,0.971525,0.008519,0.008323,0.077248,0.027875,0.050000,0,0,7,0,0
1250,1142.045,0.138855,0.881553,0.881635,0.881471,13,0.00095738,4,0.076393,0.047687,0.105100,0.926761,0.950908,0.902615,0.948896,0.923678,0.974113,0.009111,0.008347,0.075756,0.025620,0.050000,0,0,7,0,0
1275,1158.222,0.142834,0.878683,0.880638,0.876728,13,0.00106679,4,0.075720,0.046858,0.104582,0.927082,0.951631,0.902533,0.945161,0.921903,0.968418,0.009026,0.008292,0.077383,0.030227,0.050000,0,0,7,0,0
1300,1176.751,0.140788,0.879596,0.879837,0.879355,13,0.00102706,5,0.075003,0.042835,0.107171,0.928118,0.955397,0.900838,0.945560,0.917525,0.973596,0.008196,0.008559,0.082139,0.025637,0.050000,0,0,7,0,0
1325,1192.489,0.143350,0.878121,0.877639,0.878603,13,0.00108830,3,0.073531,0.042480,0.104582,0.929175,0.955630,0.902721,0.942705,0.914921,0.970489,0.008083,0.008300,0.084742,0.028563,0.050000,0,0,7,0,0
1350,1210.967,0.138393,0.881580,0.882213,0.880947,13,0.00127425,4,0.074182,0.043782,0.104582,0.928783,0.954612,0.902955,0.946958,0.920838,0.973078,0.008272,0.008351,0.078485,0.026378,0.050000,0,0,7,0,0
1375,1227.009,0.141596,0.881346,0.878757,0.883935,13,0.00088483,3,0.070321,0.043308,0.097334,0.931849,0.954893,0.908804,0.943393,0.916815,0.969972,0.008306,0.007761,0.082793,0.029933,0.050000,0,0,7,0,0
1400,1245.647,0.137960,0.882802,0.881686,0.883918,13,0.00092194,2,0.071771,0.044137,0.099405,0.930726,0.954250,0.907202,0.946192,0.920601,0.971784,0.008553,0.007743,0.079133,0.027213,0.050000,0,0,7,0,0
1425,1261.683,0.136861,0.884383,0.881479,0.887287,13,0.00102117,2,0.069415,0.043308,0.095522,0.932775,0.955026,0.910524,0.945848,0.919654,0.972042,0.008208,0.007595,0.079848,0.027483,0.050000,0,0,7,0,0
1450,1280.197,0.133172,0.887341,0.884375,0.890307,13,0.00110649,2,0.068920,0.042835,0.095004,0.933409,0.955615,0.911203,0.948574,0.922258,0.974890,0.008255,0.007534,0.077384,0.024742,0.050000,0,0,7,0,0
1475,1296.014,0.135459,0.885653,0.883547,0.887760,13,0.00115292,2,0.069533,0.043545,0.095522,0.932735,0.954902,0.910567,0.947291,0.922021,0.972560,0.008322,0.007697,0.077336,0.026736,0.050000,0,0,7,0,0
1500,1314.511,0.136404,0.884501,0.883597,0.885404,13,0.00104888,2,0.069397,0.040942,0.097851,0.932962,0.957384,0.908541,0.945908,0.919773,0.972042,0.008000,0.007679,0.079780,0.027544,0.050000,0,0,7,0,0
