step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.980,1.329784,0.222936,0.192892,0.252979,20,0.00000000,0,0.178834,0.179559,0.178108,0.592427,0.558917,0.625937,0.262782,0.227528,0.298037,0.040669,0.035893,0.766488,0.696731,0.050000,0,0,0,0,0
25,27.809,0.982763,0.373543,0.361259,0.385827,20,0.00000000,0,0.093335,0.098747,0.087924,0.813798,0.800785,0.826810,0.408341,0.396932,0.419750,0.022046,0.017593,0.596201,0.575542,0.050000,0,0,0,0,0
50,198.177,0.777516,0.506435,0.502329,0.510541,20,0.00000197,0,0.089925,0.113224,0.066627,0.861303,0.831620,0.890987,0.551881,0.559205,0.544557,0.025377,0.013270,0.436023,0.452140,0.050000,0,0,0,0,0
75,224.961,0.645417,0.585250,0.587328,0.583173,20,0.00013235,2,0.078659,0.106634,0.050684,0.891331,0.859060,0.923601,0.631344,0.649957,0.612731,0.023345,0.010030,0.346248,0.383988,0.050000,0,0,0,0,0
100,392.866,0.553078,0.645033,0.625598,0.664469,20,0.00215374,3,0.077128,0.107498,0.046758,0.901347,0.865686,0.937009,0.694193,0.692848,0.695538,0.023435,0.009105,0.302298,0.300442,0.050000,0,0,0,0,0
125,419.435,0.488613,0.692765,0.625471,0.760059,20,0.00184977,1,0.082854,0.118950,0.046758,0.899611,0.854730,0.944492,0.747734,0.699870,0.795598,0.026237,0.009175,0.295758,0.201234,0.050000,0,0,0,0,0
150,588.082,0.446115,0.724254,0.624498,0.824010,20,0.00090806,2,0.088770,0.128997,0.048543,0.896071,0.845337,0.946806,0.784533,0.705056,0.864010,0.028531,0.009473,0.290868,0.133413,0.050000,0,0,0,0,0
175,614.410,0.426655,0.745965,0.614318,0.877612,20,0.00122912,2,0.097550,0.152982,0.042118,0.889177,0.822378,0.955976,0.811436,0.708297,0.914575,0.034342,0.008370,0.288095,0.083375,0.050000,0,0,0,0,0
200,779.513,0.409257,0.756598,0.618435,0.894761,20,0.00092318,2,0.099493,0.149849,0.049137,0.888105,0.825951,0.950259,0.824917,0.711106,0.938727,0.033487,0.009588,0.285259,0.060092,0.050000,0,0,0,0,0
225,805.377,0.397488,0.762800,0.620940,0.904659,20,0.00071528,3,0.096917,0.144339,0.049494,0.890808,0.831164,0.950453,0.830000,0.710566,0.949435,0.032244,0.009687,0.285847,0.049245,0.050000,0,0,0,0,0
250,968.708,0.369832,0.781074,0.637726,0.924423,20,0.00083279,5,0.093319,0.146067,0.040571,0.896483,0.833436,0.959530,0.846402,0.730877,0.961927,0.032750,0.007859,0.265849,0.037254,0.050000,0,0,0,0,0
275,994.453,0.346377,0.792213,0.651554,0.932872,20,0.00053983,4,0.084098,0.136668,0.031529,0.906243,0.844212,0.968275,0.851443,0.740601,0.962284,0.030460,0.006096,0.255752,0.036246,0.050000,0,0,0,0,0
300,1156.372,0.336504,0.800181,0.662668,0.937695,19,0.00048869,3,0.081996,0.134723,0.029268,0.909312,0.848057,0.970567,0.858542,0.751945,0.965140,0.030516,0.005873,0.245099,0.033945,0.050000,0,0,1,0,0
325,1181.000,0.322764,0.806479,0.672409,0.940549,19,0.00046006,3,0.077770,0.128889,0.026651,0.913995,0.854849,0.973141,0.862345,0.759075,0.965616,0.029279,0.005071,0.237327,0.033284,0.050000,0,0,1,0,0
350,1338.051,0.311377,0.814347,0.683793,0.944901,19,0.00047977,1,0.078527,0.129213,0.027841,0.914390,0.856646,0.972133,0.871678,0.772148,0.971208,0.029352,0.005392,0.224746,0.027715,0.050000,0,0,1,0,0
