step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,2.985,1.140634,0.285867,0.264585,0.307150,20,0.00019481,0,0.195417,0.181849,0.208985,0.636088,0.632293,0.639883,0.342020,0.312699,0.371340,0.024456,0.030910,0.684231,0.625627,0.050000,0,0,0,0,0
25,45.895,0.726317,0.512476,0.494993,0.529959,20,0.00011958,3,0.110683,0.088911,0.132455,0.838802,0.858402,0.819201,0.569579,0.539004,0.600155,0.011758,0.019586,0.457891,0.397048,0.050000,0,0,0,0,0
50,316.276,0.436262,0.697177,0.706990,0.687365,22,0.00021703,0,0.117436,0.087234,0.147637,0.870214,0.898079,0.842349,0.778754,0.768663,0.788846,0.011374,0.021634,0.228596,0.209146,0.050000,2,0,0,0,0
75,362.992,0.292179,0.788283,0.810554,0.766013,22,0.00016082,2,0.115201,0.093608,0.136793,0.884361,0.904485,0.864237,0.878613,0.886428,0.870798,0.012125,0.020037,0.111708,0.127822,0.050000,2,0,0,0,0
100,660.879,0.242829,0.818655,0.835249,0.802060,22,0.00035908,1,0.103775,0.094615,0.112936,0.896955,0.906219,0.887691,0.903459,0.914276,0.892641,0.012306,0.016286,0.083720,0.105196,0.050000,2,0,0,0,0
125,707.379,0.219917,0.833907,0.846365,0.821449,22,0.00017788,0,0.098888,0.098473,0.099303,0.902577,0.904226,0.900927,0.916365,0.929710,0.903021,0.012746,0.014483,0.069099,0.095017,0.050000,2,0,0,0,0
150,982.671,0.206932,0.842885,0.853027,0.832744,20,0.00025250,1,0.094713,0.094615,0.094810,0.906898,0.907993,0.905803,0.922716,0.933736,0.911696,0.012418,0.013731,0.065329,0.086200,0.050000,2,0,2,0,0
175,1024.651,0.203557,0.845109,0.857143,0.833075,20,0.00019266,1,0.095933,0.092099,0.099768,0.906113,0.910426,0.901799,0.926137,0.936085,0.916189,0.012063,0.014383,0.063497,0.081758,0.050000,2,0,2,0,0
200,1294.124,0.201001,0.847613,0.863179,0.832046,20,0.00020543,0,0.093527,0.083879,0.103176,0.908338,0.917723,0.898953,0.926737,0.935581,0.917893,0.010874,0.015211,0.063865,0.079703,0.050000,2,0,2,0,0
225,1335.565,0.188806,0.855186,0.880210,0.830162,20,0.00010876,1,0.097045,0.086730,0.107359,0.906148,0.916868,0.895428,0.937919,0.956551,0.919287,0.011309,0.015727,0.042999,0.078429,0.050000,2,0,2,0,0
250,1587.429,0.179662,0.861466,0.891950,0.830982,19,0.00019005,0,0.096387,0.083711,0.109063,0.907242,0.920300,0.894183,0.944114,0.966616,0.921611,0.010915,0.015977,0.033023,0.076225,0.050000,2,0,3,0,0
275,1626.691,0.176966,0.863473,0.892746,0.834199,19,0.00038721,1,0.092927,0.082369,0.103486,0.910197,0.921453,0.898941,0.943404,0.966281,0.920527,0.010839,0.015181,0.033011,0.076895,0.050000,2,0,3,0,0
300,1878.684,0.173103,0.866130,0.896450,0.835810,19,0.00033977,1,0.093540,0.082201,0.104880,0.909949,0.921887,0.898011,0.946805,0.970139,0.923470,0.010775,0.015391,0.029814,0.073927,0.050000,2,0,3,0,0
325,1918.557,0.169533,0.868518,0.896766,0.840270,19,0.00027807,1,0.090398,0.079014,0.101782,0.912728,0.924507,0.900950,0.946708,0.967623,0.925794,0.010443,0.014831,0.031144,0.072390,0.050000,2,0,3,0,0
350,2167.383,0.166234,0.871510,0.897420,0.845601,19,0.00020098,2,0.089016,0.079349,0.098683,0.914132,0.924284,0.903979,0.948838,0.968629,0.929047,0.010438,0.014602,0.031085,0.069134,0.050000,2,0,3,0,0
375,2207.031,0.161772,0.874765,0.904725,0.844806,19,0.00016560,2,0.088669,0.072303,0.105035,0.914753,0.930640,0.898866,0.951840,0.970139,0.933540,0.009424,0.015500,0.029421,0.065165,0.050000,2,0,3,0,0
400,2460.373,0.158582,0.877638,0.908863,0.846413,19,0.00021539,0,0.086469,0.069451,0.103486,0.916783,0.933312,0.900254,0.952995,0.971985,0.934005,0.009064,0.015309,0.028166,0.064822,0.050000,2,0,3,0,0
425,2499.309,0.156660,0.878932,0.906725,0.851139,19,0.00015767,1,0.082466,0.070122,0.094810,0.920126,0.932602,0.907651,0.951071,0.970307,0.931836,0.009317,0.014113,0.028765,0.066606,0.050000,2,0,3,0,0
450,2754.448,0.153956,0.880916,0.911945,0.849887,19,0.00018898,0,0.083422,0.068780,0.098064,0.919498,0.934084,0.904912,0.953949,0.974669,0.933230,0.008968,0.014586,0.025583,0.065291,0.050000,2,0,3,0,0
475,2794.534,0.150097,0.884057,0.915879,0.852234,19,0.00011223,1,0.080253,0.064922,0.095585,0.922362,0.937591,0.907134,0.954517,0.975340,0.933695,0.008620,0.014165,0.024509,0.065109,0.050000,2,0,3,0,0
500,3047.830,0.148243,0.885369,0.914569,0.856168,19,0.00007197,2,0.078136,0.066264,0.090008,0.924204,0.936372,0.912036,0.954201,0.975172,0.933230,0.008751,0.013422,0.024986,0.065327,0.050000,2,0,3,0,0
525,3087.792,0.147484,0.885576,0.913582,0.857569,19,0.00020067,1,0.080278,0.069619,0.090937,0.922452,0.933494,0.911410,0.956369,0.977185,0.935554,0.009175,0.013600,0.022824,0.063079,0.050000,2,0,3,0,0
550,3345.231,0.146584,0.886154,0.916142,0.856165,19,0.00025413,0,0.076509,0.066264,0.086754,0.925593,0.936475,0.914712,0.953646,0.976850,0.930442,0.008738,0.012874,0.022625,0.068160,0.050000,2,0,3,0,0
575,3385.522,0.146657,0.885559,0.916745,0.854373,19,0.00011123,0,0.072314,0.065929,0.078699,0.929061,0.936796,0.921326,0.949398,0.977185,0.921611,0.008262,0.011641,0.022486,0.077659,0.050000,2,0,3,0,0
600,3633.919,0.143210,0.889007,0.918335,0.859680,19,0.00017669,0,0.068602,0.064083,0.073122,0.932508,0.938457,0.926560,0.949863,0.977185,0.922541,0.008380,0.010840,0.022360,0.076512,0.050000,2,0,3,0,0
625,3672.556,0.142888,0.889438,0.918957,0.859919,19,0.00017745,1,0.065111,0.061902,0.068319,0.935565,0.940349,0.930780,0.947255,0.975843,0.918668,0.008026,0.010162,0.023792,0.080131,0.050000,2,0,3,0,0
650,3928.164,0.138289,0.892456,0.923564,0.861349,19,0.00021997,0,0.064111,0.060057,0.068164,0.936613,0.942202,0.931024,0.949546,0.979030,0.920062,0.007753,0.010093,0.020784,0.078450,0.050000,2,0,3,0,0
675,3968.227,0.142839,0.890301,0.924633,0.855969,19,0.00016996,1,0.068125,0.061735,0.074516,0.932945,0.940836,0.925055,0.950733,0.981714,0.919752,0.008072,0.011242,0.018297,0.079562,0.050000,2,0,3,0,0
700,4224.636,0.141785,0.890213,0.925990,0.854435,19,0.00010289,0,0.064595,0.058547,0.070643,0.935975,0.943637,0.928313,0.947500,0.980205,0.914795,0.007607,0.010402,0.019726,0.083672,0.050000,2,0,3,0,0
725,4263.909,0.144199,0.888658,0.920808,0.856508,19,0.00009598,1,0.072062,0.063412,0.080713,0.929488,0.939179,0.919797,0.952419,0.979198,0.925639,0.008164,0.012014,0.021268,0.073966,0.050000,2,0,3,0,0
750,4520.585,0.143715,0.888430,0.913317,0.863544,19,0.00008026,1,0.070002,0.068277,0.071727,0.931335,0.934597,0.928072,0.950580,0.975675,0.925484,0.008810,0.010724,0.024825,0.073179,0.050000,2,0,3,0,0
775,4559.756,0.141213,0.889808,0.917493,0.862124,19,0.00007067,1,0.070358,0.065425,0.075290,0.931076,0.937269,0.924884,0.952277,0.977521,0.927033,0.008357,0.011252,0.022391,0.071707,0.050000,2,0,3,0,0
800,4807.036,0.139973,0.891549,0.920221,0.862878,19,0.00013588,0,0.069294,0.061902,0.076685,0.932089,0.940426,0.923752,0.953116,0.977185,0.929047,0.008073,0.011420,0.023053,0.069846,0.050000,2,0,3,0,0
825,4845.170,0.138677,0.892779,0.921103,0.864456,19,0.00010719,1,0.066622,0.058883,0.074361,0.934467,0.943066,0.925869,0.952039,0.975340,0.928737,0.007639,0.011044,0.024810,0.070617,0.050000,2,0,3,0,0
850,5090.147,0.142871,0.888442,0.921339,0.855544,19,0.00009748,1,0.071004,0.062070,0.079938,0.930361,0.940351,0.920370,0.951231,0.978527,0.923935,0.007948,0.011744,0.021018,0.074942,0.050000,2,0,3,0,0
875,5129.394,0.141997,0.889763,0.924391,0.855135,19,0.00010727,0,0.070327,0.060560,0.080093,0.931012,0.941821,0.920204,0.951999,0.980372,0.923625,0.007884,0.011950,0.019434,0.074531,0.050000,2,0,3,0,0
900,5380.392,0.147490,0.886293,0.925486,0.847099,19,0.00013637,0,0.072257,0.060393,0.084121,0.929058,0.942029,0.916087,0.949868,0.981379,0.918358,0.007830,0.012422,0.018897,0.080541,0.050000,2,0,3,0,0
925,5419.232,0.152030,0.882694,0.922310,0.843079,19,0.00011566,2,0.074574,0.060225,0.088923,0.926838,0.941984,0.911692,0.947952,0.977856,0.918048,0.007756,0.013120,0.021762,0.080754,0.050000,2,0,3,0,0
950,5662.443,0.148077,0.885330,0.918077,0.852582,18,0.00013129,2,0.076297,0.060728,0.091867,0.925740,0.941300,0.910179,0.952368,0.973830,0.930906,0.007886,0.013612,0.026004,0.067619,0.050000,2,0,4,0,0
975,5700.127,0.149826,0.883771,0.915626,0.851915,18,0.00009254,0,0.074864,0.061735,0.087994,0.926792,0.940289,0.913296,0.949515,0.972152,0.926878,0.008013,0.012861,0.027667,0.071781,0.050000,2,0,4,0,0
1000,5940.634,0.150679,0.883621,0.914128,0.853114,18,0.00017982,0,0.072424,0.062741,0.082107,0.928829,0.939335,0.918323,0.947321,0.971481,0.923160,0.008257,0.012070,0.028620,0.074863,0.050000,2,0,4,0,0
