step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.534,1.198075,0.234960,0.209060,0.260861,20,0.00000000,0,0.079726,0.055622,0.103830,0.766837,0.798697,0.734976,0.254317,0.220688,0.287946,0.013860,0.023555,0.776712,0.709924,0.050000,0,0,0,0,0
25,27.070,0.927195,0.389229,0.328228,0.450230,20,0.00005361,1,0.052829,0.045118,0.060540,0.885620,0.883763,0.887477,0.410262,0.343037,0.477487,0.011057,0.013453,0.654508,0.519664,0.050000,0,0,0,0,0
50,197.246,0.778220,0.490660,0.417189,0.564132,20,0.00001945,0,0.054540,0.053421,0.055658,0.903073,0.891618,0.914528,0.517503,0.439476,0.595530,0.013019,0.012241,0.558620,0.401917,0.050000,0,0,0,0,0
75,224.058,0.676028,0.558145,0.477891,0.638399,20,0.00001199,1,0.052684,0.058824,0.046544,0.915364,0.895855,0.934872,0.587058,0.506002,0.668113,0.014315,0.010221,0.491156,0.329419,0.050000,0,0,0,0,0
100,393.337,0.594570,0.614676,0.500188,0.729164,20,0.00007621,1,0.053086,0.063425,0.042747,0.920117,0.893463,0.946771,0.646123,0.531913,0.760334,0.015622,0.009224,0.465903,0.238311,0.050000,0,0,0,0,0
125,419.913,0.521887,0.659088,0.552081,0.766095,20,0.00015510,2,0.047901,0.052621,0.043181,0.932853,0.916969,0.948738,0.690154,0.581132,0.799175,0.012938,0.009431,0.416319,0.198734,0.050000,0,0,0,0,0
150,591.278,0.446775,0.710737,0.615864,0.805611,20,0.00043251,2,0.047939,0.059424,0.036454,0.937347,0.916526,0.958167,0.743720,0.652461,0.834979,0.014427,0.008010,0.345952,0.162749,0.050000,0,0,0,0,0
175,617.681,0.405129,0.741790,0.649719,0.833860,20,0.00053582,2,0.048806,0.068427,0.029185,0.938691,0.910272,0.967111,0.776187,0.694178,0.858197,0.016980,0.006494,0.304411,0.140048,0.050000,0,0,0,0,0
200,787.036,0.363873,0.772019,0.682475,0.861563,20,0.00035974,3,0.053741,0.080032,0.027449,0.935990,0.902057,0.969924,0.811153,0.737095,0.885212,0.019836,0.005906,0.261701,0.112768,0.050000,0,0,0,0,0
225,813.867,0.291842,0.822216,0.766710,0.877722,20,0.00053105,3,0.063371,0.080632,0.046110,0.931747,0.911312,0.952183,0.873363,0.828531,0.918195,0.019905,0.010060,0.170125,0.080276,0.050000,0,0,0,0,0
