step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.543,1.364089,0.157527,0.174472,0.140583,20,0.00016899,0,0.082967,0.122117,0.043818,0.692958,0.615857,0.770059,0.171260,0.195778,0.146743,0.033425,0.018938,0.790008,0.850386,0.050000,0,0,0,0,0
25,27.101,1.082499,0.278328,0.320117,0.236540,20,0.00000000,0,0.036164,0.053199,0.019129,0.895097,0.863712,0.926482,0.289105,0.337147,0.241064,0.014468,0.008067,0.648118,0.755209,0.050000,0,0,0,0,0
50,195.632,0.845253,0.432435,0.489167,0.375702,20,0.00000000,0,0.030402,0.047433,0.013370,0.940671,0.915268,0.966073,0.446548,0.512370,0.380725,0.012824,0.005683,0.475327,0.615584,0.050000,0,0,0,0,0
75,221.582,0.643205,0.575412,0.645181,0.505643,20,0.00000000,0,0.036146,0.057664,0.014628,0.947180,0.922081,0.972278,0.597712,0.682385,0.513039,0.015437,0.006273,0.305820,0.483648,0.050000,0,0,0,0,0
100,390.991,0.504303,0.669063,0.726333,0.611793,20,0.00089837,2,0.033417,0.053199,0.013635,0.956732,0.934978,0.978486,0.692554,0.764974,0.620135,0.014347,0.005741,0.224956,0.376785,0.050000,0,0,0,0,0
125,417.808,0.442030,0.710378,0.737777,0.682978,20,0.00201684,3,0.031886,0.051990,0.011782,0.960228,0.937219,0.983236,0.733580,0.776135,0.691025,0.013981,0.004839,0.213852,0.305906,0.050000,0,0,0,0,0
150,586.066,0.399413,0.741523,0.741017,0.742029,20,0.00161749,3,0.033778,0.058687,0.008869,0.959345,0.930399,0.988291,0.766558,0.784505,0.748610,0.016083,0.003907,0.205515,0.248413,0.050000,0,0,0,0,0
175,612.786,0.337338,0.780768,0.743066,0.818470,20,0.00195070,2,0.034924,0.066406,0.003442,0.959252,0.922677,0.995827,0.806849,0.792411,0.821287,0.017099,0.001550,0.197581,0.175808,0.050000,0,0,0,0,0
200,782.893,0.310109,0.800631,0.747360,0.853901,20,0.00156452,2,0.034632,0.065755,0.003508,0.959832,0.923741,0.995923,0.826700,0.796503,0.856897,0.017388,0.001602,0.193199,0.140430,0.050000,0,0,0,0,0
225,809.565,0.304293,0.803119,0.746505,0.859734,20,0.00111322,3,0.034033,0.064360,0.003707,0.960395,0.925068,0.995723,0.828735,0.794550,0.862920,0.016762,0.001589,0.195195,0.134104,0.050000,0,0,0,0,0
