step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.527,1.163527,0.267556,0.208171,0.326942,20,0.00017882,0,0.246064,0.155603,0.336526,0.586077,0.607228,0.564926,0.338765,0.240563,0.436966,0.031803,0.028108,0.757022,0.560833,0.050000,0,0,0,0,0
25,27.464,0.773133,0.471711,0.380937,0.562486,20,0.00008881,0,0.127056,0.083777,0.170334,0.812874,0.831308,0.794439,0.535574,0.412851,0.658297,0.016782,0.013882,0.584443,0.340040,0.050000,0,0,0,0,0
50,198.843,0.557407,0.609658,0.512648,0.706667,20,0.00048779,5,0.100958,0.075849,0.126068,0.871171,0.879102,0.863241,0.673643,0.551532,0.795755,0.015081,0.010166,0.446760,0.202606,0.050000,0,0,0,0,0
75,226.268,0.480871,0.663585,0.578753,0.748417,20,0.00045293,4,0.095577,0.087090,0.104064,0.883277,0.878407,0.888147,0.727729,0.629156,0.826301,0.017249,0.008178,0.368669,0.172051,0.050000,0,0,0,0,0
100,401.033,0.426003,0.699231,0.623973,0.774489,20,0.00029640,5,0.090992,0.079991,0.101993,0.893574,0.893894,0.893254,0.763683,0.673885,0.853482,0.016083,0.008183,0.323366,0.146488,0.050000,0,0,0,0,0
125,429.290,0.381780,0.728529,0.666993,0.790066,20,0.00026733,5,0.096084,0.087327,0.104841,0.892651,0.892529,0.892772,0.799068,0.725240,0.872897,0.017432,0.008293,0.272613,0.127248,0.050000,0,0,0,0,0
150,602.419,0.350073,0.749460,0.706846,0.792075,20,0.00030252,5,0.100588,0.090640,0.110536,0.891580,0.894795,0.888366,0.825271,0.770915,0.879627,0.018048,0.008919,0.227453,0.121125,0.050000,0,0,0,0,0
175,630.176,0.303096,0.777360,0.752862,0.801858,20,0.00028939,4,0.099926,0.085434,0.114419,0.895920,0.905349,0.886492,0.855394,0.817181,0.893606,0.017124,0.008975,0.180400,0.106699,0.050000,0,0,0,0,0
200,803.742,0.270350,0.798029,0.785116,0.810942,20,0.00030183,4,0.104486,0.087564,0.121408,0.894604,0.906988,0.882220,0.881630,0.853863,0.909397,0.017416,0.009766,0.144853,0.090371,0.050000,0,0,0,0,0
225,830.916,0.246346,0.812216,0.801717,0.822715,20,0.00056784,4,0.098096,0.074784,0.121408,0.901925,0.920142,0.883709,0.892136,0.861673,0.922599,0.014928,0.009742,0.137198,0.077382,0.050000,0,0,0,0,0
250,1011.106,0.232571,0.819782,0.817434,0.822130,20,0.00071146,2,0.092442,0.064253,0.120632,0.907723,0.931222,0.884224,0.895630,0.869956,0.921305,0.012489,0.009702,0.129400,0.078874,0.050000,0,0,0,0,0
275,1039.362,0.231066,0.821717,0.821218,0.822217,20,0.00058329,3,0.088426,0.062951,0.113901,0.911063,0.932735,0.889392,0.894391,0.872914,0.915868,0.012410,0.009203,0.126246,0.083116,0.050000,0,0,0,0,0
300,1212.354,0.222357,0.827502,0.829241,0.825763,19,0.00078382,4,0.085771,0.060230,0.111312,0.913855,0.935886,0.891824,0.898433,0.879186,0.917681,0.011877,0.009009,0.119362,0.081423,0.050000,0,0,1,0,0
325,1239.408,0.202713,0.840942,0.834542,0.847343,19,0.00107002,3,0.083101,0.060585,0.105617,0.917310,0.935936,0.898684,0.910970,0.885102,0.936837,0.011961,0.008372,0.113609,0.062195,0.050000,0,0,1,0,0
350,1408.462,0.193630,0.849600,0.835002,0.864198,19,0.00079134,3,0.076944,0.063543,0.090344,0.922867,0.933226,0.912509,0.915167,0.888061,0.942273,0.012594,0.006850,0.110900,0.057131,0.050000,0,0,1,0,0
375,1435.384,0.194014,0.849960,0.824713,0.875207,19,0.00042549,3,0.081917,0.070643,0.093192,0.918582,0.925921,0.911243,0.919871,0.882972,0.956769,0.013950,0.007573,0.115671,0.042176,0.050000,0,0,1,0,0
400,1606.584,0.179712,0.859397,0.830722,0.888072,19,0.00040997,4,0.081969,0.072299,0.091639,0.919283,0.924929,0.913637,0.930118,0.890782,0.969454,0.014305,0.006988,0.108836,0.030126,0.050000,0,0,1,0,0
425,1634.294,0.175570,0.860384,0.837847,0.882921,19,0.00057574,3,0.086895,0.074902,0.098887,0.915361,0.923217,0.907506,0.935417,0.900603,0.970230,0.014927,0.007629,0.097533,0.028700,0.050000,0,0,1,0,0
450,1804.654,0.174288,0.864639,0.836004,0.893273,19,0.00053968,3,0.083514,0.077979,0.089050,0.918251,0.920363,0.916138,0.937007,0.901195,0.972819,0.015553,0.007038,0.097667,0.026615,0.050000,0,0,1,0,0
475,1831.507,0.177281,0.859606,0.835919,0.883294,19,0.00049278,4,0.091683,0.083185,0.100181,0.911202,0.915859,0.906544,0.938619,0.905455,0.971784,0.016431,0.007780,0.092905,0.026992,0.050000,0,0,1,0,0
500,2005.965,0.175757,0.861515,0.837409,0.885620,19,0.00038017,4,0.094335,0.088747,0.099922,0.909130,0.911295,0.906966,0.942920,0.911726,0.974113,0.017565,0.007840,0.086736,0.024761,0.050000,0,0,1,0,0
525,2032.295,0.168749,0.865800,0.846087,0.885512,19,0.00046654,2,0.093758,0.088629,0.098887,0.909987,0.912223,0.907752,0.947076,0.921074,0.973078,0.017510,0.007716,0.077592,0.024908,0.050000,0,0,1,0,0
550,2207.152,0.173757,0.860895,0.845744,0.876047,19,0.00036878,3,0.100817,0.088510,0.113125,0.904170,0.912289,0.896051,0.947875,0.920601,0.975149,0.017572,0.009055,0.077910,0.024261,0.050000,0,0,1,0,0
575,2234.434,0.174045,0.856834,0.851662,0.862006,19,0.00045338,1,0.109364,0.085670,0.133057,0.897653,0.915203,0.880103,0.950663,0.924624,0.976702,0.017248,0.010534,0.074290,0.022046,0.050000,0,0,1,0,0
