step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,2.407,1.393334,0.189509,0.187921,0.191097,20,0.00044675,0,0.183219,0.171672,0.194765,0.550774,0.561897,0.539651,0.224249,0.220182,0.228316,0.039024,0.039420,0.774232,0.767946,0.050000,0,0,0,0,0
25,43.759,1.028624,0.336849,0.312667,0.361031,20,0.00001860,0,0.083086,0.090860,0.075312,0.813585,0.789645,0.837526,0.364649,0.341076,0.388221,0.020290,0.014660,0.653361,0.607911,0.050000,0,0,0,0,0
50,297.950,0.801264,0.471161,0.438945,0.503378,20,0.00017951,0,0.061003,0.065255,0.056752,0.890566,0.877534,0.903597,0.499767,0.467589,0.531945,0.014402,0.011043,0.527236,0.464586,0.050000,0,0,0,0,0
75,339.632,0.606510,0.596155,0.580118,0.612192,20,0.00044191,2,0.052360,0.058557,0.046163,0.922856,0.912946,0.932767,0.627270,0.614088,0.640452,0.012763,0.008996,0.381272,0.355850,0.050000,0,0,0,0,0
100,594.073,0.514781,0.658304,0.620004,0.696604,20,0.00105691,3,0.051770,0.059637,0.043902,0.929922,0.916780,0.943064,0.692083,0.656979,0.727186,0.013059,0.008527,0.338271,0.270066,0.050000,0,0,0,0,0
125,636.329,0.453216,0.697506,0.651630,0.743382,20,0.00216360,3,0.048258,0.053803,0.042713,0.937558,0.927342,0.947774,0.730912,0.686690,0.775134,0.011518,0.008157,0.308888,0.221904,0.050000,0,0,0,0,0
150,895.586,0.389920,0.741632,0.667040,0.816224,20,0.00164903,3,0.049573,0.060717,0.038430,0.938797,0.920968,0.956627,0.777566,0.707541,0.847591,0.013037,0.007305,0.289424,0.149240,0.050000,0,0,0,0,0
175,938.381,0.352494,0.767130,0.678070,0.856190,20,0.00160252,3,0.048064,0.061150,0.034979,0.941849,0.921672,0.962025,0.802836,0.719533,0.886139,0.013390,0.006602,0.276957,0.110944,0.050000,0,0,0,0,0
200,1200.230,0.327618,0.784820,0.679134,0.890506,20,0.00093729,3,0.046544,0.062986,0.030101,0.943990,0.919752,0.968228,0.819611,0.721910,0.917311,0.013932,0.005810,0.274720,0.080163,0.050000,0,0,0,0,0
225,1243.777,0.309441,0.797221,0.684184,0.910258,20,0.00029859,3,0.046862,0.064931,0.028792,0.944173,0.918176,0.970171,0.832537,0.728608,0.936466,0.014322,0.005533,0.267986,0.061336,0.050000,0,0,0,0,0
250,1501.493,0.300644,0.803322,0.691909,0.914736,20,0.00021359,2,0.044943,0.062878,0.027008,0.946644,0.921234,0.972055,0.837428,0.735415,0.939441,0.014004,0.005331,0.261949,0.057847,0.050000,0,0,0,0,0
275,1543.718,0.298748,0.804641,0.692644,0.916638,20,0.00007532,2,0.046170,0.063310,0.029030,0.945492,0.920843,0.970142,0.839872,0.736495,0.943248,0.014275,0.005436,0.260616,0.054645,0.050000,0,0,0,0,0
300,1803.159,0.292686,0.806960,0.694575,0.919345,20,0.00004343,2,0.042322,0.059421,0.025223,0.949609,0.925282,0.973937,0.839191,0.735847,0.942534,0.013294,0.004696,0.261131,0.054808,0.050000,0,0,0,0,0
325,1846.600,0.287048,0.812828,0.700193,0.925463,20,0.00004973,1,0.045689,0.063418,0.027960,0.946481,0.921514,0.971449,0.847968,0.744598,0.951338,0.014243,0.005405,0.252558,0.046596,0.050000,0,0,0,0,0
350,2098.762,0.278761,0.819189,0.697154,0.941224,20,0.00005115,1,0.044454,0.066659,0.022249,0.947566,0.917733,0.977399,0.852896,0.743626,0.962165,0.014847,0.004209,0.253873,0.036776,0.050000,0,0,0,0,0
375,2140.589,0.274099,0.823837,0.697226,0.950448,20,0.00011914,1,0.047020,0.071197,0.022844,0.945005,0.912969,0.977042,0.859513,0.746867,0.972159,0.016076,0.004444,0.250331,0.025880,0.050000,0,0,0,0,0
400,2388.204,0.274652,0.822914,0.696223,0.949604,20,0.00020256,2,0.046021,0.069793,0.022249,0.945959,0.914324,0.977594,0.857773,0.744814,0.970732,0.015538,0.004363,0.252543,0.027668,0.050000,0,0,0,0,0
425,2429.317,0.266501,0.823039,0.702293,0.943785,20,0.00032861,2,0.038782,0.055315,0.022249,0.954004,0.930548,0.977459,0.852962,0.741141,0.964783,0.011986,0.003983,0.256182,0.033401,0.050000,0,0,0,0,0
450,2683.987,0.257692,0.829341,0.704719,0.953964,20,0.00025547,1,0.030852,0.048617,0.013087,0.962455,0.938272,0.986639,0.852714,0.738980,0.966449,0.010900,0.002668,0.258399,0.031667,0.050000,0,0,0,0,0
475,2726.424,0.253296,0.831990,0.705236,0.958745,20,0.00022863,0,0.032273,0.052290,0.012255,0.960853,0.934177,0.987530,0.856303,0.742113,0.970494,0.011177,0.002531,0.255338,0.027817,0.050000,0,0,0,0,0
500,2968.666,0.243819,0.837590,0.714212,0.960969,19,0.00020935,0,0.030911,0.049806,0.012017,0.962753,0.937711,0.987795,0.861150,0.749784,0.972516,0.010918,0.002065,0.247745,0.025959,0.050000,0,0,1,0,0
525,3008.911,0.235217,0.843559,0.722538,0.964580,19,0.00014908,0,0.028274,0.045484,0.011065,0.965995,0.943208,0.988782,0.865327,0.755402,0.975253,0.010077,0.002111,0.242298,0.023598,0.050000,0,0,1,0,0
550,3252.006,0.224963,0.849496,0.729953,0.969038,19,0.00015672,0,0.025485,0.044188,0.006782,0.969150,0.945204,0.993097,0.868909,0.762208,0.975610,0.009546,0.001495,0.234896,0.022680,0.050000,0,0,1,0,0
575,3292.726,0.221088,0.852670,0.736602,0.968739,19,0.00010432,0,0.025405,0.042243,0.008566,0.969577,0.947846,0.991309,0.872378,0.767718,0.977037,0.009375,0.001818,0.229701,0.021662,0.050000,0,0,1,0,0
600,3535.525,0.220121,0.852567,0.738436,0.966698,19,0.00013598,1,0.026384,0.041703,0.011065,0.968690,0.948574,0.988806,0.873313,0.769231,0.977394,0.009094,0.002178,0.228341,0.021203,0.050000,0,0,1,0,0
625,3575.783,0.216650,0.853536,0.741892,0.965181,19,0.00017089,0,0.025374,0.039326,0.011422,0.969954,0.951473,0.988435,0.873636,0.771067,0.976205,0.008708,0.001916,0.226487,0.021595,0.050000,0,0,1,0,0
650,3824.485,0.216980,0.853960,0.741473,0.966447,19,0.00012430,0,0.024741,0.038894,0.010589,0.970605,0.951936,0.989275,0.873496,0.770311,0.976681,0.008701,0.002027,0.226886,0.021156,0.050000,0,0,1,0,0
