step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.525,1.234691,0.241532,0.186499,0.296565,20,0.00048697,0,0.116273,0.200303,0.032243,0.716238,0.527764,0.904712,0.264991,0.223855,0.306127,0.045554,0.006474,0.770320,0.689432,0.050000,0,0,0,0,0
25,27.563,0.899223,0.424373,0.391366,0.457379,20,0.00044515,0,0.078416,0.133751,0.023081,0.860687,0.768382,0.952992,0.455824,0.443712,0.467936,0.030218,0.004684,0.551361,0.527632,0.050000,0,0,0,0,0
50,59.135,0.656359,0.576947,0.548972,0.604921,20,0.00006190,0,0.069596,0.114088,0.025104,0.901939,0.842787,0.961092,0.615855,0.611603,0.620107,0.025587,0.004966,0.384477,0.376275,0.050000,0,0,0,0,0
75,85.601,0.498962,0.681157,0.644973,0.717341,20,0.00069870,1,0.070700,0.112252,0.029149,0.913356,0.864696,0.962016,0.727812,0.717373,0.738251,0.025129,0.005593,0.278700,0.259000,0.050000,0,0,0,0,0
100,117.729,0.411597,0.734610,0.687138,0.782083,20,0.00028070,0,0.061054,0.099503,0.022606,0.928068,0.883624,0.972512,0.777636,0.755510,0.799762,0.021891,0.004464,0.242100,0.196348,0.050000,0,0,0,0,0
125,144.215,0.365083,0.764055,0.711624,0.816486,20,0.00104020,0,0.058147,0.095830,0.020464,0.933295,0.890561,0.976028,0.806507,0.779818,0.833195,0.020962,0.003967,0.216823,0.163019,0.050000,0,0,0,0,0
150,175.999,0.336635,0.782616,0.733975,0.831257,20,0.00021642,0,0.055231,0.088807,0.021654,0.937562,0.899988,0.975137,0.824207,0.799157,0.849256,0.019590,0.004320,0.197560,0.148490,0.050000,0,0,0,0,0
175,202.752,0.325222,0.789255,0.737958,0.840551,20,0.00003584,0,0.054689,0.090104,0.019274,0.938637,0.899275,0.977998,0.830602,0.804451,0.856752,0.019729,0.003742,0.192548,0.139956,0.050000,0,0,0,0,0
200,234.958,0.314940,0.796298,0.745549,0.847046,20,0.00002620,1,0.050608,0.086106,0.015110,0.943307,0.903883,0.982730,0.834795,0.809745,0.859845,0.019115,0.002952,0.187703,0.137832,0.050000,0,0,0,0,0
225,261.881,0.306122,0.801356,0.748308,0.854404,20,0.00015602,1,0.048613,0.085566,0.011660,0.945697,0.904705,0.986690,0.838352,0.812338,0.864366,0.019023,0.002215,0.184928,0.132486,0.050000,0,0,0,0,0
