step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.499,1.064691,0.320078,0.380043,0.260112,20,0.00000892,0,0.153693,0.089415,0.217971,0.707401,0.822393,0.592410,0.365417,0.414024,0.316809,0.011950,0.032127,0.583795,0.679575,0.050000,0,0,0,0,0
25,27.382,0.732426,0.508356,0.580894,0.435817,20,0.00014307,2,0.091193,0.043114,0.139272,0.857260,0.933575,0.780945,0.551226,0.605939,0.496514,0.005458,0.020429,0.392155,0.500464,0.050000,0,0,0,0,0
50,186.234,0.521183,0.641852,0.703804,0.579900,20,0.00013047,3,0.081212,0.049488,0.112936,0.894140,0.937207,0.851073,0.692013,0.738634,0.645391,0.006386,0.016564,0.259022,0.351967,0.050000,0,0,0,0,0
75,213.042,0.374266,0.737650,0.795444,0.679856,20,0.00129782,4,0.080755,0.045630,0.115879,0.907743,0.947992,0.867493,0.795188,0.831740,0.758637,0.005864,0.016841,0.165818,0.238553,0.050000,0,0,0,0,0
100,373.080,0.272136,0.804940,0.855395,0.754486,20,0.00400617,6,0.084703,0.055695,0.113710,0.911356,0.941907,0.880805,0.871658,0.903036,0.840279,0.007185,0.016556,0.095272,0.157168,0.050000,0,0,0,0,0
125,400.157,0.239660,0.825312,0.873702,0.776922,20,0.00362284,6,0.086437,0.066600,0.106274,0.911629,0.933300,0.889958,0.895690,0.931891,0.859489,0.008887,0.015234,0.067179,0.137909,0.050000,0,0,0,0,0
150,558.331,0.199527,0.852479,0.898511,0.806447,20,0.00397110,5,0.076662,0.047979,0.105345,0.922914,0.951517,0.894311,0.916511,0.941621,0.891402,0.006199,0.015208,0.057179,0.105557,0.050000,0,0,0,0,0
175,584.630,0.162552,0.878717,0.916680,0.840753,20,0.00207611,5,0.061989,0.020802,0.103176,0.939074,0.978253,0.899895,0.931624,0.935749,0.927498,0.002423,0.015014,0.064182,0.069550,0.050000,0,0,0,0,0
200,737.068,0.145854,0.888770,0.923039,0.854501,20,0.00135692,3,0.055772,0.022312,0.089233,0.944708,0.976902,0.912515,0.937192,0.943634,0.930751,0.002511,0.012801,0.055629,0.066644,0.050000,0,0,0,0,0
225,763.061,0.134722,0.897197,0.933038,0.861357,20,0.00104412,3,0.054682,0.022144,0.087219,0.946054,0.977308,0.914800,0.945091,0.953699,0.936483,0.002618,0.012548,0.046309,0.061389,0.050000,0,0,0,0,0
250,915.024,0.125811,0.903039,0.936873,0.869204,19,0.00100378,6,0.051519,0.020466,0.082572,0.949185,0.979041,0.919328,0.948512,0.956048,0.940976,0.002362,0.011874,0.044073,0.056082,0.050000,0,0,1,0,1
275,939.829,0.119509,0.908583,0.942669,0.874497,19,0.00055543,5,0.048570,0.018286,0.078854,0.952087,0.981307,0.922867,0.951680,0.959906,0.943455,0.002194,0.011368,0.040476,0.054841,0.050000,0,0,1,0,1
300,1091.229,0.116290,0.909857,0.941128,0.878587,19,0.00040347,4,0.047246,0.020131,0.074361,0.953218,0.979463,0.926974,0.951997,0.960074,0.943919,0.002250,0.010657,0.039688,0.054742,0.050000,0,0,1,0,1
325,1116.444,0.115933,0.909833,0.945839,0.873826,19,0.00060677,5,0.047013,0.022144,0.071882,0.953167,0.977608,0.928725,0.951711,0.966784,0.936638,0.002527,0.010352,0.033113,0.060769,0.050000,0,0,1,0,1
350,1262.989,0.109955,0.915260,0.956046,0.874473,18,0.00099844,6,0.046489,0.026673,0.066305,0.953578,0.973544,0.933613,0.957001,0.981547,0.932455,0.003388,0.009604,0.018191,0.066285,0.050000,0,0,2,0,1
375,1287.218,0.111869,0.913093,0.953716,0.872471,18,0.00073616,3,0.046747,0.029357,0.064136,0.953174,0.970964,0.935383,0.955071,0.981714,0.928428,0.003649,0.009386,0.017638,0.069566,0.050000,0,0,2,0,1
400,1431.619,0.104743,0.918169,0.958653,0.877685,18,0.00072079,2,0.043307,0.026506,0.060108,0.956545,0.973772,0.939318,0.957252,0.984063,0.930442,0.003358,0.008579,0.015525,0.067520,0.050000,0,0,2,0,1
425,1456.263,0.103394,0.920128,0.961583,0.878673,18,0.00059497,3,0.040804,0.021808,0.059799,0.958973,0.978286,0.939659,0.956885,0.982553,0.931216,0.002729,0.008563,0.017548,0.067156,0.050000,0,0,2,0,1
450,1605.158,0.105140,0.917442,0.956110,0.878775,18,0.00074196,1,0.045075,0.028183,0.061967,0.954932,0.972130,0.937733,0.958143,0.983057,0.933230,0.003469,0.008872,0.016620,0.064802,0.050000,0,0,2,0,1
475,1631.168,0.101451,0.919723,0.955870,0.883576,18,0.00061060,2,0.051349,0.030196,0.072502,0.949589,0.970248,0.928929,0.966186,0.984734,0.947637,0.003973,0.010499,0.014367,0.050628,0.050000,0,0,2,0,1
500,1782.095,0.106801,0.913626,0.936992,0.890261,18,0.00058862,3,0.065106,0.051669,0.078544,0.937281,0.950178,0.924385,0.972796,0.985405,0.960186,0.006738,0.011435,0.014484,0.038327,0.050000,0,0,2,0,1
525,1807.965,0.109523,0.910743,0.931631,0.889855,18,0.00050413,3,0.072380,0.057541,0.087219,0.931061,0.944820,0.917303,0.976352,0.985237,0.967467,0.007539,0.012693,0.014172,0.031575,0.050000,0,0,2,0,1
550,1955.819,0.110052,0.910513,0.931122,0.889904,18,0.00058574,3,0.070966,0.057037,0.084895,0.932199,0.945223,0.919174,0.974842,0.984231,0.965453,0.007509,0.012462,0.014898,0.032901,0.050000,0,0,2,0,1
575,1980.635,0.108653,0.911219,0.934117,0.888322,18,0.00041513,3,0.074904,0.056702,0.093106,0.929091,0.945677,0.912505,0.979056,0.987083,0.971030,0.007416,0.013614,0.012458,0.027892,0.050000,0,0,2,0,1
600,2126.986,0.111018,0.909068,0.932584,0.885552,18,0.00031678,3,0.076891,0.060057,0.093726,0.927249,0.942729,0.911769,0.978572,0.988593,0.968552,0.007849,0.013763,0.010747,0.029921,0.050000,0,0,2,0,1
625,2153.084,0.116326,0.905672,0.928583,0.882761,18,0.00027822,3,0.078582,0.061735,0.095430,0.925625,0.941073,0.910178,0.976455,0.985908,0.967002,0.008316,0.013987,0.013452,0.031039,0.050000,0,0,2,0,1
650,2307.633,0.113724,0.907754,0.930773,0.884735,18,0.00047693,2,0.077717,0.061399,0.094036,0.926469,0.941487,0.911451,0.977927,0.987921,0.967932,0.008079,0.013905,0.011669,0.030667,0.050000,0,0,2,0,1
675,2333.474,0.114373,0.906747,0.932743,0.880751,18,0.00055552,2,0.078905,0.060057,0.097754,0.925458,0.942738,0.908178,0.977804,0.988760,0.966847,0.007942,0.014185,0.010693,0.031720,0.050000,0,0,2,0,1
700,2492.109,0.110619,0.909607,0.936485,0.882728,18,0.00055468,4,0.073168,0.053850,0.092486,0.930374,0.948259,0.912489,0.975642,0.986915,0.964369,0.007056,0.013395,0.012572,0.033497,0.050000,0,0,2,0,1
725,2517.448,0.108408,0.911568,0.935781,0.887354,18,0.00078278,2,0.071599,0.055360,0.087839,0.931756,0.946920,0.916593,0.976442,0.987586,0.965298,0.007189,0.012871,0.011926,0.032890,0.050000,0,0,2,0,1
750,2664.771,0.110682,0.909783,0.932179,0.887386,18,0.00084457,2,0.072174,0.056199,0.088149,0.931175,0.946003,0.916348,0.975087,0.984566,0.965608,0.007315,0.012788,0.014977,0.032753,0.050000,0,0,2,0,1
775,2689.845,0.113788,0.907768,0.931374,0.884161,18,0.00087286,3,0.072322,0.056031,0.088613,0.930900,0.946103,0.915696,0.973035,0.983560,0.962510,0.007136,0.013040,0.015909,0.035770,0.050000,0,0,2,0,1
800,2844.196,0.113130,0.908689,0.929911,0.887466,18,0.00086990,2,0.072225,0.055528,0.088923,0.931097,0.946457,0.915737,0.973965,0.981547,0.966383,0.007283,0.012816,0.018724,0.032448,0.050000,0,0,2,0,1
825,2869.732,0.108882,0.910747,0.933270,0.888224,18,0.00053482,3,0.071928,0.055863,0.087994,0.931448,0.946351,0.916544,0.975894,0.985405,0.966383,0.007209,0.012798,0.014009,0.031998,0.050000,0,0,2,0,1
850,3020.709,0.114107,0.907864,0.929970,0.885759,18,0.00075789,3,0.074182,0.054018,0.094345,0.929536,0.947770,0.911302,0.974765,0.980205,0.969326,0.007017,0.013722,0.019547,0.029692,0.050000,0,0,2,0,1
875,3046.341,0.111670,0.909175,0.928277,0.890074,18,0.00071246,4,0.073297,0.057205,0.089388,0.930257,0.944920,0.915594,0.975507,0.981379,0.969636,0.007494,0.013093,0.017949,0.028716,0.050000,0,0,2,0,1
900,3192.959,0.109745,0.910308,0.928231,0.892384,18,0.00051353,4,0.072419,0.056534,0.088304,0.931075,0.945496,0.916654,0.975947,0.980708,0.971185,0.007447,0.012783,0.018321,0.027732,0.050000,0,0,2,0,1
925,3217.977,0.110099,0.910109,0.927077,0.893142,18,0.00045265,3,0.073490,0.058212,0.088768,0.930169,0.943987,0.916350,0.976734,0.981043,0.972424,0.007684,0.012900,0.018608,0.026118,0.050000,0,0,2,0,1
950,3368.557,0.106012,0.913377,0.928469,0.898286,18,0.00057494,5,0.069895,0.055360,0.084431,0.933382,0.946524,0.920240,0.976999,0.979869,0.974129,0.007350,0.012242,0.019202,0.024940,0.050000,0,0,2,0,1
975,3394.812,0.104834,0.913836,0.930717,0.896956,18,0.00084419,4,0.069831,0.055695,0.083966,0.933430,0.946356,0.920505,0.977411,0.982553,0.972270,0.007369,0.012094,0.016928,0.025979,0.050000,0,0,2,0,1
1000,3548.833,0.106606,0.912621,0.927688,0.897553,18,0.00066301,3,0.070301,0.057876,0.082727,0.932931,0.944310,0.921551,0.976592,0.981379,0.971805,0.007569,0.012055,0.018052,0.026672,0.050000,0,0,2,0,1
1025,3574.383,0.104405,0.914206,0.930229,0.898184,18,0.00057352,1,0.069437,0.055528,0.083346,0.933789,0.946475,0.921103,0.977463,0.981882,0.973044,0.007218,0.012063,0.017582,0.025963,0.050000,0,0,2,0,1
1050,3725.386,0.104489,0.914235,0.928356,0.900114,18,0.00079604,3,0.070076,0.056031,0.084121,0.933287,0.945937,0.920637,0.978103,0.980372,0.975833,0.007207,0.012279,0.018633,0.023714,0.050000,0,0,2,0,1
1075,3750.426,0.103396,0.914568,0.929423,0.899713,18,0.00071349,4,0.068346,0.055360,0.081332,0.934713,0.946576,0.922851,0.976882,0.980876,0.972889,0.007059,0.011902,0.017707,0.025989,0.050000,0,0,2,0,1
1100,3902.126,0.100123,0.917509,0.930854,0.904165,18,0.00075669,3,0.065170,0.055360,0.074981,0.937517,0.946654,0.928381,0.977173,0.982386,0.971960,0.007222,0.010831,0.016400,0.027484,0.050000,0,0,2,0,1
1125,3927.776,0.102602,0.915614,0.928412,0.902816,18,0.00074480,4,0.063666,0.054521,0.072812,0.938665,0.947249,0.930080,0.973791,0.979030,0.968552,0.007004,0.010645,0.019358,0.030180,0.050000,0,0,2,0,1
1150,4081.387,0.100536,0.917370,0.933949,0.900791,18,0.00069032,3,0.065739,0.054018,0.077459,0.937035,0.947981,0.926090,0.977482,0.984399,0.970565,0.007075,0.011221,0.014642,0.028596,0.050000,0,0,2,0,1
1175,4107.354,0.099955,0.917022,0.931330,0.902714,18,0.00071864,2,0.064318,0.055360,0.073277,0.938183,0.946680,0.929686,0.975875,0.982889,0.968861,0.007215,0.010564,0.015287,0.029863,0.050000,0,0,2,0,1
1200,4257.282,0.100417,0.917038,0.931587,0.902488,18,0.00072765,2,0.063834,0.056870,0.070798,0.938567,0.945393,0.931740,0.975474,0.984566,0.966383,0.007407,0.010177,0.014270,0.032558,0.050000,0,0,2,0,1
1225,4281.352,0.097739,0.918201,0.931045,0.905356,18,0.00072526,3,0.061549,0.055863,0.067235,0.940586,0.946230,0.934942,0.974642,0.983057,0.966228,0.007175,0.009688,0.014661,0.032248,0.050000,0,0,2,0,1
1250,4425.632,0.097581,0.919112,0.933662,0.904562,18,0.00075191,2,0.062117,0.054521,0.069713,0.940163,0.947530,0.932796,0.976094,0.984566,0.967622,0.007131,0.010055,0.013558,0.031376,0.050000,0,0,2,0,1
1275,4450.559,0.097962,0.919447,0.933365,0.905529,18,0.00075599,3,0.059942,0.052340,0.067545,0.942050,0.949408,0.934691,0.974455,0.982218,0.966692,0.006788,0.009855,0.016284,0.032078,0.050000,0,0,2,0,1
1300,4599.365,0.093860,0.922029,0.935654,0.908404,18,0.00077214,4,0.058097,0.050663,0.065531,0.943791,0.950990,0.936591,0.975494,0.983057,0.967932,0.006535,0.009495,0.015208,0.030637,0.050000,0,0,2,0,1
1325,4624.943,0.097617,0.919459,0.934162,0.904755,18,0.00074847,4,0.060485,0.052340,0.068629,0.941586,0.949449,0.933722,0.974952,0.983057,0.966847,0.006776,0.009948,0.015413,0.032039,0.050000,0,0,2,0,1
1350,4777.059,0.100123,0.917705,0.935685,0.899726,18,0.00089701,3,0.063228,0.051166,0.075290,0.939174,0.950551,0.927797,0.975513,0.983560,0.967467,0.006625,0.010950,0.015015,0.031281,0.050000,0,0,2,0,1
1375,4802.608,0.103662,0.915184,0.933195,0.897173,18,0.00091839,3,0.063189,0.052172,0.074206,0.939027,0.949546,0.928507,0.972816,0.981882,0.963749,0.006761,0.010772,0.016695,0.034788,0.050000,0,0,2,0,1
1400,4946.023,0.100390,0.917919,0.934814,0.901024,18,0.00100934,2,0.061866,0.049992,0.073741,0.940357,0.951537,0.929177,0.974507,0.981547,0.967467,0.006513,0.010735,0.017015,0.031290,0.050000,0,0,2,0,1
1425,4970.312,0.102309,0.915552,0.929412,0.901691,18,0.00127052,2,0.063382,0.055192,0.071572,0.938878,0.946721,0.931034,0.973468,0.980708,0.966228,0.007130,0.010169,0.018351,0.032126,0.050000,0,0,2,0,1
1450,5117.600,0.100361,0.918237,0.934343,0.902131,18,0.00112609,2,0.060575,0.052676,0.068474,0.941420,0.949166,0.933673,0.973732,0.983560,0.963904,0.006827,0.010019,0.015825,0.034469,0.050000,0,0,2,0,1
1475,5143.566,0.102056,0.915342,0.927835,0.902848,18,0.00134446,2,0.064640,0.057708,0.071572,0.937790,0.944462,0.931117,0.974423,0.981379,0.967467,0.007400,0.010143,0.017592,0.031156,0.050000,0,0,2,0,1
1500,5294.265,0.098361,0.919138,0.933929,0.904347,18,0.00097156,1,0.058426,0.051166,0.065686,0.943328,0.950463,0.936193,0.972732,0.981714,0.963749,0.006784,0.009397,0.016782,0.034396,0.050000,0,0,2,0,1
1525,5319.275,0.096979,0.919872,0.933822,0.905922,18,0.00085259,0,0.057064,0.052005,0.062122,0.944538,0.949724,0.939353,0.972293,0.982386,0.962200,0.006735,0.008906,0.016534,0.035699,0.050000,0,0,2,0,1
1550,5467.190,0.097013,0.919862,0.932665,0.907058,18,0.00074742,1,0.056979,0.053850,0.060108,0.944613,0.948058,0.941168,0.972234,0.982889,0.961580,0.006942,0.008640,0.016297,0.036398,0.050000,0,0,2,0,1
1575,5491.887,0.096903,0.919815,0.929607,0.910023,18,0.00082710,0,0.055256,0.053347,0.057165,0.946124,0.948335,0.943912,0.970622,0.979198,0.962045,0.006922,0.008174,0.018727,0.036331,0.050000,0,0,2,0,1
1600,5638.966,0.097006,0.919818,0.932962,0.906674,18,0.00070728,1,0.057121,0.053515,0.060728,0.944486,0.948365,0.940606,0.972312,0.982889,0.961735,0.007005,0.008622,0.015936,0.036549,0.050000,0,0,2,0,1
