step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,2.115,1.054289,0.236314,0.172187,0.300441,20,0.00058296,0,0.252425,0.153828,0.351023,0.549932,0.563612,0.536252,0.302288,0.198675,0.405902,0.000000,0.000000,0.563240,0.490640,0.050000,0,0,0,0,0
25,28.208,0.638675,0.409679,0.294700,0.524659,20,0.00001429,1,0.149416,0.123062,0.175770,0.753602,0.728955,0.778250,0.473922,0.330967,0.616878,0.000000,0.000000,0.386583,0.252082,0.050000,0,0,0,0,0
50,197.807,0.411200,0.547632,0.426244,0.669021,20,0.00009473,2,0.101719,0.103775,0.099663,0.849991,0.819287,0.880694,0.603087,0.470477,0.735698,0.000000,0.000000,0.266418,0.144716,0.050000,0,0,0,0,0
75,224.111,0.268543,0.655705,0.572333,0.739077,20,0.00094012,2,0.069613,0.084605,0.054621,0.907283,0.880054,0.934513,0.700100,0.620755,0.779446,0.000000,0.000000,0.174257,0.093628,0.050000,0,0,0,0,0
100,393.424,0.201309,0.724096,0.658547,0.789645,20,0.00319727,3,0.054274,0.073601,0.034947,0.932353,0.905715,0.958991,0.762129,0.707017,0.817240,0.000000,0.000000,0.132439,0.066632,0.050000,0,0,0,0,0
125,419.532,0.178575,0.761137,0.696806,0.825468,20,0.00183279,4,0.053642,0.070524,0.036759,0.936220,0.913623,0.958817,0.800879,0.745947,0.855812,0.000000,0.000000,0.117046,0.060246,0.050000,0,0,0,0,0
150,590.734,0.159765,0.779197,0.723437,0.834956,20,0.00144346,5,0.048494,0.060230,0.036759,0.943229,0.927192,0.959266,0.816329,0.767010,0.865648,0.000000,0.000000,0.101749,0.057006,0.050000,0,0,0,0,0
175,617.582,0.157417,0.784261,0.730262,0.838261,20,0.00066322,2,0.050018,0.058100,0.041936,0.942126,0.930067,0.954186,0.823052,0.772690,0.873414,0.000000,0.000000,0.097013,0.059939,0.050000,0,0,0,0,0
200,787.965,0.155933,0.799060,0.753839,0.844280,20,0.00056794,2,0.053953,0.055615,0.052291,0.939545,0.934677,0.944414,0.842096,0.795764,0.888429,0.000000,0.000000,0.090244,0.065291,0.050000,0,0,0,0,0
225,814.312,0.152083,0.809606,0.767325,0.851888,20,0.00089090,2,0.055458,0.055260,0.055656,0.938917,0.936115,0.941719,0.854514,0.809727,0.899301,0.000000,0.000000,0.085554,0.065905,0.050000,0,0,0,0,0
250,981.198,0.145632,0.814421,0.772687,0.856156,20,0.00066736,2,0.052695,0.056206,0.049185,0.941827,0.935567,0.948087,0.857191,0.816116,0.898266,0.000000,0.000000,0.084799,0.060365,0.050000,0,0,0,0,0
275,1007.304,0.145167,0.819771,0.774930,0.864612,20,0.00069929,1,0.053487,0.057271,0.049702,0.941373,0.934665,0.948080,0.863448,0.819311,0.907585,0.000000,0.000000,0.086092,0.058585,0.050000,0,0,0,0,0
300,1178.519,0.140645,0.825457,0.775697,0.875217,20,0.00084300,1,0.052451,0.061413,0.043490,0.942566,0.930587,0.954545,0.868307,0.823335,0.913280,0.000000,0.000000,0.086713,0.053342,0.050000,0,0,0,0,0
325,1205.348,0.142003,0.825198,0.780626,0.869770,20,0.00075331,2,0.053546,0.061531,0.045560,0.941585,0.930879,0.952291,0.869028,0.828659,0.909397,0.000000,0.000000,0.085907,0.055569,0.050000,0,0,0,0,0
350,1375.232,0.141345,0.825428,0.784749,0.866107,20,0.00082031,3,0.053882,0.059875,0.047890,0.941362,0.932847,0.949878,0.869660,0.831736,0.907585,0.000000,0.000000,0.083825,0.056946,0.050000,0,0,0,0,0
375,1401.615,0.137466,0.831385,0.795955,0.866815,20,0.00064558,2,0.053280,0.058928,0.047631,0.942408,0.934654,0.950163,0.875481,0.842859,0.908103,0.000000,0.000000,0.080166,0.056847,0.050000,0,0,0,0,0
400,1571.977,0.128065,0.835638,0.803220,0.868056,20,0.00050640,2,0.047433,0.051118,0.043748,0.948424,0.942910,0.953938,0.875155,0.844279,0.906032,0.000000,0.000000,0.073220,0.054491,0.050000,0,0,0,0,0
425,1598.678,0.114649,0.846198,0.817924,0.874472,20,0.00028835,3,0.041594,0.041770,0.041419,0.954884,0.953270,0.956498,0.881390,0.852089,0.910691,0.000000,0.000000,0.063189,0.051258,0.050000,0,0,0,0,0
450,1770.286,0.104717,0.860421,0.828565,0.892277,20,0.00028373,3,0.038984,0.042244,0.035724,0.958073,0.953364,0.962783,0.893859,0.863566,0.924152,0.000000,0.000000,0.061101,0.043418,0.050000,0,0,0,0,0
475,1796.713,0.093246,0.871822,0.834187,0.909458,20,0.00028806,1,0.033081,0.039759,0.026404,0.964331,0.956170,0.972492,0.900412,0.867353,0.933471,0.000000,0.000000,0.059133,0.033911,0.050000,0,0,0,0,0
500,1960.200,0.104262,0.871361,0.836434,0.906289,19,0.00024708,1,0.042304,0.043190,0.041419,0.955399,0.952836,0.957961,0.908193,0.872559,0.943826,0.000000,0.000000,0.059610,0.044478,0.050000,0,0,1,0,0
525,1985.451,0.102700,0.869094,0.833901,0.904287,19,0.00025815,2,0.040052,0.041534,0.038571,0.957456,0.954362,0.960551,0.903851,0.868536,0.939166,0.000000,0.000000,0.059259,0.043260,0.050000,0,0,1,0,0
550,2142.419,0.104342,0.871921,0.838285,0.905557,19,0.00028788,2,0.041128,0.043427,0.038830,0.956530,0.952700,0.960359,0.907705,0.874689,0.940720,0.000000,0.000000,0.060438,0.043702,0.050000,0,0,1,0,0
575,2166.924,0.096968,0.872272,0.837463,0.907082,19,0.00019542,3,0.035933,0.041060,0.030805,0.961564,0.955023,0.968105,0.903437,0.871849,0.935025,0.000000,0.000000,0.058840,0.037991,0.050000,0,0,1,0,0
600,2324.674,0.083759,0.880113,0.839159,0.921066,19,0.00024424,3,0.027893,0.035854,0.019933,0.969805,0.960387,0.979223,0.904336,0.869246,0.939425,0.000000,0.000000,0.055236,0.028352,0.050000,0,0,1,0,0
625,2349.442,0.079679,0.881057,0.836669,0.925445,19,0.00021162,1,0.025948,0.034552,0.017344,0.971763,0.961614,0.981911,0.903537,0.865578,0.941496,0.000000,0.000000,0.054305,0.025226,0.050000,0,0,1,0,0
650,2510.128,0.076913,0.885945,0.838743,0.933147,19,0.00022806,2,0.025046,0.031712,0.018379,0.972837,0.964648,0.981026,0.907820,0.865341,0.950298,0.000000,0.000000,0.052547,0.024206,0.050000,0,0,1,0,0
675,2535.074,0.081326,0.884103,0.840974,0.927231,19,0.00027775,1,0.027997,0.035025,0.020968,0.969824,0.961317,0.978331,0.908552,0.870430,0.946674,0.000000,0.000000,0.053659,0.027473,0.050000,0,0,1,0,0
700,2697.026,0.082102,0.882623,0.841544,0.923701,19,0.00020237,3,0.027002,0.032777,0.021227,0.970825,0.963658,0.977992,0.906218,0.869128,0.943308,0.000000,0.000000,0.052837,0.029123,0.050000,0,0,1,0,0
725,2722.068,0.087015,0.880278,0.839689,0.920867,19,0.00043136,4,0.030275,0.033369,0.027181,0.967517,0.962968,0.972067,0.906802,0.867708,0.945897,0.000000,0.000000,0.053535,0.033179,0.050000,0,0,1,0,0
