step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.522,1.551517,0.225888,0.194455,0.257321,20,0.00000000,0,0.183401,0.184529,0.182272,0.590272,0.555208,0.625336,0.267280,0.230337,0.304224,0.000000,0.000000,0.807053,0.744464,0.050000,0,0,0,0,0
25,27.208,1.094508,0.454044,0.417886,0.490202,20,0.00002054,0,0.154830,0.174265,0.135396,0.771135,0.737937,0.804333,0.523641,0.490709,0.556573,0.000000,0.000000,0.582568,0.511926,0.050000,0,0,0,0,0
50,195.000,0.838436,0.581501,0.544316,0.618685,20,0.00012719,0,0.158597,0.207973,0.109221,0.811202,0.759705,0.862698,0.671889,0.657519,0.686258,0.000000,0.000000,0.455830,0.382517,0.050000,0,0,0,0,0
75,222.050,0.658376,0.670921,0.594611,0.747231,20,0.00004584,4,0.165380,0.234983,0.095776,0.826428,0.757579,0.895278,0.776566,0.734334,0.818798,0.000000,0.000000,0.405472,0.252872,0.050000,0,0,0,0,0
100,395.542,0.546067,0.727387,0.630267,0.824507,20,0.00060361,4,0.157849,0.248596,0.067103,0.844537,0.759937,0.929137,0.833391,0.786949,0.879833,0.000000,0.000000,0.369081,0.176563,0.050000,0,0,0,0,0
125,422.790,0.471644,0.765052,0.642857,0.887246,20,0.00025173,2,0.151394,0.264477,0.038311,0.857294,0.754513,0.960074,0.867058,0.812878,0.921237,0.000000,0.000000,0.356516,0.114952,0.050000,0,0,0,0,0
150,596.647,0.435286,0.783248,0.656304,0.910191,20,0.00019261,3,0.141543,0.251080,0.032005,0.866435,0.765820,0.967050,0.880205,0.821089,0.939322,0.000000,0.000000,0.343211,0.091940,0.050000,0,0,0,0,0
175,623.973,0.409871,0.796265,0.665472,0.927058,20,0.00014467,1,0.131617,0.235631,0.027603,0.874554,0.777267,0.971841,0.887462,0.822277,0.952647,0.000000,0.000000,0.334142,0.075628,0.050000,0,0,0,0,0
200,798.767,0.389692,0.806132,0.673831,0.938433,20,0.00007918,1,0.132287,0.236495,0.028079,0.875315,0.778911,0.971720,0.898986,0.833189,0.964783,0.000000,0.000000,0.325825,0.063811,0.050000,0,0,0,0,0
225,825.781,0.363614,0.819349,0.690342,0.948356,20,0.00002514,0,0.137391,0.247299,0.027484,0.874724,0.776879,0.972569,0.917742,0.861063,0.974420,0.000000,0.000000,0.309486,0.054110,0.050000,0,0,0,0,0
